director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,movie_title,num_voted_users,cast_total_facebook_likes,plot_keywords,language,country,budget,movie_facebook_likes
Avi Nesher,5,104,6,467,Elizabeth Berkley,Action|Comedy|Crime|Thriller,Taxman ,372,2406,bar|box office flop|dance|one word title|voice over narration,English,USA,1000000,18
,1,45,,119,Ash Cook,Drama|Thriller,The Secret             ,653,1393,adultery|baptist church|dentist|double murder|tv mini series,English,UK,,405
Charles Adelman,4,96,0,460,Kevin Pollak,Horror|Thriller,2:13 ,961,2307,death|forensic|murder|profiler|serial killer,English,USA,3500000,211
Jay Oliva,44,148,41,739,Mark Valley,Action|Animation|Crime|Sci-Fi|Thriller,"Batman: The Dark Knight Returns, Part 2 ",30434,5526,batman|joker|mutant|tattoo on breast|the joker,English,USA,3500000,5000
Charles Ferguson,6,100,117,0,Jerry Brown,Documentary,Time to Choose ,75,24,,English,USA,3500000,121
Uwe Boll,17,86,892,50,Shelly Varod,Action|Adventure|Fantasy|Thriller,In the Name of the King: The Last Job ,1285,854,castle|dragon|kidnapping|satire|sword and sorcery,English,Canada,3500000,721
Mark Young,7,92,14,597,Jake Busey,Action|Crime|Drama|Thriller,Wicked Blood ,1928,3854,chess|drugs|love|meth|pawn,English,USA,3500000,482
Daniel Petrie Jr.,9,88,19,322,Jeff Fahey,Drama|Thriller,Dawn Patrol ,455,2497,desert|held at gunpoint|marine|revenge|sex on table,English,,3500000,570
Antonio Simoncini,3,90,0,37,Joe Egan,Crime|Mystery|Thriller,Lords of London ,610,1183,gang leader|italian woman|period piece|purgatory|suicide,English,UK,3440000,606
Mel Brooks,55,94,0,605,Harvey Korman,Comedy,High Anxiety ,15115,2861,belldon's hysteria|high anxiety|hitchcockian|murder|parody,English,USA,3400000,0
Luc Jacquet,169,80,10,34,Sofie Gråbøl,Documentary,March of the Penguins ,45984,11218,chick|emperor penguin|journey|ocean|penguin,French,France,8000000,0
J.C. Chandor,290,107,78,969,Demi Moore,Biography|Drama|Thriller,Margin Call ,92599,22834,capital management|financial crisis|financial disaster|investment fraud|management,English,USA,3500000,21000
Eldar Rapaport,10,99,0,43,Adrian Gonzalez,Drama|Romance,August ,1262,320,apartment|gay parent|job interview|male pubic hair|pubic hair,English,USA,,224
Clark Gregg,159,92,0,539,Matt Gerald,Comedy|Drama,Choke ,28573,3608,choking|friend|hospital|restaurant|scam,English,USA,3000000,0
Damien Chazelle,535,107,141,535,Melissa Benoist,Drama|Music,Whiplash ,399138,26495,conservatory|drummer|emotional abuse|music school|obsession,English,USA,3300000,129000
Fernando Meirelles,214,135,353,40,Seu Jorge,Crime|Drama,City of God ,533200,1211,coming of age|male frontal nudity|male nudity|photographer|slum,Portuguese,Brazil,3300000,28000
Justin Kerrigan,47,99,8,78,John Simm,Comedy|Music,Human Traffic ,19194,1430,friday|friend|hip hop|techno rave|weekend,English,UK,2200000,0
Nathan Frankowski,17,102,19,80,Rus Blackwell,Biography|Drama|Music,Day One ,2116,1011,character name in title|depression|drugs|one word title,English,USA,3400000,0
Karen Moncrieff,85,93,22,303,Bruce Davison,Crime|Drama|Mystery,The Dead Girl ,12304,11860,dead girl|girl|granddaughter|morgue|storage unit,English,USA,,799
Thomas Vinterberg,349,115,346,26,Alexandra Rapaport,Drama,The Hunt ,170155,216,deer|gun|gunshot|hunt|kindergarten teacher,Danish,Denmark,3800000,60000
Bob Clark,109,94,84,378,Darren McGavin,Comedy|Family,A Christmas Story ,104908,2076,bb gun|boy|bully|christmas|tongue stuck on a pole,English,USA,4000000,18000
Alejandro Monteverde,60,91,38,377,Ramon Rodriguez,Drama|Romance,Bella ,9607,2747,inter cultural|latino|restaurant|soccer|train,English,USA,3300000,0
Mark L. Lester,101,98,73,129,Perry King,Action|Crime|Drama|Thriller,Class of 1984 ,6549,1105,back to school|city|high school|sadism|teacher,English,Canada,4300000,934
Jennifer Finnigan,1,97,246,491,Kenan Thompson,Comedy,The Opposite Sex ,557,3717,bare breasts,English,USA,3300000,0
Eric Styles,16,92,4,405,Rupert Graves,Drama|Romance,Dreaming of Joseph Lees ,704,2020,love crime|love triangle|lust|sister sister relationship|unrequited love,English,USA,2000000,100
Laurent Cantet,212,128,39,0,Agame Malembo-Emene,Drama,The Class ,29248,17,high school|inner city|school|student|teacher,French,France,,0
Roman Polanski,215,136,2000,449,Mia Farrow,Drama|Horror,Rosemary's Baby ,140527,2997,devil worship|incubus|paranoia|raped by a demon|satanism,English,USA,2300000,13000
John Ford,107,113,673,332,Woody Strode,Drama|Western,The Man Who Shot Liberty Valance ,53741,2693,friend|funeral|outlaw|pistol|stagecoach,English,USA,3200000,0
Max Mayer,122,99,6,194,Terry Walters,Drama|Romance,Adam ,29239,1936,apartment|asperger's syndrome|children|teacher|writer,English,USA,,0
Joshua Marston,155,101,13,6,Wilson Guerrero,Crime|Drama,Maria Full of Grace ,30474,308,colombia|colombian|drug mule|money|stomach,Spanish,Colombia,3000000,0
Mike Mills,261,105,101,157,Lou Taylor Pucci,Comedy|Drama|Romance,Beginners ,73349,2016,actress|cancer|death|french|gay relationship,English,USA,3200000,15000
John Gulager,130,95,38,898,Eric Dane,Action|Comedy|Horror|Thriller,Feast ,25542,170118,bar|bloody body of child|dead boy|monster|vomiting,English,USA,3200000,0
John Landis,94,109,644,559,Karen Allen,Comedy,Animal House ,90177,3468,academic probation|camera shot of feet|fraternity|school expulsion|smashing a guitar,English,USA,3000000,0
Guy Hamilton,164,110,82,177,Gert Fröbe,Action|Adventure|Thriller,Goldfinger ,139432,1198,bikini|covered in melted gold|fort knox|gold|pilot,English,UK,3000000,0
Brandon Cronenberg,188,108,43,463,Douglas Smith,Horror|Sci-Fi|Thriller,Antiviral ,9356,1962,celebrity|injection|near future|scalpel|stabbed in the mouth,English,Canada,3200000,0
Frank Capra,206,118,964,248,Lionel Barrymore,Drama|Family|Fantasy|Romance,It's a Wonderful Life ,275720,1844,angel|bank|guardian angel|second chance|small town life,English,USA,3180000,41000
Danny Boyle,134,94,0,557,Shirley Henderson,Drama,Trainspotting ,469561,3559,drug culture|drugs|filthy toilet|heroin addict|heroin withdrawal,English,UK,3500000,21000
Spike Lee,53,115,0,360,Cedric the Entertainer,Comedy|Documentary,The Original Kings of Comedy ,4687,1964,backstage|comedian|concert film|emcee|stand up comedian,English,USA,3000000,290
Tod Williams,264,98,21,189,Molly Ephraim,Horror,Paranormal Activity 2 ,82133,1081,california|carlsbad california|house|nanny|security camera,English,USA,3000000,14000
Kirk Jones,94,91,52,482,David Kelly,Comedy,Waking Ned Devine ,21245,1965,dead body|death|lottery|small town|village,English,UK,3000000,0
Michael Moore,215,120,909,184,Dick Clark,Crime|Documentary|Drama,Bowling for Columbine ,123090,1779,bank|columbine|columbine high school killings|firearm|school shooting,English,Germany,4000000,4000
Yimou Zhang,85,109,611,4,Daoming Chen,Drama,Coming Home ,2789,900,amnesia|cultural revolution|husband wife relationship|memory|political prisoner,Mandarin,China,,0
Jack Sholder,138,87,28,217,Robert Rusler,Fantasy|Horror,A Nightmare on Elm Street 2: Freddy's Revenge ,43485,1472,freddy krueger|gay|gay subtext|homoeroticism|jock strap,English,USA,2200000,0
James Ivory,55,117,133,249,Rupert Graves,Drama|Romance,A Room with a View ,29610,1665,male nudity|male pubic hair|nude bathing|piano|pubic hair,English,UK,3000000,0
James DeMonaco,361,85,65,535,Adelaide Kane,Horror|Sci-Fi|Thriller,The Purge ,139329,3708,class differences|killing spree|one night|suburb|violence,English,USA,3000000,31000
