director_name,duration,actor_3_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,movie_title,plot_keywords,movie_imdb_link,content_rating,title_year,aspect_ratio
Jonathan Liebesman,101,429,833,Action|Adventure|Comedy|Sci-Fi,Noel Fisher,Teenage Mutant Ninja Turtles ,18 wheeler|mutant|ninja|sewer|turtle,http://www.imdb.com/title/tt1291150/?ref_=fn_tt_tt_1,PG-13,2014,2.35
Amy Heckerling,97,201,927,Comedy|Romance,Donald Faison,Clueless ,female protagonist|high school|makeover|matchmaker|popularity,http://www.imdb.com/title/tt0112697/?ref_=fn_tt_tt_1,PG-13,1995,1.85
Todd Haynes,107,135,2000,Drama|Romance,Dennis Quaid,Far from Heaven ,african american|catastrophe|family relationships|farewell scene|therapy,http://www.imdb.com/title/tt0297884/?ref_=fn_tt_tt_1,PG-13,2002,1.85
Steve Pink,99,390,3000,Comedy|Sci-Fi,Adam Scott,Hot Tub Time Machine 2 ,acid trip|gameshow|hot tub|time lord|time machine,http://www.imdb.com/title/tt2637294/?ref_=fn_tt_tt_1,R,2015,1.85
,55,2,20,Drama,Krystyna Janda,Dekalog             ,meaning of life|moral challenge|morality|search for meaning|ten commandments,http://www.imdb.com/title/tt0092337/?ref_=fn_tt_tt_1,TV-MA,,1.33
Philip Kaufman,124,170,14000,Biography|Drama,Kate Winslet,Quills ,asylum|lust|male pubic hair|penis|pubic hair,http://www.imdb.com/title/tt0180073/?ref_=fn_tt_tt_1,R,2000,1.85
Martin McDonagh,110,816,2000,Comedy|Crime,Abbie Cornish,Seven Psychopaths ,dognapping|gangster|misfiring gun|screenwriter|shih tzu,http://www.imdb.com/title/tt1931533/?ref_=fn_tt_tt_1,R,2012,2.35
Kasi Lemmons,105,400,539,Crime|Drama|Music|Mystery|Thriller,Colm Feore,The Caveman's Valentine ,chrysler building manhattan new york city|delusion|manhattan new york city|new york city|title directed by female,http://www.imdb.com/title/tt0182000/?ref_=fn_tt_tt_1,R,2001,1.85
,41,2,70,Action|Crime|Drama|Thriller,Jacek Koman,The Border             ,,http://www.imdb.com/title/tt4048942/?ref_=fn_tt_tt_1,,,
Oliver Hirschbiegel,178,471,918,Biography|Drama|History|War,Thomas Kretschmann,Downfall ,bunker|hitler|nazi|no exit|war ruins,http://www.imdb.com/title/tt0363163/?ref_=fn_tt_tt_1,R,2004,1.85
Alejandro Amenábar,125,93,273,Biography|Drama|Romance,Belén Rueda,The Sea Inside ,dignity|euthanasia|freedom|lawyer|sailor,http://www.imdb.com/title/tt0369702/?ref_=fn_tt_tt_1,PG-13,2004,2.35
Jonathan Glazer,108,21,19000,Drama|Horror|Sci-Fi|Thriller,Scarlett Johansson,Under the Skin ,alien|desire|female nudity|male frontal nudity|scotland,http://www.imdb.com/title/tt1441395/?ref_=fn_tt_tt_1,R,2013,1.85
Barry Levinson,121,227,49000,Biography|Comedy|Drama|War,Robin Williams,"Good Morning, Vietnam ",disc jockey|friendship|radio|vietnam|vietnamese,http://www.imdb.com/title/tt0093105/?ref_=fn_tt_tt_1,R,1987,1.85
Hyung-rae Shim,100,385,898,Comedy,Jason Mewes,The Last Godfather ,mafia|mafia boss|mafiosi|mafioso|three word title,http://www.imdb.com/title/tt1584131/?ref_=fn_tt_tt_1,PG-13,2010,1.78
Jon M. Chu,115,41,569,Documentary|Music,Usher Raymond,Justin Bieber: Never Say Never ,boyhood friend|manager|plasma tv|prodigy|star,http://www.imdb.com/title/tt1702443/?ref_=fn_tt_tt_1,G,2011,1.85
Darren Aronofsky,108,1000,20000,Drama|Thriller,Natalie Portman,Black Swan ,ballerina|ballet|fear|female protagonist|madness,http://www.imdb.com/title/tt0947798/?ref_=fn_tt_tt_1,R,2010,2.35
José Padilha,117,1000,10000,Action|Crime|Sci-Fi|Thriller,Gary Oldman,RoboCop ,law enforcement|police|robocop|robot|technology,http://www.imdb.com/title/tt1234721/?ref_=fn_tt_tt_1,PG-13,2014,2.35
Francis Ford Coppola,220,3000,22000,Crime|Drama,Robert De Niro,The Godfather: Part II ,1950s|corrupt politician|lake tahoe nevada|melancholy|revenge,http://www.imdb.com/title/tt0071562/?ref_=fn_tt_tt_1,R,1974,1.85
Thomas Carter,112,237,656,Drama|Music|Romance,Sean Patrick Thomas,Save the Last Dance ,dance|dancing|ghetto|hip hop|imperative in title,http://www.imdb.com/title/tt0206275/?ref_=fn_tt_tt_1,PG-13,2001,1.85
Renny Harlin,99,54,130,Fantasy|Horror|Thriller,Tuesday Knight,A Nightmare on Elm Street 4: The Dream Master ,demon|dream|elm street|freddy krueger|nightmare,http://www.imdb.com/title/tt0095742/?ref_=fn_tt_tt_1,R,1988,1.85
Patricia Riggen,109,579,3000,Drama,Jennifer Garner,Miracles from Heaven ,child cancer|christian film|christianity|falling into a hole|inspiring,http://www.imdb.com/title/tt4257926/?ref_=fn_tt_tt_1,PG,2016,1.85
Danny Leiner,83,612,3000,Comedy|Mystery,Jennifer Garner,"Dude, Where's My Car? ",bare chested male|gay kiss|homoeroticism|lesbian kiss|transsexual,http://www.imdb.com/title/tt0242423/?ref_=fn_tt_tt_1,PG-13,2000,1.37
Christopher Cain,107,316,549,Action|Crime|Drama|Thriller|Western,Jack Palance,Young Guns ,army|cattle|deputy|new mexico|rancher,http://www.imdb.com/title/tt0096487/?ref_=fn_tt_tt_1,R,1988,1.85
Theodore Melfi,102,360,13000,Comedy|Drama,Bill Murray,St. Vincent ,bullying|grumpy old man|school presentation|stroke|stroke recovery,http://www.imdb.com/title/tt2170593/?ref_=fn_tt_tt_1,PG-13,2014,1.85
Steve Pink,100,460,833,Comedy|Romance,Joe Lo Truglio,About Last Night ,bedroom|boyfriend girlfriend relationship|hug|interrupted sex|urban setting,http://www.imdb.com/title/tt1826590/?ref_=fn_tt_tt_1,R,2014,2.35
Gil Junger,97,835,23000,Comedy|Drama|Romance,Joseph Gordon-Levitt,10 Things I Hate About You ,dating|protective father|school|shrew|teen movie,http://www.imdb.com/title/tt0147800/?ref_=fn_tt_tt_1,PG-13,1999,1.85
Ed Decter,92,301,11000,Comedy,Zooey Deschanel,The New Guy ,cheerleader|geek|high school|prison|reference to janet jackson,http://www.imdb.com/title/tt0241760/?ref_=fn_tt_tt_1,PG-13,2002,1.85
Gene Quintano,84,182,11000,Action|Comedy|Crime,Jon Lovitz,Loaded Weapon 1 ,cookie|detective|microfilm|parody|sergeant,http://www.imdb.com/title/tt0107659/?ref_=fn_tt_tt_1,PG-13,1993,1.85
Jaume Collet-Serra,86,2,619,Drama|Horror|Thriller,Óscar Jaenada,The Shallows ,beach|island|mexico|prey|trapped,http://www.imdb.com/title/tt4052882/?ref_=fn_tt_tt_1,PG-13,2016,2.35
Eric Bress,120,829,8000,Sci-Fi|Thriller,Logan Lerman,The Butterfly Effect ,blackout|child pornography|memory|surprise ending|time travel,http://www.imdb.com/title/tt0289879/?ref_=fn_tt_tt_1,R,2004,1.85
Chris Koch,89,329,571,Adventure|Comedy|Family,Chris Elliott,Snow Day ,meteorologist|snow|snowed in|snowplow|weather,http://www.imdb.com/title/tt0184907/?ref_=fn_tt_tt_1,PG,2000,1.85
Preston A. Whitmore II,117,912,1000,Comedy|Drama|Romance,Mekhi Phifer,This Christmas ,christmas|family home|musician|piano|secret,http://www.imdb.com/title/tt0937375/?ref_=fn_tt_tt_1,PG-13,2007,2.35
Bob Clark,97,782,899,Comedy|Crime|Family|Sci-Fi,Kathleen Turner,Baby Geniuses ,baby|boy|science|scientist|toddler,http://www.imdb.com/title/tt0118665/?ref_=fn_tt_tt_1,PG,1999,1.85
Kirk Wong,91,459,904,Action|Comedy|Crime|Thriller,Bokeem Woodbine,The Big Hit ,hitman|kidnapping|kosher|vhs|video store,http://www.imdb.com/title/tt0120609/?ref_=fn_tt_tt_1,R,1998,1.85
Bronwen Hughes,100,388,694,Comedy|Drama|Family,Gregory Smith,Harriet the Spy ,binoculars|child spy|notebook|secret|spy,http://www.imdb.com/title/tt0116493/?ref_=fn_tt_tt_1,PG,1996,1.85
John Lafia,72,435,659,Fantasy|Horror,Jenny Agutter,Child's Play 2 ,boy|doll|foster home|killer doll|serial killer,http://www.imdb.com/title/tt0099253/?ref_=fn_tt_tt_1,R,1990,1.85
Sam Miller,84,334,1000,Crime|Thriller,Leslie Bibb,No Good Deed ,home invasion|police officer shot|police officer shot in the chest|psychopath|three word title,http://www.imdb.com/title/tt2011159/?ref_=fn_tt_tt_1,PG-13,2014,2.35
Frank Darabont,126,745,2000,Horror,Toby Jones,The Mist ,desperation|fog|giant insect|survival|survival horror,http://www.imdb.com/title/tt0884328/?ref_=fn_tt_tt_1,R,2007,1.85
Alex Garland,108,123,149,Drama|Mystery|Sci-Fi|Thriller,Elina Alminas,Ex Machina ,artificial intelligence|robot|robot human relationship|turing test|video surveillance,http://www.imdb.com/title/tt0470752/?ref_=fn_tt_tt_1,R,2015,2.35
Spike Jonze,112,213,512,Comedy|Drama|Fantasy,Willie Garson,Being John Malkovich ,body swap|magical realism|portal|puppeteer|surrealism,http://www.imdb.com/title/tt0120601/?ref_=fn_tt_tt_1,R,1999,1.85
Mark Brown,90,405,939,Comedy|Romance,Mo'Nique,Two Can Play That Game ,advice|battle of the sexes|lingerie|romantic rivalry|rule,http://www.imdb.com/title/tt0269341/?ref_=fn_tt_tt_1,R,2001,1.85
Dave Green,91,140,803,Adventure|Family|Sci-Fi,Teo Halm,Earth to Echo ,alien|bar|construction worker|no opening credits|no title at beginning,http://www.imdb.com/title/tt2183034/?ref_=fn_tt_tt_1,PG,2014,1.85
John Stockwell,135,525,4000,Drama|Romance,Kirsten Dunst,Crazy/Beautiful ,congressman|high school|latino|pacific palisades|school,http://www.imdb.com/title/tt0250224/?ref_=fn_tt_tt_1,PG-13,2001,1.85
Clint Eastwood,141,78,378,Drama|History|War,Yuki Matsuzaki,Letters from Iwo Jima ,blood splatter|general|island|japan|world war two,http://www.imdb.com/title/tt0498380/?ref_=fn_tt_tt_1,R,2006,2.35
Michael Polish,104,844,24000,Adventure|Drama|Sci-Fi,J.K. Simmons,The Astronaut Farmer ,bank|fbi|fuel|rocket|space travel,http://www.imdb.com/title/tt0469263/?ref_=fn_tt_tt_1,PG,2006,2.35
Daisy von Scherler Mayer,84,744,1000,Comedy|Romance,LL Cool J,Woo ,blind date|law clerk|love|manhattan new york city|world trade center manhattan new york city,http://www.imdb.com/title/tt0120531/?ref_=fn_tt_tt_1,R,1998,
Lenny Abrahamson,118,491,805,Drama,Joan Allen,Room ,based on novel|escape|imprisonment|kidnapping|mother son relationship,http://www.imdb.com/title/tt3170832/?ref_=fn_tt_tt_1,R,2015,2.35
Bob Saget,82,294,721,Comedy,Don Rickles,Dirty Work ,cult film|gambling debt|job|off screen murder|revenge,http://www.imdb.com/title/tt0120654/?ref_=fn_tt_tt_1,PG-13,1998,1.85
John Waters,95,650,899,Comedy|Crime|Thriller,Kathleen Turner,Serial Mom ,dentist|housewife|howie scream|murder|perfection,http://www.imdb.com/title/tt0111127/?ref_=fn_tt_tt_1,R,1994,1.66
Andrew Fleming,94,4000,16000,Comedy,Ryan Reynolds,Dick ,political cover up|political satire|teenage girl|white house|witness,http://www.imdb.com/title/tt0144168/?ref_=fn_tt_tt_1,PG-13,1999,1.85
Niels Arden Oplev,88,75,690,Action|Crime|Mystery|Thriller,Michael Nyqvist,Del 1 - Män som hatar kvinnor             ,,http://www.imdb.com/title/tt1639008/?ref_=fn_tt_tt_1,,,
Craig Bolotin,99,730,3000,Drama|Thriller,Rosario Dawson,Light It Up ,black cop|die hard scenario|hostage negotiator|police|police brutality,http://www.imdb.com/title/tt0172726/?ref_=fn_tt_tt_1,R,1999,1.85
Mark Christopher,121,812,4000,Drama|Music,Salma Hayek,54 ,angel dust the drug|disco|new york city|quaalude|reference to princess grace of monaco,http://www.imdb.com/title/tt0120577/?ref_=fn_tt_tt_1,R,1998,1.85
Blair Hayes,84,690,15000,Adventure|Comedy|Romance|Sci-Fi,Jake Gyllenhaal,Bubble Boy ,cigarette smoking|hand on butt|niagara falls|plastic bubble|wedding,http://www.imdb.com/title/tt0258470/?ref_=fn_tt_tt_1,PG-13,2001,2.35
Jez Butterworth,93,258,567,Comedy|Crime|Thriller,Mark Gatiss,Birthday Girl ,bank|bank clerk|birthday|mail order bride|russian,http://www.imdb.com/title/tt0188453/?ref_=fn_tt_tt_1,R,2001,2.35
Jon Lucas,93,499,552,Comedy,Justin Chon,21 & Over ,21st birthday|college student|drunken man|pubic hair|standing up to father,http://www.imdb.com/title/tt1711425/?ref_=fn_tt_tt_1,R,2013,2.35
Olivier Assayas,120,280,12000,Comedy|Drama|Romance,Steve Buscemi,"Paris, je t'aime ",baby|divorce|oscar wilde|pigalle|tourist,http://www.imdb.com/title/tt0401711/?ref_=fn_tt_tt_1,R,2006,1.85
Rod Lurie,112,548,748,Drama|Sport,Harry Lennix,Resurrecting the Champ ,boxing|colosseum|homeless man|reporter|writer,http://www.imdb.com/title/tt0416185/?ref_=fn_tt_tt_1,PG-13,2007,2.35
Paul Weitz,107,252,2000,Comedy|Drama|Romance,Tina Fey,Admission ,adoption|female protagonist|princeton university|wedding|working women,http://www.imdb.com/title/tt1814621/?ref_=fn_tt_tt_1,PG-13,2013,2.35
Patrice Leconte,112,8,2000,Drama|Romance,Emir Kusturica,The Widow of Saint-Pierre ,archipelago|guillotine|island|prison|redemption,http://www.imdb.com/title/tt0191636/?ref_=fn_tt_tt_1,R,2000,2.35
Atom Egoyan,96,73,14000,Drama|Mystery|Romance|Thriller,Liam Neeson,Chloe ,bare chested boy|doctor|escort|infidelity|prostitute,http://www.imdb.com/title/tt1352824/?ref_=fn_tt_tt_1,R,2009,1.85
Paul Mazursky,91,150,979,Comedy|Crime|Drama,Chazz Palminteri,Faithful ,bathroom|bathtub|female protagonist|flashback|kitchen,http://www.imdb.com/title/tt0116269/?ref_=fn_tt_tt_1,R,1996,1.85
Jim Sheridan,105,1000,20000,Drama|Thriller,Natalie Portman,Brothers ,afghanistan|death of soldier|presumed dead|prisoner|war trauma,http://www.imdb.com/title/tt0765010/?ref_=fn_tt_tt_1,R,2009,2.35
Sidney Lumet,125,968,22000,Biography|Comedy|Crime|Drama,Peter Dinklage,Find Me Guilty ,court|drugs|judge|mafia|mobster,http://www.imdb.com/title/tt0419749/?ref_=fn_tt_tt_1,R,2006,1.85
Stephen Chbosky,102,850,8000,Drama|Romance,Logan Lerman,The Perks of Being a Wallflower ,coming of age|depression|gay|high school|mental illness,http://www.imdb.com/title/tt1659337/?ref_=fn_tt_tt_1,PG-13,2012,1.85
Jon Hess,87,147,683,Action,Burt Young,Excessive Force ,exercise bicycle|face in food|police|police brutality|policeman,http://www.imdb.com/title/tt0104215/?ref_=fn_tt_tt_1,R,1993,1.85
Douglas McGrath,118,442,2000,Biography|Crime|Drama,Toby Jones,Infamous ,blood|book|cold calculation|murder|writer,http://www.imdb.com/title/tt0420609/?ref_=fn_tt_tt_1,R,2006,1.85
Michael Winterbottom,115,887,14000,Drama|Romance|Western,Milla Jovovich,The Claim ,gold|gold mine|miner|railroad|surveyor,http://www.imdb.com/title/tt0218378/?ref_=fn_tt_tt_1,R,2000,2.35
Mark Neveldine,91,794,3000,Horror|Thriller,Djimon Hounsou,The Vatican Tapes ,evil|injury|possession|priest|vatican,http://www.imdb.com/title/tt1524575/?ref_=fn_tt_tt_1,PG-13,2015,1.85
Joe Cornish,88,304,1000,Action|Comedy|Sci-Fi|Thriller,John Boyega,Attack the Block ,alien|alien invasion|apartment|creature|gang,http://www.imdb.com/title/tt1478964/?ref_=fn_tt_tt_1,R,2011,2.35
Angelina Jolie Pitt,127,116,306,Drama|Romance|War,Jelena Jovanova,In the Land of Blood and Honey ,bosnian war|church|emaciation|soldier|violence,http://www.imdb.com/title/tt1714209/?ref_=fn_tt_tt_1,R,2011,2.35
Brad Anderson,94,383,873,Crime|Thriller,Michael Imperioli,The Call ,911 operator|calling 911|die hard scenario|head held underwater|white villain,http://www.imdb.com/title/tt1911644/?ref_=fn_tt_tt_1,R,2013,1.85
John H. Lee,115,29,14000,Action|Drama|History|War,Liam Neeson,Operation Chromite ,,http://www.imdb.com/title/tt4939066/?ref_=fn_tt_tt_1,,2016,
John Stainton,90,234,477,Action|Adventure|Comedy|Family,Steve Irwin,The Crocodile Hunter: Collision Course ,cia|crocodile|satellite|snake|spider,http://www.imdb.com/title/tt0305396/?ref_=fn_tt_tt_1,PG,2002,2.35
Glenn Ficarra,102,113,170,Biography|Comedy|Crime|Drama|Romance,Dameon Clarke,I Love You Phillip Morris ,character name in title|con artist|fraud|gay|prison break,http://www.imdb.com/title/tt1045772/?ref_=fn_tt_tt_1,R,2009,1.85
Jean-Jacques Annaud,100,91,581,Adventure|Drama|History,Rae Dawn Chong,Quest for Fire ,fire|prehistoric times|primitive|tribe|trio,http://www.imdb.com/title/tt0082484/?ref_=fn_tt_tt_1,R,1981,2.35
Denzel Washington,117,543,18000,Biography|Drama,Denzel Washington,Antwone Fisher ,black american|extortion|navy|psychiatrist|sailor,http://www.imdb.com/title/tt0168786/?ref_=fn_tt_tt_1,PG-13,2002,2.35
Michael Hoffman,109,355,13000,Drama,Gabriel Millman,The Emperor's Club ,classroom|fund raising|headmaster|reunion|roman,http://www.imdb.com/title/tt0283530/?ref_=fn_tt_tt_1,PG-13,2002,1.85
Tony Scott,121,975,11000,Action|Crime|Drama|Romance|Thriller,Brad Pitt,True Romance ,aspiring actor|cocaine|drugs|pimp|suitcase full of money,http://www.imdb.com/title/tt0108399/?ref_=fn_tt_tt_1,R,1993,2.35
Benedek Fliegauf,111,1000,6000,Drama|Romance|Sci-Fi,Eva Green,Womb ,clone|love|male nudity|medical ethics|virginity,http://www.imdb.com/title/tt1216520/?ref_=fn_tt_tt_1,Unrated,2010,2.35
James Foley,100,99,18000,Crime|Drama|Mystery,Kevin Spacey,Glengarry Glen Ross ,office|pressure|real estate|robbery|sales,http://www.imdb.com/title/tt0104348/?ref_=fn_tt_tt_1,R,1992,2.35
Michael Winterbottom,109,204,818,Crime|Drama|Thriller,Liam Aiken,The Killer Inside Me ,deputy|murder|revenge|sheriff|texas,http://www.imdb.com/title/tt0954947/?ref_=fn_tt_tt_1,R,2010,2.35
Paul Schrader,93,697,783,Fantasy|Horror|Thriller,Ed Begley Jr.,Cat People ,cat|cat people|leopard|love|slip the undergarment,http://www.imdb.com/title/tt0083722/?ref_=fn_tt_tt_1,R,1982,1.85
Stewart Hendler,101,472,1000,Horror|Mystery,Julian Morris,Sorority Row ,prank gone wrong|scantily clad female|shotgun|sorority house|stabbed in the neck,http://www.imdb.com/title/tt1232783/?ref_=fn_tt_tt_1,R,2009,2.35
John Cromwell,101,135,490,Adventure|Drama|Romance,David Niven,The Prisoner of Zenda ,coronation|fictitious country|king|princess|swashbuckler,http://www.imdb.com/title/tt0029442/?ref_=fn_tt_tt_1,Approved,1937,1.37
Craig Gillespie,106,552,33000,Comedy|Drama|Romance,Ryan Gosling,Lars and the Real Girl ,in love with an inanimate object|internet|introvert|psychologist|sex doll,http://www.imdb.com/title/tt0805564/?ref_=fn_tt_tt_1,PG-13,2007,1.85
Mark Herman,94,18,77,Drama|War,Richard Johnson,The Boy in the Striped Pajamas ,boy|fence|jew|nazis|poison gas,http://www.imdb.com/title/tt0914798/?ref_=fn_tt_tt_1,PG-13,2008,1.85
Lars von Trier,140,322,963,Crime|Drama|Musical,Catherine Deneuve,Dancer in the Dark ,ends with quotation|execution|factory|women's prison|year 1964,http://www.imdb.com/title/tt0168629/?ref_=fn_tt_tt_1,R,2000,2.35
Gillian Armstrong,132,241,1000,Drama|Romance,Tom Wilkinson,Oscar and Lucinda ,australia|church|glass|inheritance|wager,http://www.imdb.com/title/tt0119843/?ref_=fn_tt_tt_1,R,1997,2.35
Abel Ferrara,99,599,812,Crime|Drama,Isabella Rossellini,The Funeral ,1930s|madness|murder|new york city|violence,http://www.imdb.com/title/tt0116378/?ref_=fn_tt_tt_1,R,1996,1.85
Brian Koppelman,90,506,966,Comedy|Drama|Romance,Jenna Fischer,Solitary Man ,aging|hdtv|high definition television|love|marriage,http://www.imdb.com/title/tt1294213/?ref_=fn_tt_tt_1,R,2009,1.85
Ethan Maniquis,105,844,22000,Action|Crime|Thriller,Robert De Niro,Machete ,machete|mexican|mexico|priest|texas,http://www.imdb.com/title/tt0985694/?ref_=fn_tt_tt_1,R,2010,1.85
George Hickenlooper,108,168,18000,Biography|Comedy|Crime|Drama,Kevin Spacey,Casino Jack ,corruption|lobbyist|murder|washington d.c.|washington d.c. lobbyist,http://www.imdb.com/title/tt1194417/?ref_=fn_tt_tt_1,R,2010,2.35
Don Bluth,69,191,912,Adventure|Animation|Family,Judith Barsi,The Land Before Time ,brontosaurus|classical music|dinosaur|dinosaur feature|earthquake,http://www.imdb.com/title/tt0095489/?ref_=fn_tt_tt_1,G,1988,1.33
Je-kyu Kang,148,489,717,Action|Drama|War,Min-sik Choi,Tae Guk Gi: The Brotherhood of War ,1950s|archeologist|korea|korean war|soldier,http://www.imdb.com/title/tt0386064/?ref_=fn_tt_tt_1,R,2004,2.35
William Dear,118,655,968,Comedy|Drama|Family|Sport,Clifton Collins Jr.,The Perfect Game ,baseball movie|little league|little league baseball|mexico|three word title,http://www.imdb.com/title/tt0473102/?ref_=fn_tt_tt_1,PG,2009,2.35
William Friedkin,132,259,1000,Horror,Ellen Burstyn,The Exorcist ,demonic possession|exorcism|exorcist|loss of innocence|priest,http://www.imdb.com/title/tt0070047/?ref_=fn_tt_tt_1,R,1973,1.37
Steven Spielberg,130,366,813,Adventure|Drama|Thriller,Roy Scheider,Jaws ,beach|blockbuster|fishing|great white shark|shark,http://www.imdb.com/title/tt0073195/?ref_=fn_tt_tt_1,PG,1975,2.35
Paul Weitz,95,1000,3000,Comedy,Alyson Hannigan,American Pie ,1990s|first love|milf|prom|virginity,http://www.imdb.com/title/tt0163651/?ref_=fn_tt_tt_1,R,1999,1.85
Stéphane Aubier,80,186,6000,Animation|Comedy|Crime|Drama|Family,Mackenzie Foy,Ernest & Celestine ,bear|dentist|friendship|mouse|prejudice,http://www.imdb.com/title/tt1816518/?ref_=fn_tt_tt_1,PG,2012,1.85
Michael Ritchie,94,148,400,Action|Adventure|Comedy|Fantasy|Mystery,Victor Wong,The Golden Child ,boy|child|chosen one|demon|detective,http://www.imdb.com/title/tt0091129/?ref_=fn_tt_tt_1,PG-13,1986,1.85
Tim Story,122,807,997,Comedy|Romance,Chris Brown,Think Like a Man ,advice|black romance|hip hop|reading a book|sex scene,http://www.imdb.com/title/tt1621045/?ref_=fn_tt_tt_1,PG-13,2012,2.35
Tim Story,102,436,656,Comedy|Drama,Sean Patrick Thomas,Barbershop ,barber|barbershop|blaxploitation|loan shark|theft,http://www.imdb.com/title/tt0303714/?ref_=fn_tt_tt_1,PG-13,2002,1.85
Nicholas Meyer,116,664,12000,Action|Adventure|Sci-Fi,Leonard Nimoy,Star Trek II: The Wrath of Khan ,jamming communications|planet|space station|taunt|trap,http://www.imdb.com/title/tt0084726/?ref_=fn_tt_tt_1,PG,1982,2.35
Tom Shadyac,78,567,759,Comedy,Sean Young,Ace Ventura: Pet Detective ,detective|dolphin|mascot|nudity|stupidity,http://www.imdb.com/title/tt0109040/?ref_=fn_tt_tt_1,PG-13,1994,1.85
John Badham,114,793,2000,Sci-Fi|Thriller,Matthew Broderick,WarGames ,computer|game|high school|norad|teenager,http://www.imdb.com/title/tt0086567/?ref_=fn_tt_tt_1,PG,1983,1.85
Peter Weir,112,733,11000,Crime|Drama|Romance|Thriller,Harrison Ford,Witness ,amish|love|murder|police|train,http://www.imdb.com/title/tt0090329/?ref_=fn_tt_tt_1,R,1985,1.85
Mike McCoy,110,11,93,Action|Adventure|Drama|Thriller|War,Alex Veadov,Act of Valor ,mission|navy seal|terrorist|torture|valor,http://www.imdb.com/title/tt1591479/?ref_=fn_tt_tt_1,R,2012,2.35
Anne Fletcher,104,920,17000,Crime|Drama|Music|Romance,Channing Tatum,Step Up ,dance|dancer|school|showcase|student,http://www.imdb.com/title/tt0462590/?ref_=fn_tt_tt_1,PG-13,2006,2.35
Mike Judge,81,616,13000,Adventure|Animation|Comedy|Crime,Bruce Willis,Beavis and Butt-Head Do America ,beavis and butt head|fbi|score|television|television set,http://www.imdb.com/title/tt0115641/?ref_=fn_tt_tt_1,PG-13,1996,1.85
Quentin Tarantino,154,889,22000,Crime|Thriller,Robert De Niro,Jackie Brown ,arms dealer|atf|bail|money|multiple perspectives,http://www.imdb.com/title/tt0119396/?ref_=fn_tt_tt_1,R,1997,1.85
Jon Hurwitz,102,816,1000,Adventure|Comedy,Danneel Ackles,Harold & Kumar Escape from Guantanamo Bay ,bong|escape|ex girlfriend|guantanamo bay|texas,http://www.imdb.com/title/tt0481536/?ref_=fn_tt_tt_1,R,2008,1.85
Josh Trank,89,371,963,Drama|Sci-Fi|Thriller,Michael Kelly,Chronicle ,found footage|high school|subjective camera|teen angst|troubled teen,http://www.imdb.com/title/tt1706593/?ref_=fn_tt_tt_1,PG-13,2012,1.85
Barbra Streisand,132,122,405,Drama|Musical|Romance,Miriam Margolyes,Yentl ,love|study|talmud|wedding|yeshiva,http://www.imdb.com/title/tt0086619/?ref_=fn_tt_tt_1,PG,1983,1.85
Terry Gilliam,103,504,629,Adventure|Comedy|Fantasy|Sci-Fi,Shelley Duvall,Time Bandits ,cult director|dwarf|robin hood|satire|treasure,http://www.imdb.com/title/tt0081633/?ref_=fn_tt_tt_1,PG,1981,1.85
Tamra Davis,93,135,1000,Comedy|Drama,Britney Spears,Crossroads ,audition|friendship|graduation|high school graduation|love,http://www.imdb.com/title/tt0275022/?ref_=fn_tt_tt_1,PG-13,2002,1.85
Nima Nourizadeh,93,281,971,Comedy|Crime,Dax Flame,Project X ,birthday party|high school|high school senior|millennial generation|party,http://www.imdb.com/title/tt1636826/?ref_=fn_tt_tt_1,R,2012,1.85
Franklin J. Schaffner,172,78,654,Biography|Drama|War,George C. Scott,Patton ,allies|dead soldier|destiny|general|tank,http://www.imdb.com/title/tt0066206/?ref_=fn_tt_tt_1,GP,1970,2.2
Mark Romanek,96,933,49000,Drama|Thriller,Robin Williams,One Hour Photo ,insanity|photo lab|photo shop|photography|voyeur,http://www.imdb.com/title/tt0265459/?ref_=fn_tt_tt_1,R,2002,1.85
John Erick Dowdle,89,1000,137000,Horror|Sci-Fi|Thriller,Andrew Fiscella,Quarantine ,apartment building|found footage|television|trapped|virus,http://www.imdb.com/title/tt1082868/?ref_=fn_tt_tt_1,R,2008,1.85
David Moreau,92,451,17000,Horror|Mystery,Chloë Grace Moretz,The Eye ,cellular memory|eye|eye transplant|seeing dead people|violinist,http://www.imdb.com/title/tt0406759/?ref_=fn_tt_tt_1,PG-13,2008,2.35
Christopher Erskin,97,826,1000,Comedy,Vanessa Williams,Johnson Family Vacation ,cross country|cross country trip|highway travel|on the road|road movie,http://www.imdb.com/title/tt0359517/?ref_=fn_tt_tt_1,PG-13,2004,2.35
Jesse Dylan,93,722,995,Comedy|Fantasy,Hector Elizondo,How High ,college|drugs|harvard|pot|smoke,http://www.imdb.com/title/tt0278488/?ref_=fn_tt_tt_1,R,2001,1.85
Brian Henson,89,84,227,Comedy|Drama|Family|Fantasy|Musical,Steven Mackintosh,The Muppet Christmas Carol ,christmas|christmas eve|miser|muppet|scrooge,http://www.imdb.com/title/tt0104940/?ref_=fn_tt_tt_1,G,1992,1.85
Martin Campbell,144,834,6000,Action|Adventure|Thriller,Eva Green,Casino Royale ,casino|espionage|free running|james bond|terrorist,http://www.imdb.com/title/tt0381061/?ref_=fn_tt_tt_1,PG-13,2006,2.35
