director_name,actor_3_facebook_likes,actor_1_name,movie_title,plot_keywords
Todd Strauss-Schulson,587,Patton Oswalt,A Very Harold & Kumar 3D Christmas ,christmas|christmas tree|fire|new york city|stoner
John McNaughton,254,Bill Murray,Wild Things ,erotic thriller|forbidden sex|lesbian sex|sex with a student|taboo sex
Nelson McCormick,429,Sela Ward,The Stepfather ,head dunked in water|military school|plastic bag|playing a video game|suffocating
John Madden,22,Tom Wilkinson,The Debt ,east berlin|kiev ukraine|mossad|nazi|nazi war criminal
Stephen Frears,619,Drake Bell,High Fidelity ,employer employee relationship|record store|store|thirty something|vinyl
Eric Valette,270,Johnny Lewis,One Missed Call ,death|lifting someone into the air|telephone|telephone call|voice mail
John Schlesinger,497,Joe Mantegna,Eye for an Eye ,justice|rape|self defense|support group|vigilante
Roger Donaldson,287,Jason Statham,The Bank Job ,chase|heist|london england|mobster|safe deposit
Michel Gondry,1000,Kate Winslet,Eternal Sunshine of the Spotless Mind ,borderline personality disorder|loneliness|memory|playing against type|retrograde narrative
Andy Fickman,518,Jamie Lee Curtis,You Again ,dancing|dog|flight|hostility|travel
David Ayer,2000,Keanu Reeves,Street Kings ,captain|lapd|murder|undercover cop|violence
Edgar Wright,24,Michael Smiley,The World's End ,alcoholic|doppelganger|group therapy|self mutilation|twin actresses for twin sisters
Andrew Fleming,650,Kay Panabaker,Nancy Drew ,chase|clue|detective|movie star|murder
Michael Spierig,16,Jay Laga'aia,Daybreakers ,blood|rationing|vampire|vampire society|year 2019
Jim Field Smith,756,Mike Vogel,She's Out of My League ,airport|airport security|confidence|iphone|love
Thomas Bezucha,350,Leighton Meester,Monte Carlo ,cell phone|hotel|misunderstanding|monte carlo|young woman
William Brent Bell,806,Adam Goldberg,Stay Alive ,countess|game reality crossover|ghost|group of friends|tower
Simon Wincer,748,Alan Rickman,Quigley Down Under ,aborigine|australian|australian aborigine|australian outback|rancher
Anthony Bell,518,Kevin Sussman,Alpha and Omega ,arranged marriage|geese|idaho|national park|park
Renny Harlin,637,Laura Ramsey,The Covenant ,family secret|friendship between men|magic|supernatural power|teenager
