director_name,actor_3_facebook_likes,movie_title,actor_3_name,movie_imdb_link,num_user_for_reviews,language,movie_facebook_likes
Gary Shore,423,Dracula Untold ,Zach McGowan,http://www.imdb.com/title/tt0829150/?ref_=fn_tt_tt_1,423,English,37000
Edward Zwick,774,The Siege ,Mark Valley,http://www.imdb.com/title/tt0133952/?ref_=fn_tt_tt_1,281,English,0
Matthew Vaughn,271,Stardust ,Nathaniel Parker,http://www.imdb.com/title/tt0486655/?ref_=fn_tt_tt_1,492,English,15000
Jean-Jacques Annaud,400,Seven Years in Tibet ,Victor Wong,http://www.imdb.com/title/tt0120102/?ref_=fn_tt_tt_1,119,English,0
Ron Howard,244,The Dilemma ,Chelcie Ross,http://www.imdb.com/title/tt1578275/?ref_=fn_tt_tt_1,141,English,0
Joel Schumacher,384,Bad Company ,Garcelle Beauvais,http://www.imdb.com/title/tt0280486/?ref_=fn_tt_tt_1,189,English,792
Andrzej Bartkowiak,452,Doom ,Dexter Fletcher,http://www.imdb.com/title/tt0419706/?ref_=fn_tt_tt_1,814,English,0
Betty Thomas,150,I Spy ,Tate Taylor,http://www.imdb.com/title/tt0297181/?ref_=fn_tt_tt_1,141,English,531
Måns Mårlind,324,Underworld: Awakening ,Sandrine Holt,http://www.imdb.com/title/tt1496025/?ref_=fn_tt_tt_1,271,English,24000
Adam Shankman,66,Rock of Ages ,Celina Beach,http://www.imdb.com/title/tt1336608/?ref_=fn_tt_tt_1,356,English,33000
Gregory Hoblit,407,Hart's War ,Rory Cochrane,http://www.imdb.com/title/tt0251114/?ref_=fn_tt_tt_1,196,English,997
Gary McKendry,748,Killer Elite ,Ben Mendelsohn,http://www.imdb.com/title/tt1448755/?ref_=fn_tt_tt_1,157,English,17000
John McTiernan,390,Rollerball ,Andrew Bryniarski,http://www.imdb.com/title/tt0246894/?ref_=fn_tt_tt_1,289,English,584
Wych Kaosayananda,298,Ballistic: Ecks vs. Sever ,Gregg Henry,http://www.imdb.com/title/tt0308208/?ref_=fn_tt_tt_1,277,English,391
Mikael Salomon,695,Hard Rain ,Randy Quaid,http://www.imdb.com/title/tt0120696/?ref_=fn_tt_tt_1,126,English,815
Bobby Farrelly,443,Osmosis Jones ,David Hyde Pierce,http://www.imdb.com/title/tt0181739/?ref_=fn_tt_tt_1,123,English,2000
Will Finn,854,Legends of Oz: Dorothy's Return ,Jim Belushi,http://www.imdb.com/title/tt0884726/?ref_=fn_tt_tt_1,54,English,5000
Michael Mann,301,Blackhat ,Brandon Molale,http://www.imdb.com/title/tt2717822/?ref_=fn_tt_tt_1,207,English,11000
Kerry Conran,582,Sky Captain and the World of Tomorrow ,Bai Ling,http://www.imdb.com/title/tt0346156/?ref_=fn_tt_tt_1,618,English,0
Michael Caton-Jones,246,Basic Instinct 2 ,Neil Maskell,http://www.imdb.com/title/tt0430912/?ref_=fn_tt_tt_1,313,English,764
Mikael Håfström,585,Escape Plan ,Matt Gerald,http://www.imdb.com/title/tt1211956/?ref_=fn_tt_tt_1,279,English,34000
Renny Harlin,182,The Legend of Hercules ,Gaia Weiss,http://www.imdb.com/title/tt1043726/?ref_=fn_tt_tt_1,202,English,12000
Phil Alden Robinson,497,The Sum of All Fears ,Philip Baker Hall,http://www.imdb.com/title/tt0164184/?ref_=fn_tt_tt_1,568,English,0
David Slade,10000,The Twilight Saga: Eclipse ,Anna Kendrick,http://www.imdb.com/title/tt1325004/?ref_=fn_tt_tt_1,498,English,29000
Frank Oz,580,The Score ,Gary Farmer,http://www.imdb.com/title/tt0227445/?ref_=fn_tt_tt_1,445,English,0
Pierre Coffin,975,Despicable Me ,Jack McBrayer,http://www.imdb.com/title/tt1323594/?ref_=fn_tt_tt_1,296,English,31000
Joseph Ruben,97,Money Train ,Aida Turturro,http://www.imdb.com/title/tt0113845/?ref_=fn_tt_tt_1,62,English,617
Seth MacFarlane,3000,Ted 2 ,Seth MacFarlane,http://www.imdb.com/title/tt2637276/?ref_=fn_tt_tt_1,229,English,30000
Alejandro Amenábar,334,Agora ,Rupert Evans,http://www.imdb.com/title/tt1186830/?ref_=fn_tt_tt_1,172,English,29000
Kinka Usher,776,Mystery Men ,Eddie Izzard,http://www.imdb.com/title/tt0132347/?ref_=fn_tt_tt_1,435,English,0
Bobby Farrelly,681,Hall Pass ,Stephen Merchant,http://www.imdb.com/title/tt0480687/?ref_=fn_tt_tt_1,143,English,10000
Michael Mann,680,The Insider ,Debi Mazar,http://www.imdb.com/title/tt0140352/?ref_=fn_tt_tt_1,521,English,0
Craig Gillespie,531,The Finest Hours ,Graham McTavish,http://www.imdb.com/title/tt2025690/?ref_=fn_tt_tt_1,113,English,12000
Ridley Scott,135,Body of Lies ,Michael Gaston,http://www.imdb.com/title/tt0758774/?ref_=fn_tt_tt_1,263,English,0
Jay Roach,982,Dinner for Schmucks ,Bruce Greenwood,http://www.imdb.com/title/tt0427152/?ref_=fn_tt_tt_1,264,English,0
Timur Bekmambetov,911,Abraham Lincoln: Vampire Hunter ,Benjamin Walker,http://www.imdb.com/title/tt1611224/?ref_=fn_tt_tt_1,348,English,98000
Jon Amiel,232,Entrapment ,Maury Chaykin,http://www.imdb.com/title/tt0137494/?ref_=fn_tt_tt_1,274,English,0
,359,Last Man Standing             ,Nancy Travis,http://www.imdb.com/title/tt1828327/?ref_=fn_tt_tt_1,87,English,0
Rob Bowman,745,The X Files ,Jeffrey DeMunn,http://www.imdb.com/title/tt0120902/?ref_=fn_tt_tt_1,297,English,0
Doug Lefler,112,The Last Legion ,Owen Teale,http://www.imdb.com/title/tt0462396/?ref_=fn_tt_tt_1,174,English,0
Steven Spielberg,13000,Saving Private Ryan ,Matt Damon,http://www.imdb.com/title/tt0120815/?ref_=fn_tt_tt_1,2277,English,22000
Scott Waugh,464,Need for Speed ,Ramon Rodriguez,http://www.imdb.com/title/tt2369135/?ref_=fn_tt_tt_1,346,English,32000
Nancy Meyers,912,What Women Want ,Loretta Devine,http://www.imdb.com/title/tt0207201/?ref_=fn_tt_tt_1,395,English,0
Chris Wedge,835,Ice Age ,Denis Leary,http://www.imdb.com/title/tt0268380/?ref_=fn_tt_tt_1,467,English,3000
Lawrence Kasdan,354,Dreamcatcher ,Reece Thompson,http://www.imdb.com/title/tt0285531/?ref_=fn_tt_tt_1,662,English,4000
Steven Spielberg,655,Lincoln ,Bruce McGill,http://www.imdb.com/title/tt0443272/?ref_=fn_tt_tt_1,720,English,71000
Lana Wachowski,99,The Matrix ,Gloria Foster,http://www.imdb.com/title/tt0133093/?ref_=fn_tt_tt_1,3646,English,25000
Ron Howard,552,Apollo 13 ,Kathleen Quinlan,http://www.imdb.com/title/tt0112384/?ref_=fn_tt_tt_1,296,English,5000
Paul Verhoeven,217,Total Recall ,Marshall Bell,http://www.imdb.com/title/tt0100802/?ref_=fn_tt_tt_1,391,English,0
Michael Lembeck,775,The Santa Clause 2 ,Eric Lloyd,http://www.imdb.com/title/tt0304669/?ref_=fn_tt_tt_1,116,English,1000
Tom Hooper,11000,Les Misérables ,Anne Hathaway,http://www.imdb.com/title/tt1707386/?ref_=fn_tt_tt_1,845,English,144000
Nora Ephron,744,You've Got Mail ,Dave Chappelle,http://www.imdb.com/title/tt0128853/?ref_=fn_tt_tt_1,556,English,0
Adam McKay,105,Step Brothers ,Andrea Savage,http://www.imdb.com/title/tt0838283/?ref_=fn_tt_tt_1,277,English,0
Martin Campbell,94,The Mask of Zorro ,Stuart Wilson,http://www.imdb.com/title/tt0120746/?ref_=fn_tt_tt_1,318,English,0
Todd Phillips,490,Due Date ,Matt Walsh,http://www.imdb.com/title/tt1231583/?ref_=fn_tt_tt_1,285,English,25000
Angelina Jolie Pitt,465,Unbroken ,Alex Russell,http://www.imdb.com/title/tt1809398/?ref_=fn_tt_tt_1,351,English,35000
Clint Eastwood,416,Space Cowboys ,William Devane,http://www.imdb.com/title/tt0186566/?ref_=fn_tt_tt_1,326,English,0
Renny Harlin,369,Cliffhanger ,Janine Turner,http://www.imdb.com/title/tt0106582/?ref_=fn_tt_tt_1,172,English,0
John Woo,461,Broken Arrow ,Bob Gunton,http://www.imdb.com/title/tt0115759/?ref_=fn_tt_tt_1,189,English,0
Jon Turteltaub,577,The Kid ,Daniel von Bargen,http://www.imdb.com/title/tt0219854/?ref_=fn_tt_tt_1,139,English,0
Oliver Stone,625,World Trade Center ,Armando Riesco,http://www.imdb.com/title/tt0469641/?ref_=fn_tt_tt_1,564,English,0
Mike Newell,403,Mona Lisa Smile ,Marian Seldes,http://www.imdb.com/title/tt0304415/?ref_=fn_tt_tt_1,264,English,0
Larry Charles,174,The Dictator ,Horatio Sanz,http://www.imdb.com/title/tt1645170/?ref_=fn_tt_tt_1,310,English,59000
Stanley Kubrick,521,Eyes Wide Shut ,Sydney Pollack,http://www.imdb.com/title/tt0120663/?ref_=fn_tt_tt_1,1500,English,10000
Will Gluck,929,Annie ,David Zayas,http://www.imdb.com/title/tt1823664/?ref_=fn_tt_tt_1,213,English,16000
Glenn Ficarra,523,Focus ,Gerald McRaney,http://www.imdb.com/title/tt2381941/?ref_=fn_tt_tt_1,221,English,23000
McG,520,This Means War ,Warren Christie,http://www.imdb.com/title/tt1596350/?ref_=fn_tt_tt_1,238,English,18000
David S. Goyer,957,Blade: Trinity ,John Michael Higgins,http://www.imdb.com/title/tt0359013/?ref_=fn_tt_tt_1,514,English,0
John Milius,919,Red Dawn ,William Smith,http://www.imdb.com/title/tt0087985/?ref_=fn_tt_tt_1,383,English,0
Mike Nichols,210,Primary Colors ,Paul Guilfoyle,http://www.imdb.com/title/tt0119942/?ref_=fn_tt_tt_1,157,English,688
Paul W.S. Anderson,974,Resident Evil: Retribution ,Bingbing Li,http://www.imdb.com/title/tt1855325/?ref_=fn_tt_tt_1,423,English,32000
Paul W.S. Anderson,805,Death Race ,Joan Allen,http://www.imdb.com/title/tt0452608/?ref_=fn_tt_tt_1,211,English,0
Renny Harlin,263,The Long Kiss Goodnight ,Yvonne Zima,http://www.imdb.com/title/tt0116908/?ref_=fn_tt_tt_1,285,English,4000
Taylor Hackford,184,Proof of Life ,Michael Kitchen,http://www.imdb.com/title/tt0228750/?ref_=fn_tt_tt_1,265,English,892
Jon Favreau,539,Zathura: A Space Adventure ,Jonah Bobo,http://www.imdb.com/title/tt0406375/?ref_=fn_tt_tt_1,202,English,0
David Fincher,637,Fight Club ,Eugenie Bondurant,http://www.imdb.com/title/tt0137523/?ref_=fn_tt_tt_1,2968,English,48000
McG,383,We Are Marshall ,Brian Geraghty,http://www.imdb.com/title/tt0758794/?ref_=fn_tt_tt_1,175,English,0
,575,The Missing             ,Frances O'Connor,http://www.imdb.com/title/tt3877200/?ref_=fn_tt_tt_1,28,English,0
Michael Lehmann,554,Hudson Hawk ,Richard E. Grant,http://www.imdb.com/title/tt0102070/?ref_=fn_tt_tt_1,249,English,0
Nora Ephron,506,Lucky Numbers ,Richard Schiff,http://www.imdb.com/title/tt0219952/?ref_=fn_tt_tt_1,69,English,177
Stuart Beattie,568,I, Frankenstein ,Miranda Otto,http://www.imdb.com/title/tt1418377/?ref_=fn_tt_tt_1,194,English,15000
Roman Polanski,25,Oliver Twist ,Tony Noble,http://www.imdb.com/title/tt0380599/?ref_=fn_tt_tt_1,138,English,0
Rob Bowman,1000,Elektra ,Goran Visnjic,http://www.imdb.com/title/tt0357277/?ref_=fn_tt_tt_1,380,English,0
Frank Miller,6000,Sin City: A Dame to Kill For ,Eva Green,http://www.imdb.com/title/tt0458481/?ref_=fn_tt_tt_1,239,English,32000
Sydney Pollack,970,Random Hearts ,Bill Cobbs,http://www.imdb.com/title/tt0156934/?ref_=fn_tt_tt_1,290,English,295
Baltasar Kormákur,221,Everest ,Tom Goodman-Hill,http://www.imdb.com/title/tt2719848/?ref_=fn_tt_tt_1,265,English,40000
Tom Tykwer,16,Perfume: The Story of a Murderer ,Simon Chandler,http://www.imdb.com/title/tt0396171/?ref_=fn_tt_tt_1,482,English,26000
Jay Roach,481,Austin Powers in Goldmember ,Robert Wagner,http://www.imdb.com/title/tt0295178/?ref_=fn_tt_tt_1,795,English,0
David Bowers,668,Astro Boy ,Dee Bradley Baker,http://www.imdb.com/title/tt0375568/?ref_=fn_tt_tt_1,77,English,0
Steven Spielberg,191,Jurassic Park ,Bob Peck,http://www.imdb.com/title/tt0107290/?ref_=fn_tt_tt_1,895,English,19000
Lawrence Kasdan,812,Wyatt Earp ,Isabella Rossellini,http://www.imdb.com/title/tt0111756/?ref_=fn_tt_tt_1,145,English,0
Phillip Noyce,672,Clear and Present Danger ,Raymond Cruz,http://www.imdb.com/title/tt0109444/?ref_=fn_tt_tt_1,133,English,0
Daniel Lee,7,Dragon Blade ,Sung-jun Yoo,http://www.imdb.com/title/tt3672840/?ref_=fn_tt_tt_1,86,Mandarin,0
Keenen Ivory Wayans,723,Littleman ,John Witherspoon,http://www.imdb.com/title/tt0430304/?ref_=fn_tt_tt_1,187,English,0
Jonathan Mostow,563,U-571 ,David Keith,http://www.imdb.com/title/tt0141926/?ref_=fn_tt_tt_1,602,English,0
Rob Reiner,452,The American President ,Wendie Malick,http://www.imdb.com/title/tt0112346/?ref_=fn_tt_tt_1,214,English,0
Marco Schnabel,645,The Love Guru ,Verne Troyer,http://www.imdb.com/title/tt0811138/?ref_=fn_tt_tt_1,250,English,0
Demian Lichtenstein,867,3000 Miles to Graceland ,Ice-T,http://www.imdb.com/title/tt0233142/?ref_=fn_tt_tt_1,399,English,0
Quentin Tarantino,1000,The Hateful Eight ,Zoë Bell,http://www.imdb.com/title/tt3460252/?ref_=fn_tt_tt_1,1018,English,114000
Josh Gordon,970,Blades of Glory ,Jon Heder,http://www.imdb.com/title/tt0445934/?ref_=fn_tt_tt_1,246,English,0
Tim Hill,439,Hop ,Chelsea Handler,http://www.imdb.com/title/tt1411704/?ref_=fn_tt_tt_1,82,English,0
Zack Snyder,447,300 ,Vincent Regan,http://www.imdb.com/title/tt0416449/?ref_=fn_tt_tt_1,2073,English,13000
Jay Roach,708,Meet the Fockers ,Teri Polo,http://www.imdb.com/title/tt0290002/?ref_=fn_tt_tt_1,428,English,0
David Frankel,664,Marley & Me ,Haley Bennett,http://www.imdb.com/title/tt0822832/?ref_=fn_tt_tt_1,320,English,11000
Frank Darabont,693,The Green Mile ,Michael Jeter,http://www.imdb.com/title/tt0120689/?ref_=fn_tt_tt_1,1377,English,30000
Walt Becker,311,Wild Hogs ,Drew Sidora,http://www.imdb.com/title/tt0486946/?ref_=fn_tt_tt_1,255,English,0
Mark Dindal,397,Chicken Little ,Amy Sedaris,http://www.imdb.com/title/tt0371606/?ref_=fn_tt_tt_1,251,English,912
David Fincher,625,Gone Girl ,Emily Ratajkowski,http://www.imdb.com/title/tt2267998/?ref_=fn_tt_tt_1,1127,English,146000
Doug Liman,73,The Bourne Identity ,Nicky Naudé,http://www.imdb.com/title/tt0258463/?ref_=fn_tt_tt_1,849,English,0
Martin Campbell,345,GoldenEye ,Tchéky Karyo,http://www.imdb.com/title/tt0113189/?ref_=fn_tt_tt_1,416,English,0
Simon West,475,The General's Daughter ,Clarence Williams III,http://www.imdb.com/title/tt0144214/?ref_=fn_tt_tt_1,274,English,885
Peter Weir,576,The Truman Show ,Peter Krause,http://www.imdb.com/title/tt0120382/?ref_=fn_tt_tt_1,877,English,18000
Brenda Chapman,145,The Prince of Egypt ,Eden Riegel,http://www.imdb.com/title/tt0120794/?ref_=fn_tt_tt_1,353,English,0
Steve Carr,522,Daddy Day Care ,Jeff Garlin,http://www.imdb.com/title/tt0317303/?ref_=fn_tt_tt_1,116,English,886
Baltasar Kormákur,459,2 Guns ,Fred Ward,http://www.imdb.com/title/tt1272878/?ref_=fn_tt_tt_1,172,English,22000
Lawrence Guterman,405,Cats & Dogs ,Miriam Margolyes,http://www.imdb.com/title/tt0239395/?ref_=fn_tt_tt_1,235,English,0
F. Gary Gray,82,The Italian Job ,Jimmy Shubert,http://www.imdb.com/title/tt0317740/?ref_=fn_tt_tt_1,497,English,0
Marc Lawrence,268,Two Weeks Notice ,Dana Ivey,http://www.imdb.com/title/tt0313737/?ref_=fn_tt_tt_1,269,English,0
Eric Darnell,754,Antz ,Anne Bancroft,http://www.imdb.com/title/tt0120587/?ref_=fn_tt_tt_1,289,English,0
Peter Billingsley,721,Couples Retreat ,Tasha Smith,http://www.imdb.com/title/tt1078940/?ref_=fn_tt_tt_1,144,English,0
Tony Scott,695,Days of Thunder ,Randy Quaid,http://www.imdb.com/title/tt0099371/?ref_=fn_tt_tt_1,97,English,0
Adam Shankman,2000,Cheaper by the Dozen 2 ,Alyson Stoner,http://www.imdb.com/title/tt0452598/?ref_=fn_tt_tt_1,128,English,781
Wes Ball,240,The Scorch Trials ,Rosa Salazar,http://www.imdb.com/title/tt4046784/?ref_=fn_tt_tt_1,360,English,24000
Ryan Murphy,745,Eat Pray Love ,Billy Crudup,http://www.imdb.com/title/tt0879870/?ref_=fn_tt_tt_1,302,English,26000
Brett Ratner,627,The Family Man ,Amber Valletta,http://www.imdb.com/title/tt0218967/?ref_=fn_tt_tt_1,322,English,0
Robert Schwentke,357,RED ,Jaqueline Fleming,http://www.imdb.com/title/tt1245526/?ref_=fn_tt_tt_1,328,English,32000
Oliver Stone,1000,Any Given Sunday ,LL Cool J,http://www.imdb.com/title/tt0146838/?ref_=fn_tt_tt_1,452,English,0
Robert Redford,380,The Horse Whisperer ,Jessalyn Gilsig,http://www.imdb.com/title/tt0119314/?ref_=fn_tt_tt_1,263,English,0
Michael Mann,680,Collateral ,Debi Mazar,http://www.imdb.com/title/tt0369339/?ref_=fn_tt_tt_1,836,English,0
Chuck Russell,416,The Scorpion King ,Bernard Hill,http://www.imdb.com/title/tt0277296/?ref_=fn_tt_tt_1,432,English,0
Jay Russell,579,Ladder 49 ,Jacinda Barrett,http://www.imdb.com/title/tt0349710/?ref_=fn_tt_tt_1,323,English,0
Christopher McQuarrie,1000,Jack Reacher ,David Oyelowo,http://www.imdb.com/title/tt0790724/?ref_=fn_tt_tt_1,448,English,38000
Renny Harlin,811,Deep Blue Sea ,Saffron Burrows,http://www.imdb.com/title/tt0149261/?ref_=fn_tt_tt_1,643,English,0
Kenny Ortega,6,This Is It ,Judith Hill,http://www.imdb.com/title/tt1477715/?ref_=fn_tt_tt_1,223,English,0
Steven Soderbergh,175,Contagion ,Griffin Kane,http://www.imdb.com/title/tt1598778/?ref_=fn_tt_tt_1,411,English,42000
David McNally,226,Kangaroo Jack ,Bill Hunter,http://www.imdb.com/title/tt0257568/?ref_=fn_tt_tt_1,181,English,858
Henry Selick,57,Coraline ,John Hodgman,http://www.imdb.com/title/tt0327597/?ref_=fn_tt_tt_1,279,English,10000
M. Night Shyamalan,751,The Happening ,Kristen Connolly,http://www.imdb.com/title/tt0949731/?ref_=fn_tt_tt_1,1264,English,6000
Tony Scott,451,Man on Fire ,Giancarlo Giannini,http://www.imdb.com/title/tt0328107/?ref_=fn_tt_tt_1,690,English,14000
Brian Robbins,722,The Shaggy Dog ,Kristin Davis,http://www.imdb.com/title/tt0393735/?ref_=fn_tt_tt_1,83,English,747
Todd Phillips,767,Starsky & Hutch ,Fred Williamson,http://www.imdb.com/title/tt0335438/?ref_=fn_tt_tt_1,308,English,0
Brian Levant,626,Jingle All the Way ,Jake Lloyd,http://www.imdb.com/title/tt0116705/?ref_=fn_tt_tt_1,162,English,0
Guillermo del Toro,160,Hellboy ,Brian Steele,http://www.imdb.com/title/tt0167190/?ref_=fn_tt_tt_1,597,English,0
Steven Zaillian,521,A Civil Action ,Sydney Pollack,http://www.imdb.com/title/tt0120633/?ref_=fn_tt_tt_1,181,English,1000
Chris Butler,586,ParaNorman ,Elaine Stritch,http://www.imdb.com/title/tt1623288/?ref_=fn_tt_tt_1,176,English,12000
Michael Caton-Jones,460,The Jackal ,Sophie Okonedo,http://www.imdb.com/title/tt0119395/?ref_=fn_tt_tt_1,227,English,0
John Woo,716,Paycheck ,Callum Rennie,http://www.imdb.com/title/tt0338337/?ref_=fn_tt_tt_1,347,English,0
Jon Avnet,672,Up Close & Personal ,Raymond Cruz,http://www.imdb.com/title/tt0118055/?ref_=fn_tt_tt_1,54,English,829
Sam Fell,903,The Tale of Despereaux ,Frank Langella,http://www.imdb.com/title/tt0420238/?ref_=fn_tt_tt_1,106,English,0
,402,Rules of Engagement             ,Adhir Kalyan,http://www.imdb.com/title/tt0790772/?ref_=fn_tt_tt_1,41,English,0
Kevin Donovan,107,The Tuxedo ,Ritchie Coster,http://www.imdb.com/title/tt0290095/?ref_=fn_tt_tt_1,207,English,797
Geoff Murphy,488,Under Siege 2: Dark Territory ,Patrick Kilpatrick,http://www.imdb.com/title/tt0114781/?ref_=fn_tt_tt_1,126,English,1000
Kenneth Branagh,288,Jack Ryan: Shadow Recruit ,Gemma Chan,http://www.imdb.com/title/tt1205537/?ref_=fn_tt_tt_1,289,English,17000
David O. Russell,14000,Joy ,Bradley Cooper,http://www.imdb.com/title/tt2446980/?ref_=fn_tt_tt_1,256,English,24000
Babak Najafi,864,London Has Fallen ,Julian Kostov,http://www.imdb.com/title/tt3300542/?ref_=fn_tt_tt_1,323,English,28000
Jean-Pierre Jeunet,672,Alien: Resurrection ,Raymond Cruz,http://www.imdb.com/title/tt0118583/?ref_=fn_tt_tt_1,656,English,0
Antoine Fuqua,295,Shooter ,Louis Ferreira,http://www.imdb.com/title/tt0822854/?ref_=fn_tt_tt_1,338,English,0
Graham Annable,642,The Boxtrolls ,Tracy Morgan,http://www.imdb.com/title/tt0787474/?ref_=fn_tt_tt_1,122,English,11000
Griffin Dunne,944,Practical Magic ,Stockard Channing,http://www.imdb.com/title/tt0120791/?ref_=fn_tt_tt_1,257,English,0
Phil Lord,2000,The Lego Movie ,Alison Brie,http://www.imdb.com/title/tt1490017/?ref_=fn_tt_tt_1,471,English,64000
John Pasquin,642,Miss Congeniality 2: Armed and Fabulous ,Treat Williams,http://www.imdb.com/title/tt0385307/?ref_=fn_tt_tt_1,156,English,621
Rob Bowman,11000,Reign of Fire ,Matthew McConaughey,http://www.imdb.com/title/tt0253556/?ref_=fn_tt_tt_1,569,English,0
Ruben Fleischer,300,Gangster Squad ,Wade Williams,http://www.imdb.com/title/tt1321870/?ref_=fn_tt_tt_1,264,English,40000
Harold Ramis,485,Year One ,Xander Berkeley,http://www.imdb.com/title/tt1045778/?ref_=fn_tt_tt_1,203,English,0
Clint Eastwood,204,Invictus ,Leleti Khumalo,http://www.imdb.com/title/tt1057500/?ref_=fn_tt_tt_1,259,English,23000
Kevin Macdonald,379,State of Play ,Michael Weston,http://www.imdb.com/title/tt0473705/?ref_=fn_tt_tt_1,235,English,0
Tony Gilroy,896,Duplicity ,Denis O'Hare,http://www.imdb.com/title/tt1135487/?ref_=fn_tt_tt_1,184,English,0
Donald Petrie,230,My Favorite Martian ,Michael Lerner,http://www.imdb.com/title/tt0120764/?ref_=fn_tt_tt_1,73,English,448
Clark Johnson,206,The Sentinel ,Martin Donovan,http://www.imdb.com/title/tt0443632/?ref_=fn_tt_tt_1,213,English,690
Jorge Blanco,480,Planet 51 ,James Corden,http://www.imdb.com/title/tt0762125/?ref_=fn_tt_tt_1,72,English,0
Stuart Baird,906,Star Trek: Nemesis ,Jonathan Frakes,http://www.imdb.com/title/tt0253754/?ref_=fn_tt_tt_1,842,English,0
Joel Coen,210,Intolerable Cruelty ,Julia Duffy,http://www.imdb.com/title/tt0138524/?ref_=fn_tt_tt_1,322,English,0
Robert Lorenz,461,Trouble with the Curve ,Bob Gunton,http://www.imdb.com/title/tt2083383/?ref_=fn_tt_tt_1,150,English,11000
Martin Campbell,896,Edge of Darkness ,Denis O'Hare,http://www.imdb.com/title/tt1226273/?ref_=fn_tt_tt_1,256,English,0
Peter Hyams,308,The Relic ,Chi Muoi Lo,http://www.imdb.com/title/tt0120004/?ref_=fn_tt_tt_1,165,English,956
Harold Ramis,236,Analyze That ,Joe Viterelli,http://www.imdb.com/title/tt0289848/?ref_=fn_tt_tt_1,138,English,846
Jon Avnet,1000,Righteous Kill ,50 Cent,http://www.imdb.com/title/tt1034331/?ref_=fn_tt_tt_1,248,English,0
Harold Becker,652,Mercury Rising ,Carrie Preston,http://www.imdb.com/title/tt0120749/?ref_=fn_tt_tt_1,127,English,0
Joe Wright,569,The Soloist ,Rachael Harris,http://www.imdb.com/title/tt0821642/?ref_=fn_tt_tt_1,143,English,0
Robert Redford,9000,The Legend of Bagger Vance ,Charlize Theron,http://www.imdb.com/title/tt0146984/?ref_=fn_tt_tt_1,267,English,0
Cameron Crowe,947,Almost Famous ,Michael Angarano,http://www.imdb.com/title/tt0181875/?ref_=fn_tt_tt_1,822,English,15000
Tim Hill,265,Garfield 2 ,Ben Falcone,http://www.imdb.com/title/tt0455499/?ref_=fn_tt_tt_1,74,English,470
Lee Tamahori,218,xXx: State of the Union ,Xzibit,http://www.imdb.com/title/tt0329774/?ref_=fn_tt_tt_1,213,English,0
Scott Stewart,77,Priest ,Jacob Hopkins,http://www.imdb.com/title/tt0822847/?ref_=fn_tt_tt_1,233,English,20000
Patrick Gilmore,82,Sinbad: Legend of the Seven Seas ,Timothy West,http://www.imdb.com/title/tt0165982/?ref_=fn_tt_tt_1,91,English,880
Paul W.S. Anderson,552,Event Horizon ,Kathleen Quinlan,http://www.imdb.com/title/tt0119081/?ref_=fn_tt_tt_1,857,English,10000
Joss Whedon,19000,The Avengers ,Scarlett Johansson,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,1722,English,123000
Tom Shadyac,256,Dragonfly ,Matt Craven,http://www.imdb.com/title/tt0259288/?ref_=fn_tt_tt_1,243,English,0
Brian De Palma,854,The Black Dahlia ,Mike Starr,http://www.imdb.com/title/tt0387877/?ref_=fn_tt_tt_1,644,English,0
Tony Bill,579,Flyboys ,Philip Winchester,http://www.imdb.com/title/tt0454824/?ref_=fn_tt_tt_1,247,English,2000
Rod Lurie,507,The Last Castle ,Michael Irby,http://www.imdb.com/title/tt0272020/?ref_=fn_tt_tt_1,281,English,0
Walter Hill,68,Supernova ,Vanessa Marshall,http://www.imdb.com/title/tt0134983/?ref_=fn_tt_tt_1,282,English,589
Akiva Goldsman,778,Winter's Tale ,Kevin Corrigan,http://www.imdb.com/title/tt1837709/?ref_=fn_tt_tt_1,126,English,17000
Harald Zwart,1000,The Mortal Instruments: City of Bones ,CCH Pounder,http://www.imdb.com/title/tt1538403/?ref_=fn_tt_tt_1,457,English,44000
Brian Robbins,196,Meet Dave ,Shawn Christian,http://www.imdb.com/title/tt0765476/?ref_=fn_tt_tt_1,109,English,791
Walter Salles,87,Dark Water ,Ariel Gade,http://www.imdb.com/title/tt0382628/?ref_=fn_tt_tt_1,411,English,0
Ron Howard,1000,Edtv ,Clint Howard,http://www.imdb.com/title/tt0131369/?ref_=fn_tt_tt_1,195,English,641
Iain Softley,466,Inkheart ,Jamie Foreman,http://www.imdb.com/title/tt0494238/?ref_=fn_tt_tt_1,110,English,0
Frank Miller,437,The Spirit ,Louis Lombardi,http://www.imdb.com/title/tt0831887/?ref_=fn_tt_tt_1,290,English,2000
David Koepp,280,Mortdecai ,Ulrich Thomsen,http://www.imdb.com/title/tt3045616/?ref_=fn_tt_tt_1,188,English,12000
Uwe Boll,102,In the Name of the King: A Dungeon Siege Tale ,Tania Saulnier,http://www.imdb.com/title/tt0460780/?ref_=fn_tt_tt_1,368,English,0
Martin Campbell,617,Beyond Borders ,Noah Emmerich,http://www.imdb.com/title/tt0294357/?ref_=fn_tt_tt_1,156,English,0
Pou-Soi Cheang,22,Xi you ji zhi: Sun Wukong san da Baigu Jing ,Eddie Peng,http://www.imdb.com/title/tt4591310/?ref_=fn_tt_tt_1,9,English,426
