director_name,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,genres,movie_title,num_user_for_reviews,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score
James Wong,70,318,440,Horror,Final Destination 3 ,571,English,Germany,R,25000000,346,5.8
Scott Hicks,96,204,713,Drama|Romance,The Lucky One ,106,English,USA,PG-13,25000000,220,6.5
Gabor Csupo,47,3000,14000,Adventure|Drama|Family|Fantasy,Bridge to Terabithia ,522,English,USA,PG,17000000,11000,7.2
Marc Forster,395,2000,40000,Biography|Drama|Family,Finding Neverland ,632,English,USA,PG,25000000,14000,7.8
Tyler Perry,0,400,975,Comedy|Drama,A Madea Christmas ,27,English,USA,PG-13,25000000,521,4.7
Joe Carnahan,248,726,14000,Action|Adventure|Drama|Thriller,The Grey ,755,English,USA,R,25000000,798,6.8
John Polson,21,317,22000,Drama|Horror|Mystery|Thriller,Hide and Seek ,450,English,USA,R,30000000,812,5.9
Adam McKay,285,7000,640000,Comedy,Anchorman: The Legend of Ron Burgundy ,577,English,USA,PG-13,26000000,8000,7.2
Martin Scorsese,17000,635,22000,Biography|Crime|Drama,Goodfellas ,989,English,USA,R,25000000,854,8.7
Harald Zwart,91,434,1000,Action|Adventure|Comedy|Crime|Family|Romance|Thriller,Agent Cody Banks ,104,English,USA,PG,26000000,934,5.0
Kirk Jones,52,579,14000,Comedy|Family|Fantasy,Nanny McPhee ,181,English,USA,PG,25000000,2000,6.6
Brian De Palma,0,638,14000,Crime|Drama,Scarface ,851,English,USA,R,25000000,670,8.3
Steve Oedekerk,176,468,742,Action|Adventure|Comedy|Crime,Nothing to Lose ,92,English,USA,R,25000000,658,6.7
Bernardo Bertolucci,973,400,1000,Biography|Drama|History,The Last Emperor ,133,English,China,PG-13,23000000,643,7.8
Baltasar Kormákur,175,733,24000,Action|Crime|Drama|Thriller,Contraband ,161,English,USA,R,25000000,736,6.5
Brett Ratner,420,585,695,Action|Comedy|Crime|Thriller,Money Talks ,41,English,USA,R,25000000,635,6.1
Paul Thomas Anderson,0,104,272,Drama,There Will Be Blood ,1107,English,USA,R,25000000,111,8.1
Cathy Malkasian,0,503,1000,Adventure|Animation|Comedy|Family|Fantasy,The Wild Thornberrys Movie ,33,English,USA,PG,25000000,535,5.2
John Eng,0,362,971,Adventure|Animation|Comedy|Family|Fantasy|Musical,Rugrats Go Wild ,35,English,USA,PG,25000000,503,5.6
Malcolm D. Lee,92,466,744,Action|Comedy,Undercover Brother ,179,English,USA,PG-13,25000000,489,5.8
Ken Kwapis,42,917,2000,Comedy|Drama|Family|Romance,The Sisterhood of the Traveling Pants ,223,English,USA,PG,25000000,953,6.6
Chris Nahon,20,872,5000,Action|Crime|Drama|Thriller,Kiss of the Dragon ,254,English,France,R,25000000,888,6.6
Fred Wolf,29,816,15000,Comedy|Romance,The House Bunny ,126,English,USA,PG-13,25000000,852,5.5
Bille Woodruff,23,485,1000,Comedy,Beauty Shop ,59,English,USA,PG-13,,619,5.5
Craig Gillespie,44,367,4000,Biography|Drama|Sport,Million Dollar Arm ,96,English,USA,PG,25000000,774,7.0
Phillip Noyce,176,10000,12000,Drama|Romance|Sci-Fi,The Giver ,260,English,South Africa,PG-13,25000000,11000,6.5
Dennie Gordon,29,742,14000,Comedy|Drama|Family|Romance,What a Girl Wants ,194,English,USA,PG,20000000,1000,5.8
Victor Salva,108,177,296,Horror,Jeepers Creepers II ,316,English,USA,R,17000000,270,5.6
Mark Helfrich,7,440,1000,Comedy|Romance,Good Luck Chuck ,150,English,USA,R,25000000,562,5.6
Andrzej Bartkowiak,43,432,5000,Action|Crime|Drama|Thriller,Cradle 2 the Grave ,185,English,USA,R,30000000,618,5.8
Stephen Daldry,335,530,11000,Drama|Romance,The Hours ,660,English,USA,PG-13,25000000,577,7.6
Andy Fickman,99,960,17000,Comedy|Romance,She's the Man ,261,English,USA,PG-13,20000000,1000,6.4
Steve Bendelack,68,100,328,Comedy|Family,Mr. Bean's Holiday ,235,English,UK,PG,25000000,132,6.3
Dwight H. Little,27,522,601,Action|Adventure|Horror|Thriller,Anacondas: The Hunt for the Blood Orchid ,144,English,USA,PG-13,25000000,543,4.6
Guillaume Canet,0,745,15000,Crime|Drama|Thriller,Blood Ties ,41,English,France,R,25500000,960,6.5
Kirsten Sheridan,59,403,49000,Drama|Music,August Rush ,364,English,USA,PG,30000000,702,7.5
Shekhar Kapur,159,240,288,Biography|Drama|History,Elizabeth ,409,English,UK,R,25000000,249,7.5
Ronny Yu,31,71,285,Comedy|Fantasy|Horror|Romance,Bride of Chucky ,292,English,Canada,R,25000000,81,5.3
Richard Fleischer,130,288,469,Action|Drama|History|War,Tora! Tora! Tora! ,159,English,Japan,G,25000000,377,7.5
Bob Spiers,14,199,1000,Comedy|Family|Music,Spice World ,261,English,UK,PG,25000000,401,3.3
David Gordon Green,234,370,904,Comedy,The Sitter ,114,English,USA,R,,555,5.7
Damien Dante Wayans,82,571,756,Action|Comedy|Music,Dance Flick ,50,English,USA,PG-13,25000000,713,3.5
Frank Darabont,0,461,11000,Crime|Drama,The Shawshank Redemption ,4144,English,USA,R,25000000,745,9.3
Simon Wincer,23,162,460,Adventure|Comedy|Crime,Crocodile Dundee in Los Angeles ,119,English,Australia,PG,21150000,442,4.8
Bobby Farrelly,101,743,13000,Comedy|Sport,Kingpin ,185,English,USA,PG-13,27000000,852,6.9
Rupert Wyatt,81,81,3000,Crime|Drama|Thriller,The Gambler ,145,English,USA,R,25000000,571,6.0
John Wells,53,8000,19000,Drama,August: Osage County ,285,English,USA,R,25000000,11000,7.3
Tim Fywell,3,28,90,Comedy|Drama|Family|Sport,Ice Princess ,81,English,USA,G,,89,6.0
Nigel Cole,13,165,618,Comedy|Drama|Romance,A Lot Like Love ,161,English,USA,PG-13,30000000,172,6.6
Dexter Fletcher,452,141,20000,Biography|Comedy|Drama|Sport,Eddie the Eagle ,119,English,UK,PG-13,23000000,732,7.5
Spike Lee,0,3000,18000,Drama|Sport,He Got Game ,109,English,USA,R,25000000,14000,6.9
Jeremy Leven,19,977,40000,Comedy|Drama|Romance,Don Juan DeMarco ,117,English,USA,PG-13,25000000,10000,6.8
,,3,45,Animation|Comedy|Family,Shaun the Sheep             ,12,English,UK,TV-G,,7,8.3
Lasse Hallström,529,690,17000,Drama|Romance|War,Dear John ,186,English,USA,PG-13,25000000,861,6.3
Sylvain White,41,619,11000,Action|Crime|Drama|Mystery|Thriller,The Losers ,165,English,USA,PG-13,25000000,673,6.4
Troy Nixey,24,155,3000,Fantasy|Horror|Thriller,Don't Be Afraid of the Dark ,250,English,USA,R,25000000,441,5.6
Philip G. Atwell,5,874,26000,Action|Crime|Thriller,War ,166,English,USA,R,25000000,5000,6.3
Paul Thomas Anderson,0,98,11000,Comedy|Drama|Romance|Thriller,Punch-Drunk Love ,888,English,USA,R,25000000,876,7.3
Jeff Schaffer,17,360,13000,Comedy,EuroTrip ,316,English,USA,R,25000000,634,6.6
Don Michael Paul,70,223,462,Action|Crime|Thriller,Half Past Dead ,132,English,Germany,PG-13,13000000,444,4.6
Paul Feig,176,825,931,Adventure|Comedy|Family|Romance,Unaccompanied Minors ,56,English,USA,PG,26000000,839,5.1
James Bridges,21,418,967,Drama,"Bright Lights, Big City ",37,English,USA,R,25000000,767,5.6
Steve Barron,48,376,940,Adventure|Family|Fantasy|Musical,The Adventures of Pinocchio ,22,Italian,UK,G,25000000,595,5.3
Bill Paxton,0,58,577,Drama|History|Sport,The Greatest Game Ever Played ,106,English,USA,PG,,464,7.5
Richard Kelly,219,258,902,Drama|Fantasy|Mystery|Thriller,The Box ,376,English,USA,PG-13,16000000,837,5.6
Carter Smith,27,49,960,Horror,The Ruins ,351,English,USA,R,8000000,664,5.9
John Schlesinger,154,347,774,Comedy|Drama|Romance,The Next Best Thing ,162,English,USA,PG-13,25000000,692,4.7
Wes Craven,0,255,798,Horror|Mystery|Thriller,My Soul to Take ,136,English,USA,R,25000000,374,4.8
Luke Greenfield,42,111,355,Comedy|Drama|Romance,The Girl Next Door ,513,English,USA,R,25000000,155,6.8
Ringo Lam,17,218,900,Action|Crime|Mystery|Romance|Thriller,Maximum Risk ,68,English,USA,R,25000000,246,5.4
Bruce McCulloch,54,455,985,Comedy|Crime,Stealing Harvard ,92,English,USA,PG-13,25000000,637,5.1
Brian Helgeland,241,151,27000,Biography|Crime|Drama|History|Thriller,Legend ,174,English,UK,R,30000000,154,7.0
Akiva Schaffer,82,432,874,Comedy,Hot Rod ,149,English,USA,PG-13,,434,6.7
David R. Ellis,160,852,963,Horror|Thriller,Shark Night 3D ,130,English,USA,PG-13,25000000,936,4.0
Alan Parker,317,70,876,Drama,Angela's Ashes ,163,English,USA,R,25000000,219,7.3
Ivan Reitman,425,148,3000,Drama|Sport,Draft Day ,113,English,USA,R,25000000,466,6.8
Tobe Hooper,365,141,338,Action|Horror|Sci-Fi|Thriller,Lifeforce ,189,English,UK,R,25000000,246,6.1
,,265,971,Action|Animation|Comedy|Family|Fantasy|Sci-Fi,The Powerpuff Girls             ,60,English,USA,TV-Y7,,918,7.2
Robert Redford,0,939,18000,Crime|Drama|History,The Conspirator ,135,English,USA,PG-13,25000000,1000,7.0
Catherine Hardwicke,308,872,13000,Biography|Drama|Sport,Lords of Dogtown ,194,English,USA,PG-13,25000000,947,7.1
Patricia Riggen,36,399,562,Biography|Drama|History,The 33 ,56,English,Chile,PG-13,26000000,499,6.9
John Carpenter,0,52,400,Action|Adventure|Comedy|Fantasy,Big Trouble in Little China ,331,English,USA,PG-13,25000000,223,7.3
Pascal Chaumeil,8,8,172,Comedy|Romance,A Perfect Plan ,11,French,France,,17000000,20,6.3
Gavin O'Connor,149,581,27000,Drama|Sport,Warrior ,514,English,USA,PG-13,25000000,798,8.2
Neil Jordan,277,8000,25000,Biography|Drama|Thriller|War,Michael Collins ,93,English,UK,R,28000000,14000,7.1
Ron Maxwell,33,251,854,Drama|History|War,Gettysburg ,256,English,USA,PG,25000000,702,7.7
Kimberly Peirce,108,2000,23000,Drama|War,Stop-Loss ,99,English,USA,R,25000000,17000,6.5
Stephen Gaghan,79,956,16000,Drama|Music|Mystery|Romance|Thriller,Abandon ,157,English,USA,PG-13,25000000,11000,4.9
Jonathan Kaplan,57,92,181,Drama|Mystery|Thriller,Brokedown Palace ,187,English,USA,PG-13,25000000,151,6.4
Ole Bornedal,30,309,941,Horror|Thriller,The Possession ,162,English,USA,PG-13,14000000,459,5.9
Richard Benjamin,121,354,3000,Comedy|Drama|Romance,Mrs. Winterbourne ,50,English,USA,PG-13,25000000,624,6.2
Rod Lurie,37,268,10000,Action|Drama|Thriller,Straw Dogs ,140,English,USA,R,25000000,826,5.8
Lasse Hallström,529,174,442,Comedy|Drama,The Hoax ,74,English,USA,R,25000000,252,6.7
Craig R. Baxley,22,120,174,Action|Crime|Drama|Thriller,Stone Cold ,62,English,USA,R,17000000,132,5.9
John Hillcoat,214,3000,10000,Adventure|Drama,The Road ,504,English,USA,R,25000000,9000,7.3
John Guillermin,71,42,433,Adventure|Fantasy,Sheena ,52,English,UK,PG,25000000,54,4.8
Marcos Siega,32,324,843,Action|Comedy|Crime|Drama|Thriller,Underclassman ,26,English,USA,PG-13,25000000,593,4.1
J.B. Rogers,6,248,849,Comedy|Romance,Say It Isn't So ,91,English,USA,R,25000000,841,4.9
Roger Donaldson,79,50,12000,Biography|Drama|Sport,The World's Fastest Indian ,251,English,New Zealand,PG-13,25000000,506,7.9
David R. Ellis,160,490,852,Action|Adventure|Crime|Drama|Thriller,Snakes on a Plane ,1033,English,Germany,R,33000000,521,5.6
Rachel Talalay,54,919,6000,Action|Comedy|Sci-Fi,Tank Girl ,173,English,USA,R,25000000,923,5.2
Jeffrey W. Byrd,2,807,927,Comedy|Crime,King's Ransom ,20,English,USA,PG-13,15000000,912,4.1
Fernando Meirelles,353,18,45,Drama|Mystery|Sci-Fi|Thriller,Blindness ,300,English,Canada,R,25000000,30,6.6
Uwe Boll,892,492,783,Action|Adventure|Fantasy|Horror,BloodRayne ,471,English,USA,R,25000000,595,2.9
Roman Polanski,2000,132,14000,Comedy|Drama,Carnage ,181,English,France,R,25000000,11000,7.2
Atom Egoyan,460,490,14000,Crime|Drama|Mystery|Thriller,Where the Truth Lies ,128,English,Canada,R,25000000,1000,6.5
Andrew Adamson,80,31,473,Fantasy,Cirque du Soleil: Worlds Away ,35,English,USA,PG,,31,6.8
Robert Towne,162,745,2000,Biography|Drama|Sport,Without Limits ,57,English,USA,PG-13,25000000,878,7.2
Richard Linklater,0,240,962,Drama,Me and Orson Welles ,69,English,UK,PG-13,25000000,266,6.8
Giuseppe Tornatore,911,232,5000,Crime|Drama|Mystery|Romance,The Best Offer ,131,English,Italy,R,13500000,234,7.8
Werner Herzog,0,407,12000,Crime|Drama,Bad Lieutenant: Port of Call New Orleans ,212,English,USA,R,20000000,463,6.7
Ben Stassen,4,602,783,Adventure|Animation|Family,A Turtle's Tale: Sammy's Adventures ,22,English,France,PG,,749,6.1
Guillaume Canet,0,92,541,Comedy|Drama,Little White Lies ,48,French,France,Not Rated,25000000,173,7.1
Taylor Hackford,138,416,908,Comedy|Drama|Romance|Sport,Love Ranch ,17,English,USA,R,25000000,581,5.7
Jérôme Deschamps,0,0,44,Adventure|Animation|Comedy,The True Story of Puss'N Boots ,24,English,France,G,25000000,9,2.9
Inna Evlannikova,0,7,21,Adventure|Animation|Comedy|Family,Space Dogs ,8,Russian,Russia,G,25000000,15,5.2
Ridley Scott,0,1000,13000,Crime|Drama|Thriller,The Counselor ,431,English,USA,R,25000000,11000,5.3
Jonathan English,9,520,1000,Action|Adventure|History|Romance,Ironclad ,103,English,UK,R,25000000,870,6.2
Sergey Bondarchuk,27,87,279,Action|Drama|History|War,Waterloo ,76,English,Italy,G,25000000,128,7.3
Teddy Chan,3,55,79,Action|Drama,Kung Fu Killer ,26,Cantonese,China,,25000000,68,6.5
Mario Van Peebles,535,399,668,Action|Thriller,Red Sky ,11,English,USA,PG-13,25000000,535,4.1
Stephen Frears,350,418,18000,Drama|Romance,Dangerous Liaisons ,143,English,USA,R,14000000,17000,7.7
Walter Salles,179,4000,17000,Adventure|Drama,On the Road ,128,English,France,R,25000000,10000,6.1
Leonard Nimoy,12000,643,12000,Adventure|Comedy|Sci-Fi,Star Trek IV: The Voyage Home ,219,English,USA,PG,25000000,664,7.3
Sylvester Stallone,13000,461,13000,Drama|Sport,Rocky Balboa ,962,English,USA,PG,24000000,683,7.2
Ericson Core,19,848,1000,Action|Crime|Sport|Thriller,Point Break ,163,English,USA,PG-13,105000000,897,5.3
