director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,genres,actor_3_name,num_user_for_reviews,country,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Bibo Bergeron,90,10,541,Bob Balaban,,Adventure|Animation|Comedy|Fantasy|Music|Romance,François Cluzet,40,France,PG,25000000,559,6.8,1.85,0
Jeff Nathanson,93,23,596,Glenn Morshower,463730,Comedy,Tim Blake Nelson,39,USA,R,,894,5.7,1.85,89
Alex Proyas,98,295,380,Bai Ling,50693162,Action|Drama|Fantasy,David Patrick Kelly,545,USA,R,23000000,581,7.6,1.85,15000
S.S. Rajamouli,159,50,72,Anushka Shetty,6498000,Action|Adventure|Drama|Fantasy|War,Prabhas,410,India,,18026148,133,8.4,1.85,21000
Robert Schwentke,107,124,100,Brooklynn Proulx,63411478,Drama|Fantasy|Romance|Sci-Fi,Michelle Nolden,234,USA,PG-13,39000000,142,7.1,2.35,13000
Michael Lehmann,102,36,433,Stephen Collins,42640890,Comedy|Romance,Tom Everett Scott,184,USA,PG-13,,452,5.6,1.85,0
Rob Cohen,106,357,4000,Vin Diesel,144512310,Action|Crime|Thriller,Jordana Brewster,988,USA,PG-13,38000000,14000,6.7,2.35,14000
Tim Burton,87,13000,787,Catherine O'Hara,35287788,Animation|Comedy|Family|Horror|Sci-Fi,Atticus Shaffer,165,USA,PG,39000000,925,7.0,1.85,25000
Joss Whedon,119,0,279,Sean Maher,25335935,Action|Adventure|Sci-Fi|Thriller,Michael Hitchcock,1594,USA,PG-13,40000000,505,8.0,2.35,14000
Charles S. Dutton,110,534,511,Charles S. Dutton,5881504,Biography|Drama|Romance|Sport,Tim Daly,50,USA,PG-13,39000000,534,5.3,2.35,177
Richard Lester,125,44,420,Robert Vaughn,60000000,Action|Comedy|Sci-Fi,Jackie Cooper,224,UK,PG,39000000,542,4.9,2.35,0
Peter Segal,113,88,785,Sylvester Stallone,29802761,Comedy|Sport,Oscar Gale,115,USA,PG-13,40000000,13000,6.4,1.85,12000
John Woo,150,610,478,Tony Chiu Wai Leung,626809,Action|Adventure|Drama|History|War,Wei Zhao,105,China,R,553632000,643,7.4,2.35,0
Andy Tennant,108,72,559,Mary Lynn Rajskub,127214072,Comedy|Romance,Courtney Gains,392,USA,PG-13,38000000,935,6.1,2.35,0
Robert Luketic,96,126,954,John Michael Higgins,88915214,Comedy|Romance,Eric Winter,169,USA,R,38000000,957,6.5,2.35,9000
Jonathan Lynn,93,36,275,Phil Hartman,30400000,Comedy,Max Casella,73,USA,PG,39000000,516,5.7,2.35,478
Robert Rodriguez,100,0,1000,Alexa PenaVega,85570368,Action|Adventure|Comedy|Family|Sci-Fi,Emily Osment,107,USA,PG,38000000,2000,5.1,1.85,478
David Carson,118,18,906,Alan Ruck,75668868,Action|Adventure|Mystery|Sci-Fi|Thriller,Jonathan Frakes,249,USA,PG,35000000,946,6.6,2.35,0
Kar-Wai Wong,122,0,7,Hye-kyo Song,6594136,Action|Biography|Drama,Elvis Tsui,111,Hong Kong,PG-13,38600000,290,6.5,2.35,13000
Francis Lawrence,120,508,1000,Christoph Waltz,58700247,Drama|Romance,James Frain,260,USA,PG-13,38000000,11000,6.9,2.35,33000
,60,,501,Wayne Knight,,Comedy|Family|Sci-Fi,Kristen Johnston,86,USA,TV-PG,,967,7.8,1.33,0
Yuefeng Song,88,0,46,Bianca Collins,,Adventure|Animation|Family|Fantasy,Jiao Xu,18,China,,40000000,47,6.4,,0
Norman Jewison,146,278,494,Vincent Pastore,50668906,Biography|Drama|Sport,Deborah Kara Unger,265,USA,R,38000000,584,7.6,1.85,0
Michael Apted,115,150,789,Jeff Kober,39177215,Crime|Drama|Thriller,Billy Campbell,234,USA,PG-13,38000000,919,5.6,2.35,0
David Mirkin,123,7,692,Anne Bancroft,40334024,Comedy|Crime|Romance,Jeffrey Jones,216,USA,PG-13,35000000,754,6.2,2.35,989
Andy Fickman,94,99,377,Daniella Alonso,71038190,Action|Comedy|Crime,Eduardo Verástegui,123,USA,PG,30000000,557,4.4,1.85,8000
Luis Mandoki,102,43,280,Shirley Knight,24044532,Drama|Romance,Kari Matchett,180,USA,R,38000000,285,5.6,1.85,689
John Pasquin,98,11,466,Ken Marino,22770864,Comedy|Drama,Kelly Lynch,85,USA,PG,38000000,543,5.5,1.85,168
Roman Polanski,133,2000,541,Frank Langella,18653746,Mystery|Thriller,Lena Olin,638,Spain,R,38000000,903,6.7,2.35,0
Michael Apted,118,150,182,Paul Guilfoyle,17305211,Crime|Drama|Mystery|Thriller,Bill Nunn,75,USA,R,38000000,210,6.1,2.35,352
Stephen Herek,105,65,108,Dagmara Dominczyk,16991902,Drama|Music,Matthew Glave,191,USA,R,57000000,316,6.2,2.35,0
Lee Daniels,109,304,736,Gabourey Sidibe,47536959,Drama,Mariah Carey,275,USA,R,10000000,906,7.3,1.85,12000
Ridley Scott,129,0,982,Jason Marsden,10300000,Adventure|Drama,Ethan Embry,89,USA,PG-13,38000000,1000,6.6,2.35,911
John Carpenter,109,0,145,Richard Masur,13782838,Horror|Mystery|Sci-Fi,David Clennon,911,USA,R,15000000,163,8.2,2.35,23000
David Twohy,127,123,904,Nolan Gerard Funk,41997790,Action|Sci-Fi|Thriller,Bokeem Woodbine,343,USA,R,38000000,924,6.4,2.35,39000
Jeb Stuart,118,11,12,Claudia Stedelin,6482195,Crime|Mystery|Thriller,Ted Markland,81,USA,R,37000000,12,6.4,2.35,389
Steve Miner,110,49,427,Usher Raymond,623374,Action|Adventure|Drama|Thriller|Western,Leonor Varela,67,USA,PG-13,38000000,569,5.2,2.35,474
Gil Kenan,90,27,260,Toby Jones,7871693,Adventure|Family|Fantasy|Sci-Fi,Harry Treadaway,102,USA,PG,55000000,2000,6.5,2.35,0
Paul Thomas Anderson,144,0,15,Jeffrey W. Jenkins,16377274,Drama,Bruce Goodchild,405,USA,R,32000000,18,7.1,1.85,27000
David Leland,97,2,217,Ryan Cartwright,,Adventure|Comedy|History|Romance,David Walliams,28,Italy,R,38000000,476,4.8,1.85,366
Gary Fleder,130,39,534,Nicole Beharie,9589875,Biography|Drama|Sport,Charles S. Dutton,45,USA,PG,40000000,898,7.3,2.35,0
J Blakeson,112,5,724,Maggie Siff,34912982,Action|Adventure|Sci-Fi|Thriller,Nick Robinson,266,USA,PG-13,38000000,1000,5.2,2.35,14000
Ryan Coogler,133,0,531,Phylicia Rashad,109712885,Drama|Sport,Graham McTavish,362,USA,PG-13,35000000,597,7.7,2.35,70000
Ben Affleck,150,0,206,Jon Hamm,92173235,Crime|Drama|Thriller,Owen Burke,420,USA,R,37000000,4000,7.6,2.35,29000
Kirk Jones,110,52,651,Dennis Quaid,41102171,Comedy|Drama|Romance,Thomas Lennon,89,USA,PG-13,40000000,2000,5.7,2.35,14000
Ethan Coen,96,1000,681,Brad Pitt,60338891,Comedy|Drama,Kevin Sussman,545,USA,R,37000000,11000,7.0,1.85,0
Jennifer Flackett,96,3,35,Anthony Simcoe,48006503,Adventure|Comedy|Family|Fantasy,Christopher James Baker,110,USA,PG,37000000,82,6.0,2.35,0
Ron Howard,123,2000,471,Olivia Wilde,26903709,Action|Biography|Drama|Sport,Alexandra Maria Lara,475,UK,R,38000000,10000,8.1,2.35,83000
Paul Thomas Anderson,188,0,272,Neil Flynn,22450975,Drama,Jim Meskimen,1437,USA,R,37000000,625,8.0,2.35,13000
Kevin Smith,107,0,574,Tracy Morgan,44867349,Action|Comedy|Crime,Kevin Pollak,176,USA,R,37000000,642,5.6,2.35,0
Christian Ditter,110,11,591,Damon Wayans Jr.,46813366,Comedy|Romance,Nicholas Braun,83,USA,R,38000000,756,6.1,2.35,15000
Charles Martin Smith,113,188,631,Michael Roark,72279690,Drama|Family,Harry Connick Jr.,86,USA,PG,37000000,680,6.9,1.85,0
Catherine Hardwicke,122,308,10000,Taylor Lautner,191449475,Drama|Fantasy|Romance,Anna Kendrick,1535,USA,PG-13,37000000,12000,5.2,2.35,19000
Nick Cassavetes,116,415,644,Laura Harring,71026631,Crime|Drama|Thriller,Anne Heche,394,USA,PG-13,36000000,669,7.0,1.85,0
Les Mayfield,93,10,405,Dave Chappelle,68208190,Action|Comedy|Crime|Thriller,Tamala Jones,144,USA,PG-13,65000000,744,6.3,1.85,0
Rawson Marshall Thurber,118,43,651,Molly C. Quinn,150368971,Comedy|Crime,Thomas Lennon,301,USA,R,37000000,707,7.0,2.35,35000
Fedor Bondarchuk,115,35,30,Fedor Bondarchuk,,Action|Adventure|Sci-Fi,Aleksey Serebryakov,21,Russia,,29500000,35,5.3,,240
Jonathan Mostow,93,84,263,M.C. Gainey,50129186,Action|Crime|Drama|Mystery|Thriller,J.T. Walsh,218,USA,R,36000000,284,6.9,2.35,0
Irvin Kershner,121,883,133,Klaus Maria Brandauer,55500000,Action|Adventure|Thriller,Barbara Carrera,214,UK,PG,36000000,172,6.2,2.35,0
Steve Pink,101,38,318,Collette Wolfe,50213619,Comedy|Sci-Fi,Crystal Lowe,243,USA,R,36000000,390,6.4,1.85,12000
Charles Martin Smith,107,188,631,Taylor Blackwell,42019483,Drama|Family,Harry Connick Jr.,33,USA,PG,36000000,641,6.4,1.85,0
John Frankenheimer,124,287,475,James Frain,23360779,Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller,Clarence Williams III,212,USA,R,34000000,1000,5.7,2.35,852
F. Gary Gray,109,473,582,Jeff Kober,26183197,Action|Crime|Drama|Thriller,Larenz Tate,135,USA,R,36000000,919,6.1,2.35,0
Cameron Crowe,105,488,13000,Bradley Cooper,20991497,Comedy|Drama|Romance,Bill Murray,172,USA,PG-13,37000000,14000,5.4,1.85,11000
Rob Reiner,130,0,723,Virginia Madsen,13052741,Drama|History,Craig T. Nelson,57,USA,PG-13,36000000,912,6.7,1.85,591
Scott Hicks,127,96,577,Reeve Carney,14378353,Drama|Mystery|Romance|Thriller,Daniel von Bargen,194,USA,PG-13,36000000,602,6.8,2.35,846
Mikael Håfström,114,101,2000,Colin O'Donoghue,33037754,Drama|Horror|Mystery|Thriller,Toby Jones,197,USA,PG-13,37000000,3000,6.0,2.35,23000
Andrew Niccol,106,487,263,Xander Berkeley,12339633,Drama|Sci-Fi|Thriller,Mason Gamble,641,USA,PG-13,36000000,485,7.8,2.35,17000
Andrew Bergman,95,31,450,Nathan Lane,2954405,Biography|Comedy|Romance,John Larroquette,64,USA,R,36000000,886,5.3,1.85,133
Kirk De Micco,81,16,387,Kenan Thompson,30105968,Adventure|Animation|Comedy|Family|Sci-Fi,Omid Abtahi,45,USA,G,37000000,521,4.5,2.35,279
Chris Rock,95,0,642,Dylan Baker,37788228,Comedy,Tracy Morgan,80,USA,PG-13,35200000,812,5.4,1.85,638
Todd Phillips,108,480,706,Rob Riggle,277313371,Comedy,Mike Epps,626,USA,R,35000000,839,7.8,2.35,24000
Wilson Yip,105,25,51,Lynn Hung,2126511,Action|Biography|Drama|History,Kwok-Kwan Chan,45,Hong Kong,PG-13,36000000,79,7.2,2.35,12000
Jay Roach,95,116,481,Verne Troyer,205399422,Action|Adventure|Comedy|Crime,Robert Wagner,784,USA,PG-13,33000000,645,6.6,2.35,0
Tim Burton,126,13000,488,Jack Palance,251188924,Action|Adventure,William Hootkins,817,USA,PG-13,35000000,549,7.6,1.85,12000
Roland Joffé,102,596,785,Dougray Scott,1068392,Biography|Drama|War,Lily Cole,53,Spain,PG-13,36000000,794,5.9,2.35,2000
Richard Donner,121,503,94,Nick Chinlund,144731527,Action|Crime|Thriller,Stuart Wilson,136,USA,R,35000000,277,6.7,2.35,0
John Lee Hancock,129,102,624,Quinton Aaron,255950375,Biography|Drama|Sport,Kim Dickens,420,USA,PG-13,29000000,734,7.7,1.85,38000
,43,,452,Aimee Garcia,,Action|Comedy|Crime,Wendie Malick,30,USA,TV-14,,618,5.8,16.0,0
Robert Rodriguez,88,0,640,Cheech Marin,112692062,Action|Adventure|Comedy|Family|Sci-Fi,Daryl Sabara,205,USA,PG,35000000,843,5.4,1.85,0
Seth Gordon,106,91,64,Lindsay Sloane,117528646,Comedy|Crime,Reginald Ballard,387,USA,R,35000000,464,6.9,2.35,31000
Ethan Coen,110,1000,538,Jeff Bridges,171031347,Adventure|Drama|Western,Bruce Green,724,USA,PG-13,38000000,12000,7.7,2.35,36000
David Frankel,109,64,505,Anne Hathaway,124732962,Comedy|Drama|Romance,Rebecca Mader,631,USA,PG-13,35000000,11000,6.8,2.35,0
Robert Wise,143,338,643,Nichelle Nichols,82300000,Adventure|Mystery|Sci-Fi,Walter Koenig,405,USA,PG,35000000,664,6.4,2.35,0
Seth Gordon,120,91,680,Eric Stonestreet,134455175,Comedy|Crime,T.I.,232,USA,R,35000000,904,5.7,2.35,17000
Martin Scorsese,128,17000,387,Robert Mitchum,79100000,Crime|Thriller,Joe Don Baker,261,USA,R,35000000,1000,7.3,2.35,0
Robert Luketic,123,126,1000,Jim Sturgess,81159365,Crime|Drama|Thriller,Josh Gad,278,USA,PG-13,35000000,5000,6.8,2.35,0
Judd Apatow,129,0,213,Randall Park,110008260,Comedy|Romance,Josh Segarra,309,Japan,R,35000000,392,6.3,2.35,25000
Kevin Rodney Sullivan,105,8,278,Nicole Sullivan,67962333,Comedy|Romance,Sherri Shepherd,160,USA,PG-13,35000000,358,5.9,1.85,919
Anthony Minghella,162,333,362,Kristin Scott Thomas,78651430,Drama|Romance|War,Jürgen Prochnow,457,USA,R,27000000,1000,7.4,1.85,0
Curtis Hanson,138,161,210,Matt McCoy,64604977,Crime|Drama|Mystery|Thriller,Paul Guilfoyle,625,USA,R,35000000,398,8.3,2.35,11000
Mike Mitchell,100,31,591,Kelly Preston,63939454,Adventure|Comedy|Family|Sci-Fi,Nicholas Braun,217,USA,PG,35000000,742,6.2,2.35,0
Frank Oz,90,0,945,Wilford Brimley,63826569,Comedy,Lauren Ambrose,138,USA,PG-13,35000000,957,6.3,1.85,0
Roger Donaldson,108,79,25,Marg Helgenberger,60054449,Action|Horror|Sci-Fi|Thriller,Jordan Lund,140,USA,R,35000000,759,5.8,2.35,0
Wes Craven,101,0,574,Lin Shaye,26505000,Horror,Amanda Wyss,668,USA,X,1800000,852,7.5,1.85,10000
Tarsem Singh,109,763,311,Jake Weber,61280963,Horror|Sci-Fi|Thriller,James Gammon,677,USA,R,33000000,551,6.3,2.35,0
Randall Wallace,132,130,80,Anne Parillaud,56876365,Action|Adventure,Judith Godrèche,244,USA,PG-13,35000000,130,6.4,1.85,0
Randall Wallace,123,130,426,Kevin Connolly,59699513,Biography|Drama|Family|History|Sport,Dylan Walsh,136,USA,PG,35000000,638,7.2,2.35,0
Kevin Munroe,87,14,691,Sarah Michelle Gellar,54132596,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Mako,211,Hong Kong,PG,34000000,4000,6.3,2.35,0
Michael Tollin,109,19,568,Riley Smith,52277485,Biography|Drama|Sport,Debra Winger,196,USA,PG,35000000,762,6.9,1.85,0
Will Gluck,109,87,923,Justin Timberlake,55802754,Comedy|Romance,Masi Oka,194,USA,R,35000000,3000,6.6,2.35,41000
Nicholas Stoller,92,89,190,Ike Barinholtz,55291815,Comedy,Kiersey Clemons,111,USA,R,35000000,329,6.0,2.35,0
John Lee Hancock,125,102,825,Ruth Wilson,83299761,Biography|Comedy|Drama|History|Music,B.J. Novak,306,USA,PG-13,35000000,2000,7.5,2.35,39000
