num_critic_for_reviews,duration,actor_1_facebook_likes,gross,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,language,budget,title_year,actor_2_facebook_likes,imdb_score
63,121,4000,16574731,6910,Sela Ward,4,English,13000000,1998,957,5.8
47,84,15000,5002310,18864,Marley Shelton,0,English,13000000,2001,816,5.6
111,93,567,4919896,1775,Ben Chaplin,1,English,13000000,2001,326,6.1
168,93,552,25675765,2730,Sarah Wright,0,English,13000000,2013,528,5.9
165,120,12000,4857376,13208,Catalina Sandino Moreno,0,French,13000000,2006,530,7.3
104,112,748,3169424,2417,Peter Coyote,1,English,13000000,2007,573,6.8
150,107,2000,18004225,3004,Christopher Evan Welch,2,English,13000000,2013,257,5.7
61,112,2000,3058380,2389,Yves Jacques,1,French,100000000,2000,370,7.3
226,96,14000,3074838,14372,Natalie Lisinska,2,English,11000000,2009,153,6.3
21,91,979,2104000,1679,Paul Mazursky,3,English,13000000,1996,385,5.9
217,105,20000,28501651,39473,Ethan Suplee,0,English,26000000,2009,15000,7.1
94,125,22000,1172769,37606,Alex Rocco,2,English,13000000,2006,14000,7.1
364,102,8000,17738570,13631,Kate Walsh,2,English,13000000,2012,3000,8.0
19,87,683,1200000,1139,Thomas Ian Griffith,1,English,3000000,1993,155,5.1
129,118,2000,1150403,3474,Hope Davis,4,English,13000000,2006,812,7.1
71,115,14000,403932,17104,Shirley Henderson,4,English,20000000,2000,900,6.5
93,91,3000,1712111,7875,Dougray Scott,0,English,8495000,2015,1000,4.5
399,88,1000,1024175,2011,Jodie Whittaker,6,English,13000000,2011,305,6.6
110,127,306,301305,796,Branko Djuric,0,Bosnian,13000000,2011,164,4.3
285,94,873,51872378,2812,Roma Maffia,0,English,13000000,2013,461,6.7
2,115,14000,31662,14133,Jung-jae Lee,1,English,12620000,2016,81,6.8
61,90,477,28399192,1483,Steve Bastoni,0,English,13000000,2002,238,5.4
242,102,170,2035566,931,Annie Golden,0,English,13000000,2009,157,6.6
62,100,581,,931,Gary Schwartz,0,None,12500000,1981,201,7.4
121,117,18000,21078145,20456,Derek Luke,0,English,12500000,2002,638,7.3
83,109,13000,14060950,14347,Rob Morrow,1,English,12500000,2002,795,6.9
122,121,11000,12281500,23602,Michael Rapaport,3,English,13000000,1993,10000,8.0
88,111,6000,,9244,Hannah Murray,1,English,3660000,2010,2000,6.4
120,100,18000,10725228,32288,Jude Ciccolella,1,English,12500000,1992,14000,7.8
225,109,818,214966,1813,Jay R. Ferguson,0,English,13000000,2010,467,6.1
130,93,783,,3700,John Heard,1,English,18000000,1982,782,6.1
167,101,1000,11956207,3142,Rumer Willis,2,English,16000000,2009,668,5.1
7,101,490,,1166,Ronald Colman,2,English,,1937,185,7.8
226,106,33000,5949693,34351,Paul Schneider,1,English,12000000,2007,730,7.4
185,94,77,9030581,156,Cara Horgan,0,English,12500000,2008,32,7.8
177,140,963,4157491,2894,Björk,0,English,12800000,2000,595,8.0
28,132,1000,1508689,2004,Clive Russell,2,English,16000000,1997,653,6.7
48,99,812,1227324,3337,Gretchen Mol,3,English,12500000,1996,787,6.6
116,90,966,4360548,2661,Richard Schiff,7,English,15000000,2009,681,6.4
391,105,22000,26589953,26233,Cheech Marin,1,English,10500000,2010,982,6.7
117,108,18000,1039869,18739,Christian Campbell,5,English,15000000,2010,322,6.2
24,69,912,48092846,1833,Bill Erwin,0,English,12500000,1988,320,7.3
86,148,717,1110186,1730,Dong-gun Jang,2,Korean,12800000,2004,517,8.1
41,118,968,1089445,4270,Bruce McGill,0,English,12500000,2009,844,7.0
304,132,1000,204565000,2466,Lee J. Cobb,0,English,8000000,1973,931,8.0
385,130,813,260000000,2047,Murray Hamilton,0,English,8000000,1975,559,8.0
145,95,3000,101736215,8134,Natasha Lyonne,6,English,11000000,1999,1000,7.0
99,80,6000,71442,6829,Lambert Wilson,0,French,9600000,2012,637,7.9
29,94,400,79817937,1044,Charlotte Lewis,1,English,25000000,1986,255,5.9
77,122,997,91547205,5165,Regina Hall,8,English,12000000,2012,966,6.6
91,102,656,75074950,2754,Cedric the Entertainer,0,English,12000000,2002,528,6.3
148,116,12000,78900000,16539,Nichelle Nichols,2,English,11000000,1982,980,7.7
61,78,759,72217000,2462,David Margulies,1,English,12000000,1994,595,6.9
84,114,2000,79568000,4537,Ally Sheedy,0,English,12000000,1983,883,7.1
83,112,11000,65500000,22479,Lukas Haas,1,English,12000000,1985,10000,7.4
216,110,93,70011073,146,Rorke Denver,0,English,12000000,2012,17,6.5
107,104,17000,65269010,21380,Josh Henderson,0,English,12000000,2006,2000,6.5
63,81,13000,63071133,17035,John Doman,0,English,12000000,1996,2000,6.8
140,154,22000,39647595,25522,Robert Forster,5,English,12000000,1997,1000,7.5
153,102,1000,38087366,4065,Beverly D'Angelo,2,English,12000000,2008,954,6.6
414,89,963,64572496,2054,Ashley Hinshaw,0,English,12000000,2012,465,7.1
16,132,405,30400000,914,Steven Hill,1,English,12000000,1983,194,6.6
139,103,629,42365600,2730,Kenny Baker,0,English,5000000,1981,561,7.0
111,93,1000,37188667,1531,Dave Allen,1,English,12000000,2002,188,3.3
229,93,971,54724272,2043,Oliver Cooper,0,English,12000000,2012,329,6.7
112,172,654,,1306,Bill Hickman,0,English,12000000,1970,416,8.0
207,96,49000,31597131,52138,Connie Nielsen,0,English,12000000,2002,989,6.8
198,89,137000,31691811,140268,Dania Ramirez,0,English,12000000,2008,1000,6.0
172,92,17000,31397498,18765,Obba Babatundé,1,English,12000000,2008,527,5.4
45,97,1000,31179516,5006,Shad Moss,5,English,12000000,2004,1000,4.3
34,93,995,31155435,6105,T.J. Thyne,2,English,12000000,2001,729,6.2
75,89,227,27281507,534,Steve Whitmire,0,English,12000000,1992,94,7.7
400,144,6000,167007184,9125,Ivana Milicevic,1,English,150000000,2006,1000,8.0
128,123,4000,25776062,7072,Valeria Golino,0,English,12000000,2002,1000,7.4
68,93,28,25240988,52,Anthony Burrell,0,English,12000000,2012,9,5.9
326,133,8000,124868837,10565,Nat Wolff,0,English,12000000,2014,1000,7.8
128,121,13000,22905674,14890,Gretchen Mol,2,English,12000000,1998,940,7.4
161,102,3000,25277561,5592,J.B. Smoove,10,English,12000000,2014,966,6.5
70,102,452,,729,Robert Foxworth,1,English,12000000,1979,122,5.4
164,99,347,21133087,1254,Lusia Strus,0,English,12000000,1999,301,7.0
68,55,1000,,6091,Viva Bianca,2,English,,,939,8.6
354,98,1000,37707719,2376,Peter Hermann,2,English,12000000,2013,482,7.6
125,118,975,18761993,2944,Joan Allen,1,English,9000000,2005,931,6.9
55,125,1000,,4659,Steve Guttenberg,3,English,12000000,1978,837,7.0
66,104,836,18595716,3963,Dichen Lachman,3,English,12000000,2006,826,5.3
191,109,733,31990064,2753,Meg Crosbie,2,English,12000000,2015,558,6.4
33,86,873,17321573,3646,Bai Ling,5,English,,2004,691,4.5
433,115,1000,17613460,3798,Will Forte,0,English,12000000,2013,844,7.8
66,92,1000,21088568,3931,Gary Farmer,1,English,13000000,1995,851,6.7
37,91,833,17292381,4551,Larry Miller,0,English,12000000,2001,626,5.3
325,94,9000,16300302,10575,Collette Wolfe,1,English,12000000,2011,786,6.3
170,93,26000,27829874,28767,Jose Pablo Cantillo,1,English,12000000,2006,725,7.0
11,93,1000,13960203,2939,Lark Voorhies,2,English,,1997,560,5.3
24,100,1000,12902790,3250,Jenette Goldstein,1,English,12000000,1998,849,6.6
70,100,988,21520719,3906,Mehcad Brooks,1,English,,2010,826,5.8
232,113,11000,12796277,12274,Bill Irwin,1,English,,2008,536,6.7
34,122,1000,,1456,John Colicos,0,English,12000000,1981,230,6.6
160,100,19000,11634362,34700,Tom Wilkinson,0,English,,2003,14000,7.0
96,293,362,11433134,469,Herbert Grönemeyer,0,German,14000000,1981,21,8.4
106,137,2000,22406362,5780,Jordi Mollà,0,English,107000000,2004,973,6.0
53,93,529,10198766,2393,Harland Williams,3,English,12000000,2002,526,5.4
274,123,565,15294553,1595,Lindsay Duncan,1,English,12000000,2013,555,7.8
248,119,755,11041228,1244,Zhengyong Zhang,3,Mandarin,100000000,2004,483,7.6
288,107,664,7918283,2440,Reg E. Cathey,1,English,12000000,2012,591,6.6
177,106,452,22331028,1819,Sofia Black-D'Elia,0,English,12000000,2015,328,6.4
81,109,436,8134217,1141,Tammy Blanchard,3,English,12000000,2008,223,7.0
29,81,931,6982680,3848,Sherman Hemsley,0,English,10000000,2000,744,5.7
58,95,1000,6739141,4755,Clifton Collins Jr.,0,English,8000000,1992,1000,5.9
144,86,957,5542025,3535,Ed Begley Jr.,0,English,12000000,2006,925,6.3
114,113,537,5032496,943,Greg Mottola,0,English,12000000,1998,255,6.3
132,122,433,6754898,1291,Dagmara Dominczyk,0,English,12000000,2006,398,6.2
60,90,525,4922166,1445,Brian Dietzen,2,English,12000000,2003,281,2.1
