director_name,num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Marco Kreuzpaintner,69,289,Kate del Castillo,662,Zack Ward,14831,1952,English,Germany,R,12000000,345,7.5,0
Lajos Koltai,73,0,Péter Fancsikai,9,Marcell Nagy,5603,11,Hungarian,Hungary,R,2500000000,2,7.1,607
Alan Rudolph,42,865,Albert Finney,13000,Bruce Willis,6884,17417,English,USA,R,12000000,883,4.6,458
Yimou Zhang,101,3,Ni Yan,9,Honglei Sun,2410,18,Mandarin,China,R,,4,5.7,784
Vincenzo Natali,82,280,Jeremy Northam,686,David Hewlett,27052,1501,English,USA,R,7500000,327,6.8,0
Chuan Lu,149,3,Yuanyuan Gao,52,Ye Liu,8429,91,Mandarin,China,R,12000000,32,7.7,0
Tim Johnson,165,183,Matt Jones,17000,Jim Parsons,70133,17883,English,USA,PG,135000000,523,6.7,26000
Lijun Sun,5,188,Tom Arnold,970,Jon Heder,408,1854,Mandarin,China,PG,,618,3.2,211
Takashi Yamazaki,44,16,Meisa Kuroki,84,Takuya Kimura,4899,164,Japanese,Japan,TV-14,12000000,33,6.1,0
Renny Harlin,74,18,Kenneth Cranham,567,Richard Coyle,12128,708,English,Georgia,R,20000000,111,5.6,0
Christopher Smith,156,42,Michael Dorman,181,Rachael Carpani,64423,433,English,UK,R,12000000,168,6.9,13000
Timothy Hines,1,247,Kelly LeBrock,1000,Christopher Lambert,314,2059,English,USA,R,12000000,445,7.5,26000
Randall Wallace,82,79,Connor Corum,399,Jacob Vargas,21034,663,English,USA,PG,12000000,116,5.8,23000
Guy Ritchie,151,1000,Brad Pitt,26000,Jason Statham,600996,39175,English,UK,R,6000000,11000,8.3,27000
David Winters,3,84,Matt Marr,551,Gary Daniels,105,895,English,USA,PG,12000000,85,2.8,634
Mary Lambert,98,426,Fred Gwynne,969,Miko Hughes,63855,2987,English,USA,R,11500000,886,6.6,0
Akira Kurosawa,25,4,Tetsu Watanabe,15,Tatsuo Matsumura,3466,30,Japanese,Japan,,11900000,6,7.5,355
Jamie Thraves,35,388,Caroline Dhavernas,680,Paddy Considine,3737,1780,English,UK,R,11500000,544,6.0,443
Mabel Cheung,6,2,Ching Wan Lau,215,Wei Tang,117,244,Chinese,China,,12000000,27,6.2,4
Joe Dante,183,233,Harry Carey Jr.,767,Phoebe Cates,142293,2053,English,USA,PG,11000000,281,7.2,14000
George Lucas,282,504,Peter Cushing,11000,Harrison Ford,911097,13485,English,USA,PG,11000000,1000,8.7,33000
Dan Mazer,158,411,Zoey Deutch,22000,Robert De Niro,49671,24063,English,USA,R,11500000,851,6.0,11000
David Lean,89,382,Klaus Kinski,597,Julie Christie,55816,1966,English,USA,PG-13,11000000,396,8.0,7000
Stephen Daldry,101,14,Selton Mello,585,Wagner Moura,14437,679,Portuguese,UK,R,,68,7.2,0
Kenny Ortega,128,632,Matt Prokop,755,Lucas Grabeel,43795,3507,English,USA,G,11000000,734,4.5,0
David O. Russell,410,141,Jack McGee,23000,Christian Bale,275869,23811,English,USA,R,25000000,238,7.9,36000
Jeff Tremaine,104,218,Steve-O,608,Bam Margera,56595,1853,English,USA,R,,362,7.1,641
Jonathan Lynn,54,633,Bruce McGill,886,Fred Gwynne,82743,3280,English,USA,R,11000000,655,7.5,7000
R.J. Cutler,141,602,Mireille Enos,17000,Chloë Grace Moretz,83893,20466,English,USA,PG-13,11000000,1000,6.8,15000
Brian Trenchard-Smith,30,32,Damien Garvey,84,Zoe Ventoura,3104,179,English,Canada,Not Rated,12000000,37,4.3,774
David S. Ward,57,808,Tom Berenger,1000,Corbin Bernsen,49007,3435,English,USA,R,11000000,854,7.2,0
Oliver Parker,56,621,Rupert Everett,785,Lily Cole,18220,3135,English,UK,PG-13,13500000,692,5.8,0
Joel Schumacher,216,328,John Enos III,991,Radha Mitchell,207934,2562,English,USA,R,13000000,465,7.1,0
Adam Shankman,80,488,Peter Coyote,683,Lauren German,162701,2436,English,USA,PG,11000000,548,7.4,19000
Tim Robbins,77,191,Celia Weston,276,Lois Smith,73193,903,English,UK,R,11000000,258,7.6,0
Roger Kumble,101,637,Sean Patrick Thomas,4000,Sarah Michelle Gellar,149222,6223,English,USA,R,10500000,656,6.9,0
Kevin Greutert,156,647,Shawnee Smith,723,Costas Mandylor,76207,3101,English,Canada,R,11000000,651,6.0,0
Mel Brooks,48,842,Sid Caesar,1000,Madeline Kahn,36559,3931,English,USA,R,11000000,898,6.9,0
Gina Prince-Bythewood,109,549,Alicia Keys,664,Nate Parker,19440,3376,English,USA,PG-13,11000000,551,7.3,0
Rob Pritts,62,532,Vinessa Shaw,584,Vincent Pastore,10966,3850,English,USA,PG-13,11000000,580,4.6,365
Brian De Palma,33,298,Gabrielle Carteris,636,Steven Bauer,9903,1852,English,USA,R,12000000,330,6.0,541
Norman Jewison,20,279,Peter Boyle,13000,Sylvester Stallone,5561,14735,English,USA,PG,11000000,595,6.4,745
Tobe Hooper,52,225,Bud Cort,425,Louise Fletcher,5187,1661,English,USA,PG,12000000,394,5.5,902
John Crowley,351,54,Fiona Glascott,838,Julie Walters,73249,995,English,UK,PG-13,11000000,55,7.5,36000
Stanley Kubrick,124,111,Steven Berkoff,385,Ryan O'Neal,101627,1104,English,UK,PG,11000000,293,8.1,0
Brendan Malloy,37,651,Jason London,799,Lee Majors,14656,4291,English,USA,PG-13,11000000,711,6.3,0
Reginald Hudlin,58,553,John Witherspoon,8000,Will Ferrell,10777,10982,English,USA,R,11000000,723,5.1,671
Dustin Hoffman,175,123,Sheridan Smith,358,Luke Newberry,15684,1114,English,UK,PG-13,11000000,156,6.8,13000
Gregory Poirier,75,443,Jake Busey,1000,Shannon Elizabeth,15427,2729,English,USA,R,11000000,660,5.3,449
Bill Paxton,161,303,Powers Boothe,11000,Matthew McConaughey,59982,12237,English,USA,R,11000000,472,7.3,5000
Simon Curtis,203,553,Frances Fisher,16000,Ryan Reynolds,33856,17866,English,UK,PG-13,11000000,638,7.3,34000
Bill Condon,188,812,Oliver Platt,14000,Liam Neeson,42689,17490,English,USA,R,11000000,1000,7.1,0
Sam Raimi,221,795,Bridget Fonda,901,Patricia Tallman,128850,3913,English,USA,R,13000000,888,7.6,10000
Dewey Nicks,66,424,Gedde Watanabe,960,Jaime King,12437,2415,English,Canada,R,11000000,448,5.3,405
Lasse Hallström,80,472,Leonardo DiCaprio,40000,Johnny Depp,171882,69746,English,USA,PG-13,11000000,29000,7.8,14000
Philip Saville,25,109,Alan Van Sprang,866,Henry Ian Cusick,2164,1281,English,Canada,PG-13,17000000,147,7.7,0
Mike Leigh,169,579,Sally Hawkins,979,Eddie Marsan,20307,3133,English,UK,R,11000000,594,7.7,0
Daisy von Scherler Mayer,70,183,Dash Mihok,658,Michael McKean,13622,1559,English,UK,R,11000000,463,5.4,550
Mira Nair,15,787,Chazz Palminteri,1000,Anjelica Huston,1761,3072,English,USA,R,11000000,979,6.2,174
Ethan Coen,535,272,Max Casella,3000,Justin Timberlake,96233,4082,English,USA,R,11000000,275,7.4,26000
Tim Blake Nelson,92,697,Andrew Keegan,1000,Mekhi Phifer,17333,3300,English,USA,R,5000000,835,6.2,0
William A. Graham,14,40,Wayne Pygram,14000,Milla Jovovich,14129,14281,English,USA,PG-13,11000000,163,5.1,967
Martin Ritt,13,104,Anthony Zerbe,338,Frank Finlay,2603,800,English,USA,PG,11000000,275,6.9,608
John Turturro,87,776,Steve Buscemi,14000,Kate Winslet,10052,28004,English,USA,R,,12000,6.3,0
Agnieszka Holland,78,22,David Kennedy,60,Phyllida Law,11132,150,English,USA,PG-13,11000000,35,6.8,0
Tobe Hooper,223,723,Zelda Rubinstein,887,Heather O'Rourke,105448,3876,English,USA,PG,10700000,770,7.4,11000
Rowan Joffe,136,405,Sean Harris,845,Sam Riley,5013,3117,English,UK,R,12000000,641,5.7,0
David Hackl,160,357,Costas Mandylor,3000,Julie Benz,88529,5286,English,USA,R,10800000,723,5.8,0
Giuliano Montaldo,28,199,Gena Rowlands,917,John Cassavetes,618,1827,English,Italy,GP,,545,6.2,85
Lisa Azuelos,54,19,Lina Esco,142,Nora Dunn,45144,248,English,USA,PG-13,11000000,79,4.3,18000
Ray Lawrence,75,48,Deborra-Lee Furness,172,John Howard,5772,378,English,Australia,R,15000000,71,6.4,302
Karan Johar,20,860,John Abraham,8000,Shah Rukh Khan,13998,10822,Hindi,India,R,700000000,1000,6.0,659
Oliver Parker,105,327,Rupert Everett,893,Minnie Driver,12980,2640,English,UK,PG-13,14000000,692,6.9,646
Ruairi Robinson,120,507,Olivia Williams,805,Romola Garai,28570,2271,English,UK,R,7000000,766,5.5,0
Jaume Balagueró,108,132,Giancarlo Giannini,541,Lena Olin,16747,1228,English,USA,PG-13,10600000,451,5.4,1000
Stanley Kubrick,285,73,Gary Lockwood,273,Keir Dullea,427357,727,English,UK,G,12000000,117,8.3,24000
Steven Spielberg,215,548,Dee Wallace,861,Henry Thomas,281842,2811,English,USA,PG,10500000,725,7.9,34000
Jon Kasdan,81,499,Elena Anaya,17000,Kristen Stewart,27689,20312,English,USA,PG-13,10000000,1000,6.5,1000
Léa Pool,17,194,Marc Donato,882,William Hurt,1337,1554,English,Canada,PG,12500000,450,6.3,392
Floyd Mutrux,5,327,Kelli Williams,665,Ricky Schroder,859,2272,English,USA,R,10500000,446,6.4,119
,3,44,Johnny Flynn,381,Antonia Thomas,2651,592,English,UK,,,102,7.9,0
Sajid Khan,10,119,Boman Irani,564,Arjun Rampal,8598,1121,Hindi,India,,,154,5.3,250
Christopher Cain,43,258,Taylor Handley,482,Jon Gries,2618,1526,,USA,R,11000000,362,5.8,411
Dean Wright,43,280,Eduardo Verástegui,639,Santiago Cabrera,3665,1807,Spanish,Mexico,R,10818775,377,6.6,0
Eric Lartigau,94,24,Eric Elmosnino,68,Karin Viard,15060,175,French,France,,11000000,29,7.4,0
Gus Van Sant,161,893,Matt Damon,49000,Robin Williams,604904,63710,English,USA,R,10000000,13000,8.3,31000
Shintaro Shimosawa,38,571,Anthony Hopkins,14000,Al Pacino,6935,27660,English,USA,R,11000000,12000,5.3,0
Darren Lynn Bousman,210,482,Shawnee Smith,723,Costas Mandylor,142115,3189,English,USA,R,10000000,651,6.2,0
Ivan Reitman,52,901,Harold Ramis,13000,Bill Murray,48629,27378,English,USA,R,10000000,11000,6.9,0
Peyton Reed,139,229,Lindsay Sloane,4000,Kirsten Dunst,70141,5270,English,USA,PG-13,10000000,464,5.9,0
James DeMonaco,165,393,Joseph Julian Soria,798,Frank Grillo,17596,2480,English,France,R,10000000,465,6.1,0
Robert Iscove,96,1000,Clea DuVall,23000,Paul Walker,67115,28734,English,USA,PG-13,10000000,1000,5.8,0
Lee Daniels,323,736,Gabourey Sidibe,939,Mo'Nique,86956,3276,English,USA,R,10000000,906,7.3,12000
Darren Lynn Bousman,190,448,Shawnee Smith,723,Costas Mandylor,111087,3492,English,USA,R,10000000,651,5.9,0
Geoffrey Sax,173,368,Keegan Connor Tracy,494,Deborah Kara Unger,41763,2013,English,UK,PG-13,10000000,392,5.5,0
Tyler Perry,46,685,Cicely Tyson,1000,Boris Kodjoe,8962,5264,English,USA,PG-13,6000000,907,5.0,676
Martin Scorsese,59,638,Bill Cobbs,10000,Tom Cruise,57831,11895,English,USA,R,13800000,970,7.0,0
Ken Annakin,53,196,Richard Beymer,726,Richard Burton,43270,1554,English,USA,G,10000000,249,7.8,0
Stephen Herek,22,577,Shaun Weiss,633,Lane Smith,44502,3362,English,USA,PG,10000000,613,6.4,0
Takashi Shimizu,203,634,Clea DuVall,4000,Sarah Michelle Gellar,115050,7461,English,USA,PG-13,10000000,1000,5.9,4000
Dennis Dugan,77,491,Kevin Nealon,11000,Adam Sandler,156143,13162,English,USA,PG-13,12000000,503,7.0,0
Victor Salva,190,270,Patricia Belcher,1000,Eileen Brennan,86890,1982,English,Germany,R,10000000,322,6.1,0
Stephen Herek,81,730,George Carlin,18000,Keanu Reeves,85362,20795,English,USA,PG,10000000,769,6.9,0
Carol Reed,56,139,Ron Moody,695,Oliver Reed,25303,1593,English,UK,G,10000000,275,7.5,0
John Madden,264,186,Penelope Wilton,1000,Tom Wilkinson,75306,1898,English,UK,PG-13,10000000,400,7.3,48000
Chuck Sheetz,44,345,Andrew Lawrence,759,Diedrich Bader,6808,2197,English,USA,G,23000000,563,6.5,227
George Miller,117,60,Bruce Spence,794,Tina Turner,101840,1529,English,Australia,PG-13,12305523,531,6.2,0
Mark L. Lester,124,581,Vernon Wells,1000,Bill Duke,111649,3192,English,USA,R,10000000,745,6.7,0
William Brent Bell,159,130,Rupert Evans,4000,Lauren Cohan,35654,4687,English,USA,PG-13,10000000,334,6.0,20000
John Erick Dowdle,273,816,Bokeem Woodbine,2000,Bojana Novakovic,104089,5628,English,USA,PG-13,10000000,904,6.3,16000
Marcus Raboy,26,615,Mike Epps,723,John Witherspoon,19284,3712,English,USA,R,20000000,706,5.8,981
Leigh Whannell,242,482,Hayley Kiyoko,852,Lin Shaye,54190,2426,English,Canada,PG-13,10000000,542,6.1,29000
Michael Schultz,55,619,Vanity,854,Mike Starr,9424,3394,English,USA,PG-13,10000000,841,6.9,0
Guy Ritchie,151,1000,Brad Pitt,26000,Jason Statham,600996,39175,English,UK,R,6000000,11000,8.3,27000
Brett Leonard,48,120,Austin O'Brien,535,Jeff Fahey,27800,1109,English,UK,R,10000000,211,5.4,0
Peter Sollett,166,617,Alexis Dziena,904,Ari Graynor,74887,2807,English,USA,PG-13,9000000,715,6.7,0
Kevin Smith,206,769,Janeane Garofalo,13000,Matt Damon,181737,16693,English,USA,R,10000000,1000,7.4,10000
Bob Dolman,92,73,Eva Amurri Martino,931,Erika Christensen,12388,1917,English,USA,R,10000000,797,5.6,744
Joe Dante,78,257,Al Leong,745,Albert Brooks,25613,1954,English,USA,PG,10000000,730,6.5,0
Rowdy Herrington,83,466,Kevin Tighe,623,Ben Gazzara,42987,2484,English,USA,R,17000000,472,6.5,0
Keenen Ivory Wayans,8,534,Salli Richardson-Whitfield,851,Jada Pinkett Smith,3924,3190,English,USA,R,10000000,543,5.8,368
John Polson,86,782,Shiri Appleby,931,Erika Christensen,16300,3819,English,USA,PG-13,8500000,855,5.0,720
Greg Coolidge,85,534,Danny Woodburn,1000,Dane Cook,37681,4441,English,USA,PG-13,12000000,809,5.5,0
Harry Elfont,76,678,Lauren Ambrose,982,Ethan Embry,37885,4259,English,USA,PG-13,10000000,945,6.5,0
Francis Ford Coppola,60,699,William Smith,10000,Tom Cruise,57363,12097,English,USA,PG-13,10000000,919,7.2,10000
David Lowery,78,190,Oona Laurence,3000,Bryce Dallas Howard,408,3691,English,USA,PG,65000000,424,7.3,21000
David Cronenberg,112,275,Herbert Lom,1000,Tom Skerritt,44804,2013,English,USA,R,10000000,278,7.2,0
Ciarán Foy,189,220,James Ransone,1000,Laila Haley,25210,2403,English,USA,R,10000000,412,5.2,13000
Salim Akil,82,706,Curtis Armstrong,1000,Omari Hardwick,5161,5804,English,USA,PG-13,17000000,876,5.7,0
Jamie Blanks,120,448,Jessica Capshaw,690,Marley Shelton,20467,2402,English,USA,R,10000000,533,4.7,0
Olatunde Osunsanmi,183,242,Will Patton,14000,Milla Jovovich,63108,15251,English,USA,PG-13,10000000,537,5.9,15000
Robert Altman,211,718,Virginia Madsen,11000,Meryl Streep,19655,12946,English,USA,PG-13,10000000,912,6.8,683
Leon Ichaso,14,338,Clarence Williams III,556,Khandi Alexander,3119,2149,English,USA,R,10000000,475,5.9,331
Joseph Zito,54,53,Richard Lynch,371,Billy Drago,6143,857,English,USA,R,10000000,324,5.3,0
Malcolm D. Lee,55,826,Brandon T. Jackson,2000,Jurnee Smollett-Bell,5585,7552,English,USA,PG-13,,918,6.0,997
Wes Anderson,179,766,Connie Nielsen,13000,Bill Murray,134458,15716,English,USA,R,9000000,933,7.7,5000
Colin Strause,221,861,Donald Faison,929,David Zayas,76199,3679,English,USA,PG-13,10000000,927,4.4,13000
John Madden,158,111,Celia Imrie,220,Tina Desai,22369,583,English,UK,PG,10000000,186,6.6,21000
Patricia Rozema,73,558,Jane Krakowski,918,Julia Ormond,4719,3317,English,USA,G,10000000,624,6.7,851
Mark Rosman,65,804,Chris Noth,1000,Ben Feldman,23527,4789,English,USA,PG,25000000,962,5.5,767
Spike Lee,23,203,Nicholas Turturro,18000,Denzel Washington,8295,19065,English,USA,R,10000000,269,6.5,720
Steve Oedekerk,63,39,Simon Rhee,176,Steve Oedekerk,37901,361,English,USA,PG-13,10000000,67,6.2,0
Ron Underwood,132,536,Ariana Richards,651,Reba McEntire,90070,3119,English,USA,PG-13,11000000,610,7.1,11000
Rob Schmidt,191,648,Lindy Booth,2000,Kevin Zegers,87494,3416,English,USA,R,12600000,683,6.1,0
Walter Hill,52,695,David Carradine,2000,Dennis Quaid,7322,6296,English,USA,R,10000000,926,7.1,680
James Foley,91,45,Paul Ben-Victor,258,Byron Mann,15358,571,English,USA,R,30000000,218,6.0,328
Jeff Nichols,368,820,Tye Sheridan,11000,Matthew McConaughey,135286,13960,English,USA,PG-13,10000000,1000,7.4,27000
Robert Ben Garant,89,307,Thomas Lennon,655,Wendi McLendon-Covey,23928,2737,English,USA,R,10000000,651,5.9,441
Morgan Spurlock,83,547,Zayn Malik,773,Harry Styles,22161,2787,English,USA,PG,10000000,734,4.1,0
Neal Brennan,83,503,Noureen DeWulf,839,Rob Riggle,17790,3973,English,USA,R,,700,5.8,0
Tuck Tucker,33,636,Vincent Schiavelli,1000,Jennifer Jason Leigh,4564,3752,English,USA,PG,3000000,811,5.9,227
Simon Curtis,386,918,Toby Jones,13000,Eddie Redmayne,71679,17204,English,UK,R,6400000,2000,7.0,17000
Richard Shepard,191,442,Philip Baker Hall,3000,Adam Scott,40514,4053,English,USA,R,10000000,497,6.8,808
Theodore Witcher,16,582,Nia Long,962,Leonard Roberts,2801,3871,English,USA,R,10000000,826,7.4,1000
Joel Edgerton,297,458,Allison Tolman,1000,Busy Philipps,79909,3215,English,USA,R,5000000,562,7.1,15000
Jim Hanon,47,30,Chad Allen,772,Chase Ellison,4360,1058,English,USA,PG-13,10000000,232,7.0,1000
Tommy O'Haver,63,869,Kirsten Dunst,15000,Mila Kunis,15617,22485,English,USA,PG-13,22000000,4000,5.8,0
Mike Judge,144,759,Stephen Root,989,Gary Cole,200293,3462,English,USA,R,10000000,939,7.8,16000
Michael Patrick Jann,77,551,Kirstie Alley,4000,Kirsten Dunst,27265,6388,English,Germany,PG-13,10000000,980,6.5,0
Tim Burton,325,309,Danny Huston,11000,Christoph Waltz,55539,12418,English,USA,PG-13,10000000,430,7.0,20000
Peter Berg,100,711,Daniel Stern,4000,Jon Favreau,39331,6046,English,USA,R,10000000,796,6.3,0
Joe Nussbaum,52,2000,Alexa PenaVega,7000,Steve Carell,12706,13626,English,USA,PG,10000000,2000,5.3,0
Brian De Palma,98,298,Dennis Franz,537,Melanie Griffith,20113,1856,English,USA,R,10000000,376,6.8,0
Jorma Taccone,163,472,Will Forte,1000,Jasper Cole,35888,2618,English,USA,R,10000000,622,5.5,0
Stephen Frears,137,250,Benedict Wong,460,Sophie Okonedo,34848,1334,English,UK,R,10000000,372,7.4,0
Elizabeth Banks,180,3000,Kate Winslet,20000,Hugh Jackman,79146,41059,English,USA,R,6000000,14000,4.3,25000
Florian Henckel von Donnersmarck,321,3000,Angelina Jolie Pitt,40000,Johnny Depp,176606,55175,English,USA,PG-13,100000000,11000,6.0,25000
Jeff Lowell,100,655,William Morgan Sheppard,939,Stephen Root,21268,3651,English,USA,PG-13,10000000,702,5.2,518
Lorene Scafaria,265,172,Mark Moses,7000,Steve Carell,87203,7747,English,USA,R,10000000,353,6.7,25000
Miguel Arteta,212,727,Stephen Root,1000,Kurtwood Smith,32697,4769,English,USA,R,,939,6.3,0
,68,476,T.J. Thyne,1000,Michaela Conlin,111506,2198,English,USA,TV-14,,722,7.9,0
Tony Kaye,162,602,Beverly D'Angelo,1000,Ethan Suplee,782437,3858,English,USA,R,7500000,816,8.6,35000
Marcus Dunstan,147,444,Johanna Braddy,1000,Daniel Sharman,36029,3818,English,USA,R,10000000,581,6.1,14000
Timothy Björklund,33,719,Kelsey Grammer,886,Nathan Lane,1231,5139,English,USA,PG,10000000,808,5.8,49
François Girard,94,2,Clotilde Mollet,24,Johannes Silberschneider,26832,29,French,Canada,R,10000000,3,7.7,0
David Lynch,143,201,Richard Farnsworth,874,Sissy Spacek,63733,1351,English,France,G,10000000,262,8.0,0
Scott Kalvert,38,934,James Franco,12000,Norman Reedus,6200,26961,English,USA,R,10000000,11000,5.6,398
Jason Bateman,126,322,Philip Baker Hall,628,Beth Grant,38459,2061,English,USA,R,10000000,497,6.7,0
David Schwimmer,168,231,Iddo Goldberg,427,Dylan Moran,58509,1022,English,UK,PG-13,,269,6.6,0
Allan Arkush,19,378,Randy Quaid,753,Bernadette Peters,1040,2791,English,USA,PG,10000000,695,4.2,425
Mike Binder,91,664,Gillian Jacobs,1000,Jennifer Ehle,8058,3745,English,USA,PG-13,9000000,837,6.6,0
Eric Bross,46,401,Tamala Jones,719,Jerry Stiller,3662,2446,English,USA,PG,16000000,405,4.1,0
Werner Herzog,198,294,Toby Huss,23000,Christian Bale,84641,24270,English,USA,PG-13,10000000,342,7.3,0
Dan Fogelman,139,970,Jennifer Garner,14000,Al Pacino,20810,18712,English,USA,R,10000000,3000,7.1,0
Jay Duplass,182,581,Evan Ross,2000,Judy Greer,56005,3374,English,USA,R,10000000,616,6.5,0
Luca Guadagnino,181,72,Waris Ahluwalia,144,Flavio Parenti,14031,474,Italian,Italy,R,10000000,110,7.0,0
John Putch,23,699,Diedrich Bader,823,Robert Picardo,5612,5262,English,USA,PG-13,10000000,759,5.5,0
Peter Medak,30,541,Michael Wincott,10000,Gary Oldman,10735,13160,English,UK,R,11500000,721,6.6,561
Steven Soderbergh,111,132,Lesley Ann Warren,402,Peter Fonda,24412,1335,English,USA,R,9000000,296,7.1,944
Paul Haggis,287,911,Loretta Devine,3000,Don Cheadle,361169,5732,English,Germany,R,6500000,912,7.9,18000
Terence Davies,96,553,Anthony LaPaglia,902,Eric Stoltz,6377,2735,English,UK,PG,10000000,576,7.1,345
Harley Cokeliss,27,311,Tracey Walter,754,Cliff Robertson,1768,1891,English,USA,R,10000000,324,5.6,208
Victor Salva,44,400,Tim DeKay,634,Scott Mechlowicz,20426,2673,English,Germany,PG-13,10000000,436,7.3,0
Tom Brady,49,269,Kevin Nealon,982,Don Johnson,9541,2603,English,USA,R,10000000,503,3.3,0
Spike Lee,57,851,Michael Rapaport,1000,Gillian White,8720,4266,English,USA,R,10000000,975,6.5,1000
Jason Zada,185,4,Stephanie Vogt,533,Eoin Macken,20837,578,English,USA,PG-13,10000000,35,4.8,10000
Franklin J. Schaffner,2,249,William Hootkins,902,Frank Langella,892,2079,English,USA,PG,14000000,488,5.2,106
Noah Baumbach,270,64,Maria Dizzia,6000,Naomi Watts,30325,6322,English,USA,R,10000000,139,6.3,0
Chris Weitz,94,221,Eddie 'Piolin' Sotelo,749,Demián Bichir,13174,2214,English,USA,PG-13,10000000,252,7.2,0
David Cronenberg,157,258,John Neville,530,Miranda Richardson,30096,1381,English,Canada,R,8000000,387,6.8,0
Eric Blakeney,49,826,Oliver Platt,14000,Liam Neeson,5936,17665,English,USA,R,10000000,1000,5.7,242
Douglas McGrath,80,1000,Anne Hathaway,16000,Charlie Hunnam,9395,29177,English,UK,PG,10000000,11000,7.2,0
Ariel Vromen,221,683,James Franco,11000,Chris Evans,55567,23187,English,USA,R,10000000,11000,6.9,20000
,53,2,Olaf Lubaszenko,20,Krystyna Janda,12591,25,Polish,Poland,TV-MA,,3,9.1,0
Rakesh Roshan,20,45,Rekha,307,Naseeruddin Shah,12411,616,Hindi,India,Not Rated,10000000,200,6.3,533
John Waters,90,503,Melanie Griffith,975,Alicia Witt,11403,3059,English,France,R,10000000,537,6.2,795
William Friedkin,376,251,Scott A. Martin,11000,Matthew McConaughey,59297,11853,English,USA,R,11000000,414,6.7,12000
Derrick Borte,144,688,Gary Cole,2000,Demi Moore,33473,4607,English,USA,R,5000000,989,6.5,0
Richard Kwietniowski,82,232,Minnie Driver,22000,Philip Seymour Hoffman,10585,23513,English,Canada,R,10000000,893,7.2,0
Bob Odenkirk,51,622,Lee Majors,966,Jenna Fischer,9517,3307,English,USA,R,10000000,799,5.3,319
Kar-Wai Wong,192,20,Norah Jones,20000,Natalie Portman,44208,20364,English,Hong Kong,PG-13,10000000,329,6.7,0
John Turturro,36,54,Ben Gazzara,816,Beverly D'Angelo,1402,1585,English,Spain,R,,623,6.2,74
Guy Ritchie,71,119,Jeanne Tripplehorn,990,Bruce Greenwood,13145,2006,English,UK,R,10000000,711,3.6,725
Joshua Seftel,79,91,Sergej Trifunovic,603,Bashar Rahal,20008,988,English,USA,R,10000000,175,5.7,883
Stephen Chow,246,51,Karen Mok,478,Wei Zhao,56923,700,Cantonese,Hong Kong,PG,10000000,83,7.3,0
Vincent Gallo,115,0,Cheryl Tiegs,787,Vincent Gallo,11487,883,English,USA,Not Rated,10000000,96,5.0,952
Claude Chabrol,34,28,François Cluzet,678,Isabelle Huppert,1649,1256,French,France,,60000000,541,6.6,33
Jon Stewart,129,241,Claire Foy,374,Numan Acar,8307,1283,English,USA,R,5000000,362,6.6,5000
Bigas Luna,22,34,Aitana Sánchez-Gijón,837,Olivier Martinez,1135,1019,French,France,,,130,6.8,85
Ralph Fiennes,196,131,Ashraf Barhom,18000,Gerard Butler,27009,18652,English,UK,R,,451,6.2,12000
Dan Harris,73,83,Ryan Donowho,374,Kip Pardue,8708,768,English,USA,R,4000000,181,7.3,345
Mel Smith,43,428,Danny Dyer,893,Minnie Driver,3080,3049,English,UK,R,10000000,798,6.2,117
Bobcat Goldthwait,129,334,Daryl Sabara,49000,Robin Williams,31964,50542,English,USA,R,,640,6.9,0
Christopher Smith,200,345,Toby Stephens,798,Danny Dyer,31890,2217,English,UK,R,5000000,769,6.6,0
Stuart Gordon,79,885,Dulé Hill,1000,Joe Mantegna,9971,5761,English,USA,R,10000000,922,6.3,661
Jake Scott,112,146,Ally Sheedy,17000,Kristen Stewart,19979,18236,English,UK,R,,793,7.0,0
Alan Metter,17,421,Michael Winslow,16000,Christopher Lee,24958,17469,English,USA,PG,6200000,542,3.3,321
Jeb Stuart,20,553,Nate Parker,665,Ricky Schroder,465,4579,English,USA,PG-13,,664,6.7,503
Rafa Lara,12,36,Andrés Montiel,78,Jorge Luis Moreno,683,221,Spanish,Mexico,R,10000000,61,6.2,874
Michael Radford,59,499,Jared Gilman,962,Chris Noth,2041,3465,English,USA,PG-13,10000000,545,6.5,0
Arthur Hiller,29,385,Harvey Weinstein,795,Eric Idle,2971,2655,English,USA,R,10000000,474,3.5,89
Michael Meredith,23,875,Justin Timberlake,12000,Jeff Bridges,2941,16118,English,USA,PG-13,10000000,3000,5.5,370
Julio DePietro,22,617,Scott Porter,806,Adrian Martinez,7759,3124,English,USA,R,8000000,690,5.9,1000
Katherine Dieckmann,43,495,Minnie Driver,1000,Stephanie Szostak,3662,3146,English,USA,PG-13,5000000,893,4.7,546
William Dear,16,422,Corbin Bleu,835,Madison Pettis,361,2519,English,Canada,PG,,632,4.2,58
Kim Farrant,84,51,Reef Ireland,147,Nicholas Hamilton,5637,285,English,Australia,R,10000000,52,5.2,0
Marcus Raboy,4,240,Tamala Jones,706,Mike Epps,1097,1936,English,USA,R,,405,5.2,402
Scott Marshall,20,611,Drew Waters,906,Drew Fuller,4995,4725,English,USA,PG-13,10000000,848,3.9,160
