director_name,director_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,imdb_score,movie_facebook_likes
Wes Craven,0,Jada Pinkett Smith,865,101334374,Horror|Mystery,Scream 2 ,124941,2321,5,http://www.imdb.com/title/tt0120082/?ref_=fn_tt_tt_1,488,English,R,24000000,6.1,0
Gavin O'Connor,149,Noah Emmerich,20000,1512815,Action|Drama|Western,Jane Got a Gun ,8885,21414,0,http://www.imdb.com/title/tt2140037/?ref_=fn_tt_tt_1,56,English,R,25000000,5.8,0
Tim Story,167,Regina Hall,966,65182182,Comedy|Romance,Think Like a Man Too ,15310,4830,8,http://www.imdb.com/title/tt2239832/?ref_=fn_tt_tt_1,38,English,PG-13,24000000,5.7,3000
Jonathan Lynn,36,Matthew Perry,13000,57262492,Comedy|Crime,The Whole Nine Yards ,90374,17582,4,http://www.imdb.com/title/tt0190138/?ref_=fn_tt_tt_1,318,English,R,24000000,6.7,0
Herbert Ross,71,Chris Penn,967,80000000,Drama|Music|Romance,Footloose ,51459,1962,0,http://www.imdb.com/title/tt0087277/?ref_=fn_tt_tt_1,113,English,PG,8200000,6.5,0
Todd Phillips,480,Leah Remini,8000,74608545,Comedy,Old School ,185258,10325,4,http://www.imdb.com/title/tt0302886/?ref_=fn_tt_tt_1,404,English,R,24000000,7.2,0
Terry Gilliam,0,David Hyde Pierce,12000,41895491,Comedy|Drama|Fantasy,The Fisher King ,63274,12947,1,http://www.imdb.com/title/tt0101889/?ref_=fn_tt_tt_1,170,English,R,24000000,7.6,12000
Danny Cannon,41,Mekhi Phifer,45000,39989008,Horror|Mystery,I Still Know What You Did Last Summer ,55398,49847,2,http://www.imdb.com/title/tt0130018/?ref_=fn_tt_tt_1,418,English,R,24000000,4.6,891
Bonnie Hunt,597,Jim Belushi,893,32662299,Comedy|Drama|Romance,Return to Me ,16469,3946,1,http://www.imdb.com/title/tt0122459/?ref_=fn_tt_tt_1,275,English,PG,24000000,6.9,0
Kevin Smith,0,Jeff Anderson,218,31452765,Comedy|Romance,Zack and Miri Make a Porno ,149835,638,7,http://www.imdb.com/title/tt1007028/?ref_=fn_tt_tt_1,243,English,R,24000000,6.6,0
Neil LaBute,119,Pruitt Taylor Vince,11000,25167270,Comedy|Crime|Drama,Nurse Betty ,30119,12254,4,http://www.imdb.com/title/tt0171580/?ref_=fn_tt_tt_1,263,English,R,24000000,6.3,455
Grant Heslov,293,Jeff Bridges,18000,32416109,Comedy|War,The Men Who Stare at Goats ,109620,32474,0,http://www.imdb.com/title/tt1234548/?ref_=fn_tt_tt_1,268,English,R,25000000,6.2,15000
George Gallo,269,Eddie Griffin,1000,20218,Action|Comedy|Crime|Thriller,Double Take ,5431,2557,2,http://www.imdb.com/title/tt0238948/?ref_=fn_tt_tt_1,50,English,PG-13,24000000,5.3,204
James Mangold,446,Clea DuVall,11000,28871190,Biography|Drama,"Girl, Interrupted ",125421,13433,0,http://www.imdb.com/title/tt0172493/?ref_=fn_tt_tt_1,385,English,R,24000000,7.3,0
Robert Luketic,126,Gary Cole,2000,16964743,Comedy|Romance,Win a Date with Tad Hamilton! ,22844,4681,1,http://www.imdb.com/title/tt0335559/?ref_=fn_tt_tt_1,140,English,PG-13,24000000,5.6,876
Tim Hill,25,F. Murray Abraham,1000,16290976,Adventure|Comedy|Family|Fantasy|Music|Sci-Fi,Muppets from Space ,14637,3243,0,http://www.imdb.com/title/tt0158811/?ref_=fn_tt_tt_1,100,English,G,24000000,6.2,619
Sidney Lumet,0,Diana Ross,738,13000000,Adventure|Family|Fantasy|Music|Musical,The Wiz ,10895,1458,0,http://www.imdb.com/title/tt0078504/?ref_=fn_tt_tt_1,150,English,G,24000000,5.2,0
Brian Robbins,48,Ellen Albertini Dow,1000,12372410,Comedy|Sport,Ready to Rumble ,11709,4971,1,http://www.imdb.com/title/tt0217756/?ref_=fn_tt_tt_1,101,English,PG-13,24000000,5.3,650
Ron Shelton,41,Robert Wagner,512,8427204,Comedy|Drama|Sport,Play It to the Bone ,10100,1523,0,http://www.imdb.com/title/tt0196857/?ref_=fn_tt_tt_1,59,English,R,24000000,5.4,153
Douglas McGrath,41,Busy Philipps,2000,9639242,Comedy|Romance,I Don't Know How She Does It ,16437,5470,0,http://www.imdb.com/title/tt1742650/?ref_=fn_tt_tt_1,68,English,PG-13,24000000,4.9,0
Alexandre Aja,192,Kelly Brook,3000,25003072,Comedy|Horror,Piranha 3D ,72552,5737,0,http://www.imdb.com/title/tt0464154/?ref_=fn_tt_tt_1,374,English,R,24000000,5.5,13000
Kevin Spacey,18000,Bob Hoskins,18000,6144806,Biography|Drama|Music|Musical,Beyond the Sea ,12821,23689,1,http://www.imdb.com/title/tt0363473/?ref_=fn_tt_tt_1,248,English,PG-13,23000000,6.7,0
Steve Boyum,9,M.C. Gainey,23000,4308981,Comedy|Family,Meet the Deedles ,2265,24436,2,http://www.imdb.com/title/tt0120645/?ref_=fn_tt_tt_1,37,English,PG,24000000,3.9,839
Richard Williams,18,Kenneth Williams,742,669276,Action|Adventure|Animation|Comedy|Fantasy,The Princess and the Cobbler ,2541,1088,0,http://www.imdb.com/title/tt0112389/?ref_=fn_tt_tt_1,47,English,G,28000000,7.2,408
Mary McGuckian,6,F. Murray Abraham,22000,42880,Drama|Romance,The Bridge of San Luis Rey ,2919,23769,3,http://www.imdb.com/title/tt0356443/?ref_=fn_tt_tt_1,50,English,PG,24000000,5.1,181
George Tillman Jr.,88,Tom Berenger,12000,23225911,Action|Crime|Drama|Thriller,Faster ,80574,14699,1,http://www.imdb.com/title/tt1433108/?ref_=fn_tt_tt_1,157,English,R,24000000,6.5,12000
Hayao Miyazaki,6000,Blythe Danner,23000,4710455,Adventure|Animation|Family|Fantasy,Howl's Moving Castle ,214091,24263,0,http://www.imdb.com/title/tt0347149/?ref_=fn_tt_tt_1,330,Japanese,PG,24000000,8.2,13000
Ruben Fleischer,181,Bill Murray,15000,75590286,Adventure|Comedy|Horror|Sci-Fi,Zombieland ,386217,28011,4,http://www.imdb.com/title/tt1156398/?ref_=fn_tt_tt_1,553,English,R,23600000,7.7,26000
Peter Jackson,0,Thomas Kretschmann,6000,218051260,Action|Adventure|Drama|Romance,King Kong ,316020,7122,0,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2618,English,PG-13,207000000,7.2,0
Frank Coraci,153,Clint Howard,11000,161487252,Comedy|Sport,The Waterboy ,119450,13823,0,http://www.imdb.com/title/tt0120484/?ref_=fn_tt_tt_1,300,English,PG-13,20000000,6.1,0
Irvin Kershner,883,Kenny Baker,11000,290158751,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode V - The Empire Strikes Back ,837759,12643,0,http://www.imdb.com/title/tt0080684/?ref_=fn_tt_tt_1,900,English,PG,18000000,8.8,17000
Michael Bay,0,Tchéky Karyo,10000,65807024,Action|Comedy|Crime|Drama|Thriller,Bad Boys ,172405,11013,0,http://www.imdb.com/title/tt0112442/?ref_=fn_tt_tt_1,203,English,R,19000000,6.8,0
David Zucker,119,Priscilla Presley,3000,86930411,Comedy|Crime,The Naked Gun 2½: The Smell of Fear ,83269,3847,6,http://www.imdb.com/title/tt0102510/?ref_=fn_tt_tt_1,87,English,PG-13,23000000,6.8,0
James Wong,70,Brendan Fehr,1000,53302314,Horror|Thriller,Final Destination ,181058,3345,1,http://www.imdb.com/title/tt0195714/?ref_=fn_tt_tt_1,674,English,R,23000000,6.7,0
George Clooney,0,Philip Seymour Hoffman,33000,40962534,Drama,The Ides of March ,188652,57077,1,http://www.imdb.com/title/tt1124035/?ref_=fn_tt_tt_1,288,English,R,12500000,7.1,22000
David Twohy,123,Radha Mitchell,14000,39235088,Horror|Sci-Fi,Pitch Black ,193962,16196,0,http://www.imdb.com/title/tt0134847/?ref_=fn_tt_tt_1,805,English,R,23000000,7.1,5000
Tony Goldwyn,956,Ellen Barkin,20000,27338033,Comedy|Romance,Someone Like You... ,19709,20798,3,http://www.imdb.com/title/tt0244970/?ref_=fn_tt_tt_1,167,English,PG-13,23000000,6.1,0
Spike Jonze,0,Brian Johnson,19000,25556065,Drama|Romance|Sci-Fi,Her ,355126,19359,1,http://www.imdb.com/title/tt1798709/?ref_=fn_tt_tt_1,748,English,R,23000000,8.0,148000
Dexter Fletcher,452,Taron Egerton,20000,15785632,Biography|Comedy|Drama|Sport,Eddie the Eagle ,32513,21195,3,http://www.imdb.com/title/tt1083452/?ref_=fn_tt_tt_1,119,English,PG-13,23000000,7.5,15000
John Dahl,131,Jessica Bowman,23000,21973182,Mystery|Thriller,Joy Ride ,53415,23242,2,http://www.imdb.com/title/tt0206314/?ref_=fn_tt_tt_1,339,English,R,23000000,6.6,0
Jonathan Newman,3,Keeley Hawes,2000,4756,Adventure|Family|Fantasy,The Adventurer: The Curse of the Midas Box ,4191,2450,4,http://www.imdb.com/title/tt1376213/?ref_=fn_tt_tt_1,32,English,PG,25000000,5.4,0
Wayne Wang,61,Eva Amurri Martino,20000,18653615,Comedy|Drama,Anywhere But Here ,14786,22040,2,http://www.imdb.com/title/tt0149691/?ref_=fn_tt_tt_1,103,English,PG-13,23000000,6.1,638
Andy Cadiff,3,Stark Sands,448,12189514,Comedy|Romance,Chasing Liberty ,30092,829,0,http://www.imdb.com/title/tt0360139/?ref_=fn_tt_tt_1,129,English,PG-13,23000000,6.1,0
Michael Dinner,12,Dan Hedaya,327,13019253,Comedy|Crime,The Crew ,3914,1509,4,http://www.imdb.com/title/tt0198386/?ref_=fn_tt_tt_1,47,English,PG-13,23000000,5.6,153
Steven Soderbergh,0,Michael Fassbender,17000,18934858,Action|Thriller,Haywire ,72646,31187,5,http://www.imdb.com/title/tt1506999/?ref_=fn_tt_tt_1,397,English,R,23000000,5.8,0
Joseph Sargent,114,Mario Van Peebles,912,20763013,Adventure|Horror|Thriller,Jaws: The Revenge ,30840,2355,0,http://www.imdb.com/title/tt0093300/?ref_=fn_tt_tt_1,383,English,PG-13,23000000,2.8,0
Jerry Zaks,4,Robert De Niro,29000,12782508,Drama,Marvin's Room ,20163,63194,2,http://www.imdb.com/title/tt0116999/?ref_=fn_tt_tt_1,71,English,PG-13,23000000,6.7,1000
Fred Durst,258,Dash Mihok,721,11508423,Biography|Comedy|Drama|Family|Sport,The Longshots ,3174,2453,2,http://www.imdb.com/title/tt1091751/?ref_=fn_tt_tt_1,19,English,PG,23000000,5.1,376
Neil Jordan,277,Ian Hart,327,10660147,Drama|Romance,The End of the Affair ,17740,672,0,http://www.imdb.com/title/tt0172396/?ref_=fn_tt_tt_1,165,English,R,23000000,7.2,0
Simon Wincer,23,Tia Carrere,1000,7434726,Action|Crime|Drama|Thriller|Western,Harley Davidson and the Marlboro Man ,14473,3671,2,http://www.imdb.com/title/tt0102005/?ref_=fn_tt_tt_1,81,English,R,23000000,6.0,0
Paul Haggis,549,Charlize Theron,11000,6777589,Crime|Drama|Mystery|Thriller,In the Valley of Elah ,60115,24248,2,http://www.imdb.com/title/tt0478134/?ref_=fn_tt_tt_1,224,English,R,,7.2,0
Anne Fontaine,105,Benoît Poelvoorde,527,6109075,Biography|Drama,Coco Before Chanel ,32003,735,1,http://www.imdb.com/title/tt1035736/?ref_=fn_tt_tt_1,65,French,PG-13,19430000,6.7,0
Jon Cassar,78,Landon Liboiron,2000,,Drama|Western,Forsaken ,4693,4142,1,http://www.imdb.com/title/tt2271563/?ref_=fn_tt_tt_1,49,English,R,11000000,6.3,0
Stephen Frears,350,Iben Hjejle,201,2708188,Comedy|Drama|Romance,Chéri ,8924,365,1,http://www.imdb.com/title/tt1179258/?ref_=fn_tt_tt_1,43,English,R,23000000,6.2,0
,,Sarah Carter,787,,Action|Crime|Drama|Thriller,Rogue             ,1781,3276,0,http://www.imdb.com/title/tt2397255/?ref_=fn_tt_tt_1,23,English,,,6.8,532
Mira Nair,300,Roger Lloyd Pack,805,16123851,Drama,Vanity Fair ,17373,1618,2,http://www.imdb.com/title/tt0241025/?ref_=fn_tt_tt_1,148,English,PG-13,23000000,6.2,767
Teddy Chan,3,Simon Yam,556,,Action|Drama|History,Bodyguards and Assassins ,6263,1059,0,http://www.imdb.com/title/tt1403130/?ref_=fn_tt_tt_1,33,Mandarin,,23000000,6.9,765
Mikael Håfström,101,Kim Thomson,129,71975611,Fantasy|Horror,1408 ,209396,214,0,http://www.imdb.com/title/tt0450385/?ref_=fn_tt_tt_1,580,English,PG-13,25000000,6.8,11000
Mel Brooks,0,Dick Van Patten,1000,38119483,Adventure|Comedy|Sci-Fi,Spaceballs ,136667,2936,2,http://www.imdb.com/title/tt0094012/?ref_=fn_tt_tt_1,273,English,PG,22700000,7.1,13000
Russell Crowe,0,Ryan Corr,523,4190530,Drama|War,The Water Diviner ,53341,1795,0,http://www.imdb.com/title/tt3007512/?ref_=fn_tt_tt_1,185,English,R,22500000,7.1,18000
Jerry Zucker,109,Tony Goldwyn,2000,217631306,Drama|Fantasy|Romance|Thriller,Ghost ,154199,3100,0,http://www.imdb.com/title/tt0099653/?ref_=fn_tt_tt_1,252,English,PG-13,22000000,7.0,0
Bobby Farrelly,101,Lin Shaye,931,176483808,Comedy|Romance,There's Something About Mary ,247289,4664,1,http://www.imdb.com/title/tt0129387/?ref_=fn_tt_tt_1,611,English,R,23000000,7.1,0
John Pasquin,11,Eric Lloyd,901,144833357,Comedy|Drama|Family|Fantasy,The Santa Clause ,64742,2790,0,http://www.imdb.com/title/tt0111070/?ref_=fn_tt_tt_1,111,English,PG,22000000,6.4,0
John Lee Hancock,102,Jay Hernandez,2000,75597042,Drama|Family|Sport,The Rookie ,26434,6657,0,http://www.imdb.com/title/tt0265662/?ref_=fn_tt_tt_1,174,English,G,20000000,7.0,0
Andy Fickman,99,Kyra Sedgwick,12000,90636983,Comedy|Family|Sport,The Game Plan ,44021,15170,0,http://www.imdb.com/title/tt0492956/?ref_=fn_tt_tt_1,83,English,PG,22000000,6.2,0
Clint Eastwood,16000,Meryl Streep,16000,70960517,Drama|Romance,The Bridges of Madison County ,54631,27237,0,http://www.imdb.com/title/tt0112579/?ref_=fn_tt_tt_1,192,English,PG-13,35000000,7.5,0
Luke Greenfield,42,Michael Papajohn,436,55762229,Comedy|Sci-Fi,The Animal ,47383,1203,1,http://www.imdb.com/title/tt0255798/?ref_=fn_tt_tt_1,132,English,PG-13,22000000,4.8,1000
Richard Attenborough,0,Amrish Puri,545,,Biography|Drama|History,Gandhi ,171726,1943,0,http://www.imdb.com/title/tt0083987/?ref_=fn_tt_tt_1,256,English,PG,22000000,8.1,12000
Lasse Hallström,529,Charlotte Le Bon,820,54235441,Comedy|Drama,The Hundred-Foot Journey ,52894,1484,3,http://www.imdb.com/title/tt2980648/?ref_=fn_tt_tt_1,185,English,PG,22000000,7.3,55000
Irwin Winkler,34,Jeremy Northam,649,50728000,Action|Crime|Drama|Mystery|Thriller,The Net ,48909,1725,0,http://www.imdb.com/title/tt0113957/?ref_=fn_tt_tt_1,166,English,PG-13,22000000,5.8,0
Jessie Nelson,24,Loretta Devine,967,40270895,Drama,I Am Sam ,121937,3152,0,http://www.imdb.com/title/tt0277027/?ref_=fn_tt_tt_1,431,English,PG-13,22000000,7.6,15000
Christopher Spencer,25,Amber Rose Revah,329,59696176,Biography|Drama|History,Son of God ,15448,775,1,http://www.imdb.com/title/tt3210686/?ref_=fn_tt_tt_1,174,English,PG-13,22000000,5.6,15000
Len Wiseman,235,Kevin Grevioux,955,51483949,Action|Fantasy|Thriller,Underworld ,208092,1777,0,http://www.imdb.com/title/tt0320691/?ref_=fn_tt_tt_1,806,English,R,22000000,7.0,0
Mikael Håfström,101,RZA,896,36020063,Drama|Thriller,Derailed ,62584,2019,2,http://www.imdb.com/title/tt0398017/?ref_=fn_tt_tt_1,375,English,R,22000000,6.6,0
Steven Soderbergh,0,Joel McHale,13000,33313582,Comedy|Crime|Drama|Thriller,The Informant! ,52888,16031,1,http://www.imdb.com/title/tt1130080/?ref_=fn_tt_tt_1,175,English,R,21000000,6.5,0
Richard Attenborough,0,James Frain,12000,25842000,Biography|Drama|Romance,Shadowlands ,13455,13619,0,http://www.imdb.com/title/tt0108101/?ref_=fn_tt_tt_1,87,English,PG,22000000,7.4,2000
Mike Bigelow,2,Eddie Griffin,591,22264487,Comedy,Deuce Bigalow: European Gigolo ,41239,1729,0,http://www.imdb.com/title/tt0367652/?ref_=fn_tt_tt_1,166,English,R,22000000,4.6,887
Ken Scott,31,Bobby Moynihan,390,30659817,Comedy|Drama,Delivery Man ,59805,1006,10,http://www.imdb.com/title/tt2387559/?ref_=fn_tt_tt_1,95,English,PG-13,26000000,6.4,0
Paul McGuigan,118,Spencer Wilding,11000,5773519,Drama|Horror|Sci-Fi|Thriller,Victor Frankenstein ,28621,12876,2,http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1,91,English,PG-13,40000000,6.0,11000
Susanna White,24,Pawel Szajda,150,3108216,Thriller,Our Kind of Traitor ,2587,540,2,http://www.imdb.com/title/tt1995390/?ref_=fn_tt_tt_1,21,English,R,,6.4,0
Dennis Dugan,221,Neil Diamond,240,19351569,Comedy|Crime|Romance,Saving Silverman ,33287,664,1,http://www.imdb.com/title/tt0239948/?ref_=fn_tt_tt_1,201,English,PG-13,22000000,5.9,739
David Bowers,42,Rachael Harris,975,49002815,Comedy|Family,Diary of a Wimpy Kid: Dog Days ,15665,3153,2,http://www.imdb.com/title/tt2023453/?ref_=fn_tt_tt_1,35,English,PG,22000000,6.4,0
Spike Lee,0,Jennifer Esposito,978,19283782,Crime|Drama|Romance|Thriller,Summer of Sam ,31227,5386,0,http://www.imdb.com/title/tt0162677/?ref_=fn_tt_tt_1,354,English,R,22000000,6.6,0
Kevin Smith,0,Shannon Elizabeth,8000,30059386,Comedy,Jay and Silent Bob Strike Back ,128593,11632,5,http://www.imdb.com/title/tt0261392/?ref_=fn_tt_tt_1,867,English,R,22000000,6.9,0
Michael Bay,0,Steve Buscemi,19000,35799026,Action|Adventure|Romance|Sci-Fi|Thriller,The Island ,263336,34838,1,http://www.imdb.com/title/tt0399201/?ref_=fn_tt_tt_1,899,English,PG-13,126000000,6.9,0
Daniel Sackheim,12,Bruce Dern,962,17951431,Crime|Drama|Mystery|Thriller,The Glass House ,25462,4239,1,http://www.imdb.com/title/tt0221218/?ref_=fn_tt_tt_1,200,English,PG-13,30000000,5.8,804
Ethan Coen,1000,Channing Tatum,19000,29997095,Comedy|Mystery,"Hail, Caesar! ",60926,38494,5,http://www.imdb.com/title/tt0475290/?ref_=fn_tt_tt_1,302,English,PG-13,22000000,6.4,23000
Harry Elfont,4,Paulo Costanzo,3000,14252830,Comedy|Music,Josie and the Pussycats ,18900,3769,0,http://www.imdb.com/title/tt0236348/?ref_=fn_tt_tt_1,242,English,PG-13,22000000,5.3,0
Gary Fleder,39,James Franco,26000,19783777,Action|Crime|Drama|Thriller,Homefront ,82804,39989,1,http://www.imdb.com/title/tt2312718/?ref_=fn_tt_tt_1,154,English,R,22000000,6.5,15000
Uli Edel,34,Jim Carter,554,13555988,Adventure|Comedy|Family|Fantasy,The Little Vampire ,7242,2216,1,http://www.imdb.com/title/tt0192255/?ref_=fn_tt_tt_1,38,English,PG,22000000,5.7,0
David O. Russell,737,Lily Tomlin,6000,12784713,Comedy,I Heart Huckabees ,56813,8094,11,http://www.imdb.com/title/tt0356721/?ref_=fn_tt_tt_1,381,English,R,22000000,6.7,0
Fred Dekker,87,Rip Torn,1000,10696210,Action|Crime|Sci-Fi|Thriller,RoboCop 3 ,35018,3148,0,http://www.imdb.com/title/tt0107978/?ref_=fn_tt_tt_1,180,English,PG-13,23500000,3.9,716
Brian Trenchard-Smith,53,Udo Kier,2000,5974653,Action|Adventure|Fantasy|Sci-Fi|Thriller,Megiddo: The Omega Code 2 ,2253,4221,0,http://www.imdb.com/title/tt0263728/?ref_=fn_tt_tt_1,111,English,PG-13,22000000,4.1,158
Blake Edwards,688,Vernon Dobtcheff,638,5000000,Comedy|Drama|Musical|Romance|War,Darling Lili ,1547,788,2,http://www.imdb.com/title/tt0065611/?ref_=fn_tt_tt_1,50,English,G,25000000,6.2,104
Hugh Wilson,37,Alex Rocco,3000,9694105,Comedy|Family|Romance,Dudley Do-Right ,8176,5568,0,http://www.imdb.com/title/tt0160236/?ref_=fn_tt_tt_1,77,English,PG,22000000,3.8,272
Camille Delamarre,11,Noémie Lenoir,805,16027866,Action|Crime|Thriller,The Transporter Refueled ,26767,1411,0,http://www.imdb.com/title/tt2938956/?ref_=fn_tt_tt_1,121,English,PG-13,25000000,5.1,0
Laurence Dunmore,2,Jack Davenport,40000,4829497,Drama|Romance,The Libertine ,31433,42484,1,http://www.imdb.com/title/tt0375920/?ref_=fn_tt_tt_1,260,English,R,,6.4,0
Paul Verhoeven,719,Sebastian Koch,2000,4398392,Drama|Thriller|War,Black Book ,59507,2590,1,http://www.imdb.com/title/tt0389557/?ref_=fn_tt_tt_1,232,Dutch,R,21000000,7.8,0
Christian Carion,13,Dany Boon,203,1050445,Drama|History|Music|Romance|War,Joyeux Noel ,21394,773,0,http://www.imdb.com/title/tt0424205/?ref_=fn_tt_tt_1,147,French,PG-13,22000000,7.8,11000
David Palmer,21,Tom Arnold,14000,13746550,Action|Comedy|Romance,Hit and Run ,29322,15922,5,http://www.imdb.com/title/tt2097307/?ref_=fn_tt_tt_1,104,English,R,2000000,6.1,0
Callie Khouri,144,Ted Danson,939,20668843,Comedy|Crime|Thriller,Mad Money ,16831,2453,3,http://www.imdb.com/title/tt0951216/?ref_=fn_tt_tt_1,54,English,PG-13,22000000,5.8,687
Rowan Joffe,17,Ben Crompton,14000,2963012,Drama|Mystery|Thriller,Before I Go to Sleep ,48873,14617,1,http://www.imdb.com/title/tt1726592/?ref_=fn_tt_tt_1,105,English,R,22000000,6.3,11000
William Friedkin,607,Joe Spinell,813,,Adventure|Drama|Thriller,Sorcerer ,9513,1011,0,http://www.imdb.com/title/tt0076740/?ref_=fn_tt_tt_1,116,English,PG,12000000,7.7,0
John Curran,43,Milla Jovovich,22000,1796024,Drama|Thriller,Stone ,34985,37766,1,http://www.imdb.com/title/tt1423995/?ref_=fn_tt_tt_1,135,English,R,22000000,5.4,0
Laurent Tirard,2,Ludivine Sagnier,809,634277,Comedy|History,Molière ,5166,1651,1,http://www.imdb.com/title/tt0796335/?ref_=fn_tt_tt_1,27,French,PG-13,16000000,7.3,815
Scott Cooper,108,Sam Shepard,23000,11326836,Crime|Drama|Thriller,Out of the Furnace ,83171,24134,0,http://www.imdb.com/title/tt1206543/?ref_=fn_tt_tt_1,231,English,R,22000000,6.8,17000
Tony Gilroy,209,Denis O'Hare,1000,49024969,Crime|Drama|Mystery|Thriller,Michael Clayton ,133367,3284,0,http://www.imdb.com/title/tt0465538/?ref_=fn_tt_tt_1,363,English,R,25000000,7.3,0
Peter Segal,88,Bradley Whitford,957,22294341,Adventure|Comedy,My Fellow Americans ,12278,4629,3,http://www.imdb.com/title/tt0117119/?ref_=fn_tt_tt_1,71,English,PG-13,21500000,6.5,758
Mark Pellington,89,Spencer Treat Clark,12000,24362501,Crime|Drama|Thriller,Arlington Road ,69980,13576,1,http://www.imdb.com/title/tt0137363/?ref_=fn_tt_tt_1,591,English,R,21500000,7.2,0
Juan José Campanella,195,Diego Ramos,20,,Adventure|Animation|Family|Sport,Underdogs ,6920,30,4,http://www.imdb.com/title/tt1634003/?ref_=fn_tt_tt_1,22,Spanish,PG,22000000,6.7,0
Woody Allen,11000,Judy Davis,385,16684352,Comedy|Romance,To Rome with Love ,67893,1205,0,http://www.imdb.com/title/tt1859650/?ref_=fn_tt_tt_1,163,English,R,17000000,6.3,18000
Clint Eastwood,16000,Warren Clarke,16000,46700000,Action|Adventure|Thriller,Firefox ,19832,16805,1,http://www.imdb.com/title/tt0083943/?ref_=fn_tt_tt_1,98,English,PG,21000000,5.9,0
Trey Parker,406,Eric Idle,893,52008288,Animation|Comedy|Fantasy|Musical,South Park: Bigger Longer & Uncut ,162037,3003,1,http://www.imdb.com/title/tt0158983/?ref_=fn_tt_tt_1,928,English,R,21000000,7.8,0
Frank Oz,0,Ewen Bremner,22000,8579684,Comedy,Death at a Funeral ,89547,24324,0,http://www.imdb.com/title/tt0795368/?ref_=fn_tt_tt_1,199,English,R,9000000,7.4,0
Stuart Gillard,8,John Aylward,533,42660000,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Teenage Mutant Ninja Turtles III ,25086,1254,0,http://www.imdb.com/title/tt0108308/?ref_=fn_tt_tt_1,87,English,PG,17000000,4.8,1000
Brian Robbins,48,D.B. Sweeney,18000,40219708,Drama|Sport,Hardball ,22649,18630,3,http://www.imdb.com/title/tt0180734/?ref_=fn_tt_tt_1,131,English,PG-13,21000000,6.3,0
David O. Russell,737,Robert De Niro,34000,132088910,Comedy|Drama|Romance,Silver Linings Playbook ,533607,72115,0,http://www.imdb.com/title/tt1045658/?ref_=fn_tt_tt_1,692,English,R,21000000,7.8,117000
Richard LaGravenese,98,Scott Glenn,2000,36581633,Biography|Crime|Drama,Freedom Writers ,52533,3994,1,http://www.imdb.com/title/tt0463998/?ref_=fn_tt_tt_1,235,English,PG-13,21000000,7.5,10000
Tyler Perry,0,Loretta Devine,1000,37721949,Drama,For Colored Girls ,6067,6035,0,http://www.imdb.com/title/tt1405500/?ref_=fn_tt_tt_1,73,English,R,,6.0,0
Louis Leterrier,255,Qi Shu,26000,25296447,Action|Crime|Thriller,The Transporter ,237248,27572,0,http://www.imdb.com/title/tt0293662/?ref_=fn_tt_tt_1,460,English,PG-13,21000000,6.8,0
Jeff Wadlow,65,Neil Brown Jr.,3000,24848292,Action|Drama|Sport,Never Back Down ,80556,4089,1,http://www.imdb.com/title/tt1023111/?ref_=fn_tt_tt_1,184,English,PG-13,20000000,6.6,0
Katt Shea,52,Rachel Blanchard,711,17757087,Horror|Sci-Fi|Thriller,The Rage: Carrie 2 ,13065,3162,1,http://www.imdb.com/title/tt0144814/?ref_=fn_tt_tt_1,253,English,R,21000000,4.6,897
,,,98,,Game-Show|Reality-TV|Romance,The Bachelor             ,4398,98,0,http://www.imdb.com/title/tt0313038/?ref_=fn_tt_tt_1,33,English,,3000000,2.9,141
Sam Mendes,0,Jim Gaffigan,925,9430988,Comedy|Drama|Romance,Away We Go ,45992,1997,2,http://www.imdb.com/title/tt1176740/?ref_=fn_tt_tt_1,115,English,R,17000000,7.1,7000
Joshua Michael Stern,0,Judge Reinhold,1000,16284360,Comedy|Drama,Swing Vote ,15079,6212,1,http://www.imdb.com/title/tt1027862/?ref_=fn_tt_tt_1,79,English,PG-13,21000000,6.1,1000
Brad Silberling,52,Holly Hunter,15000,6830957,Drama|Romance,Moonlight Mile ,11983,16692,3,http://www.imdb.com/title/tt0179098/?ref_=fn_tt_tt_1,147,English,PG-13,21000000,6.7,365
Tomas Alfredson,140,Colin Firth,19000,24104113,Drama|Mystery|Thriller,Tinker Tailor Soldier Spy ,149066,46241,1,http://www.imdb.com/title/tt1340800/?ref_=fn_tt_tt_1,517,English,R,20000000,7.1,24000
John Duigan,18,Jill Hennessy,670,15593,Comedy|Drama|Romance,Molly ,2295,1562,1,http://www.imdb.com/title/tt0143746/?ref_=fn_tt_tt_1,40,English,PG-13,21000000,5.8,284
Jodie Foster,0,Cherry Jones,34000,958319,Drama,The Beaver ,39764,34705,0,http://www.imdb.com/title/tt1321860/?ref_=fn_tt_tt_1,148,English,PG-13,21000000,6.7,17000
Colin Higgins,19,Barry Corbin,1000,69700000,Comedy|Musical,The Best Little Whorehouse in Texas ,7748,3688,2,http://www.imdb.com/title/tt0083642/?ref_=fn_tt_tt_1,48,English,R,35000000,5.8,0
