director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_3_name,facenumber_in_poster,plot_keywords,title_year,aspect_ratio,movie_facebook_likes
Adam Carolla,14,98,102,360,Jim O'Heir,563,105943,David Alan Grier,0,girl in panties|panties|red panties|stand up comedy,2015,,212
Ira Sachs,39,108,60,121,Jenny O'Hara,826,,Darren E. Burrows,0,love|music producer|previous marriage|rock 'n' roll|russian,2005,1.85,216
John Sayles,35,124,407,7,John Arcilla,38,183490,Ronnie Lazaro,0,american|filipino|friendship|guerrilla army|village,2010,,594
Bruce McDonald,178,95,49,57,Georgina Reilly,413,3478,Boyd Banks,0,blood splatter|talk radio|virus|vomiting blood|zombie apocalypse,2008,2.35,0
James Mottern,46,90,7,711,Joey Lauren Adams,87000,52166,Matthew Lawrence,3,cancer|cigarette smoking|hospital|one night stand|trucker,2008,2.35,371
Jaime Zevallos,,93,228,134,Jaime Zevallos,310,,Michael Elian,1,,2015,,132
Rob Zombie,234,101,0,721,Dee Wallace,1000,1163508,Michael Berryman,1,blood|flashback|radio dj|radio station|vinyl,2012,2.35,15000
Gerard Johnstone,166,107,3,28,Bruce Hopkins,61,,Cameron Rhodes,3,bloody violence|exploding head|haunted house|plot twist|slapstick,2014,2.35,10000
Robert Greenwald,56,20,21,0,Jon Hunter,0,,Matt Hunter,0,greed|pollution|slave labor|truth|wal mart,2005,1.85,0
David Ray,16,87,0,108,Sarah Lind,199,,Kyla Wise,2,death|high school|prostitute|suicide|time travel,2005,,193
Dave Rodriguez,9,98,11,636,Michael Rapaport,979,,Paul Sorvino,2,,2013,1.89,283
Nae Caranfil,18,112,34,71,Joe Armstrong,129,,Martin Hancock,2,,2014,2.35,0
David Winning,4,82,65,146,Amber Marshall,341,,John DeSantis,0,,2014,,236
Frank Lotito,,102,5,259,Jake Busey,3000,,Tim Guinee,,adolescence|girl next door|growing vegetables|high standards|sent away,2015,1.85,232
Timothy Woodward Jr.,6,97,764,492,Johnny Messner,835,,Michael Paré,3,,2015,2.35,402
Christopher McQuarrie,387,130,188,1000,Robert Duvall,10000,80033643,David Oyelowo,2,coma|mysterious villain|police chase|shooting range|sniper,2012,2.35,38000
Tara Subkoff,35,101,37,56,Balthazar Getty,501,,Lydia Hearst,1,bullying|cyberbullying|girl|internet|throat slitting,2015,,750
Russell Friedenberg,27,93,9,485,Glen Powell,708,,Kiowa Gordon,,after dark horrorfest,2015,,135
William Cottrell,145,83,0,31,Billy Gilbert,82,184925485,Lucille La Verne,1,dwarf|love|princess|queen|snow white,1937,1.37,0
Lucrecia Martel,78,106,33,3,Mercedes Morán,341,304124,María Alche,0,16 year old|doctor|hotel|tinnitus|title directed by female,2004,1.85,57
Edward Dmytryk,10,113,74,387,Woody Strode,984,,Honor Blackman,2,bare chested male bondage|european|female frontal nudity|topless woman|war paint,1968,2.35,209
Zak Penn,60,94,87,37,Gabriel Beristain,87,36830,John Bailey,0,boat|director|loch ness|loch ness monster|monster,2004,1.85,400
Alex Ranarivelo,9,101,20,256,Christina Moore,1000,,Cullen Douglas,,,2016,2.35,724
Jon Knautz,63,99,10,295,Adam DiMarco,756,,Chasty Ballesteros,0,college student|disfigured face|house|suicide|website,2014,2.35,969
Mathieu Amalric,92,76,412,3,Léa Drucker,412,231186,Laurent Poitrenaux,0,male pubic hair|manipulative personality|murder of wife|neglected wife|pubic hair,2014,1.33,389
David Worth,4,91,58,69,Jonathan Mangum,847,,Angela Jones,0,ghost story|manson family|paranormal|real life event|reference to sharon tate,2014,,223
Leslie H. Martinson,53,105,7,356,Cesar Romero,1000,,Burt Ward,1,black cat|catwoman|dc comics|penguin|riddler,1966,1.85,0
Guy Ritchie,116,120,0,452,Jason Flemyng,26000,3650677,Dexter Fletcher,1,antique|cockney accent|hatchet|money|shotgun,1998,1.85,21000
Robert M. Young,,105,0,467,Bruce McGill,883,,Ned Beatty,0,,1982,,32
,13,120,,,Michael Douglas,416,,,0,city name in series title|homicide|older man younger man relationship|place in series title|police partner,,4.0,533
Thomas Vinterberg,98,105,346,141,Paprika Steen,280,1647780,Trine Dyrholm,1,dogme 95|family secret|haunted by the past|secret|speech,1998,1.33,5000
Steve Buscemi,43,95,12000,636,Debi Mazar,12000,695229,Carol Kane,1,alcoholic drink|bar|drink|drinking|drunk,1996,1.85,872
Ham Tran,15,135,5,5,Kieu Chinh,51,638951,Cat Ly,2,1970s|1980s|nonlinear timeline|rescue|vietnam war,2006,1.85,100
Rich Cowan,14,105,7,548,Karen Allen,2000,609042,Peter Coyote,2,basketball|german immigrant|opera|two word title|war orphan,1999,1.85,117
Boris Rodriguez,56,83,5,98,Thure Lindhardt,413,1521,Georgina Reilly,0,art teacher|cannibal|inspiration|painter|sleepwalking,2012,,932
Harold Becker,79,111,17,652,Miko Hughes,13000,32940507,Carrie Preston,1,autistic child|boy|child in danger|fbi|nsa,1998,2.35,0
,8,60,,109,Tucker Smallwood,210,,Kristen Cloke,0,alien|born in vitro|in vitro fertilization|marine|outer space,,1.33,963
Sadyk Sher-Niyaz,16,135,135,0,Aziz Muradillayev,0,,Mirlan Abdulayev,1,19th century|central asia|mother son relationship|ruler|russian empire,2014,2.35,0
