actor_2_name,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Mark Hengst,349,Dustin Fitzsimons,602,631,18,,168,2.5,1.85,777
Lorne Cardinal,1000,Corbin Bernsen,300,1056,8,250000,53,5.7,1.78,141
Marty Lindsey,135,Eme Ikwuakor,18486,457,215,,115,7.0,1.78,11000
Derek Brandon,337,Florence Henderson,450,694,10,250000,168,6.2,,0
Kate Flannery,338,Victoria Jackson,31,968,,,219,6.9,,0
June Lockhart,602,Stacy Keach,870,1991,18,,427,4.5,1.85,76
Steve Duin,0,Sam Adams,6,0,1,250000,0,7.8,,53
Brit Morgan,236,Noah Segan,1488,537,28,250000,206,4.4,,519
Campbell Scott,1000,Jennifer Jason Leigh,1465,2166,56,,393,7.4,1.33,515
Dana Blackstone,288,Joshua Ray Bell,25,387,1,250000,96,6.6,,71
Robert Davi,699,Esai Morales,37,3967,2,250000,683,8.0,,199
Renée Adorée,81,John Gilbert,4849,108,45,245000,12,8.3,1.33,226
Jacob Zachar,1000,Sid Haig,110,1244,1,240000,185,6.5,,72
Brock Baker,431,Matthew Emerick,330,1087,2,250000,297,7.1,1.85,231
James Lance,27000,Tom Hardy,84817,27507,145,,161,7.1,1.85,22000
Vivian Lamolli,814,Mark Fantasia,146,2970,4,250000,755,4.0,,244
Donald Austin,2,Brendan Doogie Milewski,575,2,6,225000,0,7.5,2.35,801
Josh Hamilton,254,Dan Futterman,2742,964,73,225000,147,7.0,1.85,72
Nancy Ison,12,Christina Hart,161,24,5,100000,12,4.0,1.37,17
Cecil Kellaway,57,Kenneth Tobey,4812,205,88,210000,40,6.7,1.37,465
Robert J. Wilke,618,James Mason,22124,800,108,5000000,53,7.2,1.37,0
Steve Bisley,728,Hugh Keays-Byrne,152232,928,303,200000,76,7.0,2.35,10000
Alex Désert,4000,Jon Favreau,63951,4230,252,200000,135,7.4,1.85,0
Gian Maria Volontè,16000,Clint Eastwood,147566,16534,235,200000,360,8.0,2.35,0
Gilbert Roland,418,Mae West,4152,583,59,200000,85,6.5,1.37,328
Jasper Johal,66,The Dalai Lama,131,66,13,200000,0,7.2,1.78,30
Chris Thomas,77000,Michael Joiner,2099,77046,26,200000,21,6.4,,0
David Oyelowo,1000,Omari Hardwick,1034,3021,10,200000,1000,6.5,2.35,569
Sebastian Schipper,24,Devid Striesow,4212,69,18,,20,6.8,2.35,2000
Leo Rossi,96,William Joseph Elk III,460,314,14,200000,90,6.9,,96
Natasha Bedingfield,178,Matisyahu,48,279,2,200000,58,7.5,,26
David Costabile,17000,Channing Tatum,148334,18469,274,30000000,681,7.1,1.85,29000
Stevan Mena,169,R. Brandon Johnson,2413,206,112,200000,25,5.1,1.33,198
Adam Rifkin,471,Marri Savinar,81,705,1,250000,89,6.2,,47
Ryan Kennedy,259,Melanie Papalia,1328,711,22,13000000,165,3.9,2.35,0
Jennifer Lafleur,962,Greta Gerwig,3507,2016,40,,873,6.0,1.85,443
Victoria Lachelle,138,Susan Chambers,78,192,1,,18,6.8,,267
Bertrand Cantat,27,Marina Vlady,352,27,4,150000,0,7.4,1.37,44
Sylvia Eckhausen,0,Hanne Aagesen,9903,0,49,,0,8.1,1.37,863
Martin Starr,3000,Bryce Dallas Howard,6689,7144,51,,985,6.5,1.85,0
John Billingsley,505,William Katt,129799,1181,638,200000,323,8.0,1.78,46000
Evelyn Jefferson,2,Darryl Hunt,771,2,10,200000,0,7.7,1.66,246
Jordan Bridges,563,Mia Farrow,1338,828,32,200000,194,7.2,1.33,90
Chase Masterson,236,John Newton,374,518,10,2500000,189,5.4,1.78,83
Robert Turano,178,Elaine Bromka,37,263,1,200000,32,6.7,,38
Robin Bartlett,110,Paul Hickert,191,338,1,,79,6.3,,142
Alex Emanuel,433,Sally Kirkland,15,1112,3,200000,375,8.1,1.78,66
Amir Farrokh Hashemian,36,Bahare Seddiqi,27882,100,130,180000,35,8.5,1.85,0
Chris New,507,Tom Cullen,19846,654,68,120000,75,7.7,1.85,0
Joie Lee,539,S. Epatha Merkerson,4769,708,26,175000,53,6.5,1.85,406
Stacie Evans,0,Abigail Evans,27,0,1,180000,0,8.7,,88
Ana Maria Guran,0,Iulia Ciochina,354,0,1,168000,0,6.5,,34
William Mapother,574,Robin Lord Taylor,71387,1303,228,100000,399,7.0,1.85,21000
Ellen Burstyn,2000,Topher Grace,6025,4385,28,,1000,5.8,,0
Mario Van Peebles,982,John Amos,3340,1631,50,500000,535,5.5,1.37,566
Joe Lev,270,Charla Cochran,8,364,,200000,54,7.0,,65
Aaron Stanford,376,Bebe Neuwirth,5178,1144,101,150000,346,6.3,1.85,132
Markéta Irglová,200,Glen Hansard,90827,332,329,180000,96,7.9,1.85,26000
Eugene Roche,142,Marilyn Rising,524,168,22,1200000,23,7.3,,73
Rowan Isaacson,58,Temple Grandin,586,62,9,160000,2,7.4,1.85,0
Martin Compston,498,Alan Brent,3813,895,27,,204,5.4,2.35,0
Bill Allen,52,Joel Moody,53,130,1,,36,7.1,,197
Edwin Neal,383,Gunnar Hansen,96411,1094,826,83532,371,7.5,1.85,0
Bill Melendez,39,Peter Robbins,21826,139,126,150000,36,8.4,1.33,0
Hugh Ducklow,0,Naderev Sano,123,0,2,150000,0,7.0,,215
Jesse Jane,502,Lisa Ann,502,1796,9,150000,366,5.3,,207
Xinhua Jiang,0,Ariel Hsing,260,0,2,150000,0,7.1,,116
Pat Boone,909,Michael Moore,22800,1048,133,160000,91,7.5,1.66,667
Ruby Dee,783,Ed Begley Jr.,14193,3700,106,18000000,782,6.1,1.85,0
Hassan Johnson,196,J.D. Williams,100,942,3,125000,180,7.2,,72
James Urbaniak,120,Christopher Denham,15775,511,69,,119,6.7,1.85,0
,,,18,0,,125000,,8.2,,54
,,,102,0,7,120000,,6.6,1.66,14
Mike Birbiglia,830,Mark Duplass,21618,973,62,125000,128,6.7,,3000
Valentine,17,Diane Sorrentino,172,17,,125000,0,5.1,,0
David Hewlett,847,Christopher Judge,3262,2364,46,120000,686,7.0,1.78,377
David Hewlett,847,Christopher Judge,3262,2364,46,120000,686,7.0,1.78,377
Duane Jones,125,Judith O'Dea,87978,403,580,114000,108,8.0,1.85,0
Macha Méril,12,Philippe Leroy,1962,27,10,120000,7,7.4,1.37,187
Nate Parker,990,Jason Stuart,1197,3525,8,10000000,664,5.4,2.35,0
Frank Gerrish,206,Richard Moll,98,516,5,103000,81,5.7,,0
Erin Bethea,589,Alex Kendrick,12399,916,382,100000,150,6.7,1.85,0
Cassidy Gifford,220,Pfeifer Brown,13521,276,150,100000,40,4.2,1.85,0
Jack Nance,195,Hal Landon Jr.,69831,837,535,20000,158,7.4,1.37,0
Johnnie Walker,2,Stephen Carr,5,4,1,100000,2,4.8,1.33,0
Keenen Ivory Wayans,467,Robert Townsend,2770,1431,32,100000,322,7.0,1.85,471
Elden Henson,1000,Kieran Culkin,10499,2283,113,,577,7.3,1.85,0
Chuck Mitchell,116,Leon Isaac Kennedy,509,170,10,100000,24,5.8,1.85,157
Brian Howe,126,Fay Masterson,4117,284,118,40000,76,7.0,1.85,0
Gabriela Castillo,143,Kevin P. Farley,73,417,4,20000,134,3.2,1.85,178
Ethan Embry,3000,Brighton Sharbino,12796,4729,52,200000,982,6.8,2.35,0
Edmund McMillen,0,Jonathan Blow,16701,0,23,100000,0,7.7,16.0,0
Adam Rayner,798,Danny Dyer,5747,1401,44,1800000,279,5.6,1.85,246
John Ireland,142,Sheldon Leonard,67,354,9,,86,7.1,1.37,10
Hugh Mun,416,Claire Gordon-Harper,101,459,1,100000,18,3.6,1.78,17
Trevor Howard,440,Liv Ullmann,544,564,19,,98,6.8,,65
Dottie Alexander,45,Jon Brion,80,45,1,100000,0,7.6,1.78,82
Monica Potter,956,Tony Goldwyn,67824,3861,279,15000000,878,6.6,1.85,0
