duration,actor_3_facebook_likes,actor_2_name,genres,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,budget,imdb_score,movie_facebook_likes
102,795,David Zayas,Action|Crime|Drama|Thriller,112769,Sasha Roiz,2,alcoholic|courthouse|detective|jail|witness,305,English,Germany,52000000,6.6,0
101,510,Charlotte Rampling,Action|Adventure|Sci-Fi|Thriller,81523,David Belle,0,box office flop|convent|mercenary|new york|pregnant,214,English,France,70000000,5.6,0
91,322,Bob Gunton,Action|Comedy|Crime|Drama|Thriller,15455,Keenen Ivory Wayans,1,detective|heavy rain|murder|partner|serial killer,80,English,USA,45000000,5.3,451
117,451,Brian Doyle-Murray,Comedy|Romance|Sci-Fi,24757,Obba Babatundé,0,clone|cloning|construction|same actor playing two characters simultaneously on screen|year 1996,81,English,USA,45000000,6.0,0
86,553,Carter Jenkins,Adventure|Comedy|Family|Fantasy|Sci-Fi,16580,Tim Meadows,3,alien|attic|boyfriend|mind control|nintendo ds,55,English,USA,45000000,5.4,916
124,19,Adrien Dorval,Crime|Drama|Mystery|Thriller,42621,Nels Lennarson,0,nevada|pledge|police|porcupine|search,531,English,USA,45000000,6.8,0
134,2000,Will Ferrell,Comedy|Musical,35140,Matthew Broderick,3,accountant|money|opening night|scheme|swedish,409,English,USA,45000000,6.4,0
95,20,Jason Cope,Action|Sci-Fi,203461,Rakie Ayola,0,brutality|dark humor|female antagonist|female warrior|post apocalypse,588,English,UK,35000000,7.1,46000
100,579,Treat Williams,Action|Adventure|Comedy|Fantasy,27648,Kristy Swanson,0,ghost|new york city|phantom|skull|superhero,148,English,Australia,45000000,4.9,0
220,820,Henry Thomas,Drama|Romance|Western,11388,Sam Shepard,2,1940s|cowboy|mexico|railway station|texas,183,English,USA,57000000,5.8,652
212,805,Bob Hoskins,Biography|Drama|History,23996,Joan Allen,0,courtship|election|paranoia|president|quaker,161,English,USA,50000000,7.1,915
128,501,Olivia Williams,Mystery|Thriller,132423,Timothy Hutton,2,british prime minister|death|island|memoir|writer,349,English,France,45000000,7.2,15000
106,855,Jason Flemyng,Action|Adventure|Horror|Sci-Fi,26551,Wes Studi,0,creature feature|hijacker|ocean|ship|shot in the leg,273,English,USA,45000000,6.0,0
160,826,Omari Hardwick,Action|Crime|Drama|Thriller|War,15697,Laz Alonso,0,boy|german soldier|partisan|trapped|village,182,English,USA,45000000,6.0,0
114,10,Ye Liu,Drama|Romance,36455,Man Li,2,china|chrysanthemum|emperor|empress|prince,229,Mandarin,China,45000000,7.0,0
99,61,Charlie Yeung,Action|Crime|Thriller,48245,James With,1,deaf|hitman|nightclub|pickpocket|rules of profession,154,English,USA,40000000,5.4,0
74,865,Janeane Garofalo,Comedy|Crime|Thriller,17307,Omar Epps,2,airport|fbi agent|person in a car trunk|suitcase|suitcase bomb,186,English,USA,40000000,6.5,892
139,50,Giovanna Mezzogiorno,Drama|Romance,19114,Unax Ugalde,0,19th century|colombia|love|marriage|widow,115,English,USA,45000000,6.4,0
52,114,Clotilde Hesme,Drama|Fantasy|Horror|Mystery,15762,Céline Sallette,9,france|living dead|serial killer|small town|supernatural,47,French,France,,8.3,17000
103,269,Ben Gazzara,Action|Thriller,3803,Nicholas Turturro,2,american president|assassin|conspiracy|president|white house,41,English,USA,45000000,4.9,68
101,104,Tim McInnerny,Action|Adventure|Comedy|Crime,89568,Togo Igawa,1,assassin|chinese|conspiracy|gadget|premier,142,English,USA,45000000,6.3,17000
91,500,Larry Miller,Action|Animation|Comedy|Family|Fantasy,4377,Harvey Fierstein,0,femme fatale|food|pun|supermarket|troubled production,66,English,USA,65000000,1.7,0
130,650,Scoot McNairy,Biography|Drama|History|Thriller,452465,Tate Donovan,1,1970s|cia|f word|u.s. embassy|year 1979,695,English,USA,44500000,7.7,89000
130,812,Daniel Roebuck,Action|Adventure|Crime|Drama|Mystery|Thriller,213668,Sela Ward,1,hospital|on the run|one armed man|surgeon|u.s. marshal,270,English,USA,44000000,7.8,0
110,789,Dorian Missick,Action|Comedy|Romance,96565,Peter Greene,1,bounty hunter|death|murder|police officer|reporter,135,English,USA,40000000,5.5,0
147,893,Brad Pitt,Crime|Drama|Thriller,154487,Minnie Driver,3,boy|guard|kicked in the crotch|prank|sexual abuse,259,English,USA,44000000,7.5,0
96,668,Julia Nickson,Action|Adventure|Thriller|War,117606,Martin Kove,0,1980s|mission|prison|rambo|vietnam,217,English,USA,44000000,6.4,0
118,643,Demi Moore,Drama|Thriller,13995,Anne Heche,1,breasts|mafia|sex scene|temple|woods,62,English,USA,44000000,5.6,353
88,40,Dickie Jones,Animation|Family|Fantasy|Musical,90360,Cliff Edwards,0,boy|conscience|fairy|jiminy cricket|pinocchio,147,English,USA,2600000,7.5,0
325,678,Sam Waterston,Adventure|Drama|Western,9830,Isabelle Huppert,0,1890s|hired gun|immigrant|johnson county war|sheriff,189,English,USA,44000000,6.8,1000
102,520,Tony Curran,Action|Adventure|Fantasy|Sci-Fi|Thriller,156225,Derek Jacobi,1,death|feud|forbidden love|vampire|werewolf,502,English,USA,50000000,6.8,0
110,287,Spencer Wilding,Drama|Horror|Sci-Fi|Thriller,28618,Daniel Mays,2,assistant|experiment|frankenstein|medical student|scientist,91,English,USA,40000000,6.0,11000
136,225,Rob Brown,Drama,73006,Michael Nouri,1,basketball|mentor|new york|school|writing,297,English,USA,43000000,7.3,0
103,664,Viggo Mortensen,Comedy|Drama,34597,Elizabeth Perkins,1,12 step program|box office hit|car accident|vomiting|wedding,194,English,USA,43000000,6.0,0
103,5000,Jet Li,Action|Crime|Drama|Thriller,85198,Bob Hoskins,1,collar|dog|fight|fighting|piano,303,English,France,45000000,7.0,0
90,16,Lillian Adams,Comedy|Romance,46158,Chelsea Bond,3,female removes her clothes|roommate|voyeur|voyeurism|wedding,403,English,USA,43000000,5.1,0
154,957,Holly Hunter,Drama|Mystery|Thriller,88844,Wilford Brimley,0,bar|fbi|law|law firm|lawyer,142,English,USA,42000000,6.8,0
