num_critic_for_reviews,director_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,cast_total_facebook_likes,movie_imdb_link,num_user_for_reviews,language,country,actor_2_facebook_likes
38,101,Mario Van Peebles,982,15180000,Crime|Drama|Thriller,1631,http://www.imdb.com/title/tt0067810/?ref_=fn_tt_tt_1,50,English,USA,535
,0,Joe Lev,270,,Drama,364,http://www.imdb.com/title/tt3581098/?ref_=fn_tt_tt_1,,English,USA,54
91,56,Aaron Stanford,376,2882062,Comedy|Drama|Romance,1144,http://www.imdb.com/title/tt0271219/?ref_=fn_tt_tt_1,101,English,USA,346
232,109,Markéta Irglová,200,9437933,Drama|Music|Romance,332,http://www.imdb.com/title/tt0907657/?ref_=fn_tt_tt_1,329,English,Ireland,96
18,14,Eugene Roche,142,110720,Comedy,168,http://www.imdb.com/title/tt0217894/?ref_=fn_tt_tt_1,22,English,USA,23
29,0,Rowan Isaacson,58,155984,Documentary,62,http://www.imdb.com/title/tt1333668/?ref_=fn_tt_tt_1,9,English,USA,2
44,6,Martin Compston,498,,Horror,895,http://www.imdb.com/title/tt1743993/?ref_=fn_tt_tt_1,27,English,UK,204
2,0,Bill Allen,52,,Action|Drama|Sport,130,http://www.imdb.com/title/tt1934172/?ref_=fn_tt_tt_1,1,English,USA,36
277,365,Edwin Neal,383,30859000,Horror|Thriller,1094,http://www.imdb.com/title/tt0072271/?ref_=fn_tt_tt_1,826,English,USA,371
43,36,Bill Melendez,39,,Animation|Comedy|Family,139,http://www.imdb.com/title/tt0059026/?ref_=fn_tt_tt_1,126,English,USA,36
5,0,Hugh Ducklow,0,4914,Adventure|Documentary,0,http://www.imdb.com/title/tt2780714/?ref_=fn_tt_tt_1,2,English,USA,0
16,4,Jesse Jane,502,,Documentary,1796,http://www.imdb.com/title/tt2403815/?ref_=fn_tt_tt_1,9,English,USA,366
18,0,Xinhua Jiang,0,5858,Documentary,0,http://www.imdb.com/title/tt4219836/?ref_=fn_tt_tt_1,2,English,USA,0
40,909,Pat Boone,909,6706368,Documentary,1048,http://www.imdb.com/title/tt0098213/?ref_=fn_tt_tt_1,133,English,USA,91
130,261,Ruby Dee,783,,Fantasy|Horror|Thriller,3700,http://www.imdb.com/title/tt0083722/?ref_=fn_tt_tt_1,106,English,USA,782
3,0,Hassan Johnson,196,,Drama,942,http://www.imdb.com/title/tt2125430/?ref_=fn_tt_tt_1,3,English,USA,180
136,129,James Urbaniak,120,405614,Drama|Mystery|Sci-Fi|Thriller,511,http://www.imdb.com/title/tt1748207/?ref_=fn_tt_tt_1,69,English,USA,119
,58,,,,Documentary|Family,0,http://www.imdb.com/title/tt2638024/?ref_=fn_tt_tt_1,,Arabic,United Arab Emirates,
12,0,,,,Documentary|War,0,http://www.imdb.com/title/tt0488873/?ref_=fn_tt_tt_1,7,English,USA,
171,100,Mike Birbiglia,830,1573712,Comedy|Drama,973,http://www.imdb.com/title/tt1742336/?ref_=fn_tt_tt_1,62,English,USA,128
,0,Valentine,17,,Romance,17,http://www.imdb.com/title/tt4607906/?ref_=fn_tt_tt_1,,English,USA,0
8,686,David Hewlett,847,,Comedy,2364,http://www.imdb.com/title/tt0796314/?ref_=fn_tt_tt_1,46,English,Canada,686
8,686,David Hewlett,847,,Comedy,2364,http://www.imdb.com/title/tt0796314/?ref_=fn_tt_tt_1,46,English,Canada,686
284,0,Duane Jones,125,,Drama|Horror|Mystery,403,http://www.imdb.com/title/tt0063350/?ref_=fn_tt_tt_1,580,English,USA,108
36,0,Macha Méril,12,,Drama,27,http://www.imdb.com/title/tt0058701/?ref_=fn_tt_tt_1,10,French,France,7
21,664,Nate Parker,990,,Biography|Drama,3525,http://www.imdb.com/title/tt4196450/?ref_=fn_tt_tt_1,8,English,USA,664
1,7,Frank Gerrish,206,,Comedy,516,http://www.imdb.com/title/tt0339921/?ref_=fn_tt_tt_1,5,English,USA,81
31,589,Erin Bethea,589,10174663,Drama|Sport,916,http://www.imdb.com/title/tt0805526/?ref_=fn_tt_tt_1,382,English,USA,150
159,3,Cassidy Gifford,220,22757819,Horror|Thriller,276,http://www.imdb.com/title/tt2309260/?ref_=fn_tt_tt_1,150,English,USA,40
152,0,Jack Nance,195,,Fantasy|Horror|Sci-Fi,837,http://www.imdb.com/title/tt0074486/?ref_=fn_tt_tt_1,535,English,USA,158
1,0,Johnnie Walker,2,3000000,Crime|Drama,4,http://www.imdb.com/title/tt0011549/?ref_=fn_tt_tt_1,1,,USA,2
21,467,Keenen Ivory Wayans,467,5228617,Comedy,1431,http://www.imdb.com/title/tt0093200/?ref_=fn_tt_tt_1,32,English,USA,322
57,23,Elden Henson,1000,2643689,Comedy|Drama,2283,http://www.imdb.com/title/tt0119670/?ref_=fn_tt_tt_1,113,English,USA,577
23,9,Chuck Mitchell,116,,Crime|Drama|Sport,170,http://www.imdb.com/title/tt0079709/?ref_=fn_tt_tt_1,10,English,USA,24
88,56,Brian Howe,126,110536,Comedy|Horror|Sci-Fi,284,http://www.imdb.com/title/tt0307109/?ref_=fn_tt_tt_1,118,English,USA,76
2,7,Gabriela Castillo,143,,Family,417,http://www.imdb.com/title/tt3109200/?ref_=fn_tt_tt_1,4,English,USA,134
193,3,Ethan Embry,3000,59379,Comedy|Crime|Drama|Horror|Thriller,4729,http://www.imdb.com/title/tt2389182/?ref_=fn_tt_tt_1,52,English,USA,982
50,0,Edmund McMillen,0,,Documentary,0,http://www.imdb.com/title/tt1942884/?ref_=fn_tt_tt_1,23,English,Canada,0
61,3,Adam Rayner,798,,Thriller,1401,http://www.imdb.com/title/tt0480011/?ref_=fn_tt_tt_1,44,English,UK,279
1,2,John Ireland,142,,Crime|Drama,354,http://www.imdb.com/title/tt0040671/?ref_=fn_tt_tt_1,9,English,USA,86
5,0,Hugh Mun,416,,Action|Drama|Sci-Fi|Thriller,459,http://www.imdb.com/title/tt2343473/?ref_=fn_tt_tt_1,1,English,USA,18
14,6,Trevor Howard,440,,Crime|Horror|Thriller,564,http://www.imdb.com/title/tt0066141/?ref_=fn_tt_tt_1,19,English,USA,98
5,0,Dottie Alexander,45,,Biography|Documentary|Music,45,http://www.imdb.com/title/tt3072636/?ref_=fn_tt_tt_1,1,English,USA,0
241,29,Monica Potter,956,32721635,Crime|Horror|Thriller,3861,http://www.imdb.com/title/tt0844708/?ref_=fn_tt_tt_1,279,English,USA,878
16,3,Seth Ackerman,103,,Documentary,103,http://www.imdb.com/title/tt0428959/?ref_=fn_tt_tt_1,13,English,USA,0
138,0,Clint Mansell,1000,3216970,Drama|Mystery|Thriller,2065,http://www.imdb.com/title/tt0138704/?ref_=fn_tt_tt_1,586,English,USA,512
5,12,Meredith Scott Lynn,238,33598,Comedy|Romance,623,http://www.imdb.com/title/tt0130019/?ref_=fn_tt_tt_1,15,English,USA,166
32,0,Tom Ardavany,1000,536767,Biography|Comedy|Romance,1362,http://www.imdb.com/title/tt0138987/?ref_=fn_tt_tt_1,83,English,USA,184
18,7,Steve Diasparra,118,,Action|Sci-Fi|Thriller,138,http://www.imdb.com/title/tt2319456/?ref_=fn_tt_tt_1,18,English,USA,15
193,293,Amanda Kearsan,0,11529368,Comedy|Documentary|Drama,0,http://www.imdb.com/title/tt0390521/?ref_=fn_tt_tt_1,404,English,USA,0
66,32,Sean Whalen,968,40557,Comedy,2046,http://www.imdb.com/title/tt1296373/?ref_=fn_tt_tt_1,22,English,USA,407
65,217,Lena Dunham,10000,30084,Comedy|Drama,11642,http://www.imdb.com/title/tt2955096/?ref_=fn_tt_tt_1,23,English,USA,969
95,2,Jason Evers,24,,Horror|Sci-Fi,52,http://www.imdb.com/title/tt0052646/?ref_=fn_tt_tt_1,152,English,USA,16
13,0,Vincent Duvall,267,,Drama,488,http://www.imdb.com/title/tt2866824/?ref_=fn_tt_tt_1,8,English,USA,87
15,8,Kevin Corrigan,969,,Comedy,2398,http://www.imdb.com/title/tt1874789/?ref_=fn_tt_tt_1,4,English,USA,778
125,59,Courtney Bell,35,,Drama|Horror|Mystery,97,http://www.imdb.com/title/tt1610996/?ref_=fn_tt_tt_1,136,English,USA,28
36,0,Michael McGlone,138,10246600,Comedy|Drama|Romance,388,http://www.imdb.com/title/tt0112585/?ref_=fn_tt_tt_1,36,English,USA,111
73,8,Shailene Garnett,111,,Crime|Drama|Thriller,147,http://www.imdb.com/title/tt2334896/?ref_=fn_tt_tt_1,40,English,Canada,19
1,9,Sonia Braga,866,,Comedy|Drama|Romance,1179,http://www.imdb.com/title/tt0085575/?ref_=fn_tt_tt_1,9,Portuguese,Brazil,308
113,969,Merritt Wever,969,389804,Comedy|Drama|Romance,2530,http://www.imdb.com/title/tt1570989/?ref_=fn_tt_tt_1,35,English,USA,529
13,9,Jeremy Sande,743,,Crime|Drama|Horror,1527,http://www.imdb.com/title/tt1861343/?ref_=fn_tt_tt_1,5,English,USA,413
,0,Chelse Swain,1000,,Comedy|Drama,1077,http://www.imdb.com/title/tt0381053/?ref_=fn_tt_tt_1,3,English,USA,36
12,6,,,,Documentary,0,http://www.imdb.com/title/tt4462082/?ref_=fn_tt_tt_1,1,English,USA,
60,2,David Mersault,19,,Fantasy|Horror|Mystery|Thriller,43,http://www.imdb.com/title/tt0478988/?ref_=fn_tt_tt_1,99,English,USA,9
10,0,,0,,Documentary,0,http://www.imdb.com/title/tt2181837/?ref_=fn_tt_tt_1,10,English,USA,
161,18,Olivia Cooke,852,,Sci-Fi|Thriller,1922,http://www.imdb.com/title/tt2910814/?ref_=fn_tt_tt_1,180,English,USA,680
7,3,Greg Aronowitz,26,,Biography|Documentary,70,http://www.imdb.com/title/tt2294916/?ref_=fn_tt_tt_1,2,English,USA,20
34,3,Paul Eenhoorn,695,,Drama,1438,http://www.imdb.com/title/tt1798291/?ref_=fn_tt_tt_1,7,English,USA,571
,117,Jon Gries,948,,Comedy,2058,http://www.imdb.com/title/tt1524083/?ref_=fn_tt_tt_1,4,English,USA,482
75,234,Eddie Rouse,552,241816,Drama,642,http://www.imdb.com/title/tt0262432/?ref_=fn_tt_tt_1,76,English,USA,61
21,4,Christa Miller,20000,277233,Comedy|Romance,20814,http://www.imdb.com/title/tt0162348/?ref_=fn_tt_tt_1,26,English,USA,467
3,0,Johnny Walter,883,,Drama|Sci-Fi|Thriller,2618,http://www.imdb.com/title/tt3157318/?ref_=fn_tt_tt_1,2,English,USA,507
2,138,Patricia Raven,307,,Horror,619,http://www.imdb.com/title/tt1716760/?ref_=fn_tt_tt_1,6,English,USA,114
71,17000,Levon Helm,725,321952,Documentary|Music,2783,http://www.imdb.com/title/tt0077838/?ref_=fn_tt_tt_1,113,English,USA,572
7,14,Thomas Brophy,252,,Horror|Thriller,638,http://www.imdb.com/title/tt2442662/?ref_=fn_tt_tt_1,5,English,USA,132
61,2,Mark Rendall,962,24705,Drama,1054,http://www.imdb.com/title/tt1294161/?ref_=fn_tt_tt_1,10,English,USA,72
3,6,Kirpatrick Thomas,32,243768,Western,72,http://www.imdb.com/title/tt1073221/?ref_=fn_tt_tt_1,9,English,USA,17
52,26,Kate Dollenmayer,26,,Comedy,38,http://www.imdb.com/title/tt0446747/?ref_=fn_tt_tt_1,23,English,USA,6
,2,Ron Gelner,5,,Horror,5,http://www.imdb.com/title/tt2469216/?ref_=fn_tt_tt_1,2,English,USA,0
53,214,Tony Way,177,9609,Comedy|Crime|Drama,365,http://www.imdb.com/title/tt1489167/?ref_=fn_tt_tt_1,22,English,UK,95
136,0,Brian O'Halloran,898,3151130,Comedy,2103,http://www.imdb.com/title/tt0109445/?ref_=fn_tt_tt_1,615,English,USA,657
8,0,Bobby Kendall,0,8231,Drama|Fantasy,0,http://www.imdb.com/title/tt0067580/?ref_=fn_tt_tt_1,16,English,USA,0
43,26,Kate Dollenmayer,26,,Comedy|Drama,40,http://www.imdb.com/title/tt0327753/?ref_=fn_tt_tt_1,61,English,USA,6
80,119,Matt Malloy,136,2856622,Comedy|Drama,254,http://www.imdb.com/title/tt0119361/?ref_=fn_tt_tt_1,197,English,Canada,108
233,453,Martin Donovan,1000,10499968,Action|Crime|Drama|Thriller,1458,http://www.imdb.com/title/tt1742334/?ref_=fn_tt_tt_1,212,English,USA,206
28,3,Panchito Gómez,93,,Drama|Family,243,http://www.imdb.com/title/tt0298050/?ref_=fn_tt_tt_1,21,English,USA,46
58,892,Katharine Isabelle,986,,Action|Crime|Thriller,3197,http://www.imdb.com/title/tt1337057/?ref_=fn_tt_tt_1,129,English,Canada,918
61,0,Richard Linklater,5,1227508,Comedy|Drama,5,http://www.imdb.com/title/tt0102943/?ref_=fn_tt_tt_1,80,English,USA,0
,0,Mikaal Bates,313,,Crime|Drama|Thriller,366,http://www.imdb.com/title/tt2759066/?ref_=fn_tt_tt_1,2,English,USA,25
1,138,Suzi Lorraine,370,,Comedy|Romance,841,http://www.imdb.com/title/tt2375036/?ref_=fn_tt_tt_1,3,English,USA,184
5,589,Lisa Arnold,51,,Drama,108,http://www.imdb.com/title/tt0425027/?ref_=fn_tt_tt_1,49,English,USA,49
43,158,Brittany Curran,630,,Horror|Mystery|Thriller,2679,http://www.imdb.com/title/tt1945044/?ref_=fn_tt_tt_1,33,English,USA,512
,8,Alana Kaniewski,720,,Drama|Horror|Thriller,770,http://www.imdb.com/title/tt1781935/?ref_=fn_tt_tt_1,8,English,USA,19
51,157,Katie Aselton,830,192467,Comedy|Drama|Romance,1064,http://www.imdb.com/title/tt0436689/?ref_=fn_tt_tt_1,71,English,USA,224
6,0,Olwenya Maina,147,,Drama,170,http://www.imdb.com/title/tt3973612/?ref_=fn_tt_tt_1,1,Swahili,Kenya,19
22,38,Heather Burns,331,76382,Romance,1546,http://www.imdb.com/title/tt1247644/?ref_=fn_tt_tt_1,8,English,USA,212
42,91,Jason Trost,407,,Sci-Fi|Thriller,674,http://www.imdb.com/title/tt1836212/?ref_=fn_tt_tt_1,35,English,USA,91
