director_name,gross,movie_title,num_voted_users,actor_3_name,num_user_for_reviews,language,content_rating,imdb_score,aspect_ratio,movie_facebook_likes
Cristian Mungiu,1185783,"4 Months, 3 Weeks and 2 Days ",44763,Alexandru Potocean,172,Romanian,Not Rated,7.9,1.85,14000
Brian Dorton,,The Horror Network Vol. 1 ,139,Jan Cornet,3,English,,7.3,,52
David Slade,1007962,Hard Candy ,131969,Patrick Wilson,651,English,R,7.1,2.35,12000
Jamie Babbit,381186,The Quiet ,13485,Edie Falco,90,English,R,6.4,2.35,698
Maryam Keshavarz,439958,Circumstance ,6277,Sina Amedson,43,Persian,R,5.9,2.35,0
Ryan Coogler,16097842,Fruitvale Station ,53919,Ariana Neal,168,English,R,7.5,1.85,17000
Ramaa Mosley,6643,The Brass Teapot ,11965,Alia Shawkat,39,English,R,6.4,2.35,0
James Algar,102797150,Bambi ,94225,Ann Gillis,136,English,Approved,7.4,1.33,0
Charles Herman-Wurmfeld,442638,The Hammer ,5489,Adam Carolla,23,English,R,7.3,,337
Ric Roman Waugh,42919096,Snitch ,64748,Nadine Velazquez,122,English,PG-13,6.5,2.35,12000
C. Jay Cox,819939,Latter Days ,14580,Jacqueline Bisset,252,English,R,7.2,1.85,0
Mariette Monpierre,,Elza ,19,Teddy Doloir,2,French,,6.7,16.0,24
Tommy Oliver,,1982 ,122,Quinton Aaron,3,English,R,7.1,,181
Jamie Travis,1243961,"For a Good Time, Call... ",13421,Nia Vardalos,34,English,R,6.0,2.35,0
Lee Toland Krieger,3094687,Celeste & Jesse Forever ,24391,Rob Huebel,61,English,R,6.7,2.35,0
Rich Christiano,15278,Time Changer ,1742,Hal Linden,158,English,PG,5.6,1.85,409
Paul Andrew Williams,,London to Brighton ,7308,Georgia Groome,72,English,R,7.0,2.35,933
Nick Love,,American Hero ,2706,Michelle Tabora,23,English,,4.9,,549
Natalie Bible',,Windsor Drive ,169,Matt Cohen,6,English,,3.2,,312
Asghar Farhadi,7098492,A Separation ,151812,Peyman Moaadi,264,Persian,PG-13,8.4,1.85,48000
Justin Molotnikov,,Crying with Laughter ,190,Joe Cassidy,6,English,,6.9,,33
Todd Solondz,4771000,Welcome to the Dollhouse ,26513,Christina Vidal,174,English,R,7.5,1.85,0
Victor Nunez,1001437,Ruby in Paradise ,2039,Dorothy Lyman,28,English,R,7.2,1.85,81
Peter Sollett,2073984,Raising Victor Vargas ,4743,Judy Marte,135,English,R,7.2,1.85,219
Georg Wilhelm Pabst,9950,Pandora's Box ,7431,Fritz Kortner,84,German,Not Rated,8.0,1.33,926
Daniel Davila,,Harrison Montgomery ,59,Diane Baker,1,English,,7.4,1.78,18
Jorge Gaggero,,Live-In Maid ,772,Claudia Lapacó,11,Spanish,Unrated,7.2,,83
Rod Lurie,144583,Deterrence ,2256,Timothy Hutton,79,English,R,6.5,1.85,130
Michael Burke,,The Mudge Boy ,3480,Ryan Donowho,30,English,R,7.2,,396
Catherine Jelski,58163,The Young Unknowns ,122,Arly Jover,3,English,R,4.2,,4
Shane Dawson,35688,Not Cool ,4167,Cherami Leigh,72,English,Not Rated,5.1,,0
Tommy Wirkola,41709,Dead Snow ,54601,Ane Dahl Torp,200,Norwegian,Not Rated,6.4,1.85,23000
Ryan Little,1310270,Saints and Soldiers ,17725,Kirby Heyborne,157,English,PG-13,6.8,,1000
Clark Baker,,Vessel ,292,Whit Spurgeon,3,English,,6.2,,14
George Lucas,115000000,American Graffiti ,63839,Mackenzie Phillips,238,English,PG,7.5,2.35,0
Robert Greenwald,,Iraq for Sale: The War Profiteers ,1477,Donna Zovko,24,English,,7.7,1.78,274
Matt Maiellaro,5518918,Aqua Teen Hunger Force Colon Movie Film for Theaters ,12160,Chris Kattan,73,English,R,6.9,1.85,307
Colin Trevorrow,4007792,Safety Not Guaranteed ,101287,Jeff Garlin,260,English,R,7.0,2.35,31000
Leslie Small,7705974,Kevin Hart: Laugh at My Pain ,3543,Jeanette Branch,8,English,R,7.5,1.85,614
Ben Wheatley,26297,Kill List ,25750,Neil Maskell,209,English,Not Rated,6.3,2.35,0
Ti West,77501,The Innkeepers ,27260,Pat Healy,247,English,R,5.5,2.35,0
David S. Goyer,42638165,The Unborn ,42183,Rachel Brosnahan,230,English,PG-13,4.8,2.35,0
Bernardo Bertolucci,,The Conformist ,17813,Dominique Sanda,101,Italian,R,8.1,1.66,0
Neil Burger,47329,Interview with the Assassin ,1661,Renee Faia,31,English,R,6.6,1.78,163
Oliver Blackburn,18378,Donkey Punch ,9376,Tom Burke,74,English,R,5.2,1.85,0
Jonathan Levine,,All the Boys Love Mandy Lane ,25951,Whitney Able,129,English,R,5.6,2.35,2000
Christopher Hutson,,Bled ,851,Michele Morrow,30,English,R,3.1,1.85,128
Fred Zinnemann,,High Noon ,80193,Lon Chaney Jr.,333,English,PG,8.1,1.37,3000
Steve James,7830611,Hoop Dreams ,18980,Isiah Thomas,74,English,PG-13,8.3,1.33,0
David LaChapelle,3278611,Rize ,2877,Tommy the Clown,46,English,PG-13,7.1,1.33,903
Joseph Kosinski,,Destiny ,3089,Erick Avari,11,English,,8.1,,1000
Michael Cuesta,1141829,L.I.E. ,8509,Walter Masterson,109,English,NC-17,7.2,1.85,420
Caryn Waechter,,The Sisterhood of Night ,1354,Louis Ozawa Changchien,17,English,PG-13,6.3,2.35,523
Emily Dell,,B-Girl ,551,Drew Sidora,10,English,PG-13,4.0,,303
Peter Jackson,218051260,King Kong ,316027,Evan Parke,2618,English,PG-13,7.2,2.35,0
Jaume Collet-Serra,32048809,House of Wax ,94463,Brian Van Holt,576,English,R,5.3,1.85,0
Ryan Fleck,2694973,Half Nelson ,70885,Jeff Lima,189,English,R,7.2,1.85,0
Jennifer Wynne Farmer,10508,Naturally Native ,103,Max Gail,6,English,PG-13,6.5,,102
Christopher Scott Cherot,2301777,Hav Plenty ,819,Chenoa Maxwell,36,English,R,6.5,,161
H.M. Coakley,,Adulterers ,514,Danielle Savre,1,English,,4.9,2.35,158
Randy Moore,169719,Escape from Tomorrow ,7384,Amy Lucas,79,English,Not Rated,5.2,1.85,0
Chris Atkins,,Starsuckers ,474,Elton John,8,English,,7.4,,203
Bill Benenson,,The Hadza: Last of the First ,5,Jane Goodall,1,English,,7.4,,5
Ryan Smith,,After ,3699,Karolina Wydra,27,English,PG-13,5.4,2.35,1000
Travis Romero,,Treachery ,344,Michael Biehn,5,English,,3.9,,0
Anna Mastro,,Walter ,1432,Virginia Madsen,19,English,,5.3,,0
Mark Sandrich,3000000,Top Hat ,13269,Eric Blore,98,English,Approved,7.8,1.37,1000
Daniel Myrick,140530114,The Blair Witch Project ,186786,Michael C. Williams,3400,English,R,6.4,1.33,0
Michael Wadleigh,13300000,Woodstock ,12631,Joan Baez,63,English,R,8.1,2.2,0
John Landis,,The Kentucky Fried Movie ,13915,Tara Strohmeier,109,English,R,6.5,1.85,0
Jon Gunn,171988,Mercy Streets ,448,Cynthia Watros,16,English,PG-13,5.6,1.85,12
Gene Teigland,23616,Arnolds Park ,94,Tac Fitzgerald,4,English,PG-13,5.6,1.78,11
Scott Ziehl,13493,Broken Vessels ,531,Brent David Fraser,19,English,R,6.6,1.85,51
Richard Montoya,79043,Water & Power ,85,Exie Booker,,English,Not Rated,6.3,,358
Johanna Schwartz,,They Will Have to Kill Us First ,74,Khaira Arby,2,French,,7.7,,34
William Gazecki,,Crop Circles: Quest for Truth ,204,Francine Blake,13,English,,7.0,,32
Lance McDaniel,,Light from the Darkroom ,6,Lymari Nadal,1,English,PG-13,8.0,,9
Thomas Lilti,,Irreplaceable ,389,Marianne Denicourt,1,French,,7.2,,36
Michael Walker,,The Maid's Room ,719,John Brodsky,9,English,,4.5,,128
Richard Lester,515005,A Hard Day's Night ,31429,George Harrison,219,English,Approved,7.7,1.75,0
U. Roberto Romano,2245,The Harvest/La Cosecha ,57,,2,English,,7.2,,88
Amy Holden Jones,,Love Letters ,487,Amy Madigan,9,English,R,6.1,,7
Blaz Zavrsnik,,Julija in alfa Romeo ,86,Andrej Nahtigal,2,Slovenian,,6.4,2.35,18
Alex Kendrick,33451479,Fireproof ,17068,Erin Bethea,215,English,PG,6.5,1.85,0
Pan Nalin,,Faith Connections ,113,Shriman Umeshanad Brahmachari,3,Hindi,,7.0,1.85,126
Joe Camp,39552600,Benji ,3411,Edgar Buchanan,36,English,G,6.1,1.85,816
Chris Kentis,30500882,Open Water ,42256,Daniel Travis,916,English,R,5.7,1.85,0
Matt Walsh,,High Road ,1305,Abby Elliott,3,English,R,5.4,,244
John 'Bud' Cardos,17000000,Kingdom of the Spiders ,3274,Tiffany Bolling,84,English,PG,5.9,1.85,0
Marilyn Agrelo,8044906,Mad Hot Ballroom ,3156,Paul Daggett,65,English,PG,7.5,1.85,588
Tom McCarthy,5739376,The Station Agent ,58260,Paula Garcés,286,English,R,7.7,1.85,0
Brian Baugh,3773863,To Save a Life ,4583,D. David Morin,55,English,PG-13,7.1,2.35,0
Patrick Creadon,3117666,Wordplay ,3394,Bob Dole,43,English,PG,7.4,1.66,694
Barry W. Blaustein,2047570,Beyond the Mat ,6790,Mick Foley,80,English,R,7.6,1.85,491
Kurt Hale,1250798,The Singles Ward ,1099,Daryn Tufts,53,English,PG,6.4,,43
Siddiq Barmak,1127331,Osama ,7559,Mohamad Haref Harati,77,Dari,PG-13,7.4,1.85,0
Joseph Dorman,906666,Sholem Aleichem: Laughing in the Darkness ,154,Jason Kravits,5,English,Unrated,6.8,16.0,287
Greg Harrison,1114943,Groove ,3562,Denny Kirkwood,74,English,R,6.5,1.85,0
Kurt Hale,1111615,The R.M. ,651,Curt Doussett,34,English,PG,6.0,,44
Michael Polish,985341,Twin Falls Idaho ,3479,Jon Gries,87,English,R,7.3,1.85,180
Jacob Aaron Estes,603943,Mean Creek ,26407,Trevor Morgan,154,English,R,7.3,1.85,1000
Morgan J. Freeman,334041,Hurricane Streets ,1038,Lynn Cohen,21,English,R,6.5,1.85,51
Eric Schaeffer,295468,Never Again ,709,Michael McKean,34,English,R,6.0,1.85,139
Neema Barnette,243347,Civil Brand ,553,Clifton Powell,24,English,R,5.3,1.85,86
Steve Buscemi,154077,Lonesome Jim ,6884,Mary Kay Place,53,English,R,6.6,1.85,238
Joe Swanberg,342936,Drinking Buddies ,45928,Ti West,106,English,R,6.1,2.35,0
Molly Bernstein,151389,Deceptive Practice: The Mysteries and Mentors of Ricky Jay ,774,Dick Cavett,7,English,,7.1,,590
Akira Kurosawa,269061,Seven Samurai ,229012,Kamatari Fujiwara,596,Japanese,Unrated,8.7,1.37,11000
Marius A. Markevicius,133778,The Other Dream Team ,3086,Mickey Hart,9,English,Not Rated,8.4,,0
Tom DiCillo,,Johnny Suede ,3013,Nick Cave,24,English,R,5.8,1.85,344
Justin Lin,52850,Finishing the Game: The Search for a New Bruce Lee ,1656,Joe McQueen,12,English,Not Rated,6.2,1.85,155
Quentin Dupieux,98017,Rubber ,26185,Cecelia Antoinette,170,English,R,5.8,1.85,46000
Tim Johnson,177343675,Home ,70136,April Winchell,214,English,PG,6.7,1.85,26000
C. Jay Cox,31937,Kiss the Bride ,1358,Garrett M. Brown,10,English,R,5.7,1.85,60
Alex Smith,13134,The Slaughter Rule ,2004,Eddie Spears,32,English,R,6.1,2.35,183
Gareth Edwards,237301,Monsters ,75669,Ricky Catter,451,English,R,6.4,2.35,19000
Jonathan Parker,,The Californians ,299,Illeana Douglas,11,English,PG,5.0,1.85,29
Sol Tryon,12055,The Living Wake ,739,Matthew Cowles,10,English,PG-13,6.5,,339
Alex Craig Mann,1332,Detention of the Dead ,2038,Max Adler,20,English,Not Rated,4.6,2.35,898
Hao Ning,,Crazy Stone ,2097,Zhonghua Chen,9,Mandarin,,7.7,2.35,23
Stephen Kijak,,Scott Walker: 30 Century Man ,1006,Damon Albarn,11,English,,7.3,1.85,808
Marc Forster,,Everything Put Together ,601,Megan Mullally,10,English,R,6.6,1.85,22
Andrew Niccol,316842,Good Kill ,15756,Stafford Douglas,68,English,R,6.4,2.35,0
Daston Kalili,,Insomnia Manica ,16,Chin-Chien Chang,3,English,,5.8,1.33,0
William Gazecki,,The Outrageous Sophie Tucker ,38,Tony Bennett,3,English,,7.2,1.33,16
