num_critic_for_reviews,actor_2_name,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,actor_2_facebook_likes,imdb_score,aspect_ratio
121,Megan Ambuhl Graner,228830,Crime|Documentary|War,Jeffrey Frost,Standard Operating Procedure ,6,Ken Davis,0,http://www.imdb.com/title/tt0896866/?ref_=fn_tt_tt_1,22,English,USA,0,7.5,2.35
24,Don Gordon,,Drama,Raymond Burr,Out of the Blue ,498,Jim Byrnes,1,http://www.imdb.com/title/tt0081291/?ref_=fn_tt_tt_1,27,English,Canada,59,7.2,1.85
324,Tyler Labine,223615,Comedy|Horror,Katrina Bowden,Tucker and Dale vs Evil ,2958,Chelan Simmons,1,http://www.imdb.com/title/tt1465522/?ref_=fn_tt_tt_1,200,English,Canada,779,7.6,2.35
27,Ellen Burstyn,124720,Drama|Romance,Adam Scott,Lovely, Still ,4987,Martin Landau,0,http://www.imdb.com/title/tt1150947/?ref_=fn_tt_tt_1,15,English,USA,1000,7.3,1.85
9,Paul Fix,,Adventure|Drama|Romance,Judith Anderson,Tycoon ,538,Laraine Day,1,http://www.imdb.com/title/tt0039927/?ref_=fn_tt_tt_1,23,English,USA,116,6.2,1.37
31,John Heard,99147,Drama,Ethan Suplee,Desert Blue ,3207,Sara Gilbert,3,http://www.imdb.com/title/tt0126261/?ref_=fn_tt_tt_1,28,English,USA,697,6.2,1.85
35,Marc Trottier,,Comedy|Horror|Sci-Fi,Meghan Ory,Decoys ,2984,Corey Sevier,0,http://www.imdb.com/title/tt0357585/?ref_=fn_tt_tt_1,66,English,Canada,680,4.6,1.85
371,Patch Darragh,65069140,Horror|Thriller,Ocean James,The Visit ,1010,Olivia DeJonge,,http://www.imdb.com/title/tt3567288/?ref_=fn_tt_tt_1,455,English,USA,309,6.2,1.85
133,Daniel Stewart Sherman,65087,Crime|Thriller|War,Mike Figueroa,Redacted ,408,Kel O'Neill,0,http://www.imdb.com/title/tt0937237/?ref_=fn_tt_tt_1,108,English,USA,29,6.2,1.85
13,Jacqueline Bisset,16066,Mystery|Romance|Thriller,Adam Garcia,Fascination ,1789,Alice Evans,0,http://www.imdb.com/title/tt0305632/?ref_=fn_tt_tt_1,44,English,Germany,522,3.3,2.35
9,Dylan Minnette,,Drama|Fantasy,Holly Hunter,Saving Grace             ,5203,Bokeem Woodbine,1,http://www.imdb.com/title/tt0830900/?ref_=fn_tt_tt_1,47,English,USA,1000,7.5,1.78
56,Sandra Staggs,,Horror|Sci-Fi|Thriller,Glenn Campbell,Area 51 ,117,Jelena Nik,0,http://www.imdb.com/title/tt1519461/?ref_=fn_tt_tt_1,55,English,USA,21,4.2,
191,Tony Corvillo,,Drama|Horror|Thriller,Luis Tosar,Sleep Tight ,526,Marta Etura,0,http://www.imdb.com/title/tt1437358/?ref_=fn_tt_tt_1,48,Spanish,Spain,93,7.2,2.35
80,Doug Bradley,,Comedy|Crime|Horror|Thriller,Dave Legeno,The Cottage ,1258,Georgia Groome,0,http://www.imdb.com/title/tt0465430/?ref_=fn_tt_tt_1,82,English,UK,337,6.2,2.35
19,Callum Blue,,Comedy|Drama|Fantasy,Henry Ian Cusick,Dead Like Me: Life After Death ,3724,Shenae Grimes-Beech,1,http://www.imdb.com/title/tt1079444/?ref_=fn_tt_tt_1,80,English,USA,738,6.1,1.78
19,John Stamos,,Animation|Comedy,Alyson Hannigan,Farce of the Penguins ,10727,Jim Belushi,0,http://www.imdb.com/title/tt0488539/?ref_=fn_tt_tt_1,47,English,USA,2000,4.2,1.85
,Patricia Neal,,Drama|Family|Music,Heather Locklear,Flying By ,3217,Katie Leclerc,6,http://www.imdb.com/title/tt1131732/?ref_=fn_tt_tt_1,2,English,USA,617,4.5,
38,Dulé Hill,,Comedy|Crime|Mystery,Corbin Bernsen,Psych             ,4092,Timothy Omundson,2,http://www.imdb.com/title/tt0491738/?ref_=fn_tt_tt_1,127,English,USA,922,8.4,1.78
44,Felicity Huffman,37440,Comedy|Drama|Music,Billy Crudup,Rudderless ,1986,David Adam Flannery,1,http://www.imdb.com/title/tt1798243/?ref_=fn_tt_tt_1,60,English,USA,508,7.5,
3,Cyndi Lauper,,Animation|Family,Chazz Palminteri,Henry & Me ,2509,Danny Aiello,2,http://www.imdb.com/title/tt1460798/?ref_=fn_tt_tt_1,1,English,USA,732,6.7,
6,Jon Heder,,Comedy,Gary Cole,Christmas Eve ,3514,Cheryl Hines,7,http://www.imdb.com/title/tt3703148/?ref_=fn_tt_tt_1,15,English,USA,970,5.1,
,Esai Morales,,Crime|Drama|Thriller,Teri Polo,We Have Your Husband ,3059,Nicholas Gonzalez,1,http://www.imdb.com/title/tt2063015/?ref_=fn_tt_tt_1,3,English,USA,699,5.5,1.78
64,Irène Jacob,,Drama|Thriller,Nicolas Cage,Dying of the Light ,12676,Tomiwa Edun,1,http://www.imdb.com/title/tt1274586/?ref_=fn_tt_tt_1,47,English,Bahamas,316,4.4,2.35
8,Sofia Black-D'Elia,,Action|Drama|Thriller|War,James Frain,Born of War ,1681,Lisa Kay,3,http://www.imdb.com/title/tt1554921/?ref_=fn_tt_tt_1,3,English,UK,266,4.4,
64,Sam Waterston,,Action|Sci-Fi|Thriller,David Huddleston,Capricorn One ,5191,Hal Holbrook,0,http://www.imdb.com/title/tt0077294/?ref_=fn_tt_tt_1,153,English,USA,849,6.8,2.35
2,Natasha Henstridge,,Comedy|Drama,Michael Rapaport,Should've Been Romeo ,4991,Costas Mandylor,15,http://www.imdb.com/title/tt1717210/?ref_=fn_tt_tt_1,2,English,USA,900,6.7,
,Cody Howard,,Family,David Raizor,Running Forever ,3021,Martin Kove,2,http://www.imdb.com/title/tt4453560/?ref_=fn_tt_tt_1,,English,USA,763,8.6,
35,Haley Joel Osment,,Comedy|Fantasy|Horror|Thriller,Johnny Depp,Yoga Hosers ,46115,Natasha Lyonne,7,http://www.imdb.com/title/tt3838992/?ref_=fn_tt_tt_1,4,English,USA,3000,4.8,
21,Michael Dudikoff,,Action|Horror,Mikal Vega,Navy Seals vs. Zombies ,2849,Ed Quinn,1,http://www.imdb.com/title/tt4511566/?ref_=fn_tt_tt_1,14,English,USA,615,3.4,
99,Ivan Barnev,617228,Comedy|Drama|Romance|War,Julia Jentsch,I Served the King of England ,92,Milan Lasica,1,http://www.imdb.com/title/tt0284363/?ref_=fn_tt_tt_1,27,Czech,Czech Republic,12,7.4,1.85
115,Moritz Bleibtreu,274385,Comedy|Drama,Udo Kier,Soul Kitchen ,1519,Birol Ünel,3,http://www.imdb.com/title/tt1244668/?ref_=fn_tt_tt_1,26,German,Germany,486,7.3,1.85
104,Dwight Yoakam,24475416,Drama,Robert Duvall,Sling Blade ,3967,J.T. Walsh,0,http://www.imdb.com/title/tt0117666/?ref_=fn_tt_tt_1,309,English,USA,324,8.0,1.85
195,Imelda Staunton,,Horror|Thriller,Isaac Hempstead Wright,The Awakening ,2363,Joseph Mawle,1,http://www.imdb.com/title/tt1687901/?ref_=fn_tt_tt_1,112,English,UK,579,6.5,2.35
303,Takashi Miike,47277326,Horror,Jay Hernandez,Hostel ,2990,Rick Hoffman,0,http://www.imdb.com/title/tt0450278/?ref_=fn_tt_tt_1,1516,English,USA,1000,5.9,2.35
122,Shirley Henderson,1247453,Comedy|Drama,Steve Coogan,Tristram Shandy: A Cock and Bull Story ,3690,Dylan Moran,0,http://www.imdb.com/title/tt0423409/?ref_=fn_tt_tt_1,123,English,UK,887,6.8,2.35
359,Shea Whigham,1729969,Drama|Thriller,Katy Mixon,Take Shelter ,1520,Robert Longstreet,0,http://www.imdb.com/title/tt1675192/?ref_=fn_tt_tt_1,219,English,USA,463,7.4,2.35
130,Lukas Haas,1705139,Fantasy|Horror|Mystery|Thriller,Alex Rocco,Lady in White ,2545,Katherine Helmond,0,http://www.imdb.com/title/tt0095484/?ref_=fn_tt_tt_1,69,English,USA,733,6.7,1.85
64,Julie Walters,238774,Comedy|Drama,Rupert Grint,Driving Lessons ,11703,Tamsin Egerton,0,http://www.imdb.com/title/tt0446687/?ref_=fn_tt_tt_1,70,English,UK,838,6.8,1.85
13,Greg Grunberg,,Comedy|Crime,Donald Faison,Let's Kill Ward's Wife ,2469,Dagmara Dominczyk,2,http://www.imdb.com/title/tt2980708/?ref_=fn_tt_tt_1,11,English,USA,833,5.4,
159,Lou Perryman,8025872,Comedy|Horror,Bill Johnson,The Texas Chainsaw Massacre 2 ,302,Jim Siedow,3,http://www.imdb.com/title/tt0092076/?ref_=fn_tt_tt_1,258,English,USA,28,5.5,1.85
54,Bob Dylan,,Biography|Drama|Romance|Western,James Coburn,Pat Garrett & Billy the Kid ,2409,Jason Robards,0,http://www.imdb.com/title/tt0070518/?ref_=fn_tt_tt_1,106,English,USA,476,7.4,2.35
440,Kristin Scott Thomas,778565,Crime|Drama,Ryan Gosling,Only God Forgives ,34779,Yayaying Rhatha Phongam,1,http://www.imdb.com/title/tt1602613/?ref_=fn_tt_tt_1,475,English,Denmark,1000,5.7,1.85
7,Isild Le Besco,,Drama,Denis Lavant,Camping sauvage ,286,Emmanuelle Bercot,0,http://www.imdb.com/title/tt0451673/?ref_=fn_tt_tt_1,6,French,France,40,5.4,
4,Kate del Castillo,,Comedy,Maria Conchita Alonso,Without Men ,2006,Camryn Manheim,6,http://www.imdb.com/title/tt1547090/?ref_=fn_tt_tt_1,12,English,USA,345,3.2,
1,Diganth,,Comedy|Romance,Bhama,Barfi ,5,Dileep Raj,2,http://www.imdb.com/title/tt3099638/?ref_=fn_tt_tt_1,1,Kannada,India,0,7.1,
96,Sharon Small,1340891,Drama|Romance,Gerard Butler,Dear Frankie ,18105,Jack McElhone,0,http://www.imdb.com/title/tt0377752/?ref_=fn_tt_tt_1,182,English,UK,66,7.8,1.85
8,Gary Farmer,,Western,Keith Carradine,All Hat ,2668,Stephen McHattie,2,http://www.imdb.com/title/tt0903131/?ref_=fn_tt_tt_1,8,English,Canada,580,5.3,2.35
87,Jacques Gamblin,513836,Comedy|Drama|Romance,Sara Forestier,The Names of Love ,143,Zinedine Soualem,1,http://www.imdb.com/title/tt1646974/?ref_=fn_tt_tt_1,21,French,France,52,7.2,1.85
10,Douglas Smith,,Comedy|Drama,Zoë Kravitz,Treading Water ,1795,Kim Ly,1,http://www.imdb.com/title/tt2091427/?ref_=fn_tt_tt_1,3,English,Mexico,480,6.2,
121,Elena Anaya,434417,Drama,Eddie Redmayne,Savage Grace ,15093,Stephen Dillane,1,http://www.imdb.com/title/tt0379976/?ref_=fn_tt_tt_1,65,English,Spain,1000,5.9,1.85
43,Matthew Sunderland,728,Crime|Drama,William Kircher,Out of the Blue ,122,Paul Glover,0,http://www.imdb.com/title/tt0839938/?ref_=fn_tt_tt_1,22,English,New Zealand,10,7.3,1.85
45,Bubba Smith,81200000,Comedy,Steve Guttenberg,Police Academy ,3113,Michael Winslow,0,http://www.imdb.com/title/tt0087928/?ref_=fn_tt_tt_1,133,English,USA,760,6.7,1.85
36,Christopher Atkins,,Adventure|Drama|Romance,Brooke Shields,The Blue Lagoon ,1662,Leo McKern,0,http://www.imdb.com/title/tt0080453/?ref_=fn_tt_tt_1,140,English,USA,511,5.7,1.85
84,James Fleet,52700832,Comedy|Drama|Romance,Kristin Scott Thomas,Four Weddings and a Funeral ,1862,Simon Callow,4,http://www.imdb.com/title/tt0109831/?ref_=fn_tt_tt_1,197,English,UK,398,7.1,1.66
