director_name,duration,director_facebook_likes,actor_1_facebook_likes,actor_1_name,num_voted_users,actor_3_name,facenumber_in_poster,movie_imdb_link,content_rating,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Keenen Ivory Wayans,100,322,851,Jada Pinkett Smith,3924,Charles S. Dutton,2,http://www.imdb.com/title/tt0110399/?ref_=fn_tt_tt_1,R,10000000,543,5.8,368
John Polson,85,21,931,Erika Christensen,16300,Jason Ritter,0,http://www.imdb.com/title/tt0283026/?ref_=fn_tt_tt_1,PG-13,8500000,855,5.0,720
Greg Coolidge,103,27,1000,Dane Cook,37681,Jessica Simpson,2,http://www.imdb.com/title/tt0424993/?ref_=fn_tt_tt_1,PG-13,12000000,809,5.5,0
Harry Elfont,100,4,982,Ethan Embry,37885,Charlie Korsmo,4,http://www.imdb.com/title/tt0127723/?ref_=fn_tt_tt_1,PG-13,10000000,945,6.5,0
Francis Ford Coppola,114,0,10000,Tom Cruise,57363,Tom Waits,0,http://www.imdb.com/title/tt0086066/?ref_=fn_tt_tt_1,PG-13,10000000,919,7.2,10000
David Lowery,102,38,3000,Bryce Dallas Howard,408,Isiah Whitlock Jr.,0,http://www.imdb.com/title/tt2788732/?ref_=fn_tt_tt_1,PG,65000000,424,7.3,21000
David Cronenberg,103,0,1000,Tom Skerritt,44804,Anthony Zerbe,0,http://www.imdb.com/title/tt0085407/?ref_=fn_tt_tt_1,R,10000000,278,7.2,0
Ciarán Foy,97,11,1000,Laila Haley,25210,Jaden Klein,0,http://www.imdb.com/title/tt2752772/?ref_=fn_tt_tt_1,R,10000000,412,5.2,13000
Salim Akil,116,70,1000,Omari Hardwick,5161,Mike Epps,7,http://www.imdb.com/title/tt1876451/?ref_=fn_tt_tt_1,PG-13,17000000,876,5.7,0
Jamie Blanks,96,9,690,Marley Shelton,20467,Johnny Whitworth,1,http://www.imdb.com/title/tt0242998/?ref_=fn_tt_tt_1,R,10000000,533,4.7,0
Olatunde Osunsanmi,98,58,14000,Milla Jovovich,63108,Hakeem Kae-Kazim,0,http://www.imdb.com/title/tt1220198/?ref_=fn_tt_tt_1,PG-13,10000000,537,5.9,15000
Robert Altman,105,500,11000,Meryl Streep,19655,Lily Tomlin,8,http://www.imdb.com/title/tt0420087/?ref_=fn_tt_tt_1,PG-13,10000000,912,6.8,683
Leon Ichaso,123,5,556,Khandi Alexander,3119,Steve Harris,1,http://www.imdb.com/title/tt0107079/?ref_=fn_tt_tt_1,R,10000000,475,5.9,331
Joseph Zito,107,17,371,Billy Drago,6143,Eddie Jones,1,http://www.imdb.com/title/tt0089348/?ref_=fn_tt_tt_1,R,10000000,324,5.3,0
Malcolm D. Lee,112,92,2000,Jurnee Smollett-Bell,5585,Shad Moss,0,http://www.imdb.com/title/tt0403455/?ref_=fn_tt_tt_1,PG-13,,918,6.0,997
Wes Anderson,93,0,13000,Bill Murray,134458,Olivia Williams,2,http://www.imdb.com/title/tt0128445/?ref_=fn_tt_tt_1,R,9000000,933,7.7,5000
Colin Strause,97,25,929,David Zayas,76199,Brittany Daniel,0,http://www.imdb.com/title/tt1564585/?ref_=fn_tt_tt_1,PG-13,10000000,927,4.4,13000
John Madden,122,108,220,Tina Desai,22369,Ronald Pickup,6,http://www.imdb.com/title/tt2555736/?ref_=fn_tt_tt_1,PG,10000000,186,6.6,21000
Patricia Rozema,101,22,918,Julia Ormond,4719,Willow Smith,1,http://www.imdb.com/title/tt0846308/?ref_=fn_tt_tt_1,G,10000000,624,6.7,851
Mark Rosman,100,15,1000,Ben Feldman,23527,Vanessa Lengies,3,http://www.imdb.com/title/tt0380623/?ref_=fn_tt_tt_1,PG,25000000,962,5.5,767
Spike Lee,129,0,18000,Denzel Washington,8295,Charlie Murphy,1,http://www.imdb.com/title/tt0100168/?ref_=fn_tt_tt_1,R,10000000,269,6.5,720
Steve Oedekerk,81,176,176,Steve Oedekerk,37901,Jennifer Tung,1,http://www.imdb.com/title/tt0240468/?ref_=fn_tt_tt_1,PG-13,10000000,67,6.2,0
Ron Underwood,96,31,651,Reba McEntire,90070,Michael Gross,0,http://www.imdb.com/title/tt0100814/?ref_=fn_tt_tt_1,PG-13,11000000,610,7.1,11000
Rob Schmidt,84,36,2000,Kevin Zegers,87494,Julian Richings,1,http://www.imdb.com/title/tt0295700/?ref_=fn_tt_tt_1,R,12600000,683,6.1,0
Walter Hill,100,394,2000,Dennis Quaid,7322,Randy Quaid,0,http://www.imdb.com/title/tt0081071/?ref_=fn_tt_tt_1,R,10000000,926,7.1,680
James Foley,110,164,258,Byron Mann,15358,Kim Chan,2,http://www.imdb.com/title/tt0142192/?ref_=fn_tt_tt_1,R,30000000,218,6.0,328
Jeff Nichols,130,337,11000,Matthew McConaughey,135286,Sam Shepard,1,http://www.imdb.com/title/tt1935179/?ref_=fn_tt_tt_1,PG-13,10000000,1000,7.4,27000
Robert Ben Garant,84,134,655,Wendi McLendon-Covey,23928,Carlos Alazraqui,2,http://www.imdb.com/title/tt0499554/?ref_=fn_tt_tt_1,R,10000000,651,5.9,441
Morgan Spurlock,106,293,773,Harry Styles,22161,Niall Horan,11,http://www.imdb.com/title/tt2515086/?ref_=fn_tt_tt_1,PG,10000000,734,4.1,0
Neal Brennan,89,23,839,Rob Riggle,17790,Charles Napier,5,http://www.imdb.com/title/tt1092633/?ref_=fn_tt_tt_1,R,,700,5.8,0
Tuck Tucker,76,14,1000,Jennifer Jason Leigh,4564,Paul Sorvino,0,http://www.imdb.com/title/tt0314166/?ref_=fn_tt_tt_1,PG,3000000,811,5.9,227
Simon Curtis,99,64,13000,Eddie Redmayne,71679,Julia Ormond,1,http://www.imdb.com/title/tt1655420/?ref_=fn_tt_tt_1,R,6400000,2000,7.0,17000
Richard Shepard,96,47,3000,Adam Scott,40514,Hope Davis,0,http://www.imdb.com/title/tt0365485/?ref_=fn_tt_tt_1,R,10000000,497,6.8,808
Theodore Witcher,104,28,962,Leonard Roberts,2801,Larenz Tate,0,http://www.imdb.com/title/tt0119572/?ref_=fn_tt_tt_1,R,10000000,826,7.4,1000
Joel Edgerton,108,0,1000,Busy Philipps,79909,Wendell Pierce,1,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1,R,5000000,562,7.1,15000
Jim Hanon,108,2,772,Chase Ellison,4360,Jack Guzman,3,http://www.imdb.com/title/tt0399862/?ref_=fn_tt_tt_1,PG-13,10000000,232,7.0,1000
Tommy O'Haver,87,13,15000,Mila Kunis,15617,Carmen Electra,1,http://www.imdb.com/title/tt0192071/?ref_=fn_tt_tt_1,PG-13,22000000,4000,5.8,0
Mike Judge,89,406,989,Gary Cole,200293,Diedrich Bader,0,http://www.imdb.com/title/tt0151804/?ref_=fn_tt_tt_1,R,10000000,939,7.8,16000
Michael Patrick Jann,97,31,4000,Kirsten Dunst,27265,Ellen Barkin,0,http://www.imdb.com/title/tt0157503/?ref_=fn_tt_tt_1,PG-13,10000000,980,6.5,0
Tim Burton,106,13000,11000,Christoph Waltz,55539,Jon Polito,3,http://www.imdb.com/title/tt1126590/?ref_=fn_tt_tt_1,PG-13,10000000,430,7.0,20000
Peter Berg,100,532,4000,Jon Favreau,39331,Jeanne Tripplehorn,0,http://www.imdb.com/title/tt0124198/?ref_=fn_tt_tt_1,R,10000000,796,6.3,0
Joe Nussbaum,89,18,7000,Steve Carell,12706,Hunter Parrish,9,http://www.imdb.com/title/tt0368975/?ref_=fn_tt_tt_1,PG,10000000,2000,5.3,0
Brian De Palma,114,0,537,Melanie Griffith,20113,Gregg Henry,0,http://www.imdb.com/title/tt0086984/?ref_=fn_tt_tt_1,R,10000000,376,6.8,0
Jorma Taccone,95,434,1000,Jasper Cole,35888,Powers Boothe,3,http://www.imdb.com/title/tt1470023/?ref_=fn_tt_tt_1,R,10000000,622,5.5,0
Stephen Frears,97,350,460,Sophie Okonedo,34848,Sergi López,1,http://www.imdb.com/title/tt0301199/?ref_=fn_tt_tt_1,R,10000000,372,7.4,0
Elizabeth Banks,94,0,20000,Hugh Jackman,79146,Seth MacFarlane,10,http://www.imdb.com/title/tt1333125/?ref_=fn_tt_tt_1,R,6000000,14000,4.3,25000
Florian Henckel von Donnersmarck,103,207,40000,Johnny Depp,176606,Rufus Sewell,0,http://www.imdb.com/title/tt1243957/?ref_=fn_tt_tt_1,PG-13,100000000,11000,6.0,25000
Jeff Lowell,95,4,939,Stephen Root,21268,Wendi McLendon-Covey,0,http://www.imdb.com/title/tt0785007/?ref_=fn_tt_tt_1,PG-13,10000000,702,5.2,518
Lorene Scafaria,101,63,7000,Steve Carell,87203,Rob Huebel,2,http://www.imdb.com/title/tt1307068/?ref_=fn_tt_tt_1,R,10000000,353,6.7,25000
Miguel Arteta,87,44,1000,Kurtwood Smith,32697,Alia Shawkat,1,http://www.imdb.com/title/tt1477837/?ref_=fn_tt_tt_1,R,,939,6.3,0
,40,,1000,Michaela Conlin,111506,Tamara Taylor,2,http://www.imdb.com/title/tt0460627/?ref_=fn_tt_tt_1,TV-14,,722,7.9,0
Tony Kaye,101,194,1000,Ethan Suplee,782437,Stacy Keach,2,http://www.imdb.com/title/tt0120586/?ref_=fn_tt_tt_1,R,7500000,816,8.6,35000
Marcus Dunstan,82,87,1000,Daniel Sharman,36029,Lee Tergesen,0,http://www.imdb.com/title/tt1748227/?ref_=fn_tt_tt_1,R,10000000,581,6.1,14000
Timothy Björklund,74,0,886,Nathan Lane,1231,Jerry Stiller,0,http://www.imdb.com/title/tt0350194/?ref_=fn_tt_tt_1,PG,10000000,808,5.8,49
François Girard,130,63,24,Johannes Silberschneider,26832,Carlo Cecchi,3,http://www.imdb.com/title/tt0120802/?ref_=fn_tt_tt_1,R,10000000,3,7.7,0
David Lynch,112,0,874,Sissy Spacek,63733,Everett McGill,0,http://www.imdb.com/title/tt0166896/?ref_=fn_tt_tt_1,G,10000000,262,8.0,0
Scott Kalvert,96,9,12000,Norman Reedus,6200,Frankie Muniz,1,http://www.imdb.com/title/tt0231448/?ref_=fn_tt_tt_1,R,10000000,11000,5.6,398
Jason Bateman,89,0,628,Beth Grant,38459,Patricia Belcher,0,http://www.imdb.com/title/tt2170299/?ref_=fn_tt_tt_1,R,10000000,497,6.7,0
David Schwimmer,100,0,427,Dylan Moran,58509,India de Beaufort,0,http://www.imdb.com/title/tt0425413/?ref_=fn_tt_tt_1,PG-13,,269,6.6,0
Allan Arkush,78,13,753,Bernadette Peters,1040,Christopher Guest,0,http://www.imdb.com/title/tt0082507/?ref_=fn_tt_tt_1,PG,10000000,695,4.2,425
Mike Binder,121,57,1000,Jennifer Ehle,8058,Jillian Estell,2,http://www.imdb.com/title/tt2883434/?ref_=fn_tt_tt_1,PG-13,9000000,837,6.6,0
Eric Bross,85,49,719,Jerry Stiller,3662,Dave Foley,2,http://www.imdb.com/title/tt0279286/?ref_=fn_tt_tt_1,PG,16000000,405,4.1,0
Werner Herzog,120,0,23000,Christian Bale,84641,François Chau,0,http://www.imdb.com/title/tt0462504/?ref_=fn_tt_tt_1,PG-13,10000000,342,7.3,0
Dan Fogelman,106,102,14000,Al Pacino,20810,Melissa Benoist,0,http://www.imdb.com/title/tt1772288/?ref_=fn_tt_tt_1,R,10000000,3000,7.1,0
Jay Duplass,83,157,2000,Judy Greer,56005,Rae Dawn Chong,5,http://www.imdb.com/title/tt1588334/?ref_=fn_tt_tt_1,R,10000000,616,6.5,0
Luca Guadagnino,120,64,144,Flavio Parenti,14031,Alba Rohrwacher,1,http://www.imdb.com/title/tt1226236/?ref_=fn_tt_tt_1,R,10000000,110,7.0,0
John Putch,111,60,823,Robert Picardo,5612,Esai Morales,0,http://www.imdb.com/title/tt1985017/?ref_=fn_tt_tt_1,PG-13,10000000,759,5.5,0
