director_name,num_critic_for_reviews,duration,actor_2_name,gross,actor_1_name,num_voted_users,plot_keywords,movie_imdb_link,language,country,content_rating
Todd Phillips,334,108,Rob Riggle,277313371,Bradley Cooper,583341,drunkenness|female nudity|hangover|hedonism|morning after,http://www.imdb.com/title/tt1119646/?ref_=fn_tt_tt_1,English,USA,R
Wilson Yip,78,105,Lynn Hung,2126511,Mike Tyson,21912,1950s|cancer|hong kong|martial arts school|wing chun,http://www.imdb.com/title/tt2888046/?ref_=fn_tt_tt_1,Cantonese,Hong Kong,PG-13
Jay Roach,199,95,Verne Troyer,205399422,Muse Watson,181225,penis joke|phallic image|sexy agent|spy|volcano hideout,http://www.imdb.com/title/tt0145660/?ref_=fn_tt_tt_1,English,USA,PG-13
Tim Burton,186,126,Jack Palance,251188924,Michael Gough,269033,city|dc comics|gotham|pantyhose|police,http://www.imdb.com/title/tt0096895/?ref_=fn_tt_tt_1,English,USA,PG-13
Roland Joffé,77,102,Dougray Scott,1068392,Jordi Mollà,3865,dying|forgiveness|saint|spanish civil war|starts with narration,http://www.imdb.com/title/tt1316616/?ref_=fn_tt_tt_1,English,Spain,PG-13
Richard Donner,68,121,Nick Chinlund,144731527,Rene Russo,128010,gangster|gun|internal affairs|police|police officer,http://www.imdb.com/title/tt0104714/?ref_=fn_tt_tt_1,English,USA,R
John Lee Hancock,261,129,Quinton Aaron,255950375,Catherine Dyer,223127,american football|based on true story|football star|high school football|left tackle,http://www.imdb.com/title/tt0878804/?ref_=fn_tt_tt_1,English,USA,PG-13
,5,43,Aimee Garcia,,Jon Foo,2185,,http://www.imdb.com/title/tt4085584/?ref_=fn_tt_tt_1,English,USA,TV-14
Robert Rodriguez,122,88,Cheech Marin,112692062,Alexa PenaVega,84325,brother sister relationship|espionage|rescue|secret agent|spy,http://www.imdb.com/title/tt0227538/?ref_=fn_tt_tt_1,English,USA,PG
Seth Gordon,340,106,Lindsay Sloane,117528646,Kevin Spacey,353442,black comedy|boss|chemical company|dental assistant|murder,http://www.imdb.com/title/tt1499658/?ref_=fn_tt_tt_1,English,USA,R
Ethan Coen,493,110,Jeff Bridges,171031347,Matt Damon,240962,arkansas|murder|sheriff|texas ranger|u.s. marshal,http://www.imdb.com/title/tt1403865/?ref_=fn_tt_tt_1,English,USA,PG-13
David Frankel,208,109,Anne Hathaway,124732962,Meryl Streep,286178,fashion|fashion industry|magazine|new york city|publishing,http://www.imdb.com/title/tt0458352/?ref_=fn_tt_tt_1,English,USA,PG-13
Robert Wise,134,143,Nichelle Nichols,82300000,Leonard Nimoy,63330,alien|space|space station|spacecraft|warp speed,http://www.imdb.com/title/tt0079945/?ref_=fn_tt_tt_1,English,USA,PG
Seth Gordon,275,120,Eric Stonestreet,134455175,Jon Favreau,97664,bounty hunter|credit card|cross country|identity|police,http://www.imdb.com/title/tt2024432/?ref_=fn_tt_tt_1,English,USA,R
Martin Scorsese,120,128,Robert Mitchum,79100000,Robert De Niro,127503,lawyer|neo noir|prison|rapist|southern gothic,http://www.imdb.com/title/tt0101540/?ref_=fn_tt_tt_1,English,USA,R
Robert Luketic,144,123,Jim Sturgess,81159365,Kevin Spacey,191470,based on true story|blackjack|card counting|gambling|massachusetts institute of technology,http://www.imdb.com/title/tt0478087/?ref_=fn_tt_tt_1,English,USA,PG-13
Judd Apatow,332,129,Randall Park,110008260,Amy Schumer,94241,actress playing herself|actress shares first name with character|fired from a job|male nudity|written by star,http://www.imdb.com/title/tt3152624/?ref_=fn_tt_tt_1,English,Japan,R
Kevin Rodney Sullivan,104,105,Nicole Sullivan,67962333,Bernie Mac,33887,argument|engagement|family relationships|love|undressing,http://www.imdb.com/title/tt0372237/?ref_=fn_tt_tt_1,English,USA,PG-13
Anthony Minghella,116,162,Kristin Scott Thomas,78651430,Colin Firth,142067,church|english|flashback|nurse|patient,http://www.imdb.com/title/tt0116209/?ref_=fn_tt_tt_1,English,USA,R
Curtis Hanson,177,138,Matt McCoy,64604977,Kevin Spacey,414219,1950s|call girl|corruption|murder|police detective,http://www.imdb.com/title/tt0119488/?ref_=fn_tt_tt_1,English,USA,R
Mike Mitchell,127,100,Kelly Preston,63939454,Michael Angarano,61321,coming of age|friend|high school|sidekick|superpower,http://www.imdb.com/title/tt0405325/?ref_=fn_tt_tt_1,English,USA,PG
Frank Oz,83,90,Wilford Brimley,63826569,Tom Selleck,32416,academy award|gay|high school|reporter|teacher,http://www.imdb.com/title/tt0119360/?ref_=fn_tt_tt_1,English,USA,PG-13
Roger Donaldson,97,108,Marg Helgenberger,60054449,Natasha Henstridge,61018,alien|interspecies sex|scientist|sexual attraction|train,http://www.imdb.com/title/tt0114508/?ref_=fn_tt_tt_1,English,USA,R
Wes Craven,256,101,Lin Shaye,26505000,Johnny Depp,149285,freddy krueger|lucid dream|serial killer|slasher|sleep deprivation,http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1,English,USA,X
Tarsem Singh,225,109,Jake Weber,61280963,Dylan Baker,79877,coma|fbi|race against time|serial killer|strong female lead,http://www.imdb.com/title/tt0209958/?ref_=fn_tt_tt_1,English,USA,R
Randall Wallace,83,132,Anne Parillaud,56876365,Leonardo DiCaprio,125219,france|musketeer|three musketeers|twin|twin brother,http://www.imdb.com/title/tt0120744/?ref_=fn_tt_tt_1,English,USA,PG-13
Randall Wallace,160,123,Kevin Connolly,59699513,Scott Glenn,20827,eccentric|horse racing|newspaper clipping|stallion|triple crown,http://www.imdb.com/title/tt1028576/?ref_=fn_tt_tt_1,English,USA,PG
Kevin Munroe,191,87,Sarah Michelle Gellar,54132596,Chris Evans,53786,martial arts master|monster|new york city|turtle|warrior,http://www.imdb.com/title/tt0453556/?ref_=fn_tt_tt_1,English,Hong Kong,PG
Michael Tollin,74,109,Riley Smith,52277485,Alfre Woodard,32370,coach|football|football coach|high school|radio,http://www.imdb.com/title/tt0316465/?ref_=fn_tt_tt_1,English,USA,PG
Will Gluck,238,109,Justin Timberlake,55802754,Mila Kunis,270228,blow job|female rear nudity|girl in panties|male objectification|no panties,http://www.imdb.com/title/tt1632708/?ref_=fn_tt_tt_1,English,USA,R
Nicholas Stoller,177,92,Ike Barinholtz,55291815,Chloë Grace Moretz,28041,bare chested male|gay|gay best friend|gay man|gay marriage proposal,http://www.imdb.com/title/tt4438848/?ref_=fn_tt_tt_1,English,USA,R
John Lee Hancock,405,125,Ruth Wilson,83299761,Tom Hanks,117719,author|disney|loss of father|reference to walt disney|suppression of emotion,http://www.imdb.com/title/tt2140373/?ref_=fn_tt_tt_1,English,USA,PG-13
Spike Lee,61,202,Delroy Lindo,48169908,Denzel Washington,63923,african american|black history|civil rights|ku klux klan|nation of islam,http://www.imdb.com/title/tt0104797/?ref_=fn_tt_tt_1,English,USA,PG-13
Judd Apatow,285,134,Maude Apatow,67523385,Charlyne Yi,104005,40th birthday|aging|birthday|sex|viagra,http://www.imdb.com/title/tt1758830/?ref_=fn_tt_tt_1,English,USA,R
Walt Becker,124,88,Bernie Mac,49474048,Robin Williams,31191,best friend|business deal|impulse|public relations|twin,http://www.imdb.com/title/tt0976238/?ref_=fn_tt_tt_1,English,USA,PG
Patrick Tatopoulos,164,92,Kevin Grevioux,45802315,Craig Parker,119974,battle|slave|vampire|warrior|werewolf,http://www.imdb.com/title/tt0834001/?ref_=fn_tt_tt_1,English,USA,R
Ken Kwapis,120,91,Christine Taylor,43792641,Robin Williams,32157,box office flop|church|kissing|usa|wedding,http://www.imdb.com/title/tt0762114/?ref_=fn_tt_tt_1,English,USA,PG-13
Dennis Dugan,90,75,Jon Heder,57651794,Jon Lovitz,40651,baseball|baseball team|bully|millionaire|team,http://www.imdb.com/title/tt0437863/?ref_=fn_tt_tt_1,English,USA,PG-13
Gary David Goldberg,120,98,Victor Webster,43894863,Stockard Channing,25883,date|dating|dog|love|teacher,http://www.imdb.com/title/tt0417001/?ref_=fn_tt_tt_1,English,USA,PG-13
Mike Newell,117,147,Al Pacino,41954997,Johnny Depp,225122,fbi|mafia|money|racial slur|singer,http://www.imdb.com/title/tt0119008/?ref_=fn_tt_tt_1,English,USA,R
Paul W.S. Anderson,226,100,Jaymes Butler,39532308,Milla Jovovich,198701,amnesia|quarantine|special forces|virus|zombie,http://www.imdb.com/title/tt0120804/?ref_=fn_tt_tt_1,English,UK,R
Tobe Hooper,223,120,Zelda Rubinstein,76600000,Heather O'Rourke,105446,ghost|haunted|haunting|house|paranormal investigator,http://www.imdb.com/title/tt0084516/?ref_=fn_tt_tt_1,English,USA,PG
Ethan Coen,193,104,Tom Hanks,39692139,J.K. Simmons,84131,casino|irony of fate|landlady|professor|remake,http://www.imdb.com/title/tt0335245/?ref_=fn_tt_tt_1,English,USA,R
John Moore,228,103,Beau Bridges,40687294,Mila Kunis,107772,corporation|death|ex partner|hallucination|police detective,http://www.imdb.com/title/tt0467197/?ref_=fn_tt_tt_1,English,Canada,PG-13
Andrew Niccol,360,109,Olivia Wilde,37553932,Matt Bomer,304318,currency|future|murder|on the run|time,http://www.imdb.com/title/tt1637688/?ref_=fn_tt_tt_1,English,USA,PG-13
Alan Poul,148,104,Noureen DeWulf,37481242,Danneel Ackles,40654,artificial insemination|baby|cheese|chick flick|pet shop,http://www.imdb.com/title/tt1212436/?ref_=fn_tt_tt_1,English,USA,PG-13
Luke Greenfield,128,112,Steve Howey,39026186,Ashley Williams,48019,best friend|crush|law school|lawyer|loud sex,http://www.imdb.com/title/tt0491152/?ref_=fn_tt_tt_1,English,USA,PG-13
,3,60,Kimberly Elise,,Jodi Lyn O'Keefe,1641,affair|hip hop|sex scene,http://www.imdb.com/title/tt2368645/?ref_=fn_tt_tt_1,English,USA,
Gil Junger,46,95,Marsha Thomason,33422806,Tom Wilkinson,30771,14th century|king|knight|sword duel|time travel,http://www.imdb.com/title/tt0265087/?ref_=fn_tt_tt_1,English,USA,PG-13
Michael Ritchie,40,102,Vic Morrow,,Tatum O'Neal,16323,baseball|california|coach|little league|swimming pool,http://www.imdb.com/title/tt0074174/?ref_=fn_tt_tt_1,English,USA,PG
Steven E. de Souza,63,102,Raul Julia,33423521,Ming-Na Wen,53115,guile|hostage|ransom|soldier|united nations,http://www.imdb.com/title/tt0111301/?ref_=fn_tt_tt_1,English,Japan,PG-13
Roman Polanski,193,150,Frank Finlay,32519322,Emilia Fox,497946,ghetto|holocaust|jewish|piano|warsaw ghetto,http://www.imdb.com/title/tt0253474/?ref_=fn_tt_tt_1,English,France,R
Albert Hughes,208,122,Jason Flemyng,31598308,Johnny Depp,124765,freemason|jack the ripper|opium|prostitute|victorian era,http://www.imdb.com/title/tt0120681/?ref_=fn_tt_tt_1,English,USA,R
Catherine Hardwicke,122,101,Hiam Abbass,37617947,Keisha Castle-Hughes,8143,angel|bethlehem|journey|nazareth|virgin,http://www.imdb.com/title/tt0762121/?ref_=fn_tt_tt_1,English,USA,PG
Jaume Collet-Serra,228,108,Paris Hilton,32048809,Robert Ri'chard,94456,brother sister relationship|group of friends|male nudity|twin|wax,http://www.imdb.com/title/tt0397065/?ref_=fn_tt_tt_1,English,Australia,R
Mike Nichols,212,98,Julia Roberts,33987757,Natalie Portman,168314,cheating wife|film camera|hasselblad camera|leica camera|medium format camera,http://www.imdb.com/title/tt0376541/?ref_=fn_tt_tt_1,English,USA,R
Clint Eastwood,392,137,Naomi Watts,37304950,Leonardo DiCaprio,102728,agent|fbi|federal bureau of investigation|gay relationship|secret,http://www.imdb.com/title/tt1616195/?ref_=fn_tt_tt_1,English,USA,R
Alexandre Aja,208,112,Cameron Boyce,30691439,Jason Flemyng,86205,estranged wife|evil|fire|medication|mirror,http://www.imdb.com/title/tt0790686/?ref_=fn_tt_tt_1,English,USA,R
Michael Rymer,137,101,Lena Olin,30307804,Aaliyah,43991,fatal attraction|interspecies romance|queen|supernatural power|vampire,http://www.imdb.com/title/tt0238546/?ref_=fn_tt_tt_1,English,USA,R
Stephen Hopkins,119,103,Robert Davi,30669413,Adam Baldwin,105478,alien|drug lord|gang|hunter|predator,http://www.imdb.com/title/tt0100403/?ref_=fn_tt_tt_1,English,USA,R
Gregory Hoblit,195,101,Jesse Tyler Ferguson,28687835,Billy Burke,40964,cat|fbi agent|murder|serial killer|website,http://www.imdb.com/title/tt0880578/?ref_=fn_tt_tt_1,English,USA,R
Hugh Wilson,95,112,Sissy Spacek,26494611,Brendan Fraser,48621,1960s|bomb shelter|cuban missile crisis|food|naive man,http://www.imdb.com/title/tt0124298/?ref_=fn_tt_tt_1,English,USA,PG-13
Mike Hodges,100,111,William Hootkins,,Brian Blessed,38017,american football|cult film|emperor|flash gordon|mind reading,http://www.imdb.com/title/tt0080745/?ref_=fn_tt_tt_1,English,UK,PG
Kevin Smith,164,102,Mike Starr,25266129,Stephen Root,54346,baby|childbirth|death|karma|publicist,http://www.imdb.com/title/tt0300051/?ref_=fn_tt_tt_1,English,USA,PG-13
Rob Cohen,211,101,Chad Lindberg,25863915,Cicely Tyson,28257,assassin|detective|partner|police|serial killer,http://www.imdb.com/title/tt1712170/?ref_=fn_tt_tt_1,English,USA,PG-13
Clint Eastwood,91,155,Bob Gunton,25078937,Kevin Spacey,31751,graveyard|murder|murder trial|reporter|trial,http://www.imdb.com/title/tt0119668/?ref_=fn_tt_tt_1,English,USA,R
Scott Mann,44,93,Joshua Mikel,,Robert De Niro,16193,bus|die hard scenario,http://www.imdb.com/title/tt3276924/?ref_=fn_tt_tt_1,English,USA,R
Susanna White,97,109,Bill Bailey,28995450,Daniel Mays,19230,farm|magic|mother daughter relationship|overalls|title directed by female,http://www.imdb.com/title/tt1415283/?ref_=fn_tt_tt_1,English,UK,PG
Danny DeVito,32,140,J.T. Walsh,24276500,Frank Whaley,17124,labor|labor union|leader|mafia|union,http://www.imdb.com/title/tt0104427/?ref_=fn_tt_tt_1,English,USA,R
Chris Carter,270,108,Callum Rennie,20981633,Mitch Pileggi,78256,fbi|priest|psychic|psychic vision|staff physician,http://www.imdb.com/title/tt0443701/?ref_=fn_tt_tt_1,English,USA,PG-13
Tommy O'Haver,89,96,Steve Coogan,22913677,Anne Hathaway,47800,curse|fairy|obedience|prince|strong female character,http://www.imdb.com/title/tt0327679/?ref_=fn_tt_tt_1,English,USA,PG
Peter Landesman,219,123,Eddie Marsan,34531832,Will Smith,44788,chronic traumatic encephalopathy|concussion|football|football player|pathologist,http://www.imdb.com/title/tt3322364/?ref_=fn_tt_tt_1,English,UK,PG-13
John Singleton,180,106,Benjamin J. Cain Jr.,28064226,Ken Arnold,65044,assassin|high school|on the run|teenager|website,http://www.imdb.com/title/tt1600195/?ref_=fn_tt_tt_1,English,USA,PG-13
Gary Chapman,93,76,Olivia Williams,19447478,Jim Broadbent,15788,dove|falcon|nursing|pigeon|psychological torture,http://www.imdb.com/title/tt0361089/?ref_=fn_tt_tt_1,English,UK,G
Curtis Hanson,173,107,Rip Torn,19389454,Robert Downey Jr.,54643,based on novel|college girl|midlife crisis|pittsburgh pennsylvania|professor,http://www.imdb.com/title/tt0185014/?ref_=fn_tt_tt_1,English,USA,R
Craig Mazin,121,82,Tracy Morgan,25871834,Drake Bell,52052,dragonfly|hero|high school|soaking wet|supervillian origin,http://www.imdb.com/title/tt0426592/?ref_=fn_tt_tt_1,English,USA,PG-13
Allen Hughes,298,109,James Ransone,19692608,Alona Tal,63548,election|father son relationship|fellatio|gay slur|title spoken by character,http://www.imdb.com/title/tt1235522/?ref_=fn_tt_tt_1,English,USA,R
Wes Craven,158,99,Portia de Rossi,19294901,Shannon Elizabeth,26126,creature|death|party|rescue|werewolf,http://www.imdb.com/title/tt0257516/?ref_=fn_tt_tt_1,English,USA,PG-13
David Koepp,248,91,Dania Ramirez,20275446,Joseph Gordon-Levitt,95274,chase|courier|delivery|envelope|police,http://www.imdb.com/title/tt1547234/?ref_=fn_tt_tt_1,English,USA,PG-13
Anne Fletcher,155,87,Richard T. Jones,34507079,Jim Gaffigan,34948,danger|drug cartel|female cop|female police officer|fugitive,http://www.imdb.com/title/tt2967224/?ref_=fn_tt_tt_1,English,USA,PG-13
Shekhar Kapur,105,125,Lucy Gordon,18306166,Djimon Hounsou,28130,male nudity|naked dead man|nudity|sex|whipping,http://www.imdb.com/title/tt0240510/?ref_=fn_tt_tt_1,English,UK,PG-13
Taylor Hackford,224,118,Clifton Collins Jr.,17609982,Jason Statham,90046,action hero|disguise|hospital|real estate agent|thief,http://www.imdb.com/title/tt1904996/?ref_=fn_tt_tt_1,English,USA,R
Richard Loncraine,129,98,Jon Favreau,16831505,Kirsten Dunst,51842,career|player|tennis|tennis player|wimbledon,http://www.imdb.com/title/tt0360201/?ref_=fn_tt_tt_1,English,UK,PG-13
Roger Kumble,101,92,Brooke Shields,17596256,Brendan Fraser,12399,animal|bear|land developer|real estate|real estate developer,http://www.imdb.com/title/tt0492389/?ref_=fn_tt_tt_1,English,USA,PG
Kimble Rendall,145,93,Cariba Heine,,Alex Russell,11482,great white shark|shark|supermarket|swimming|tsunami,http://www.imdb.com/title/tt1438173/?ref_=fn_tt_tt_1,English,Australia,R
Peter Yates,57,116,Alun Armstrong,,Liam Neeson,23351,cyclops|fortress|monster|planet|rescue,http://www.imdb.com/title/tt0085811/?ref_=fn_tt_tt_1,English,UK,PG
Robert Redford,227,92,Tom Cruise,14998070,Meryl Streep,41170,afghanistan|professor|reporter|student|university,http://www.imdb.com/title/tt0891527/?ref_=fn_tt_tt_1,English,USA,R
John Milius,13,115,Dann Florek,14587732,Rosanna Arquette,4795,bombardier|pilot|u.s. navy|vietnam|vietnam war,http://www.imdb.com/title/tt0099587/?ref_=fn_tt_tt_1,English,USA,PG-13
Jake Kasdan,171,120,Nat Faxon,18317151,Tim Meadows,55630,drugs|elvis|musician|singer|the beatles,http://www.imdb.com/title/tt0841046/?ref_=fn_tt_tt_1,English,USA,R
Lasse Hallström,119,111,Scott Glenn,11405825,Kevin Spacey,28542,employee employer relationship|husband wife relationship|newspaper|ship|wake,http://www.imdb.com/title/tt0120824/?ref_=fn_tt_tt_1,English,USA,R
Les Mayfield,44,94,Ronny Cox,13264986,Gregory Smith,12077,legend|old west|outlaw|railroad|stealing from the rich,http://www.imdb.com/title/tt0244000/?ref_=fn_tt_tt_1,English,USA,PG-13
Jean-Marc Vallée,188,100,Jim Broadbent,10991381,Michiel Huisman,44931,19th century|courtship|female protagonist|princess|queen of england,http://www.imdb.com/title/tt0962736/?ref_=fn_tt_tt_1,English,UK,PG
Dominic Sena,166,101,Bashar Rahal,10268846,Tom Skerritt,31918,antarctica|geologist|investigation|u.s. marshal|winter,http://www.imdb.com/title/tt0365929/?ref_=fn_tt_tt_1,English,USA,R
Terrence Malick,584,139,Tye Sheridan,13303319,Brad Pitt,136367,1950s|children|ice cube|texas|waco texas,http://www.imdb.com/title/tt0478304/?ref_=fn_tt_tt_1,English,USA,PG-13
Hark Tsui,67,91,Lela Rochon,10076136,Paul Sorvino,11512,cia|hong kong|market|undercover|van,http://www.imdb.com/title/tt0120724/?ref_=fn_tt_tt_1,English,Aruba,R
David Ayer,233,109,Martin Donovan,10499968,Mireille Enos,47498,dea|drug cartel|kicked in the crotch|strip club|tough girl,http://www.imdb.com/title/tt1742334/?ref_=fn_tt_tt_1,English,USA,R
Brian Helgeland,112,102,Mark Addy,7659747,Heath Ledger,14962,death|exorcism|heaven|priest|sin eater,http://www.imdb.com/title/tt0304711/?ref_=fn_tt_tt_1,English,USA,R
Lexi Alexander,151,103,Wayne Knight,7948159,Julie Benz,48999,gun fu|plastic surgery|psychopath|undercover|vigilante,http://www.imdb.com/title/tt0450314/?ref_=fn_tt_tt_1,English,USA,R
Peter Hewitt,63,83,Rip Torn,11631245,Kevin Zegers,15015,bruise|female hero|super strength|superhero|teenage superhero,http://www.imdb.com/title/tt0383060/?ref_=fn_tt_tt_1,English,USA,PG
Robert Zemeckis,335,123,Soleyman Pierini,10137502,Joseph Gordon-Levitt,77394,1970s|based on true story|new york city|skyscraper|tightrope walker,http://www.imdb.com/title/tt3488710/?ref_=fn_tt_tt_1,English,USA,PG
Ronny Yu,24,101,Lee Arenberg,6448817,Marley Shelton,2189,anthropomorphic animal|football|kangaroo|sword and sorcery|water boy,http://www.imdb.com/title/tt0120479/?ref_=fn_tt_tt_1,English,USA,PG
Ridley Scott,147,117,Albert Finney,7458269,Archie Panjabi,70698,based on novel|inheritance|provence|uncle|wine,http://www.imdb.com/title/tt0401445/?ref_=fn_tt_tt_1,English,USA,PG-13
,51,60,Indira Varma,,Ruth Wilson,70568,murder|police|psychopath,http://www.imdb.com/title/tt1474684/?ref_=fn_tt_tt_1,English,UK,TV-MA
Richard Donner,10,114,Thomas Ian Nicholas,4651977,Adam Baldwin,10410,father son relationship|physical abuse|radio flyer|stepfather|stepfather stepson relationship,http://www.imdb.com/title/tt0105211/?ref_=fn_tt_tt_1,English,USA,PG-13
Taylor Hackford,12,330,Jesse Borrego,4496583,Delroy Lindo,23181,1970s|1980s|barrio|gang war|mexican,http://www.imdb.com/title/tt0106469/?ref_=fn_tt_tt_1,English,USA,R
Bille August,50,121,Tom Wilkinson,2221994,Jim Broadbent,11747,boy|greenland|neighbor|roof|snow,http://www.imdb.com/title/tt0120152/?ref_=fn_tt_tt_1,English,Denmark,R
Brian De Palma,149,114,Gregg Henry,6592103,Peter Coyote,28584,ambassador|cannes|identity|suicide|thief,http://www.imdb.com/title/tt0280665/?ref_=fn_tt_tt_1,English,France,R
Moustapha Akkad,24,156,Rod Steiger,,Oliver Reed,9852,arab|general|libya|muslim|mussolini,http://www.imdb.com/title/tt0081059/?ref_=fn_tt_tt_1,English,Libya,PG
Jean-Paul Rappeneau,28,135,François Cluzet,1877179,Olivier Martinez,4885,austrian|breasts|cholera|police|provence,http://www.imdb.com/title/tt0113362/?ref_=fn_tt_tt_1,French,France,R
Ang Lee,95,148,Jeffrey Dover,630779,Jeremy W. Auman,11101,bushwhacker|friend|honor|kansas|raid,http://www.imdb.com/title/tt0134154/?ref_=fn_tt_tt_1,English,USA,R
Alejandro G. Iñárritu,288,148,Hanaa Bouchaib,5100937,Maricel Álvarez,68885,children|chinese|illegal immigrant|immigrant|male ponytail,http://www.imdb.com/title/tt1164999/?ref_=fn_tt_tt_1,Spanish,Mexico,R
Roland Joffé,10,109,Alice Englert,,Tamsin Egerton,2138,1770s|british india|great barrier reef|india|ring,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,English,Belgium,R
Joachim Rønning,58,93,Sam Shepard,,Salma Hayek,28848,bank|cleavage|farmer|female gunfighter|mexico,http://www.imdb.com/title/tt0416496/?ref_=fn_tt_tt_1,English,France,PG-13
Tony Kaye,,,Aisha Tyler,,Bill Cobbs,219,based on novel,http://www.imdb.com/title/tt0490087/?ref_=fn_tt_tt_1,English,USA,
Wes Ball,297,113,Aml Ameen,102413606,Ki Hong Lee,310903,based on novel|concrete wall|maze|open ended|teenage boy,http://www.imdb.com/title/tt1790864/?ref_=fn_tt_tt_1,English,USA,PG-13
Ken Scott,90,91,June Diane Raphael,10214013,Tom Wilkinson,23072,business trip|company|glory hole|male frontal nudity|male nudity,http://www.imdb.com/title/tt2358925/?ref_=fn_tt_tt_1,English,USA,R
Martin Scorsese,56,139,Geraldine Chaplin,32000000,Richard E. Grant,36267,19th century|countess|lawyer|love|new york,http://www.imdb.com/title/tt0106226/?ref_=fn_tt_tt_1,English,USA,PG
Darren Aronofsky,274,96,Ellen Burstyn,10139254,Hugh Jackman,190990,eternity|love|mayan|tree|tree of life,http://www.imdb.com/title/tt0414993/?ref_=fn_tt_tt_1,English,USA,PG-13
Hugh Johnson,68,102,Kevin J. O'Connor,11227940,David Paymer,8367,colonel|ice|ice cream truck|military|u.s. army,http://www.imdb.com/title/tt0163579/?ref_=fn_tt_tt_1,English,USA,R
Simon West,98,96,Mark Valley,183125,Nicolas Cage,36914,bank|money|presumed dead|rescue|thief,http://www.imdb.com/title/tt1656186/?ref_=fn_tt_tt_1,English,USA,R
Hayao Miyazaki,256,101,Yûki Amami,15081783,Rumi Hiiragi,85589,children adventure|magical realism|sea goddess|small town|tsunami,http://www.imdb.com/title/tt0876563/?ref_=fn_tt_tt_1,Japanese,Japan,G
George Tillman Jr.,117,128,Melissa Benoist,37432299,Tiago Riani,50041,1940s|art collector|bull riding|north carolina|student,http://www.imdb.com/title/tt2726560/?ref_=fn_tt_tt_1,English,USA,PG-13
Rand Ravich,107,109,Charlize Theron,10654581,Johnny Depp,45497,astronaut|electrocuted in bathtub|mission|pilot|sister,http://www.imdb.com/title/tt0138304/?ref_=fn_tt_tt_1,English,USA,R
Hugh Hudson,52,114,Eva Marie Saint,6543194,Liam Aiken,3740,dream|italian|kenya|ranch|snake,http://www.imdb.com/title/tt0167203/?ref_=fn_tt_tt_1,English,USA,PG-13
Gabriele Muccino,135,105,Dennis Quaid,13101142,Gerard Butler,23916,coach|soccer|soccer coach|soccer mom|soccer team,http://www.imdb.com/title/tt1540128/?ref_=fn_tt_tt_1,English,USA,PG-13
Justin Chadwick,211,141,Fana Mokoena,8324748,Terry Pheto,21223,africa|apartheid|nelson mandela|president|resistance,http://www.imdb.com/title/tt2304771/?ref_=fn_tt_tt_1,English,UK,PG-13
Warren Beatty,57,195,Warren Beatty,,Paul Sorvino,16255,cold war|cold war era|interview|russia|written and directed by cast member,http://www.imdb.com/title/tt0082979/?ref_=fn_tt_tt_1,English,USA,PG
Rob Reiner,81,138,Demi Moore,141340178,Tom Cruise,181879,cuba|guantanamo|lance corporal|lawyer|murder,http://www.imdb.com/title/tt0104257/?ref_=fn_tt_tt_1,English,USA,R
Andrzej Bartkowiak,107,101,Bill Duke,51758599,Michael Jai White,27580,corrupt cop|drug dealer|drugs|heroin|vice president,http://www.imdb.com/title/tt0242445/?ref_=fn_tt_tt_1,English,USA,R
Raja Gosnell,100,99,Cedric the Entertainer,117559438,Nia Long,66941,disguise|fbi|female impersonation|gender disguise|obesity,http://www.imdb.com/title/tt0208003/?ref_=fn_tt_tt_1,English,USA,PG-13
Jeremy Degruson,60,85,Brianne Brozey,4091,Kyle Hebert,4265,,http://www.imdb.com/title/tt3148834/?ref_=fn_tt_tt_1,English,Belgium,
Chris Gorak,195,89,Veronika Vernadskaya,21426805,Max Minghella,49312,alien|aurora borealis|critically bashed|killing an animal|nightclub,http://www.imdb.com/title/tt1093357/?ref_=fn_tt_tt_1,English,USA,PG-13
Scott Speer,121,99,Stephen Boss,35057332,Ryan Guzman,45394,3 dimensional|dance|dancer|dancing|flash mob,http://www.imdb.com/title/tt1800741/?ref_=fn_tt_tt_1,English,USA,PG-13
David R. Ellis,285,105,Kenan Thompson,34014398,Lin Shaye,115649,baby rattle|famous line|murder|passenger|snake,http://www.imdb.com/title/tt0417148/?ref_=fn_tt_tt_1,English,Germany,R
Joe Charbanic,103,97,Joseph Sikora,28927720,Keanu Reeves,22220,fbi|murder|scene of the crime|serial killer|therapy,http://www.imdb.com/title/tt0204626/?ref_=fn_tt_tt_1,English,USA,R
Jonathan Hensleigh,192,140,Marco St. John,33682273,Laura Harring,124242,death|family reunion|fbi|fbi agent|vigilante,http://www.imdb.com/title/tt0330793/?ref_=fn_tt_tt_1,English,USA,R
Danny Cannon,90,118,Kuno Becker,4280577,Sean Pertwee,50919,barrio|border|newcastle united|party|soccer,http://www.imdb.com/title/tt0380389/?ref_=fn_tt_tt_1,English,USA,PG-13
Boaz Yakin,258,94,Reggie Lee,17120019,Jason Statham,83097,bodyguard|gang war|russian|russian mafia|triad,http://www.imdb.com/title/tt1656190/?ref_=fn_tt_tt_1,English,USA,R
Mike Newell,56,124,Kurt Fuller,8406264,Angelina Jolie Pitt,24826,air traffic control|air traffic controller|female bodybuilder|job|marriage,http://www.imdb.com/title/tt0120797/?ref_=fn_tt_tt_1,English,USA,R
