director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,movie_facebook_likes
Paul Verhoeven,196,113,719,217,Rachel Ticotin,605,Action|Sci-Fi,Total Recall ,240241,Marshall Bell,0,http://www.imdb.com/title/tt0100802/?ref_=fn_tt_tt_1,391,English,USA,0
Michael Lembeck,80,104,54,775,Aisha Tyler,901,Comedy|Family|Fantasy,The Santa Clause 2 ,34561,Eric Lloyd,0,http://www.imdb.com/title/tt0304669/?ref_=fn_tt_tt_1,116,English,USA,1000
Tom Hooper,488,158,0,11000,Eddie Redmayne,20000,Drama|Musical|Romance,Les Misérables ,243834,Anne Hathaway,1,http://www.imdb.com/title/tt1707386/?ref_=fn_tt_tt_1,845,English,USA,144000
Nora Ephron,153,119,0,744,Jean Stapleton,15000,Comedy|Drama|Romance,You've Got Mail ,151812,Dave Chappelle,2,http://www.imdb.com/title/tt0128853/?ref_=fn_tt_tt_1,556,English,USA,0
Adam McKay,173,106,285,105,Adam Scott,8000,Comedy,Step Brothers ,212499,Andrea Savage,2,http://www.imdb.com/title/tt0838283/?ref_=fn_tt_tt_1,277,English,USA,0
Martin Campbell,156,136,258,94,Tony Amendola,12000,Action|Adventure|Comedy|Romance|Thriller|Western,The Mask of Zorro ,135404,Stuart Wilson,0,http://www.imdb.com/title/tt0120746/?ref_=fn_tt_tt_1,318,English,USA,0
Todd Phillips,307,95,480,490,RZA,21000,Comedy|Drama,Due Date ,272789,Matt Walsh,3,http://www.imdb.com/title/tt1231583/?ref_=fn_tt_tt_1,285,English,USA,25000
Angelina Jolie Pitt,322,137,11000,465,Jack O'Connell,769,Biography|Drama|Sport|War,Unbroken ,103589,Alex Russell,0,http://www.imdb.com/title/tt1809398/?ref_=fn_tt_tt_1,351,English,USA,35000
Clint Eastwood,169,130,16000,416,Courtney B. Vance,16000,Action|Adventure|Thriller,Space Cowboys ,60165,William Devane,1,http://www.imdb.com/title/tt0186566/?ref_=fn_tt_tt_1,326,English,USA,0
Renny Harlin,74,124,212,369,Leon,13000,Action|Adventure|Thriller,Cliffhanger ,96096,Janine Turner,1,http://www.imdb.com/title/tt0106582/?ref_=fn_tt_tt_1,172,English,USA,0
John Woo,72,108,610,461,Samantha Mathis,848,Action|Crime|Thriller,Broken Arrow ,77390,Bob Gunton,2,http://www.imdb.com/title/tt0115759/?ref_=fn_tt_tt_1,189,English,USA,0
Jon Turteltaub,86,104,226,577,Lily Tomlin,13000,Comedy|Family|Fantasy,The Kid ,34473,Daniel von Bargen,1,http://www.imdb.com/title/tt0219854/?ref_=fn_tt_tt_1,139,English,USA,0
Oliver Stone,242,129,0,625,Jay Hernandez,12000,Drama|History|Thriller,World Trade Center ,67395,Armando Riesco,0,http://www.imdb.com/title/tt0469641/?ref_=fn_tt_tt_1,564,English,USA,0
Mike Newell,141,117,179,403,Kirsten Dunst,8000,Drama,Mona Lisa Smile ,61490,Marian Seldes,1,http://www.imdb.com/title/tt0304415/?ref_=fn_tt_tt_1,264,English,USA,0
Larry Charles,313,99,119,174,Aasif Mandvi,600,Comedy|Romance,The Dictator ,213863,Horatio Sanz,0,http://www.imdb.com/title/tt1645170/?ref_=fn_tt_tt_1,310,English,USA,59000
Stanley Kubrick,280,159,0,521,Vinessa Shaw,10000,Drama|Mystery|Thriller,Eyes Wide Shut ,227071,Sydney Pollack,1,http://www.imdb.com/title/tt0120663/?ref_=fn_tt_tt_1,1500,English,UK,10000
Will Gluck,176,118,87,929,Dorian Missick,2000,Comedy|Drama|Family|Musical,Annie ,24735,David Zayas,6,http://www.imdb.com/title/tt1823664/?ref_=fn_tt_tt_1,213,English,USA,16000
Glenn Ficarra,279,105,43,523,Adrian Martinez,10000,Comedy|Crime|Drama|Romance,Focus ,149337,Gerald McRaney,0,http://www.imdb.com/title/tt2381941/?ref_=fn_tt_tt_1,221,English,USA,23000
McG,241,103,368,520,Abigail Spencer,27000,Action|Comedy|Romance,This Means War ,147641,Warren Christie,3,http://www.imdb.com/title/tt1596350/?ref_=fn_tt_tt_1,238,English,USA,18000
David S. Goyer,185,122,687,957,Natasha Lyonne,16000,Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller,Blade: Trinity ,132954,John Michael Higgins,0,http://www.imdb.com/title/tt0359013/?ref_=fn_tt_tt_1,514,English,USA,0
John Milius,97,114,468,919,Jennifer Grey,1000,Action|Drama|War,Red Dawn ,41776,William Smith,0,http://www.imdb.com/title/tt0087985/?ref_=fn_tt_tt_1,383,English,USA,0
Mike Nichols,117,143,0,210,Adrian Lester,509,Comedy|Drama,Primary Colors ,23940,Paul Guilfoyle,0,http://www.imdb.com/title/tt0119942/?ref_=fn_tt_tt_1,157,English,France,688
Paul W.S. Anderson,239,96,545,974,Boris Kodjoe,14000,Action|Horror|Sci-Fi|Thriller,Resident Evil: Retribution ,104831,Bingbing Li,0,http://www.imdb.com/title/tt1855325/?ref_=fn_tt_tt_1,423,English,Germany,32000
Paul W.S. Anderson,230,111,545,805,Max Ryan,26000,Action|Sci-Fi|Thriller,Death Race ,166610,Joan Allen,4,http://www.imdb.com/title/tt0452608/?ref_=fn_tt_tt_1,211,English,USA,0
Renny Harlin,94,121,212,263,Craig Bierko,394,Action|Crime|Drama|Mystery|Thriller,The Long Kiss Goodnight ,60508,Yvonne Zima,2,http://www.imdb.com/title/tt0116908/?ref_=fn_tt_tt_1,285,English,USA,4000
Taylor Hackford,134,135,138,184,Alun Armstrong,324,Action|Drama|Thriller,Proof of Life ,49300,Michael Kitchen,1,http://www.imdb.com/title/tt0228750/?ref_=fn_tt_tt_1,265,English,USA,892
Jon Favreau,136,101,4000,539,Josh Hutcherson,17000,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Zathura: A Space Adventure ,67707,Jonah Bobo,0,http://www.imdb.com/title/tt0406375/?ref_=fn_tt_tt_1,202,English,USA,0
David Fincher,315,151,21000,637,Meat Loaf,11000,Drama,Fight Club ,1347461,Eugenie Bondurant,2,http://www.imdb.com/title/tt0137523/?ref_=fn_tt_tt_1,2968,English,USA,48000
McG,96,131,368,383,Kimberly Williams-Paisley,11000,Drama|Sport,We Are Marshall ,46951,Brian Geraghty,0,http://www.imdb.com/title/tt0758794/?ref_=fn_tt_tt_1,175,English,USA,0
,14,60,,575,James Nesbitt,1000,Crime|Drama|Mystery,The Missing             ,8739,Frances O'Connor,0,http://www.imdb.com/title/tt3877200/?ref_=fn_tt_tt_1,28,English,UK,0
Michael Lehmann,60,100,36,554,James Coburn,13000,Action|Adventure|Comedy,Hudson Hawk ,43376,Richard E. Grant,0,http://www.imdb.com/title/tt0102070/?ref_=fn_tt_tt_1,249,English,USA,0
Nora Ephron,60,105,0,506,Michael Moore,975,Comedy|Crime,Lucky Numbers ,8560,Richard Schiff,1,http://www.imdb.com/title/tt0219952/?ref_=fn_tt_tt_1,69,English,France,177
Stuart Beattie,308,92,72,568,Kevin Grevioux,623,Action|Fantasy|Sci-Fi|Thriller,"I, Frankenstein ",65709,Miranda Otto,0,http://www.imdb.com/title/tt1418377/?ref_=fn_tt_tt_1,194,English,Australia,15000
Roman Polanski,127,130,2000,25,Barney Clark,268,Crime|Drama,Oliver Twist ,25474,Tony Noble,0,http://www.imdb.com/title/tt0380599/?ref_=fn_tt_tt_1,138,English,UK,0
Rob Bowman,196,100,38,1000,Cary-Hiroyuki Tagawa,3000,Action|Crime|Fantasy|Thriller,Elektra ,71202,Goran Visnjic,0,http://www.imdb.com/title/tt0357277/?ref_=fn_tt_tt_1,380,English,Canada,0
Frank Miller,339,102,436,6000,Bruce Willis,23000,Action|Crime|Thriller,Sin City: A Dame to Kill For ,111102,Eva Green,3,http://www.imdb.com/title/tt0458481/?ref_=fn_tt_tt_1,239,English,USA,32000
Sydney Pollack,96,133,521,970,Kristin Scott Thomas,11000,Drama|Mystery|Romance,Random Hearts ,17025,Bill Cobbs,1,http://www.imdb.com/title/tt0156934/?ref_=fn_tt_tt_1,290,English,USA,295
Baltasar Kormákur,361,121,175,221,Martin Henderson,963,Adventure|Biography|Drama|History|Sport|Thriller,Everest ,134625,Tom Goodman-Hill,0,http://www.imdb.com/title/tt2719848/?ref_=fn_tt_tt_1,265,English,UK,40000
Tom Tykwer,226,147,670,16,David Calder,177,Crime|Drama|Fantasy,Perfume: The Story of a Murderer ,190490,Simon Chandler,0,http://www.imdb.com/title/tt0396171/?ref_=fn_tt_tt_1,482,English,Germany,26000
Jay Roach,194,94,116,481,Josh Zuckerman,645,Action|Comedy|Crime,Austin Powers in Goldmember ,162909,Robert Wagner,2,http://www.imdb.com/title/tt0295178/?ref_=fn_tt_tt_1,795,English,USA,0
David Bowers,138,94,42,668,Charlize Theron,12000,Action|Animation|Comedy|Family|Sci-Fi,Astro Boy ,25681,Dee Bradley Baker,1,http://www.imdb.com/title/tt0375568/?ref_=fn_tt_tt_1,77,English,Hong Kong,0
Steven Spielberg,308,127,14000,191,Ariana Richards,967,Adventure|Sci-Fi|Thriller,Jurassic Park ,613473,Bob Peck,0,http://www.imdb.com/title/tt0107290/?ref_=fn_tt_tt_1,895,English,USA,19000
Lawrence Kasdan,40,212,759,812,Catherine O'Hara,2000,Adventure|Biography|Crime|Drama|Western,Wyatt Earp ,35314,Isabella Rossellini,0,http://www.imdb.com/title/tt0111756/?ref_=fn_tt_tt_1,145,English,USA,0
Phillip Noyce,42,141,176,672,Dean Jones,11000,Action|Crime|Drama|Thriller,Clear and Present Danger ,69663,Raymond Cruz,1,http://www.imdb.com/title/tt0109444/?ref_=fn_tt_tt_1,133,English,USA,0
Daniel Lee,68,103,10,7,Peng Lin,21,Action|Adventure|Drama|History,Dragon Blade ,11584,Sung-jun Yoo,3,http://www.imdb.com/title/tt3672840/?ref_=fn_tt_tt_1,86,Mandarin,China,0
Keenen Ivory Wayans,78,98,322,723,Brittany Daniel,979,Comedy|Crime,Littleman ,39471,John Witherspoon,1,http://www.imdb.com/title/tt0430304/?ref_=fn_tt_tt_1,187,English,USA,0
Jonathan Mostow,178,116,84,563,Thomas Kretschmann,11000,Action|War,U-571 ,65297,David Keith,0,http://www.imdb.com/title/tt0141926/?ref_=fn_tt_tt_1,602,English,France,0
Rob Reiner,75,114,0,452,Samantha Mathis,524,Comedy|Drama|Romance,The American President ,43027,Wendie Malick,0,http://www.imdb.com/title/tt0112346/?ref_=fn_tt_tt_1,214,English,USA,0
Marco Schnabel,150,87,12,645,Romany Malco,3000,Comedy|Romance|Sport,The Love Guru ,43300,Verne Troyer,6,http://www.imdb.com/title/tt0811138/?ref_=fn_tt_tt_1,250,English,USA,0
Demian Lichtenstein,113,125,11,867,Bokeem Woodbine,11000,Action|Comedy|Crime|Thriller,3000 Miles to Graceland ,38076,Ice-T,2,http://www.imdb.com/title/tt0233142/?ref_=fn_tt_tt_1,399,English,USA,0
Quentin Tarantino,596,187,16000,1000,Jennifer Jason Leigh,46000,Crime|Drama|Mystery|Thriller|Western,The Hateful Eight ,272839,Zoë Bell,1,http://www.imdb.com/title/tt3460252/?ref_=fn_tt_tt_1,1018,English,USA,114000
Josh Gordon,191,93,8,970,Amy Poehler,8000,Comedy|Sport,Blades of Glory ,129995,Jon Heder,2,http://www.imdb.com/title/tt0445934/?ref_=fn_tt_tt_1,246,English,USA,0
Tim Hill,156,95,25,439,Elizabeth Perkins,989,Adventure|Animation|Comedy|Family|Fantasy,Hop ,24089,Chelsea Handler,0,http://www.imdb.com/title/tt1411704/?ref_=fn_tt_tt_1,82,English,USA,0
Zack Snyder,460,117,0,447,Michael Fassbender,18000,Action|Drama|Fantasy|War,300 ,607235,Vincent Regan,0,http://www.imdb.com/title/tt0416449/?ref_=fn_tt_tt_1,2073,English,USA,13000
Jay Roach,141,106,116,708,Blythe Danner,22000,Comedy|Romance,Meet the Fockers ,211296,Teri Polo,6,http://www.imdb.com/title/tt0290002/?ref_=fn_tt_tt_1,428,English,USA,0
David Frankel,180,115,64,664,Kathleen Turner,2000,Comedy|Drama|Family,Marley & Me ,116681,Haley Bennett,0,http://www.imdb.com/title/tt0822832/?ref_=fn_tt_tt_1,320,English,USA,11000
Frank Darabont,186,189,0,693,Jeffrey DeMunn,15000,Crime|Drama|Fantasy|Mystery,The Green Mile ,782610,Michael Jeter,0,http://www.imdb.com/title/tt0120689/?ref_=fn_tt_tt_1,1377,English,USA,30000
Walt Becker,177,100,12,311,Tichina Arnold,419,Action|Adventure|Comedy,Wild Hogs ,99989,Drew Sidora,3,http://www.imdb.com/title/tt0486946/?ref_=fn_tt_tt_1,255,English,USA,0
Mark Dindal,161,81,10,397,Fred Willard,925,Adventure|Animation|Comedy|Family|Sci-Fi,Chicken Little ,63912,Amy Sedaris,0,http://www.imdb.com/title/tt0371606/?ref_=fn_tt_tt_1,251,English,USA,912
David Fincher,568,149,21000,625,Sela Ward,835,Crime|Drama|Mystery|Thriller,Gone Girl ,569841,Emily Ratajkowski,0,http://www.imdb.com/title/tt2267998/?ref_=fn_tt_tt_1,1127,English,USA,146000
Doug Liman,249,119,218,73,Josh Hamilton,13000,Action|Mystery|Thriller,The Bourne Identity ,407601,Nicky Naudé,1,http://www.imdb.com/title/tt0258463/?ref_=fn_tt_tt_1,849,English,USA,0
Martin Campbell,137,130,258,345,Joe Don Baker,394,Action|Adventure|Thriller,GoldenEye ,199025,Tchéky Karyo,2,http://www.imdb.com/title/tt0113189/?ref_=fn_tt_tt_1,416,English,UK,0
Simon West,113,116,165,475,Timothy Hutton,577,Drama|Mystery|Thriller,The General's Daughter ,42705,Clarence Williams III,0,http://www.imdb.com/title/tt0144214/?ref_=fn_tt_tt_1,274,English,USA,885
Peter Weir,213,103,608,576,Noah Emmerich,2000,Comedy|Drama|Sci-Fi,The Truman Show ,667983,Peter Krause,1,http://www.imdb.com/title/tt0120382/?ref_=fn_tt_tt_1,877,English,USA,18000
Brenda Chapman,120,99,59,145,Aria Noelle Curzon,770,Adventure|Animation|Biography|Drama|Family|Fantasy|Musical,The Prince of Egypt ,91093,Eden Riegel,2,http://www.imdb.com/title/tt0120794/?ref_=fn_tt_tt_1,353,English,USA,0
