director_name,duration,actor_2_name,actor_1_name,cast_total_facebook_likes,actor_3_name,language,country,budget,title_year,aspect_ratio
Irwin Winkler,128,Nathan Lane,Mira Sorvino,3821,Steven Weber,English,USA,60000000,1999,1.85
Joseph Kahn,84,Jay Hernandez,Dane Cook,5039,Christina Milian,English,USA,40000000,2004,2.35
Harold Becker,111,Martin Landau,Al Pacino,17877,Bridget Fonda,English,USA,40000000,1996,1.85
Paul Verhoeven,131,Elizabeth Berkley,Bobbie Phillips,18913,Robert Davi,English,France,45000000,1995,2.35
Sofia Coppola,123,Shirley Henderson,Kirsten Dunst,7243,Rip Torn,English,USA,40000000,2006,1.85
Barbet Schroeder,101,Michael Rapaport,Nicolas Cage,14008,Philip Baker Hall,English,USA,40000000,1995,1.85
Stephen Kay,102,Miranda Richardson,Sylvester Stallone,14463,Lauren Lee Smith,English,USA,40000000,2000,2.35
J.A. Bayona,114,Geraldine Chaplin,Naomi Watts,7099,Oaklee Pendergast,English,Spain,45000000,2012,2.35
Elaine May,107,Warren Beatty,Carol Kane,3374,Isabelle Adjani,English,USA,51000000,1987,1.85
Wes Anderson,87,Meryl Streep,Bill Murray,24770,Helen McCrory,English,USA,40000000,2009,1.85
Stephen Herek,103,Stockard Channing,Angelina Jolie Pitt,12566,James Gammon,English,USA,40000000,2002,2.35
John Carpenter,99,Michael McKean,Richard Epcar,2125,Patricia Heaton,English,USA,40000000,1992,2.35
Jean-Pierre Jeunet,122,Jamel Debbouze,Mathieu Kassovitz,809,Isabelle Nanty,French,France,77000000,2001,2.35
Dennie Gordon,91,Bob Saget,Mary-Kate Olsen,3974,Riley Smith,English,USA,30000000,2004,1.85
Charles Shyer,103,Nia Long,Omar Epps,3639,Jane Krakowski,English,UK,60000000,2004,1.85
