director_facebook_likes,actor_3_facebook_likes,actor_2_name,num_voted_users,movie_imdb_link,num_user_for_reviews,language
460,490,Alison Lohman,14982,http://www.imdb.com/title/tt0373450/?ref_=fn_tt_tt_1,128,English
80,31,Erica Linz,7100,http://www.imdb.com/title/tt1792647/?ref_=fn_tt_tt_1,35,English
162,745,Monica Potter,5841,http://www.imdb.com/title/tt0119934/?ref_=fn_tt_tt_1,57,English
0,240,Aidan McArdle,9264,http://www.imdb.com/title/tt1175506/?ref_=fn_tt_tt_1,69,English
911,232,Sean Buchanan,69676,http://www.imdb.com/title/tt1924396/?ref_=fn_tt_tt_1,131,English
0,407,Shea Whigham,64944,http://www.imdb.com/title/tt1095217/?ref_=fn_tt_tt_1,212,English
4,602,Jenny McCarthy,5385,http://www.imdb.com/title/tt1230204/?ref_=fn_tt_tt_1,22,English
0,92,Benoît Magimel,18395,http://www.imdb.com/title/tt1440232/?ref_=fn_tt_tt_1,48,French
138,416,Bai Ling,2395,http://www.imdb.com/title/tt1125929/?ref_=fn_tt_tt_1,17,English
0,0,André Wilms,753,http://www.imdb.com/title/tt1239462/?ref_=fn_tt_tt_1,24,English
0,7,Evgeniy Mironov,891,http://www.imdb.com/title/tt1272051/?ref_=fn_tt_tt_1,8,Russian
0,1000,Brad Pitt,80861,http://www.imdb.com/title/tt2193215/?ref_=fn_tt_tt_1,431,English
9,520,Mackenzie Crook,34338,http://www.imdb.com/title/tt1233301/?ref_=fn_tt_tt_1,103,English
27,87,Dan O'Herlihy,5911,http://www.imdb.com/title/tt0066549/?ref_=fn_tt_tt_1,76,English
3,55,Charlie Yeung,5900,http://www.imdb.com/title/tt2952602/?ref_=fn_tt_tt_1,26,Cantonese
535,399,Mario Van Peebles,1084,http://www.imdb.com/title/tt1946381/?ref_=fn_tt_tt_1,11,English
350,418,Peter Capaldi,52846,http://www.imdb.com/title/tt0094947/?ref_=fn_tt_tt_1,143,English
179,4000,Viggo Mortensen,33107,http://www.imdb.com/title/tt0337692/?ref_=fn_tt_tt_1,128,English
12000,643,Nichelle Nichols,61621,http://www.imdb.com/title/tt0092007/?ref_=fn_tt_tt_1,219,English
13000,461,Burt Young,162130,http://www.imdb.com/title/tt0479143/?ref_=fn_tt_tt_1,962,English
19,848,Edgar Ramírez,33958,http://www.imdb.com/title/tt2058673/?ref_=fn_tt_tt_1,163,English
0,221,Jada Pinkett Smith,124941,http://www.imdb.com/title/tt0120082/?ref_=fn_tt_tt_1,488,English
149,439,Noah Emmerich,8885,http://www.imdb.com/title/tt2140037/?ref_=fn_tt_tt_1,56,English
167,676,Regina Hall,15310,http://www.imdb.com/title/tt2239832/?ref_=fn_tt_tt_1,38,English
36,900,Matthew Perry,90374,http://www.imdb.com/title/tt0190138/?ref_=fn_tt_tt_1,318,English
71,304,Chris Penn,51459,http://www.imdb.com/title/tt0087277/?ref_=fn_tt_tt_1,113,English
480,497,Leah Remini,185258,http://www.imdb.com/title/tt0302886/?ref_=fn_tt_tt_1,404,English
0,161,David Hyde Pierce,63274,http://www.imdb.com/title/tt0101889/?ref_=fn_tt_tt_1,170,English
41,970,Mekhi Phifer,55398,http://www.imdb.com/title/tt0130018/?ref_=fn_tt_tt_1,418,English
597,597,Jim Belushi,16469,http://www.imdb.com/title/tt0122459/?ref_=fn_tt_tt_1,275,English
0,92,Jeff Anderson,149835,http://www.imdb.com/title/tt1007028/?ref_=fn_tt_tt_1,243,English
119,265,Pruitt Taylor Vince,30119,http://www.imdb.com/title/tt0171580/?ref_=fn_tt_tt_1,263,English
293,939,Jeff Bridges,109620,http://www.imdb.com/title/tt1234548/?ref_=fn_tt_tt_1,268,English
269,384,Eddie Griffin,5431,http://www.imdb.com/title/tt0238948/?ref_=fn_tt_tt_1,50,English
446,898,Clea DuVall,125421,http://www.imdb.com/title/tt0172493/?ref_=fn_tt_tt_1,385,English
126,886,Gary Cole,22844,http://www.imdb.com/title/tt0335559/?ref_=fn_tt_tt_1,140,English
25,611,F. Murray Abraham,14637,http://www.imdb.com/title/tt0158811/?ref_=fn_tt_tt_1,100,English
0,227,Diana Ross,10895,http://www.imdb.com/title/tt0078504/?ref_=fn_tt_tt_1,150,English
48,940,Ellen Albertini Dow,11709,http://www.imdb.com/title/tt0217756/?ref_=fn_tt_tt_1,101,English
41,197,Robert Wagner,10100,http://www.imdb.com/title/tt0196857/?ref_=fn_tt_tt_1,59,English
41,847,Busy Philipps,16437,http://www.imdb.com/title/tt1742650/?ref_=fn_tt_tt_1,68,English
192,847,Kelly Brook,72552,http://www.imdb.com/title/tt0464154/?ref_=fn_tt_tt_1,374,English
18000,286,Bob Hoskins,12821,http://www.imdb.com/title/tt0363473/?ref_=fn_tt_tt_1,248,English
9,254,M.C. Gainey,2265,http://www.imdb.com/title/tt0120645/?ref_=fn_tt_tt_1,37,English
18,73,Kenneth Williams,2541,http://www.imdb.com/title/tt0112389/?ref_=fn_tt_tt_1,47,English
6,382,F. Murray Abraham,2919,http://www.imdb.com/title/tt0356443/?ref_=fn_tt_tt_1,50,English
88,706,Tom Berenger,80574,http://www.imdb.com/title/tt1433108/?ref_=fn_tt_tt_1,157,English
6000,422,Blythe Danner,214091,http://www.imdb.com/title/tt0347149/?ref_=fn_tt_tt_1,330,Japanese
181,11,Bill Murray,386217,http://www.imdb.com/title/tt1156398/?ref_=fn_tt_tt_1,553,English
0,84,Thomas Kretschmann,316020,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2618,English
153,427,Clint Howard,119450,http://www.imdb.com/title/tt0120484/?ref_=fn_tt_tt_1,300,English
883,441,Kenny Baker,837759,http://www.imdb.com/title/tt0080684/?ref_=fn_tt_tt_1,900,English
0,244,Tchéky Karyo,172405,http://www.imdb.com/title/tt0112442/?ref_=fn_tt_tt_1,203,English
119,144,Priscilla Presley,83269,http://www.imdb.com/title/tt0102510/?ref_=fn_tt_tt_1,87,English
70,591,Brendan Fehr,181058,http://www.imdb.com/title/tt0195714/?ref_=fn_tt_tt_1,674,English
0,1000,Philip Seymour Hoffman,188652,http://www.imdb.com/title/tt1124035/?ref_=fn_tt_tt_1,288,English
123,787,Radha Mitchell,193962,http://www.imdb.com/title/tt0134847/?ref_=fn_tt_tt_1,805,English
956,99,Ellen Barkin,19709,http://www.imdb.com/title/tt0244970/?ref_=fn_tt_tt_1,167,English
0,105,Brian Johnson,355126,http://www.imdb.com/title/tt1798709/?ref_=fn_tt_tt_1,748,English
452,141,Taron Egerton,32513,http://www.imdb.com/title/tt1083452/?ref_=fn_tt_tt_1,119,English
131,62,Jessica Bowman,53415,http://www.imdb.com/title/tt0206314/?ref_=fn_tt_tt_1,339,English
3,88,Keeley Hawes,4191,http://www.imdb.com/title/tt1376213/?ref_=fn_tt_tt_1,32,English
61,407,Eva Amurri Martino,14786,http://www.imdb.com/title/tt0149691/?ref_=fn_tt_tt_1,103,English
3,120,Stark Sands,30092,http://www.imdb.com/title/tt0360139/?ref_=fn_tt_tt_1,129,English
12,249,Dan Hedaya,3914,http://www.imdb.com/title/tt0198386/?ref_=fn_tt_tt_1,47,English
0,947,Michael Fassbender,72646,http://www.imdb.com/title/tt1506999/?ref_=fn_tt_tt_1,397,English
114,434,Mario Van Peebles,30840,http://www.imdb.com/title/tt0093300/?ref_=fn_tt_tt_1,383,English
4,11000,Robert De Niro,20163,http://www.imdb.com/title/tt0116999/?ref_=fn_tt_tt_1,71,English
258,424,Dash Mihok,3174,http://www.imdb.com/title/tt1091751/?ref_=fn_tt_tt_1,19,English
277,57,Ian Hart,17740,http://www.imdb.com/title/tt0172396/?ref_=fn_tt_tt_1,165,English
23,982,Tia Carrere,14473,http://www.imdb.com/title/tt0102005/?ref_=fn_tt_tt_1,81,English
549,883,Charlize Theron,60115,http://www.imdb.com/title/tt0478134/?ref_=fn_tt_tt_1,224,English
105,64,Benoît Poelvoorde,32003,http://www.imdb.com/title/tt1035736/?ref_=fn_tt_tt_1,65,French
78,720,Landon Liboiron,4693,http://www.imdb.com/title/tt2271563/?ref_=fn_tt_tt_1,49,English
350,30,Iben Hjejle,8924,http://www.imdb.com/title/tt1179258/?ref_=fn_tt_tt_1,43,English
,543,Sarah Carter,1781,http://www.imdb.com/title/tt2397255/?ref_=fn_tt_tt_1,23,English
300,73,Roger Lloyd Pack,17373,http://www.imdb.com/title/tt0241025/?ref_=fn_tt_tt_1,148,English
3,107,Simon Yam,6263,http://www.imdb.com/title/tt1403130/?ref_=fn_tt_tt_1,33,Mandarin
101,23,Kim Thomson,209396,http://www.imdb.com/title/tt0450385/?ref_=fn_tt_tt_1,580,English
0,542,Dick Van Patten,136667,http://www.imdb.com/title/tt0094012/?ref_=fn_tt_tt_1,273,English
0,234,Ryan Corr,53341,http://www.imdb.com/title/tt3007512/?ref_=fn_tt_tt_1,185,English
109,71,Tony Goldwyn,154199,http://www.imdb.com/title/tt0099653/?ref_=fn_tt_tt_1,252,English
101,743,Lin Shaye,247289,http://www.imdb.com/title/tt0129387/?ref_=fn_tt_tt_1,611,English
11,595,Eric Lloyd,64742,http://www.imdb.com/title/tt0111070/?ref_=fn_tt_tt_1,111,English
102,1000,Jay Hernandez,26434,http://www.imdb.com/title/tt0265662/?ref_=fn_tt_tt_1,174,English
99,835,Kyra Sedgwick,44021,http://www.imdb.com/title/tt0492956/?ref_=fn_tt_tt_1,83,English
16000,86,Meryl Streep,54631,http://www.imdb.com/title/tt0112579/?ref_=fn_tt_tt_1,192,English
42,182,Michael Papajohn,47383,http://www.imdb.com/title/tt0255798/?ref_=fn_tt_tt_1,132,English
0,249,Amrish Puri,171726,http://www.imdb.com/title/tt0083987/?ref_=fn_tt_tt_1,256,English
529,171,Charlotte Le Bon,52894,http://www.imdb.com/title/tt2980648/?ref_=fn_tt_tt_1,185,English
34,287,Jeremy Northam,48909,http://www.imdb.com/title/tt0113957/?ref_=fn_tt_tt_1,166,English
24,506,Loretta Devine,121937,http://www.imdb.com/title/tt0277027/?ref_=fn_tt_tt_1,431,English
25,55,Amber Rose Revah,15448,http://www.imdb.com/title/tt3210686/?ref_=fn_tt_tt_1,174,English
235,105,Kevin Grevioux,208092,http://www.imdb.com/title/tt0320691/?ref_=fn_tt_tt_1,806,English
101,218,RZA,62584,http://www.imdb.com/title/tt0398017/?ref_=fn_tt_tt_1,375,English
0,690,Joel McHale,52888,http://www.imdb.com/title/tt1130080/?ref_=fn_tt_tt_1,175,English
0,266,James Frain,13455,http://www.imdb.com/title/tt0108101/?ref_=fn_tt_tt_1,87,English
2,137,Eddie Griffin,41239,http://www.imdb.com/title/tt0367652/?ref_=fn_tt_tt_1,166,English
31,110,Bobby Moynihan,59805,http://www.imdb.com/title/tt2387559/?ref_=fn_tt_tt_1,95,English
118,287,Spencer Wilding,28621,http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1,91,English
24,100,Pawel Szajda,2587,http://www.imdb.com/title/tt1995390/?ref_=fn_tt_tt_1,21,English
221,110,Neil Diamond,33287,http://www.imdb.com/title/tt0239948/?ref_=fn_tt_tt_1,201,English
42,517,Rachael Harris,15665,http://www.imdb.com/title/tt2023453/?ref_=fn_tt_tt_1,35,English
0,854,Jennifer Esposito,31227,http://www.imdb.com/title/tt0162677/?ref_=fn_tt_tt_1,354,English
0,898,Shannon Elizabeth,128593,http://www.imdb.com/title/tt0261392/?ref_=fn_tt_tt_1,867,English
0,3000,Steve Buscemi,263336,http://www.imdb.com/title/tt0399201/?ref_=fn_tt_tt_1,899,English
12,595,Bruce Dern,25462,http://www.imdb.com/title/tt0221218/?ref_=fn_tt_tt_1,200,English
1000,1000,Channing Tatum,60926,http://www.imdb.com/title/tt0475290/?ref_=fn_tt_tt_1,302,English
4,83,Paulo Costanzo,18900,http://www.imdb.com/title/tt0236348/?ref_=fn_tt_tt_1,242,English
39,798,James Franco,82804,http://www.imdb.com/title/tt2312718/?ref_=fn_tt_tt_1,154,English
34,368,Jim Carter,7242,http://www.imdb.com/title/tt0192255/?ref_=fn_tt_tt_1,38,English
737,678,Lily Tomlin,56813,http://www.imdb.com/title/tt0356721/?ref_=fn_tt_tt_1,381,English
87,691,Rip Torn,35018,http://www.imdb.com/title/tt0107978/?ref_=fn_tt_tt_1,180,English
53,576,Udo Kier,2253,http://www.imdb.com/title/tt0263728/?ref_=fn_tt_tt_1,111,English
688,42,Vernon Dobtcheff,1547,http://www.imdb.com/title/tt0065611/?ref_=fn_tt_tt_1,50,English
37,795,Alex Rocco,8176,http://www.imdb.com/title/tt0160236/?ref_=fn_tt_tt_1,77,English
11,150,Noémie Lenoir,26767,http://www.imdb.com/title/tt2938956/?ref_=fn_tt_tt_1,121,English
2,567,Jack Davenport,31433,http://www.imdb.com/title/tt0375920/?ref_=fn_tt_tt_1,260,English
719,104,Sebastian Koch,59507,http://www.imdb.com/title/tt0389557/?ref_=fn_tt_tt_1,232,Dutch
13,140,Dany Boon,21394,http://www.imdb.com/title/tt0424205/?ref_=fn_tt_tt_1,147,French
21,552,Tom Arnold,29322,http://www.imdb.com/title/tt2097307/?ref_=fn_tt_tt_1,104,English
144,290,Ted Danson,16831,http://www.imdb.com/title/tt0951216/?ref_=fn_tt_tt_1,54,English
17,231,Ben Crompton,48873,http://www.imdb.com/title/tt1726592/?ref_=fn_tt_tt_1,105,English
607,35,Joe Spinell,9513,http://www.imdb.com/title/tt0076740/?ref_=fn_tt_tt_1,116,English
43,827,Milla Jovovich,34985,http://www.imdb.com/title/tt1423995/?ref_=fn_tt_tt_1,135,English
2,80,Ludivine Sagnier,5166,http://www.imdb.com/title/tt0796335/?ref_=fn_tt_tt_1,27,French
108,120,Sam Shepard,83171,http://www.imdb.com/title/tt1206543/?ref_=fn_tt_tt_1,231,English
209,521,Denis O'Hare,133367,http://www.imdb.com/title/tt0465538/?ref_=fn_tt_tt_1,363,English
88,812,Bradley Whitford,12278,http://www.imdb.com/title/tt0117119/?ref_=fn_tt_tt_1,71,English
89,442,Spencer Treat Clark,69980,http://www.imdb.com/title/tt0137363/?ref_=fn_tt_tt_1,591,English
195,0,Diego Ramos,6920,http://www.imdb.com/title/tt1634003/?ref_=fn_tt_tt_1,22,Spanish
11000,159,Judy Davis,67893,http://www.imdb.com/title/tt1859650/?ref_=fn_tt_tt_1,163,English
16000,216,Warren Clarke,19832,http://www.imdb.com/title/tt0083943/?ref_=fn_tt_tt_1,98,English
406,406,Eric Idle,162037,http://www.imdb.com/title/tt0158983/?ref_=fn_tt_tt_1,928,English
0,548,Ewen Bremner,89547,http://www.imdb.com/title/tt0795368/?ref_=fn_tt_tt_1,199,English
8,199,John Aylward,25086,http://www.imdb.com/title/tt0108308/?ref_=fn_tt_tt_1,87,English
48,39,D.B. Sweeney,22649,http://www.imdb.com/title/tt0180734/?ref_=fn_tt_tt_1,131,English
737,14000,Robert De Niro,533607,http://www.imdb.com/title/tt1045658/?ref_=fn_tt_tt_1,692,English
