director_name,num_critic_for_reviews,director_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio
Jaume Balagueró,252,57,Pablo Rosso,120,,145,Carlos Lasarte,apartment building|character's point of view camera shot|fire station|subjective camera|television reporter,http://www.imdb.com/title/tt1038988/?ref_=fn_tt_tt_1,374,Spanish,Spain,R,1500000,2007,9,1.85
Patricia Cardoso,,15,Martha Higareda,919,,3873,Cheyenne Haynes,,http://www.imdb.com/title/tt1675312/?ref_=fn_tt_tt_1,4,English,USA,TV-PG,2100000,2010,718,1.78
Dan Perri,1,0,David Proval,749,,1814,Carmen Argenziano,,http://www.imdb.com/title/tt2317796/?ref_=fn_tt_tt_1,1,English,USA,,2100000,2015,354,2.39
Neil Mcenery-West,33,0,Michael Chapman,846,,2044,Louise Brealey,hazmat suit,http://www.imdb.com/title/tt3561236/?ref_=fn_tt_tt_1,21,English,UK,,,2015,366,
Anthony O'Brien,19,7,Maria Doyle Kennedy,412,,1020,Shaun O'Hagan,,http://www.imdb.com/title/tt2215673/?ref_=fn_tt_tt_1,17,English,USA,,2100000,2015,308,2.35
Terence Young,167,92,Daniela Bianchi,559,24800000,1456,Lois Maxwell,assassin|british agent|british secret service|decoder|russian,http://www.imdb.com/title/tt0057076/?ref_=fn_tt_tt_1,358,English,UK,Approved,2000000,1963,201,1.37
Michael Herz,49,6,Jessica Dublin,40,792966,99,Lisa Gaye,bare breasts|japan|tokyo japan|toxic avenger|troma,http://www.imdb.com/title/tt0098503/?ref_=fn_tt_tt_1,40,English,USA,R,2300000,1989,30,1.33
,1,,Alan Autry,480,,1736,Crystal R. Fox,detective|mississippi|police|police detective|small town,http://www.imdb.com/title/tt0094484/?ref_=fn_tt_tt_1,24,English,USA,,,,360,1.33
Woody Allen,66,11000,John Beck,11000,,11192,Mews Small,frozen|future|health food|leader|police,http://www.imdb.com/title/tt0070707/?ref_=fn_tt_tt_1,128,English,USA,PG,2000000,1973,66,1.85
David Robert Mitchell,533,421,Ruby Harris,314,14673301,1062,Jake Weary,ambiguous ending|being followed|sex scene|supernatural|supernatural being,http://www.imdb.com/title/tt3235888/?ref_=fn_tt_tt_1,631,English,USA,R,2000000,2014,189,2.35
Woody Allen,50,11000,John Carradine,11000,,12034,Lynn Redgrave,aphrodisiac|court jester|jester|queen|written and directed by cast member,http://www.imdb.com/title/tt0068555/?ref_=fn_tt_tt_1,78,English,USA,R,2000000,1972,300,1.85
Robert Mulligan,127,89,Brock Peters,3000,,3833,William Windom,1930s|alabama|lawyer|six year old|trial,http://www.imdb.com/title/tt0056592/?ref_=fn_tt_tt_1,471,English,USA,Not Rated,2000000,1962,226,1.85
George Miller,177,750,Bruce Spence,745,9003011,1396,Kjell Nilsson,australian|gasoline|post apocalypse|refinery|warrior,http://www.imdb.com/title/tt0082694/?ref_=fn_tt_tt_1,294,English,Australia,R,2000000,1981,531,2.35
Chia-Liang Liu,77,32,Anita Mui,483,11546543,768,Ho-Sung Pak,battle|fight|fighting|martial artist|snake,http://www.imdb.com/title/tt0111512/?ref_=fn_tt_tt_1,146,Cantonese,Hong Kong,R,2000000,1994,147,2.35
Stanley Kubrick,103,0,Shelley Winters,618,,1404,Lois Maxwell,lolita|nymphet|older man young girl relationship|professor|writer,http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1,207,English,UK,Not Rated,2000000,1962,367,1.66
Kimberly Peirce,123,108,Brendan Sexton III,173,11533945,563,Jeannetta Arnette,drinking|female dressed as male|love|nebraska|transgender,http://www.imdb.com/title/tt0171804/?ref_=fn_tt_tt_1,434,English,USA,R,2000000,1999,148,1.85
Chris Kentis,218,9,Julia Taylor Ross,120,12555230,218,Adam Trese,bound and gagged|girl|haunted house|hearing noises|uninterrupted shot,http://www.imdb.com/title/tt1767382/?ref_=fn_tt_tt_1,154,English,France,R,2000000,2011,44,1.85
Florian Henckel von Donnersmarck,215,207,Ulrich Mühe,380,11284657,927,Martina Gedeck,east germany|police|secret police|stasi|writer,http://www.imdb.com/title/tt0405094/?ref_=fn_tt_tt_1,407,German,Germany,R,2000000,2006,284,2.35
Alex Kendrick,34,589,Alex Kendrick,690,34522221,2300,T.C. Stallings,faith|fatherhood|integrity|police|responsibility,http://www.imdb.com/title/tt1630036/?ref_=fn_tt_tt_1,175,English,USA,PG-13,2000000,2011,589,2.35
Robert Rossen,100,31,Jackie Gleason,654,,2290,Murray Hamilton,drink|manager|money|partner|pool hall,http://www.imdb.com/title/tt0054997/?ref_=fn_tt_tt_1,167,English,USA,Unrated,2000000,1961,491,2.35
Jack Conway,12,6,Spencer Tracy,1000,,2555,Claudette Colbert,oil|oil field|oil tycoon|partnership|wildcatter,http://www.imdb.com/title/tt0032273/?ref_=fn_tt_tt_1,34,English,USA,Passed,1614000,1940,760,1.37
Sylvain Chomet,167,162,Charles Linton,23,7002255,29,Béatrice Bonifassi,belleville|dog|mafia|tour de france|very little dialogue,http://www.imdb.com/title/tt0286244/?ref_=fn_tt_tt_1,312,French,France,PG-13,9500000,2003,6,1.66
Chris Eyre,56,149,Irene Bedard,912,6719300,3163,Gary Farmer,family abandonment|fire|loss of father|native american protagonist|native american reservation,http://www.imdb.com/title/tt0120321/?ref_=fn_tt_tt_1,132,English,Canada,PG-13,2000000,1998,752,1.85
Shari Springer Berman,180,30,James Urbaniak,14000,6003587,14412,Daniel Tay,1980s|comic book|dark horse comics|reference to david letterman|robert crumb,http://www.imdb.com/title/tt0305206/?ref_=fn_tt_tt_1,226,English,USA,R,,2003,119,1.85
Richard Linklater,211,0,Albert Delpy,50,5792822,65,Marie Pillet,book|bookstore|love|simultaneity|train,http://www.imdb.com/title/tt0381681/?ref_=fn_tt_tt_1,492,English,USA,R,2700000,2004,8,1.85
Alejandro G. Iñárritu,157,0,Jorge Salinas,85,5383834,318,Goya Toledo,animal in title|dog fight|mexico city|multiple perspectives|nonlinear timeline,http://www.imdb.com/title/tt0245712/?ref_=fn_tt_tt_1,361,Spanish,Mexico,R,2000000,2000,79,1.85
Catherine Hardwicke,126,308,Sarah Clarke,1000,4599680,2186,Kip Pardue,13 year olds|adolescence|friend|peer pressure|teacher,http://www.imdb.com/title/tt0328538/?ref_=fn_tt_tt_1,545,English,USA,R,1500000,2003,482,1.85
Elia Kazan,61,603,Celeste Holm,936,,1846,John Garfield,bigotry|jewish|prejudice|racism|writer,http://www.imdb.com/title/tt0039416/?ref_=fn_tt_tt_1,113,English,USA,Approved,2000000,1947,297,1.37
Debra Granik,365,81,Shelley Waggener,34000,6531491,34446,Lauren Sweetser,bail|crystal meth|family relationships|female protagonist|search for father,http://www.imdb.com/title/tt1399683/?ref_=fn_tt_tt_1,297,English,USA,R,2000000,2010,248,1.85
Kevin Macdonald,121,162,Brendan Mackey,21,4581222,29,Joe Simpson,bone|climbing|crevasse|partner|rope,http://www.imdb.com/title/tt0379557/?ref_=fn_tt_tt_1,156,English,UK,R,,2003,5,1.85
Henry King,10,85,Don Ameche,480,,1833,John Carradine,band|dance|ragtime|singer|violinist,http://www.imdb.com/title/tt0029852/?ref_=fn_tt_tt_1,29,English,USA,Approved,2000000,1938,392,1.37
Miranda July,151,244,Brad William Henke,538,3885134,1349,Miranda July,fellatio|seven word title|shoe salesman|title directed by female|written by director,http://www.imdb.com/title/tt0415978/?ref_=fn_tt_tt_1,243,English,USA,R,2000000,2005,363,1.85
Charles Ferguson,171,117,George W. Bush,13000,4311834,13145,Barney Frank,florida|iceland|interview|new york city new york|recession,http://www.imdb.com/title/tt1645089/?ref_=fn_tt_tt_1,129,English,USA,PG-13,,2010,125,2.35
Max Joseph,158,31,Emily Ratajkowski,804,3590010,3013,Jonny Weston,box office flop|critically bashed|male objectification|narcissism|wannabe dj,http://www.imdb.com/title/tt3787590/?ref_=fn_tt_tt_1,60,English,UK,R,2000000,2015,625,1.85
Jim Jarmusch,167,0,Gano Grills,251,3300230,675,Richard Portnow,african american|code|dog|pigeon|samurai,http://www.imdb.com/title/tt0165798/?ref_=fn_tt_tt_1,346,English,France,R,,1999,147,1.85
David Ayer,118,453,Christian Bale,24000,3335839,50313,Noel Gugliemi,blood splatter|friend|lapd|mexican|violence,http://www.imdb.com/title/tt0433387/?ref_=fn_tt_tt_1,222,English,USA,R,2000000,2005,23000,1.85
Jerry Jameson,39,5,Leonor Varela,1000,2557668,2739,Sydelle Noel,auto theft|based on true story|drug addict|kidnapping|violence,http://www.imdb.com/title/tt3268668/?ref_=fn_tt_tt_1,22,English,USA,PG-13,2000000,2015,426,1.85
Steven Soderbergh,108,0,Enrico Colantoni,8000,2506446,11327,Blair Underwood,birthday|friend|hollywood|party|sex,http://www.imdb.com/title/tt0290212/?ref_=fn_tt_tt_1,172,English,USA,R,2000000,2002,724,1.85
Kevin Tenney,65,85,Tawny Kitaen,265,7369373,901,Rose Marie,evil spirit|hatchet|ouija|ouija board|psychopathic killer,http://www.imdb.com/title/tt0090327/?ref_=fn_tt_tt_1,74,English,UK,R,2000000,1986,194,1.85
,8,,Amy Sedaris,459,,1359,Maria Thayer,alternative comedy|female protagonist|high school|social satire|three word title,http://www.imdb.com/title/tt0194624/?ref_=fn_tt_tt_1,62,English,USA,TV-14,,,396,4.0
Kenneth Branagh,85,0,Brian Blessed,597,4414535,1645,Richard Briers,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1,224,English,UK,PG-13,18000000,1996,591,2.2
John Cameron Mitchell,160,263,Peter Stickles,71,1984378,226,Raphael Barker,controversy|ejaculation|male frontal nudity|oral sex|unsimulated sex,http://www.imdb.com/title/tt0367027/?ref_=fn_tt_tt_1,206,English,USA,Unrated,2000000,2006,51,1.78
Ari Folman,231,56,Ronny Dayag,56,2283276,56,Zahava Solomon,bar|dog|interview|lebanon|nightmare,http://www.imdb.com/title/tt1185616/?ref_=fn_tt_tt_1,156,Hebrew,Israel,R,1500000,2008,0,1.85
Gary Rogers,7,0,Kirby Heyborne,178,1098224,359,Bruce Newbold,jerusalem|journey|promised land|ship|wilderness,http://www.imdb.com/title/tt0349159/?ref_=fn_tt_tt_1,30,English,USA,PG-13,2000000,2003,69,1.85
Charles Ferguson,79,117,Dick Cheney,393,1430185,446,Donald Rumsfeld,american politics|iraq|iraq war|occupation|white house,http://www.imdb.com/title/tt0912593/?ref_=fn_tt_tt_1,55,English,USA,,2000000,2007,21,1.85
Marielle Heller,168,22,David Fine,10000,1477002,11184,Austin Lyon,1970s|mother's boyfriend|overalls|phone booth|sexual promiscuity,http://www.imdb.com/title/tt3172532/?ref_=fn_tt_tt_1,72,English,USA,R,2000000,2015,1000,2.35
,1,,Jon Tenney,11000,,11618,Debrah Farentino,breaking the fourth wall|brother brother relationship|high school friends|imperative in title|skateboard,http://www.imdb.com/title/tt0212662/?ref_=fn_tt_tt_1,26,English,USA,,,,289,1.33
David Sington,107,90,Buzz Aldrin,168,1134049,408,Neil Armstrong,1960s|astronaut|moon|nasa|spacecraft accident,http://www.imdb.com/title/tt0925248/?ref_=fn_tt_tt_1,44,English,UK,PG,2000000,2007,142,1.85
Kelly Reichardt,200,129,Zoe Kazan,991,977600,3427,Shirley Henderson,desert|oregon|survival|trust|water,http://www.imdb.com/title/tt1518812/?ref_=fn_tt_tt_1,98,English,USA,PG,,2010,962,1.33
Fenton Bailey,123,13,Bill Maher,373,653621,1136,Linda Lovelace,clitoris|deep throat|fellatio|oral sex|porn industry,http://www.imdb.com/title/tt0418753/?ref_=fn_tt_tt_1,64,English,USA,NC-17,2000000,2005,334,1.85
Bob Giraldi,39,34,Manny Perez,388,110000,1156,Ajay Naidu,detective|food|gangster|police|restaurant,http://www.imdb.com/title/tt0229340/?ref_=fn_tt_tt_1,73,English,USA,R,,2000,159,1.85
Jill Sprecher,41,11,Bob Balaban,584,444354,3011,Jamie Kennedy,office|office politics|photo booth|snobbery|title directed by female,http://www.imdb.com/title/tt0118866/?ref_=fn_tt_tt_1,111,English,UK,PG-13,,1997,559,
Huck Botko,46,10,Krysta Rodriguez,189,535249,768,Zack Pearlman,masturbation|porn star|sex lesson from a prostitute|spreadeagle|topless,http://www.imdb.com/title/tt1695994/?ref_=fn_tt_tt_1,13,English,USA,R,3400000,2010,131,1.85
Luc Besson,30,0,Isabelle Adjani,1000,,1917,Jean-Hugues Anglade,band|blackmail|safe|subway|train,http://www.imdb.com/title/tt0090095/?ref_=fn_tt_tt_1,45,French,France,R,17000000,1985,572,2.35
David Duchovny,46,0,Mark Margolis,49000,371081,51441,Frank Langella,artist|butchery|catholic|catholic school|friend,http://www.imdb.com/title/tt0372334/?ref_=fn_tt_tt_1,86,English,USA,PG-13,6000000,2004,1000,1.85
Mitchell Lichtenstein,221,53,Nathan Parsons,386,347578,1511,John Hensley,high school|purity|stepbrother|temptation|vagina dentata,http://www.imdb.com/title/tt0780622/?ref_=fn_tt_tt_1,161,English,USA,R,,2007,357,1.85
Lance Mungia,51,4,Stephane Gauger,33,124494,36,Kim De Angelo,boy|guitar|orphan|rock 'n' roll|sword,http://www.imdb.com/title/tt0118736/?ref_=fn_tt_tt_1,102,English,USA,PG-13,2000000,1998,3,1.85
Kundan Shah,1,4,Bobby Deol,353,,613,Shakti Kapoor,elevator|news reporter|police|restaurant|waiter,http://www.imdb.com/title/tt0249588/?ref_=fn_tt_tt_1,1,Hindi,India,,,2000,89,
Michael Dowse,58,31,Neil Maskell,326,120620,865,Kate Magowan,deafness|disappearance|ears|ibiza|musician,http://www.imdb.com/title/tt0388139/?ref_=fn_tt_tt_1,67,English,UK,R,,2004,246,2.35
Hue Rhodes,45,0,Steve Buscemi,22000,100669,36885,Romany Malco,city name in title|male frontal nudity|place name in title,http://www.imdb.com/title/tt1276105/?ref_=fn_tt_tt_1,11,English,USA,R,3800000,2009,12000,2.35
Shane Meadows,44,222,Annette Badland,5000,,5535,Karl Collins,fight|gang|hiking|wales|working class,http://www.imdb.com/title/tt0120391/?ref_=fn_tt_tt_1,21,English,UK,R,,1997,497,1.85
Roland Emmerich,74,776,Caleb Landry Jones,25000,186354,26176,Matt Craven,box office flop|critically bashed|gay rights|new york city|stonewall riots,http://www.imdb.com/title/tt3018070/?ref_=fn_tt_tt_1,30,English,USA,R,13500000,2015,463,2.35
,20,,Colin Ferguson,780,,4280,Salli Richardson-Whitfield,alternate reality|pacific northwest|small town|small town life|small town sheriff,http://www.imdb.com/title/tt0796264/?ref_=fn_tt_tt_1,136,English,USA,TV-14,,,747,1.78
Jugal Hansraj,6,32,Sanjay Mishra,532,55202,653,Javed Jaffrey,india|love|love at first sight|mumbai india|reference to edward scissorhands,http://www.imdb.com/title/tt1050739/?ref_=fn_tt_tt_1,17,Hindi,India,PG,,2008,85,2.35
Danny Provenzano,5,84,Frank Vincent,584,,1307,Chuck Zito,gangster|heist|internet|mafia|miami florida,http://www.imdb.com/title/tt0338497/?ref_=fn_tt_tt_1,18,English,USA,Not Rated,,2003,356,1.85
Bill Muir,10,19,Jansen Panettiere,589,549632,2522,Tiya Sircar,cave|cobra|island|medallion|waterfall,http://www.imdb.com/title/tt1390539/?ref_=fn_tt_tt_1,16,English,Thailand,PG,,2013,488,2.35
Richard LaGravenese,81,98,Jeremy Jordan,10000,137945,10869,Charly Bivona,based on play|number in title,http://www.imdb.com/title/tt2474024/?ref_=fn_tt_tt_1,40,English,USA,PG-13,,2014,773,2.35
Noah Buschel,66,8,Amy Ryan,529,17580,2749,Paul Adelstein,cellphone|detective|missing person|private detective|train,http://www.imdb.com/title/tt1105512/?ref_=fn_tt_tt_1,23,English,USA,,1500000,2009,423,1.85
Brian Yuzna,46,97,Kent McCord,787,,1362,Sarah Douglas,female nudity|living dead|self mutilation|sequel|zombie,http://www.imdb.com/title/tt0107953/?ref_=fn_tt_tt_1,130,English,USA,R,2000000,1993,196,1.85
Hunter Richards,34,11,Chris Evans,26000,12667,39518,Dane Cook,bar|coke|drugs|party|snorting,http://www.imdb.com/title/tt0449061/?ref_=fn_tt_tt_1,90,English,UK,R,14000,2005,11000,2.35
Laurie Collyer,78,38,Kate Burton,363,198407,774,Michelle Hurst,ex convict|halfway house|nipples visible through clothing|orgasm|parole officer,http://www.imdb.com/title/tt0423169/?ref_=fn_tt_tt_1,78,English,USA,R,2000000,2006,223,1.85
Bruce McCulloch,52,54,Megan Mullally,985,13973532,3065,Chris Penn,black humor|crying during sex|harvard|humor|man with glasses,http://www.imdb.com/title/tt0265808/?ref_=fn_tt_tt_1,92,English,USA,PG-13,25000000,2002,637,1.85
Aaron Hann,29,0,Michael McLafferty,160,,776,Kaiwi Lyman-Mersereau,alien abduction|debate|lesbian|pregnant|spaceship,http://www.imdb.com/title/tt3118452/?ref_=fn_tt_tt_1,59,English,USA,Not Rated,,2015,152,
James Watkins,161,43,Jack O'Connell,13000,5824,14561,Lorraine Stanley,camping|forest|lake|stabbed with glass|vomiting,http://www.imdb.com/title/tt1020530/?ref_=fn_tt_tt_1,357,English,UK,R,,2008,698,2.35
Catherine Hardwicke,18,308,James Kyson,638,2843,2341,Marlene Forte,gay interest|guitarist|obsessed fan|seduction|sex scene,http://www.imdb.com/title/tt2226519/?ref_=fn_tt_tt_1,24,English,USA,R,,2013,449,1.78
Phil Claydon,107,6,James Corden,513,,1593,Silvia Colloca,blood|breasts|female nudity|lesbian|vampire,http://www.imdb.com/title/tt1020885/?ref_=fn_tt_tt_1,91,English,UK,R,,2009,480,2.35
Ralph Ziman,30,5,Kenneth Nkosi,29,4958,86,Robert Hobbs,carjacking|drug lord|johannesburg south africa|police|post apartheid,http://www.imdb.com/title/tt0783532/?ref_=fn_tt_tt_1,23,English,South Africa,R,2000000,2008,18,2.35
John Simpson,24,0,Lee Evans,766,,1650,Ian McNeice,alibi|box office flop|newspaper clipping|non statutory female on male rape|profiler,http://www.imdb.com/title/tt0363095/?ref_=fn_tt_tt_1,41,English,UK,R,2000000,2004,312,2.35
Colin Minihan,116,6,Sean Rogerson,253,,762,Ashleigh Gryzko,ghost|ghost hunting|labyrinth|paranormal|reality show,http://www.imdb.com/title/tt1703199/?ref_=fn_tt_tt_1,235,English,Canada,Not Rated,100000,2011,113,1.78
Conor McMahon,98,5,Tommy Knight,121,,322,Jemma Curran,cat killer|death of animal|high heels|kneed in the crotch|kneed in the groin,http://www.imdb.com/title/tt2126362/?ref_=fn_tt_tt_1,53,English,Ireland,R,,2012,94,1.85
Chris Shadley,25,0,William Lee Scott,413,,1149,Marc Macaulay,betrayal|car|connection|death|gun,http://www.imdb.com/title/tt0959329/?ref_=fn_tt_tt_1,64,English,USA,R,2000000,2010,167,2.35
Simon Napier-Bell,,0,Tim Rice,674,,712,Louis Walsh,,http://www.imdb.com/title/tt4704314/?ref_=fn_tt_tt_1,,English,UK,,2000000,2015,27,
Woody Allen,40,11000,Charlotte Rae,11000,,11700,Louise Lasser,fictitious country|latin america|president|rebellion|reference to fidel castro,http://www.imdb.com/title/tt0066808/?ref_=fn_tt_tt_1,105,English,USA,GP,2000000,1971,430,1.37
Simon Yin,20,0,Linus Roache,473,13220,892,Kathy Uyen,,http://www.imdb.com/title/tt1734586/?ref_=fn_tt_tt_1,9,English,USA,Not Rated,,2012,303,
Jeff Crook,8,5,Mario Cimarro,601,,2395,Ricardo Chavira,one word title,http://www.imdb.com/title/tt0796355/?ref_=fn_tt_tt_1,6,English,USA,R,2000000,2007,453,2.35
,19,,Tim Daly,685,,1884,Amy Yasbeck,1990s|brother brother relationship|nantucket island|one word title|sister sister relationship,http://www.imdb.com/title/tt0098948/?ref_=fn_tt_tt_1,56,English,USA,,,,511,1.33
Orson Welles,90,0,Everett Sloane,1000,7927,1055,Ted de Corsia,law partner|murder|partner|seaman|yacht,http://www.imdb.com/title/tt0040525/?ref_=fn_tt_tt_1,175,English,USA,Not Rated,2300000,1947,29,1.37
Dave Payne,21,0,Lew Temple,633,,2620,Robert Pine,death|desert|robber|sheriff|waitress,http://www.imdb.com/title/tt1090671/?ref_=fn_tt_tt_1,31,English,USA,R,2000000,2008,597,1.78
James Cox,12,10,M.C. Gainey,15000,,15740,Mark Rolston,1990s|homoeroticism|reference to kurt cobain|road trip|year 1994,http://www.imdb.com/title/tt0165361/?ref_=fn_tt_tt_1,67,English,USA,R,14000000,2002,284,2.35
Jonas Åkerlund,33,68,Saffron Burrows,2000,,3683,Matt Lucas,fire investigator|landlord|suicide|talking to one's self in a mirror|turpentine,http://www.imdb.com/title/tt1272886/?ref_=fn_tt_tt_1,26,English,USA,R,2000000,2012,811,1.85
Brad Copeland,9,8,Ben Schwartz,34000,,35796,Glenn Howerton,barista|coffee|coffee shop|fight|insult,http://www.imdb.com/title/tt2234025/?ref_=fn_tt_tt_1,19,English,USA,,2000000,2013,463,2.35
Paul Bunnell,94,5,Kevin McCarthy,416,2436,1611,Paul Williams,1950s|independent film|outlaw|trial,http://www.imdb.com/title/tt1754633/?ref_=fn_tt_tt_1,19,English,USA,Not Rated,2000000,2012,403,2.35
Phil Morrison,41,17,Curtiss Cook,594,4556,2020,Peter Hermann,christmas tree|french canadian|new york|salesman,http://www.imdb.com/title/tt1462901/?ref_=fn_tt_tt_1,23,English,USA,R,,2013,591,
Harald Reinl,38,2,Lex Barker,16000,,16110,Karin Dor,count|drawn and quartered|tied up|torture chamber|torture device,http://www.imdb.com/title/tt0062235/?ref_=fn_tt_tt_1,36,German,West Germany,M,,1967,57,1.66
James Cox,12,10,Powers Boothe,924,,2654,Josh Meyers,addict|paternity|rascal|swimming pool|texas,http://www.imdb.com/title/tt2024506/?ref_=fn_tt_tt_1,20,English,USA,R,2000000,2013,472,
Richard Lester,25,44,Zero Mostel,907,,1807,Phil Silvers,based on stage musical|based on stage musical based on stage play|freedom|historical fiction|virgin,http://www.imdb.com/title/tt0060438/?ref_=fn_tt_tt_1,72,English,USA,Approved,2000000,1966,164,1.85
Michael Moore,27,909,Eddie Vedder,909,,1674,Steve Earle,character name in title|election campaign|presidential election,http://www.imdb.com/title/tt0850669/?ref_=fn_tt_tt_1,15,English,USA,,2000000,2007,562,
Tanner Beard,2,531,Kevin Alejandro,10000,,15707,Glenn Morshower,1800s|doc holliday|robbers|sheriff|texas,http://www.imdb.com/title/tt1220217/?ref_=fn_tt_tt_1,14,English,USA,PG-13,2000000,2011,1000,
Scott Dow,23,6,Wray Crawford,680,,1425,Dave Sheridan,zombie|zombie spoof,http://www.imdb.com/title/tt3499458/?ref_=fn_tt_tt_1,25,English,USA,R,1250000,2015,418,
Derick Martini,32,20000,Bella Heathcote,2000,,4968,Tom Arnold,,http://www.imdb.com/title/tt1772261/?ref_=fn_tt_tt_1,22,English,USA,,2000000,2015,860,
Jerry Dugan,18,3,Michael Aaron Milligan,11000,,13583,James Chalke,blood|daughter|jail|police|shark,http://www.imdb.com/title/tt4416518/?ref_=fn_tt_tt_1,17,English,USA,Not Rated,2000000,2015,1000,
Tim Hunter,45,28,Daniel Roebuck,18000,4600000,19649,Ione Skye,death|friend|high school|murder|police,http://www.imdb.com/title/tt0091860/?ref_=fn_tt_tt_1,111,English,USA,R,1900000,1986,1000,1.85
Michael Polish,60,35,Anthony Edwards,548,1420578,2389,Jon Gries,boy|caretaker|dam|evacuation|orphanage,http://www.imdb.com/title/tt0322659/?ref_=fn_tt_tt_1,122,English,USA,PG-13,1900000,2003,495,2.35
