director_name,duration,director_facebook_likes,actor_1_facebook_likes,genres,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,content_rating,budget,title_year,actor_2_facebook_likes,movie_facebook_likes
Paul Haggis,133,549,10000,Crime|Drama|Romance|Thriller,146364,11799,Aisha Hinds,0,http://www.imdb.com/title/tt1458175/?ref_=fn_tt_tt_1,PG-13,35000000,2010,796,27000
Kurt Wimmer,94,110,14000,Action|Horror|Sci-Fi|Thriller,70341,15271,Nick Chinlund,1,http://www.imdb.com/title/tt0370032/?ref_=fn_tt_tt_1,PG-13,30000000,2006,829,0
Jean-François Richet,109,25,954,Action|Crime|Drama|Thriller,65979,3148,Hugh Dillon,1,http://www.imdb.com/title/tt0398712/?ref_=fn_tt_tt_1,R,20000000,2005,739,999
Antoine Fuqua,96,845,978,Action|Crime|Thriller,23345,3072,Patrick Kilpatrick,2,http://www.imdb.com/title/tt0120008/?ref_=fn_tt_tt_1,R,30000000,1998,968,629
Kevin Hooks,105,114,4000,Action|Adventure|Crime|Drama|Romance,7073,6152,Will Patton,1,http://www.imdb.com/title/tt0116320/?ref_=fn_tt_tt_1,R,25000000,1996,561,204
Ellory Elkayem,99,11,19000,Action|Comedy|Horror,43764,22554,Riley Smith,1,http://www.imdb.com/title/tt0271367/?ref_=fn_tt_tt_1,PG-13,30000000,2002,953,0
Edward Zwick,112,380,15000,Comedy|Drama|Romance,143368,31278,Judy Greer,0,http://www.imdb.com/title/tt0758752/?ref_=fn_tt_tt_1,R,30000000,2010,11000,24000
Jon Avnet,108,50,14000,Crime|Drama|Mystery|Thriller,65628,16722,Deborah Kara Unger,1,http://www.imdb.com/title/tt0411061/?ref_=fn_tt_tt_1,R,30000000,2007,975,0
Niki Caro,126,51,10000,Drama,32815,20563,Sissy Spacek,4,http://www.imdb.com/title/tt0395972/?ref_=fn_tt_tt_1,R,35000000,2005,9000,0
Howard Deutch,98,41,13000,Comedy|Crime|Thriller,45775,18085,Natasha Henstridge,5,http://www.imdb.com/title/tt0327247/?ref_=fn_tt_tt_1,PG-13,40000000,2004,2000,462
Vincenzo Natali,104,165,900,Drama|Horror|Sci-Fi,79517,2222,Delphine Chanéac,0,http://www.imdb.com/title/tt1017460/?ref_=fn_tt_tt_1,R,26000000,2009,686,12000
Willard Huyck,110,8,1000,Action|Adventure|Comedy|Romance|Sci-Fi,33669,3000,Jordan Prentice,1,http://www.imdb.com/title/tt0091225/?ref_=fn_tt_tt_1,PG,35000000,1986,692,0
Gavin O'Connor,130,149,1000,Crime|Drama|Thriller,53053,5101,Frank Grillo,0,http://www.imdb.com/title/tt0482572/?ref_=fn_tt_tt_1,R,30000000,2008,807,0
Bruce Hunt,93,2,849,Adventure|Horror|Thriller,28606,2178,Marcel Iures,0,http://www.imdb.com/title/tt0402901/?ref_=fn_tt_tt_1,PG-13,30000000,2005,787,0
Rob Reiner,96,0,372,Comedy|Romance,11520,977,Robert Costanzo,2,http://www.imdb.com/title/tt0318283/?ref_=fn_tt_tt_1,PG-13,30000000,2003,206,625
Paul McGuigan,114,118,489,Drama|Mystery|Romance|Thriller,44979,679,Mark Camacho,0,http://www.imdb.com/title/tt0324554/?ref_=fn_tt_tt_1,PG-13,30000000,2004,93,0
Craig Gillespie,106,44,596,Comedy|Horror,85024,1393,Sandra Vergara,1,http://www.imdb.com/title/tt1438176/?ref_=fn_tt_tt_1,R,30000000,2011,343,23000
Terrence Malick,150,0,23000,Biography|Drama|History|Romance,70771,27829,Wes Studi,0,http://www.imdb.com/title/tt0402399/?ref_=fn_tt_tt_1,PG-13,30000000,2005,909,0
Chris Roberts,100,38,811,Action|Adventure|Sci-Fi,14747,2497,Jürgen Prochnow,3,http://www.imdb.com/title/tt0131646/?ref_=fn_tt_tt_1,PG-13,30000000,1999,586,858
Neil Jordan,100,277,21000,Drama|Fantasy|Thriller,11003,22006,Paul Guilfoyle,0,http://www.imdb.com/title/tt0120710/?ref_=fn_tt_tt_1,R,30000000,1999,767,654
James Wong,100,70,473,Action|Adventure|Fantasy|Sci-Fi|Thriller,56451,1100,Randall Duk Kim,0,http://www.imdb.com/title/tt1098327/?ref_=fn_tt_tt_1,PG,45000000,2009,315,0
Jee-woon Kim,107,419,971,Action|Crime|Thriller,114241,1643,Christiana Leucas,2,http://www.imdb.com/title/tt1549920/?ref_=fn_tt_tt_1,R,45000000,2013,236,24000
Nick Hamm,102,6,22000,Drama|Horror|Sci-Fi|Thriller,22449,23352,Munro Chambers,1,http://www.imdb.com/title/tt0335121/?ref_=fn_tt_tt_1,PG-13,25000000,2004,829,387
Andy Cadiff,101,3,448,Comedy|Romance,30092,842,Terence Maynard,0,http://www.imdb.com/title/tt0360139/?ref_=fn_tt_tt_1,PG-13,23000000,2004,143,0
Mike Disa,86,6,1000,Animation|Comedy|Family,9682,5393,Cheech Marin,0,http://www.imdb.com/title/tt0844993/?ref_=fn_tt_tt_1,PG,30000000,2011,857,0
Lasse Hallström,108,529,11000,Drama,24033,11519,Lynda Boyd,3,http://www.imdb.com/title/tt0350261/?ref_=fn_tt_tt_1,PG-13,30000000,2005,329,0
Terry Gilliam,123,0,10000,Adventure|Fantasy|Mystery,126307,11769,Verne Troyer,1,http://www.imdb.com/title/tt1054606/?ref_=fn_tt_tt_1,PG-13,40000000,2009,785,19000
Richard J. Lewis,134,12,891,Comedy|Drama,21086,1873,Paul Gross,2,http://www.imdb.com/title/tt1423894/?ref_=fn_tt_tt_1,R,,2010,460,0
,511,,147,Crime|Drama|Thriller,2308,307,Björn Hlynur Haraldsson,0,http://www.imdb.com/title/tt3561180/?ref_=fn_tt_tt_1,,,,63,0
Brad Furman,88,65,3000,Crime|Thriller,52069,5706,David Costabile,3,http://www.imdb.com/title/tt2364841/?ref_=fn_tt_tt_1,R,30000000,2013,697,0
Peter Howitt,109,29,779,Action|Crime|Drama|Thriller,25558,1297,Ned Bellamy,2,http://www.imdb.com/title/tt0218817/?ref_=fn_tt_tt_1,PG-13,30000000,2001,240,0
Edward Zwick,122,380,18000,Drama|History|War,101888,32930,Matthew Broderick,3,http://www.imdb.com/title/tt0097441/?ref_=fn_tt_tt_1,R,18000000,1989,11000,0
Sergio Leone,251,0,22000,Crime|Drama,221000,24719,Treat Williams,8,http://www.imdb.com/title/tt0087843/?ref_=fn_tt_tt_1,R,30000000,1984,683,12000
Niels Arden Oplev,118,76,3000,Action|Crime|Drama|Thriller,54147,4253,James Biberi,2,http://www.imdb.com/title/tt2101341/?ref_=fn_tt_tt_1,R,30000000,2013,678,0
Michael Radford,131,53,14000,Drama|Romance,29715,16252,Kris Marshall,3,http://www.imdb.com/title/tt0379889/?ref_=fn_tt_tt_1,R,18000000,2004,871,0
Neil Jordan,109,277,2000,Action|Crime|Drama|Romance|Thriller,9004,2759,Tchéky Karyo,0,http://www.imdb.com/title/tt0281820/?ref_=fn_tt_tt_1,R,25000000,2002,378,287
Steve Boyum,80,9,17000,Action|Drama|Romance|Sport,3926,21519,Steve Howey,1,http://www.imdb.com/title/tt0403016/?ref_=fn_tt_tt_1,PG-13,,2005,2000,353
Chris Noonan,88,108,876,Biography|Drama|Romance,23864,1518,Lucy Boynton,1,http://www.imdb.com/title/tt0482546/?ref_=fn_tt_tt_1,PG,30000000,2006,142,0
Kaige Chen,103,45,489,Action|Drama|Fantasy,8215,949,Nicholas Tse,0,http://www.imdb.com/title/tt0417976/?ref_=fn_tt_tt_1,PG-13,60000000,2005,181,445
Corey Yuen,87,23,826,Action|Adventure,38503,4473,Sarah Carter,4,http://www.imdb.com/title/tt0398913/?ref_=fn_tt_tt_1,PG-13,21000000,2006,816,0
Andrew Dominik,160,181,11000,Biography|Crime|Drama|History|Western,136104,22516,Sam Shepard,0,http://www.imdb.com/title/tt0443680/?ref_=fn_tt_tt_1,R,30000000,2007,10000,0
Li Zhang,121,0,974,Action|Adventure|Drama|History|War,4670,1887,Jaycee Chan,0,http://www.imdb.com/title/tt1772230/?ref_=fn_tt_tt_1,R,18000000,2011,643,0
Laurent Tirard,91,2,295,Comedy|Family,9214,545,Kad Merad,7,http://www.imdb.com/title/tt1264904/?ref_=fn_tt_tt_1,,,2009,71,0
Simon West,92,165,26000,Action|Crime|Drama|Thriller,36487,29773,Jason Alexander,0,http://www.imdb.com/title/tt2231253/?ref_=fn_tt_tt_1,R,30000000,2015,947,0
Marc Forster,129,395,18000,Action|Biography|Crime|Drama,52972,19620,Kathy Baker,1,http://www.imdb.com/title/tt1586752/?ref_=fn_tt_tt_1,R,30000000,2011,1000,21000
Reinhard Klooss,93,7,1000,Animation|Comedy|Family,4599,3095,James Corden,0,http://www.imdb.com/title/tt1620449/?ref_=fn_tt_tt_1,PG,,2010,898,885
Bille August,118,55,113,Biography|Drama|History,10175,143,Tyrone Keogh,1,http://www.imdb.com/title/tt0438859/?ref_=fn_tt_tt_1,R,30000000,2007,11,0
Frédéric Auburtin,110,18,922,Drama|History|Sport,3279,2725,Jemima West,4,http://www.imdb.com/title/tt2814362/?ref_=fn_tt_tt_1,Not Rated,24000000,2014,919,0
Olivier Dahan,103,61,963,Biography|Drama|Romance,12410,2806,Derek Jacobi,3,http://www.imdb.com/title/tt2095649/?ref_=fn_tt_tt_1,,30000000,2014,903,6000
Maksim Fadeev,85,0,114,Adventure|Animation|Fantasy,393,229,Sergey Garmash,1,http://www.imdb.com/title/tt4075322/?ref_=fn_tt_tt_1,,30000000,2015,35,161
Liliana Cavani,110,59,1000,Crime|Drama|Mystery|Thriller,14618,1831,Chiara Caselli,0,http://www.imdb.com/title/tt0265651/?ref_=fn_tt_tt_1,R,30000000,2002,794,447
Greg Tiernan,89,5,11000,Adventure|Animation|Comedy|Fantasy,3302,15795,Anders Holm,0,http://www.imdb.com/title/tt1700841/?ref_=fn_tt_tt_1,R,19000000,2016,4000,13000
Elizabeth Banks,115,0,10000,Comedy|Music,97697,13159,Hana Mae Lee,8,http://www.imdb.com/title/tt2848292/?ref_=fn_tt_tt_1,PG-13,29000000,2015,1000,40000
James Mangold,153,446,523,Biography|Drama|Music|Romance,188637,1383,Tyler Hilton,0,http://www.imdb.com/title/tt0358273/?ref_=fn_tt_tt_1,PG-13,28000000,2005,405,11000
,42,,757,Adventure|Drama|Mystery|Sci-Fi|Thriller,20839,3309,Tom Noonan,0,http://www.imdb.com/title/tt3148266/?ref_=fn_tt_tt_1,TV-14,,,641,12000
Edward Norton,128,0,955,Comedy|Drama|Romance,44816,5404,Anne Bancroft,3,http://www.imdb.com/title/tt0171433/?ref_=fn_tt_tt_1,PG-13,30000000,2000,869,0
Peter Hewitt,89,12,1000,Adventure|Comedy|Family|Fantasy,16222,2056,Mark Williams,0,http://www.imdb.com/title/tt0118755/?ref_=fn_tt_tt_1,PG,29000000,1997,409,0
Ron Howard,122,2000,2000,Drama,88682,6161,Oliver Platt,1,http://www.imdb.com/title/tt0870111/?ref_=fn_tt_tt_1,R,35000000,2008,1000,0
George Clooney,113,0,504,Biography|Comedy|Crime|Drama|Romance|Thriller,71596,810,Jennifer Hall,0,http://www.imdb.com/title/tt0270288/?ref_=fn_tt_tt_1,R,29000000,2002,147,3000
Reginald Hudlin,99,71,2000,Comedy|Romance,14315,4169,Vincent Pastore,2,http://www.imdb.com/title/tt0261289/?ref_=fn_tt_tt_1,PG-13,29000000,2002,719,201
Ben Falcone,99,265,22000,Comedy,16984,23562,Ben Falcone,1,http://www.imdb.com/title/tt2702724/?ref_=fn_tt_tt_1,R,29000000,2016,779,0
Richard Attenborough,147,0,18000,Biography|Drama|History,9913,18855,Penelope Wilton,0,http://www.imdb.com/title/tt0092804/?ref_=fn_tt_tt_1,PG,29000000,1987,427,0
Lawrence Kasdan,112,759,11000,Comedy|Drama,8134,17873,Mary McDonnell,4,http://www.imdb.com/title/tt0140397/?ref_=fn_tt_tt_1,R,28000000,1999,1000,209
Don Mancini,88,64,1000,Comedy|Fantasy|Horror|Thriller,28632,2567,Hannah Spearritt,0,http://www.imdb.com/title/tt0387575/?ref_=fn_tt_tt_1,R,12000000,2004,857,0
John Maybury,94,11,1000,Drama|Mystery|Sci-Fi|Thriller,92850,5085,Angel Coulby,0,http://www.imdb.com/title/tt0366627/?ref_=fn_tt_tt_1,R,29000000,2005,948,0
Ron Clements,90,63,49000,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,260939,52970,Scott Weinger,0,http://www.imdb.com/title/tt0103639/?ref_=fn_tt_tt_1,G,28000000,1992,2000,0
F. Gary Gray,167,473,559,Biography|Crime|Drama|History|Music,119928,2702,R. Marcos Taylor,0,http://www.imdb.com/title/tt1398426/?ref_=fn_tt_tt_1,R,28000000,2015,427,76000
Steven Spielberg,118,14000,11000,Action|Adventure,329969,11898,Kate Capshaw,2,http://www.imdb.com/title/tt0087469/?ref_=fn_tt_tt_1,PG,28000000,1984,429,0
Igor Kovalyov,83,5,971,Adventure|Animation|Comedy|Drama|Family|Musical,14005,3438,Christine Cavanaugh,0,http://www.imdb.com/title/tt0134067/?ref_=fn_tt_tt_1,G,24000000,1998,503,418
Lee Tamahori,104,93,11000,Crime|Drama|Thriller,59232,17109,Monica Potter,0,http://www.imdb.com/title/tt0164334/?ref_=fn_tt_tt_1,R,60000000,2001,2000,0
Stephen Frears,110,350,11000,Biography|Comedy|Drama|Music|Romance,2167,11534,John Sessions,3,http://www.imdb.com/title/tt4136084/?ref_=fn_tt_tt_1,PG-13,29000000,2016,183,0
Robert Rodriguez,102,0,40000,Action|Crime|Thriller,130094,46186,Enrique Iglesias,1,http://www.imdb.com/title/tt0285823/?ref_=fn_tt_tt_1,R,29000000,2003,4000,0
John McTiernan,131,323,25000,Action|Thriller,592582,40585,Reginald VelJohnson,0,http://www.imdb.com/title/tt0095016/?ref_=fn_tt_tt_1,R,28000000,1988,13000,25000
David Wain,101,136,833,Comedy,195255,3400,Bobb'e J. Thompson,1,http://www.imdb.com/title/tt0430922/?ref_=fn_tt_tt_1,R,28000000,2008,543,0
Adam McKay,130,285,33000,Biography|Comedy|Drama|History,182983,57308,Charlie Talbert,4,http://www.imdb.com/title/tt1596363/?ref_=fn_tt_tt_1,R,28000000,2015,23000,99000
Ang Lee,120,0,579,Comedy|Drama|Music,24663,1500,Demetri Martin,12,http://www.imdb.com/title/tt1127896/?ref_=fn_tt_tt_1,R,30000000,2009,489,0
Gavin O'Connor,135,149,639,Biography|Drama|History|Sport,36636,1845,Kenneth Mitchell,0,http://www.imdb.com/title/tt0349825/?ref_=fn_tt_tt_1,PG,28000000,2004,617,0
Zack Snyder,110,0,3000,Action|Horror|Thriller,194422,10438,Mekhi Phifer,0,http://www.imdb.com/title/tt0363547/?ref_=fn_tt_tt_1,R,26000000,2004,2000,7000
Adam Shankman,103,163,11000,Comedy|Romance,61317,17533,Alex Rocco,2,http://www.imdb.com/title/tt0209475/?ref_=fn_tt_tt_1,PG-13,35000000,2001,2000,0
Shinji Aramaki,115,21,173,Adventure|Animation|Sci-Fi,8227,386,Haruma Miura,0,http://www.imdb.com/title/tt2668134/?ref_=fn_tt_tt_1,Not Rated,30000000,2013,59,0
Wes Anderson,110,0,13000,Comedy|Drama,209133,14609,Seymour Cassel,1,http://www.imdb.com/title/tt0265666/?ref_=fn_tt_tt_1,R,21000000,2001,1000,0
James Mangold,91,446,1000,Mystery|Thriller,177828,3969,Jake Busey,0,http://www.imdb.com/title/tt0309698/?ref_=fn_tt_tt_1,R,30000000,2003,872,11000
Jon Turteltaub,105,226,22000,Comedy|Romance,106755,35694,Romany Malco,2,http://www.imdb.com/title/tt1204975/?ref_=fn_tt_tt_1,PG-13,28000000,2013,11000,27000
John Glen,127,46,844,Action|Adventure|Thriller,72085,2118,Desmond Llewelyn,1,http://www.imdb.com/title/tt0082398/?ref_=fn_tt_tt_1,PG,28000000,1981,402,2000
Peter Chelsom,82,23,11,Comedy|Romance,85423,37,Ann Talman,0,http://www.imdb.com/title/tt0240890/?ref_=fn_tt_tt_1,PG-13,28000000,2001,9,12000
Peter Hyams,99,0,664,Action|Crime|Sci-Fi|Thriller,44394,2010,Gloria Reuben,1,http://www.imdb.com/title/tt0111438/?ref_=fn_tt_tt_1,R,27000000,1994,655,0
Ben Stiller,90,0,14000,Comedy,201084,34565,Will Ferrell,0,http://www.imdb.com/title/tt0196229/?ref_=fn_tt_tt_1,PG-13,28000000,2001,10000,0
Lasse Hallström,115,529,576,Drama|Romance|Thriller,78008,1554,Mimi Kirkland,0,http://www.imdb.com/title/tt1702439/?ref_=fn_tt_tt_1,PG-13,28000000,2013,447,23000
Kenny Ortega,96,197,580,Comedy|Family|Fantasy,60494,1275,Larry Bagby,0,http://www.imdb.com/title/tt0107120/?ref_=fn_tt_tt_1,PG,28000000,1993,336,16000
Scott Hicks,104,96,943,Comedy|Drama|Romance,59068,3497,Bob Balaban,2,http://www.imdb.com/title/tt0481141/?ref_=fn_tt_tt_1,PG,28000000,2007,763,0
Matthew Vaughn,117,905,553,Action|Comedy,435864,2357,Michael Rispoli,1,http://www.imdb.com/title/tt1250777/?ref_=fn_tt_tt_1,R,30000000,2010,488,36000
Ruben Fleischer,83,181,731,Action|Comedy|Crime,77935,1987,Fred Ward,3,http://www.imdb.com/title/tt1622547/?ref_=fn_tt_tt_1,R,28000000,2011,579,0
Patrick Lussier,99,71,18000,Action|Fantasy|Horror|Thriller,27378,23344,Jeri Ryan,0,http://www.imdb.com/title/tt0219653/?ref_=fn_tt_tt_1,R,28000000,2000,1000,0
Miguel Arteta,81,44,35000,Comedy|Family,29738,47677,Jennifer Garner,6,http://www.imdb.com/title/tt1698641/?ref_=fn_tt_tt_1,PG,28000000,2014,7000,12000
Joe Wright,135,456,422,Drama|Romance,193455,1083,Simon Woods,2,http://www.imdb.com/title/tt0414387/?ref_=fn_tt_tt_1,PG,28000000,2005,286,17000
Ridley Scott,117,0,11000,Sci-Fi|Thriller,461609,13877,M. Emmet Walsh,2,http://www.imdb.com/title/tt0083658/?ref_=fn_tt_tt_1,R,28000000,1982,759,34000
Michael Caton-Jones,139,105,14000,Adventure|Biography,34427,16125,Eric Stoltz,1,http://www.imdb.com/title/tt0114287/?ref_=fn_tt_tt_1,R,28000000,1995,1000,0
McG,123,368,933,Action|Drama|Thriller,69355,1286,Tómas Lemarquis,0,http://www.imdb.com/title/tt2172934/?ref_=fn_tt_tt_1,PG-13,28000000,2014,194,10000
James Gray,117,115,3000,Crime|Drama|Thriller,72693,3681,Antoni Corone,4,http://www.imdb.com/title/tt0498399/?ref_=fn_tt_tt_1,R,21000000,2007,327,0
Janusz Kaminski,97,710,497,Drama|Horror|Thriller,9338,1805,Ben Chaplin,2,http://www.imdb.com/title/tt0160484/?ref_=fn_tt_tt_1,R,28000000,2000,347,209
Jacques Perrin,81,63,63,Documentary,10369,66,,0,http://www.imdb.com/title/tt0301727/?ref_=fn_tt_tt_1,G,160000000,2001,3,1000
Donald Petrie,103,80,806,Comedy|Fantasy|Romance,44103,3211,Faizon Love,3,http://www.imdb.com/title/tt0397078/?ref_=fn_tt_tt_1,PG-13,28000000,2006,591,0
Jay Roach,119,116,738,Comedy|Drama|Sport,22250,2171,Ron Eldard,0,http://www.imdb.com/title/tt0134618/?ref_=fn_tt_tt_1,R,28000000,1999,428,913
Brian Levant,94,32,1000,Action|Comedy|Family,29971,3436,George Lopez,4,http://www.imdb.com/title/tt1273678/?ref_=fn_tt_tt_1,PG,28000000,2010,626,0
Michael Ritchie,89,23,1000,Comedy|Family|Fantasy,4288,5535,Kathleen Turner,3,http://www.imdb.com/title/tt0120133/?ref_=fn_tt_tt_1,PG,28000000,1997,937,517
John Carpenter,98,0,26000,Action|Horror|Sci-Fi,43006,28867,Natasha Henstridge,5,http://www.imdb.com/title/tt0228333/?ref_=fn_tt_tt_1,R,28000000,2001,1000,0
David Gordon Green,107,234,1000,Comedy|Drama,11476,3944,Scoot McNairy,2,http://www.imdb.com/title/tt1018765/?ref_=fn_tt_tt_1,R,28000000,2015,962,0
Burr Steers,108,23,2000,Action|Horror|Romance,23775,4710,Sam Riley,0,http://www.imdb.com/title/tt1374989/?ref_=fn_tt_tt_1,PG-13,28000000,2016,860,73000
Martin Scorsese,134,17000,2,Biography|Drama|History|War,21606,4,Tencho Gyalpo,0,http://www.imdb.com/title/tt0119485/?ref_=fn_tt_tt_1,PG-13,28000000,1997,2,0
Robert B. Weide,110,53,480,Comedy|Drama|Romance,61269,858,Fenella Woolgar,4,http://www.imdb.com/title/tt0455538/?ref_=fn_tt_tt_1,R,27000000,2008,261,0
Jeff Wadlow,103,65,17000,Action|Comedy|Crime,202967,19168,Augustus Prew,0,http://www.imdb.com/title/tt1650554/?ref_=fn_tt_tt_1,R,28000000,2013,927,36000
Agustín Díaz Yanes,145,13,10000,Adventure|Drama|History|Romance|Thriller|War,10266,11669,Eduardo Noriega,1,http://www.imdb.com/title/tt0395119/?ref_=fn_tt_tt_1,,24000000,2006,1000,0
Camille Delamarre,100,11,23000,Action|Crime|Drama|Thriller,32103,25387,RZA,2,http://www.imdb.com/title/tt1430612/?ref_=fn_tt_tt_1,PG-13,28000000,2014,727,0
John Glen,131,46,594,Action|Adventure|Thriller,74374,1898,Steven Berkoff,0,http://www.imdb.com/title/tt0086034/?ref_=fn_tt_tt_1,PG,27500000,1983,303,0
Judd Apatow,133,0,11000,Comedy|Romance,298590,12874,Charlyne Yi,2,http://www.imdb.com/title/tt0478311/?ref_=fn_tt_tt_1,R,30000000,2007,985,0
Nick Cassavetes,109,415,673,Drama,74476,1775,Jeffrey Markle,2,http://www.imdb.com/title/tt1078588/?ref_=fn_tt_tt_1,PG-13,30000000,2009,489,15000
Malcolm D. Lee,114,92,940,Comedy|Drama|Romance,10791,3565,Cedric the Entertainer,3,http://www.imdb.com/title/tt0494652/?ref_=fn_tt_tt_1,PG-13,35000000,2008,706,464
David Lean,164,767,358,Adventure|Drama|History,12980,1334,Art Malik,0,http://www.imdb.com/title/tt0087892/?ref_=fn_tt_tt_1,PG,16000000,1984,223,845
Richard Eyre,92,14,386,Crime|Drama|Romance|Thriller,64625,646,Shaun Parkes,0,http://www.imdb.com/title/tt0465551/?ref_=fn_tt_tt_1,R,15000000,2006,99,0
Gavin Hood,122,151,24000,Drama|Thriller,47203,50950,Meryl Streep,2,http://www.imdb.com/title/tt0804522/?ref_=fn_tt_tt_1,R,27500000,2007,15000,0
,42,,766,Crime|Drama|Sci-Fi|Thriller,38177,2707,Jake McDorman,2,http://www.imdb.com/title/tt4422836/?ref_=fn_tt_tt_1,TV-14,,,638,11000
Nicholas Meyer,110,120,12000,Action|Adventure|Sci-Fi|Thriller,55513,16230,Nichelle Nichols,0,http://www.imdb.com/title/tt0102975/?ref_=fn_tt_tt_1,PG,30000000,1991,1000,0
Callie Khouri,116,144,1000,Drama,15352,3845,Matthew Settle,4,http://www.imdb.com/title/tt0279778/?ref_=fn_tt_tt_1,PG-13,27000000,2002,482,0
Jon Favreau,106,4000,19000,Adventure|Drama|Family|Fantasy,106221,32921,Garry Shandling,0,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,PG,175000000,2016,13000,65000
Gary Fleder,115,39,11000,Crime|Drama|Mystery|Thriller,50653,14322,Tatyana Ali,1,http://www.imdb.com/title/tt0119468/?ref_=fn_tt_tt_1,R,27000000,1997,956,0
John Landis,148,644,1000,Action|Comedy|Crime|Music,142448,2566,Ray Charles,1,http://www.imdb.com/title/tt0080455/?ref_=fn_tt_tt_1,R,27000000,1980,809,14000
Sanaa Hamri,119,43,953,Comedy|Drama|Family|Romance,22304,3525,Michael Rady,4,http://www.imdb.com/title/tt1018785/?ref_=fn_tt_tt_1,PG-13,,2008,713,894
Todd Graff,118,650,1000,Comedy|Music,6476,3389,Jesse L. Martin,4,http://www.imdb.com/title/tt1710396/?ref_=fn_tt_tt_1,PG-13,25000000,2012,773,0
Chris Weitz,101,129,66,Comedy|Drama|Romance,144021,74,Peter McNicholl,0,http://www.imdb.com/title/tt0276751/?ref_=fn_tt_tt_1,PG-13,30000000,2002,5,0
Steve Miner,82,49,1000,Action|Comedy|Horror,42761,3313,Ty Olsson,0,http://www.imdb.com/title/tt0139414/?ref_=fn_tt_tt_1,R,27000000,1999,888,2000
Paul McGuigan,110,118,13000,Crime|Drama|Mystery|Thriller,262153,26451,Dorian Missick,3,http://www.imdb.com/title/tt0425210/?ref_=fn_tt_tt_1,R,27000000,2006,11000,10000
Philip Kaufman,193,133,2000,Adventure|Drama|History,45271,6341,Sam Shepard,0,http://www.imdb.com/title/tt0086197/?ref_=fn_tt_tt_1,PG,27000000,1983,826,0
Roland Emmerich,130,776,898,Drama|History|Thriller,34488,2452,Rafe Spall,3,http://www.imdb.com/title/tt1521197/?ref_=fn_tt_tt_1,PG-13,30000000,2011,584,15000
Wolfgang Petersen,94,249,523,Adventure|Drama|Family|Fantasy,99557,1560,Alan Oppenheimer,1,http://www.imdb.com/title/tt0088323/?ref_=fn_tt_tt_1,PG,27000000,1984,312,21000
Alex Proyas,111,295,3000,Action|Drama|Fantasy|Mystery|Sci-Fi|Thriller,156929,4696,Bruce Spence,1,http://www.imdb.com/title/tt0118929/?ref_=fn_tt_tt_1,R,27000000,1998,882,14000
Saul Dibb,110,10,3000,Biography|Drama|History|Romance,61777,6420,Charlotte Rampling,3,http://www.imdb.com/title/tt0864761/?ref_=fn_tt_tt_1,PG-13,13500000,2008,2000,0
,30,,491,Comedy|Family,3446,812,Joyce Randolph,4,http://www.imdb.com/title/tt0042114/?ref_=fn_tt_tt_1,,,,154,459
Walter Murch,109,181,303,Adventure|Family|Fantasy|Horror|Mystery,19568,960,Tim Rose,0,http://www.imdb.com/title/tt0089908/?ref_=fn_tt_tt_1,PG,25000000,1985,146,0
Richard Linklater,123,0,11000,Action|Crime|Drama|History|Western,8309,11969,Dwight Yoakam,4,http://www.imdb.com/title/tt0120769/?ref_=fn_tt_tt_1,PG-13,27000000,1998,597,315
Christian Alvart,109,22,14000,Horror|Mystery|Thriller,60555,15790,Vanesa Tomasino,1,http://www.imdb.com/title/tt0795351/?ref_=fn_tt_tt_1,R,27000000,2009,716,0
E. Elias Merhige,99,54,748,Crime|Drama|Mystery|Thriller,16555,1721,William Mapother,0,http://www.imdb.com/title/tt0324127/?ref_=fn_tt_tt_1,R,27000000,2004,489,817
Menno Meyjes,106,43,1000,Comedy|Drama|Family,17436,2495,Sophie Okonedo,0,http://www.imdb.com/title/tt0415965/?ref_=fn_tt_tt_1,PG,27000000,2007,506,0
Robert Rodriguez,89,0,2000,Action|Adventure|Comedy|Family|Sci-Fi,15866,4311,Daryl Sabara,5,http://www.imdb.com/title/tt1517489/?ref_=fn_tt_tt_1,PG,27000000,2011,734,0
Jodie Foster,98,0,8000,Crime|Drama|Thriller,19611,10894,Chris Bauer,1,http://www.imdb.com/title/tt2241351/?ref_=fn_tt_tt_1,R,27000000,2016,698,0
Ronny Yu,93,31,783,Action|Comedy|Crime|Thriller,42876,1044,Paul Barber,2,http://www.imdb.com/title/tt0227984/?ref_=fn_tt_tt_1,R,28000000,2001,132,0
Joel Schumacher,112,541,22000,Comedy|Crime|Drama,14612,46022,Chris Bauer,1,http://www.imdb.com/title/tt0155711/?ref_=fn_tt_tt_1,R,15000000,1999,22000,0
Renny Harlin,101,212,1000,Crime|Horror|Mystery|Thriller,49405,4186,Eion Bailey,0,http://www.imdb.com/title/tt0297284/?ref_=fn_tt_tt_1,R,27000000,2004,968,2000
Barry Levinson,104,272,22000,Comedy|Drama,23767,71973,Kristen Stewart,1,http://www.imdb.com/title/tt0486674/?ref_=fn_tt_tt_1,R,25000000,2008,18000,845
Norman Jewison,120,278,844,Drama|Thriller,4257,3286,John Neville,4,http://www.imdb.com/title/tt0340376/?ref_=fn_tt_tt_1,R,23000000,2003,766,188
