director_name,num_critic_for_reviews,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,country,budget,aspect_ratio,movie_facebook_likes
John McTiernan,131,Harry Connick Jr.,933,26536120,Action|Crime|Drama|Mystery|Thriller,Connie Nielsen,Basic ,49926,3357,Tim Daly,http://www.imdb.com/title/tt0264395/?ref_=fn_tt_tt_1,286,Germany,50000000,2.35,0
Clint Eastwood,146,Anjelica Huston,16000,26199517,Action|Crime|Drama|Mystery|Thriller,Clint Eastwood,Blood Work ,34356,18635,Rick Hoffman,http://www.imdb.com/title/tt0309377/?ref_=fn_tt_tt_1,260,USA,50000000,2.35,705
Tom Tykwer,245,Brían F. O'Byrne,6000,25450527,Action|Crime|Drama|Mystery|Thriller,Naomi Watts,The International ,80196,7654,Armin Mueller-Stahl,http://www.imdb.com/title/tt0963178/?ref_=fn_tt_tt_1,190,USA,50000000,2.35,0
John Carpenter,104,Valeria Golino,12000,25407250,Action|Adventure|Sci-Fi|Thriller,Steve Buscemi,Escape from L.A. ,54021,15935,Michelle Forbes,http://www.imdb.com/title/tt0116225/?ref_=fn_tt_tt_1,227,USA,50000000,2.35,0
,4,Brittany Curran,629,,Drama|Mystery|Thriller,Grey Damon,Twisted             ,7945,2758,Aaron Hill,http://www.imdb.com/title/tt2355844/?ref_=fn_tt_tt_1,22,USA,,16.0,915
Brad Bird,162,Harry Connick Jr.,14000,23159305,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Vin Diesel,The Iron Giant ,128455,16358,M. Emmet Walsh,http://www.imdb.com/title/tt0129167/?ref_=fn_tt_tt_1,514,USA,70000000,2.35,0
Wes Anderson,259,Anjelica Huston,13000,24006726,Adventure|Comedy|Drama,Bill Murray,The Life Aquatic with Steve Zissou ,139535,15757,Matthew Gray Gubler,http://www.imdb.com/title/tt0362270/?ref_=fn_tt_tt_1,632,USA,50000000,2.35,0
Gary Ross,79,Donald Watkins,11000,20389967,Action|Biography|Drama|History|War,Matthew McConaughey,Free State of Jones ,3077,12786,Jessica Collins,http://www.imdb.com/title/tt1124037/?ref_=fn_tt_tt_1,47,USA,50000000,1.85,10000
Alan Parker,141,Kate Winslet,18000,19593740,Crime|Drama|Thriller,Kevin Spacey,The Life of David Gale ,88270,32637,Matt Craven,http://www.imdb.com/title/tt0289992/?ref_=fn_tt_tt_1,420,USA,50000000,2.35,0
Stephen Herek,59,Vanessa Ferlito,1000,19118247,Action|Comedy,Christina Milian,Man of the House ,19829,6171,Kelli Garner,http://www.imdb.com/title/tt0331933/?ref_=fn_tt_tt_1,94,USA,40000000,2.35,779
Jaume Collet-Serra,236,Common,14000,26442251,Action|Crime|Drama|Thriller,Liam Neeson,Run All Night ,76010,16992,Bruce McGill,http://www.imdb.com/title/tt2199571/?ref_=fn_tt_tt_1,205,USA,50000000,2.35,15000
David Cronenberg,356,Naomi Watts,10000,17114882,Crime|Mystery|Thriller,Viggo Mortensen,Eastern Promises ,189249,17211,Raza Jaffrey,http://www.imdb.com/title/tt0765443/?ref_=fn_tt_tt_1,398,USA,25000000,1.85,0
John Stockwell,120,James Frain,23000,18472363,Action|Adventure|Crime|Thriller,Paul Walker,Into the Blue ,63599,25049,Ashley Scott,http://www.imdb.com/title/tt0378109/?ref_=fn_tt_tt_1,208,USA,50000000,2.35,0
Luc Besson,111,David Bailie,51,14131298,Adventure|Biography|Drama|History|War,Paul Brooke,The Messenger: The Story of Joan of Arc ,55889,144,Rab Affleck,http://www.imdb.com/title/tt0151137/?ref_=fn_tt_tt_1,390,France,390000000,2.35,0
David Gordon Green,208,Zooey Deschanel,20000,21557240,Adventure|Comedy|Fantasy,Natalie Portman,Your Highness ,85237,45202,James Franco,http://www.imdb.com/title/tt1240982/?ref_=fn_tt_tt_1,274,USA,49900000,2.35,18000
Jim Sheridan,174,Gregory Smith,6000,21283440,Drama|Mystery|Thriller,Naomi Watts,Dream House ,46239,8018,Sarah Gadon,http://www.imdb.com/title/tt1462041/?ref_=fn_tt_tt_1,137,USA,55000000,2.35,0
Costa-Gavras,59,Blythe Danner,972,10556196,Crime|Drama|Thriller,Mia Kirshner,Mad City ,16562,2606,William Atherton,http://www.imdb.com/title/tt0119592/?ref_=fn_tt_tt_1,73,USA,50000000,2.35,697
Patrick Read Johnson,22,Lara Flynn Boyle,1000,16671505,Adventure|Comedy|Crime|Drama|Family,Joe Mantegna,Baby's Day Out ,33186,2949,Cynthia Nixon,http://www.imdb.com/title/tt0109190/?ref_=fn_tt_tt_1,78,USA,50000000,1.85,0
Roland Joffé,34,Robert Duvall,10000,10400000,Drama|Romance,Gary Oldman,The Scarlet Letter ,12037,15820,Demi Moore,http://www.imdb.com/title/tt0114345/?ref_=fn_tt_tt_1,90,USA,50000000,2.35,943
Doug Liman,214,Ty Burrell,6000,9528092,Biography|Drama|Thriller,Naomi Watts,Fair Game ,38513,10191,Brooke Smith,http://www.imdb.com/title/tt0977855/?ref_=fn_tt_tt_1,127,USA,22000000,2.35,9000
,28,Tony Curran,3000,,Action|Drama|Sci-Fi,Julie Benz,Defiance             ,33535,5381,Grant Bowler,http://www.imdb.com/title/tt2189221/?ref_=fn_tt_tt_1,149,USA,,1.78,0
Tony Scott,186,Mo'Nique,984,10137232,Action|Biography|Crime|Drama|Thriller,Ian Ziering,Domino ,58015,5702,Edgar Ramírez,http://www.imdb.com/title/tt0421054/?ref_=fn_tt_tt_1,374,France,50000000,2.35,0
William Friedkin,50,Chazz Palminteri,2000,9795017,Crime|Drama|Thriller,Michael Biehn,Jade ,9227,5461,Linda Fiorentino,http://www.imdb.com/title/tt0113451/?ref_=fn_tt_tt_1,70,USA,50000000,1.85,422
Mark Neveldine,180,Logan Lerman,18000,20488579,Action|Sci-Fi|Thriller,Gerard Butler,Gamer ,113483,29926,Alison Lohman,http://www.imdb.com/title/tt1034032/?ref_=fn_tt_tt_1,245,USA,50000000,1.85,0
Richard LaGravenese,231,Zoey Deutch,1000,19445217,Drama|Fantasy|Romance,Alden Ehrenreich,Beautiful Creatures ,67796,3580,Pruitt Taylor Vince,http://www.imdb.com/title/tt1559547/?ref_=fn_tt_tt_1,258,USA,60000000,2.35,14000
Danny DeVito,105,Vincent Schiavelli,49000,8355815,Comedy|Crime|Drama|Thriller,Robin Williams,Death to Smoochy ,34730,52885,Danny Woodburn,http://www.imdb.com/title/tt0266452/?ref_=fn_tt_tt_1,341,UK,55000000,1.85,0
Ben Stiller,226,Will Ferrell,14000,28837115,Comedy,Milla Jovovich,Zoolander 2 ,34964,24107,Justin Theroux,http://www.imdb.com/title/tt1608290/?ref_=fn_tt_tt_1,150,USA,50000000,2.35,28000
George Armitage,75,Andrew Wilson,11000,6471394,Comedy|Crime,Morgan Freeman,The Big Bounce ,15880,11972,Willie Nelson,http://www.imdb.com/title/tt0315824/?ref_=fn_tt_tt_1,93,USA,50000000,2.35,288
Mike Nichols,82,Linda Fiorentino,2000,6291602,Comedy|Sci-Fi,Judy Greer,What Planet Are You From? ,8070,3954,Garry Shandling,http://www.imdb.com/title/tt0181151/?ref_=fn_tt_tt_1,91,USA,50000000,1.85,255
Patrick Lussier,296,Billy Burke,12000,10706786,Action|Fantasy|Thriller,Nicolas Cage,Drive Angry ,81800,16481,Katy Mixon,http://www.imdb.com/title/tt1502404/?ref_=fn_tt_tt_1,211,USA,50000000,1.85,15000
Andrzej Bartkowiak,103,Robin Shou,841,8742261,Action|Crime|Drama|Mystery|Thriller,Chris Klein,Street Fighter: The Legend of Chun-Li ,19824,1385,Josie Ho,http://www.imdb.com/title/tt0891592/?ref_=fn_tt_tt_1,179,Canada,18000000,2.35,0
James Wong,98,Jet Li,26000,43905746,Action|Sci-Fi|Thriller,Jason Statham,The One ,77684,32831,Delroy Lindo,http://www.imdb.com/title/tt0267804/?ref_=fn_tt_tt_1,294,USA,49000000,2.35,0
,30,Graham McTavish,1000,,Drama|Romance|Sci-Fi,Tobias Menzies,Outlander             ,50391,1863,Stephen Walters,http://www.imdb.com/title/tt3006802/?ref_=fn_tt_tt_1,148,USA,,16.0,31000
Renny Harlin,48,Gilbert Gottfried,879,21413502,Action|Adventure|Comedy|Crime|Music|Mystery,Lauren Holly,The Adventures of Ford Fairlane ,14429,2795,David Patrick Kelly,http://www.imdb.com/title/tt0098987/?ref_=fn_tt_tt_1,113,USA,40000000,2.35,2000
Richard Curtis,195,Charlie Rowe,22000,7994115,Comedy|Drama|Music,Philip Seymour Hoffman,Pirate Radio ,90932,24316,Tom Sturridge,http://www.imdb.com/title/tt1131729/?ref_=fn_tt_tt_1,209,UK,,2.35,21000
Steven Soderbergh,223,Jacob Vargas,599,124107476,Crime|Drama|Thriller,Michael O'Neill,Traffic ,170684,1418,James Lew,http://www.imdb.com/title/tt0181865/?ref_=fn_tt_tt_1,867,USA,48000000,1.85,0
Steven Spielberg,149,Julian Glover,11000,197171806,Action|Adventure|Fantasy,Harrison Ford,Indiana Jones and the Last Crusade ,515306,12884,Alison Doody,http://www.imdb.com/title/tt0097576/?ref_=fn_tt_tt_1,477,USA,48000000,2.35,0
Joe Wright,324,Guro Nagelhus Schia,2000,12802907,Drama|Romance,Kelly Macdonald,Anna Karenina ,70886,2035,Matthew Macfadyen,http://www.imdb.com/title/tt1781769/?ref_=fn_tt_tt_1,226,UK,,2.35,36000
Neill Blomkamp,371,Sharlto Copley,20000,31569268,Action|Crime|Drama|Sci-Fi|Thriller,Hugh Jackman,Chappie ,172965,23051,Jose Pablo Cantillo,http://www.imdb.com/title/tt1823672/?ref_=fn_tt_tt_1,627,USA,49000000,2.35,67000
Phillip Noyce,75,Angelina Jolie Pitt,18000,66488090,Crime|Drama|Mystery|Thriller,Denzel Washington,The Bone Collector ,120202,29748,Leland Orser,http://www.imdb.com/title/tt0145681/?ref_=fn_tt_tt_1,397,USA,48000000,2.35,0
David Fincher,233,Dwight Yoakam,17000,95308367,Crime|Drama|Thriller,Kristen Stewart,Panic Room ,206104,18141,Mel Rodriguez,http://www.imdb.com/title/tt0258000/?ref_=fn_tt_tt_1,850,USA,48000000,2.35,0
Chuck Bowman,32,Lochlyn Munro,598,,Horror|Thriller,P.J. Soles,The Tooth Fairy ,1263,2353,Steve Bacic,http://www.imdb.com/title/tt0473553/?ref_=fn_tt_tt_1,32,USA,1500000,1.78,352
David O. Russell,150,Jamie Kennedy,2000,60652036,Action|Adventure|Comedy|Drama|War,Judy Greer,Three Kings ,137854,3743,Mykelti Williamson,http://www.imdb.com/title/tt0120188/?ref_=fn_tt_tt_1,560,USA,48000000,2.35,3000
Daniel Espinosa,172,Fares Fares,27000,1206135,Crime|Drama|Thriller,Tom Hardy,Child 44 ,40568,27666,Michael Nardone,http://www.imdb.com/title/tt1014763/?ref_=fn_tt_tt_1,185,Czech Republic,50000000,2.35,18000
Jerry Zucker,103,Douglas Haase,779,56607223,Adventure|Comedy,Corinna Harney,Rat Race ,93367,1823,Vince Vieluf,http://www.imdb.com/title/tt0250687/?ref_=fn_tt_tt_1,497,Canada,48000000,2.35,0
Iain Softley,140,Jeff Bridges,18000,50173190,Drama|Mystery|Sci-Fi,Kevin Spacey,K-PAX ,148490,33615,Alfre Woodard,http://www.imdb.com/title/tt0272152/?ref_=fn_tt_tt_1,537,USA,48000000,2.35,0
James Mangold,125,Natasha Lyonne,20000,47095453,Comedy|Fantasy|Romance,Hugh Jackman,Kate & Leopold ,64595,22209,Bradley Whitford,http://www.imdb.com/title/tt0035423/?ref_=fn_tt_tt_1,316,USA,48000000,1.85,0
Harold Ramis,125,Frances O'Connor,3000,37879996,Comedy|Fantasy|Romance,Brendan Fraser,Bedazzled ,81888,5390,Brian Doyle-Murray,http://www.imdb.com/title/tt0230030/?ref_=fn_tt_tt_1,254,USA,48000000,2.35,0
Francis Ford Coppola,36,Bob Hoskins,12000,25900000,Crime|Drama|Music,Nicolas Cage,The Cotton Club ,12771,18793,Fred Gwynne,http://www.imdb.com/title/tt0087089/?ref_=fn_tt_tt_1,84,USA,58000000,1.85,828
James Mangold,295,Logan Lerman,23000,53574088,Adventure|Crime|Drama|Western,Christian Bale,3:10 to Yuma ,237872,33548,Gretchen Mol,http://www.imdb.com/title/tt0381849/?ref_=fn_tt_tt_1,560,USA,55000000,2.35,0
Olivier Megaton,222,Dougray Scott,14000,89253340,Action|Thriller,Liam Neeson,Taken 3 ,133436,16967,Jon Gries,http://www.imdb.com/title/tt2446042/?ref_=fn_tt_tt_1,323,France,48000000,2.35,38000
Steven Soderbergh,158,Albert Brooks,3000,37339525,Crime|Drama|Romance|Thriller,Don Cheadle,Out of Sight ,71708,3768,Keith Hudson,http://www.imdb.com/title/tt0120780/?ref_=fn_tt_tt_1,307,USA,48000000,1.85,0
Ben Stiller,72,Janeane Garofalo,2000,60154431,Comedy|Drama|Thriller,Matthew Broderick,The Cable Guy ,122347,3718,Andy Dick,http://www.imdb.com/title/tt0115798/?ref_=fn_tt_tt_1,345,USA,47000000,2.35,0
Deepa Mehta,34,Gulshan Grover,113,528972,Drama|Romance|War,Nandita Das,Earth ,5639,371,Eric Peterson,http://www.imdb.com/title/tt0150433/?ref_=fn_tt_tt_1,55,India,,,522
Warren Beatty,72,Warren Beatty,678,103738726,Action|Comedy|Crime|Music|Romance|Thriller,Charlie Korsmo,Dick Tracy ,47819,2096,Seymour Cassel,http://www.imdb.com/title/tt0099422/?ref_=fn_tt_tt_1,164,USA,100000000,1.85,2000
John McTiernan,152,Faye Dunaway,1000,69304264,Crime|Romance|Thriller,Mark Margolis,The Thomas Crown Affair ,73068,4660,Denis Leary,http://www.imdb.com/title/tt0155267/?ref_=fn_tt_tt_1,419,USA,48000000,2.35,0
Penny Marshall,89,Adam Garcia,919,29781453,Biography|Comedy|Drama,Rosie Perez,Riding in Cars with Boys ,22447,4796,Alissa Dean,http://www.imdb.com/title/tt0200027/?ref_=fn_tt_tt_1,210,USA,48000000,1.85,0
Ted Kotcheff,145,Brian Dennehy,13000,,Action|Adventure|Drama,Sylvester Stallone,First Blood ,172489,15192,Chris Mulkey,http://www.imdb.com/title/tt0083944/?ref_=fn_tt_tt_1,376,USA,14000000,2.35,0
Andrei Tarkovsky,144,Anatoliy Solonitsyn,29,,Drama|Mystery|Sci-Fi,Donatas Banionis,Solaris ,54057,95,Natalya Bondarchuk,http://www.imdb.com/title/tt0069293/?ref_=fn_tt_tt_1,236,Soviet Union,1000000,2.35,0
Paul Bolger,93,George Carlin,4000,15519841,Adventure|Animation|Comedy|Family|Fantasy,Sarah Michelle Gellar,Happily N'Ever After ,8693,6863,Rob Paulsen,http://www.imdb.com/title/tt0308353/?ref_=fn_tt_tt_1,71,USA,47000000,1.85,261
Stephen Frears,46,Bronagh Gallagher,8000,5600000,Drama|Horror|Romance|Thriller,Julia Roberts,Mary Reilly ,11913,8349,George Cole,http://www.imdb.com/title/tt0117002/?ref_=fn_tt_tt_1,97,USA,47000000,1.85,616
P.J. Hogan,84,Christopher Masterson,8000,126805112,Comedy|Romance,Julia Roberts,My Best Friend's Wedding ,98199,12344,Rupert Everett,http://www.imdb.com/title/tt0119738/?ref_=fn_tt_tt_1,169,USA,46000000,2.35,0
Joe Roth,142,Rainn Wilson,8000,93607673,Comedy|Romance,Julia Roberts,America's Sweethearts ,47573,9176,Larry King,http://www.imdb.com/title/tt0265029/?ref_=fn_tt_tt_1,343,USA,48000000,2.35,881
Christopher Nolan,185,Maura Tierney,14000,67263182,Drama|Mystery|Thriller,Al Pacino,Insomnia ,218771,15658,Crystal Lowe,http://www.imdb.com/title/tt0278504/?ref_=fn_tt_tt_1,651,USA,46000000,2.35,0
Jonathan Frakes,143,Alfre Woodard,1000,92001027,Action|Adventure|Drama|Sci-Fi|Thriller,LeVar Burton,Star Trek: First Contact ,97838,6315,Jonathan Frakes,http://www.imdb.com/title/tt0117731/?ref_=fn_tt_tt_1,286,USA,45000000,2.35,3000
Jimmy Hayward,178,Billy Blair,13000,10539414,Action|Drama|Fantasy|Thriller|Western,Michael Fassbender,Jonah Hex ,45729,14619,Julia Jones,http://www.imdb.com/title/tt1075747/?ref_=fn_tt_tt_1,176,USA,47000000,2.35,0
Edward Zwick,65,Matt Damon,18000,58918501,Action|Drama|Mystery|Thriller|War,Denzel Washington,Courage Under Fire ,40126,33233,Scott Glenn,http://www.imdb.com/title/tt0115956/?ref_=fn_tt_tt_1,107,USA,46000000,1.85,975
Tom Shadyac,73,Swoosie Kurtz,509,181395380,Comedy|Fantasy|Romance,Maura Tierney,Liar Liar ,220392,2070,Randall 'Tex' Cobb,http://www.imdb.com/title/tt0119528/?ref_=fn_tt_tt_1,243,USA,45000000,1.85,0
Brad Furman,72,Amy Ryan,788,14946229,Biography|Crime|Drama|Thriller,Joseph Gilgun,The Infiltrator ,2581,2104,Olympia Dukakis,http://www.imdb.com/title/tt1355631/?ref_=fn_tt_tt_1,29,UK,25000000,2.35,0
Terence Young,10,Ben Gazzara,1000,,Drama|History|War,Laurence Olivier,Inchon ,491,2704,Jacqueline Bisset,http://www.imdb.com/title/tt0084132/?ref_=fn_tt_tt_1,16,South Korea,48000000,2.35,115
Brian Levant,35,Elizabeth Perkins,924,130512915,Comedy|Family|Fantasy,Jonathan Winters,The Flintstones ,60884,3244,Harvey Korman,http://www.imdb.com/title/tt0109813/?ref_=fn_tt_tt_1,85,USA,45000000,1.33,0
Olivier Megaton,358,Luke Grimes,14000,139852971,Action|Crime|Thriller,Liam Neeson,Taken 2 ,238671,16410,D.B. Sweeney,http://www.imdb.com/title/tt1397280/?ref_=fn_tt_tt_1,461,France,45000000,2.35,63000
David Zucker,151,Pamela Anderson,807,110000082,Comedy,Regina Hall,Scary Movie 3 ,111526,3629,Jenny McCarthy,http://www.imdb.com/title/tt0306047/?ref_=fn_tt_tt_1,347,USA,48000000,1.85,0
Donald Petrie,140,Wendy Raquel Robinson,545,106807667,Action|Comedy|Crime|Romance,Candice Bergen,Miss Congeniality ,137377,1574,Heather Burns,http://www.imdb.com/title/tt0212346/?ref_=fn_tt_tt_1,370,USA,45000000,1.85,0
Eric Brevig,201,Brendan Fraser,14000,101702060,Action|Adventure|Family|Fantasy|Sci-Fi,Josh Hutcherson,Journey to the Center of the Earth ,85323,17925,Anita Briem,http://www.imdb.com/title/tt0373051/?ref_=fn_tt_tt_1,212,USA,45000000,1.85,0
Garry Marshall,77,Raven-Symoné,11000,95149435,Comedy|Family|Romance,Anne Hathaway,The Princess Diaries 2: Royal Engagement ,53687,15362,Hector Elizondo,http://www.imdb.com/title/tt0368933/?ref_=fn_tt_tt_1,152,USA,40000000,1.85,1000
Alan J. Pakula,43,Julia Roberts,18000,100768056,Crime|Drama|Mystery|Thriller,Denzel Washington,The Pelican Brief ,59569,30063,Tony Goldwyn,http://www.imdb.com/title/tt0107798/?ref_=fn_tt_tt_1,89,USA,45000000,2.35,0
Joel Schumacher,39,Anthony LaPaglia,821,92115211,Crime|Drama|Mystery|Thriller,Bradley Whitford,The Client ,45798,4043,Brad Renfro,http://www.imdb.com/title/tt0109446/?ref_=fn_tt_tt_1,94,USA,45000000,2.35,1000
Rob Reiner,207,Noel Gugliemi,11000,93452056,Adventure|Comedy|Drama,Morgan Freeman,The Bucket List ,184795,14868,Sean Hayes,http://www.imdb.com/title/tt0825232/?ref_=fn_tt_tt_1,310,USA,45000000,1.85,22000
Phillip Noyce,47,Polly Walker,11000,83287363,Action|Thriller,Harrison Ford,Patriot Games ,81442,12757,Patrick Bergin,http://www.imdb.com/title/tt0105112/?ref_=fn_tt_tt_1,137,USA,45000000,2.35,0
Robert Luketic,132,Jane Fonda,3000,82931301,Comedy|Romance,Adam Scott,Monster-in-Law ,43358,6292,Elaine Stritch,http://www.imdb.com/title/tt0369735/?ref_=fn_tt_tt_1,228,Germany,60000000,2.35,0
Denis Villeneuve,454,Jake Gyllenhaal,20000,60962878,Crime|Drama|Mystery|Thriller,Hugh Jackman,Prisoners ,383591,37321,Dylan Minnette,http://www.imdb.com/title/tt1392214/?ref_=fn_tt_tt_1,620,USA,46000000,1.85,86000
Antoine Fuqua,109,Snoop Dogg,18000,76261036,Crime|Drama|Thriller,Denzel Washington,Training Day ,305929,22370,Tom Berenger,http://www.imdb.com/title/tt0139654/?ref_=fn_tt_tt_1,633,USA,45000000,2.35,0
Dean Parisot,213,Enrico Colantoni,25000,71423726,Adventure|Comedy|Sci-Fi,Alan Rickman,Galaxy Quest ,123558,26998,Robin Sachs,http://www.imdb.com/title/tt0177789/?ref_=fn_tt_tt_1,609,USA,45000000,2.35,19000
Keenen Ivory Wayans,127,Veronica Cartwright,1000,71277420,Comedy,Natasha Lyonne,Scary Movie 2 ,119590,1645,Andy Richter,http://www.imdb.com/title/tt0257106/?ref_=fn_tt_tt_1,548,USA,45000000,1.85,0
James Bobin,398,Eric Jacobson,970,88625922,Adventure|Comedy|Family|Musical,Bill Cobbs,The Muppets ,75176,1336,Steve Whitmire,http://www.imdb.com/title/tt1204342/?ref_=fn_tt_tt_1,252,USA,45000000,1.85,26000
Stephen Norrington,184,Traci Lords,886,70001065,Action|Horror,Sanaa Lathan,Blade ,191437,3174,Udo Kier,http://www.imdb.com/title/tt0120611/?ref_=fn_tt_tt_1,582,USA,45000000,2.35,0
Thomas Carter,127,Rick Gonzalez,17000,67253092,Drama|Sport,Channing Tatum,Coach Carter ,92702,20299,Robert Ri'chard,http://www.imdb.com/title/tt0393162/?ref_=fn_tt_tt_1,209,USA,30000000,2.35,0
Roger Michell,167,Matt Malloy,521,66790248,Drama|Thriller,Sydney Pollack,Changing Lanes ,57281,758,Bruce Altman,http://www.imdb.com/title/tt0264472/?ref_=fn_tt_tt_1,350,USA,45000000,2.35,0
Luis Llosa,119,Eric Stoltz,2000,65557989,Action|Adventure|Horror|Thriller,Frank Welker,Anaconda ,73539,3717,Kari Wuhrer,http://www.imdb.com/title/tt0118615/?ref_=fn_tt_tt_1,271,USA,45000000,2.35,0
David McNally,155,Tyra Banks,811,60786269,Comedy|Drama|Music|Romance,Adam Garcia,Coyote Ugly ,90539,3106,Izabella Miko,http://www.imdb.com/title/tt0200550/?ref_=fn_tt_tt_1,379,USA,45000000,2.35,0
Richard Curtis,218,Liam Neeson,14000,59365105,Comedy|Drama|Romance,Colin Firth,Love Actually ,318634,28886,Kris Marshall,http://www.imdb.com/title/tt0314331/?ref_=fn_tt_tt_1,1004,UK,45000000,2.35,52000
John Lasseter,117,Madeline Kahn,18000,162792677,Adventure|Animation|Comedy|Family|Fantasy,Kevin Spacey,A Bug's Life ,211226,24205,John Ratzenberger,http://www.imdb.com/title/tt0120623/?ref_=fn_tt_tt_1,317,USA,120000000,2.35,0
Albert Hughes,208,Jason Flemyng,40000,31598308,Horror|Mystery|Thriller,Johnny Depp,From Hell ,124765,41636,Ian Richardson,http://www.imdb.com/title/tt0120681/?ref_=fn_tt_tt_1,541,USA,35000000,2.35,0
Luis Llosa,38,Rod Steiger,13000,57362581,Action|Crime|Drama|Romance|Thriller,Sylvester Stallone,The Specialist ,50148,13331,Emilio Estefan Jr.,http://www.imdb.com/title/tt0111255/?ref_=fn_tt_tt_1,116,Peru,45000000,1.85,0
Ron Shelton,48,Cheech Marin,982,53854588,Comedy|Drama|Romance|Sport,Don Johnson,Tin Cup ,37911,3648,Rene Russo,http://www.imdb.com/title/tt0117918/?ref_=fn_tt_tt_1,73,USA,45000000,2.35,1000
Melville Shavelson,8,Tom Bosley,6000,,Comedy|Family,Lucille Ball,Yours, Mine and Ours ,5888,7493,Tim Matheson,http://www.imdb.com/title/tt0063829/?ref_=fn_tt_tt_1,61,USA,2500000,1.85,0
Jesse Dylan,94,Will Ferrell,14000,52580895,Comedy|Family|Romance|Sport,Josh Hutcherson,Kicking & Screaming ,30255,27351,Robert Duvall,http://www.imdb.com/title/tt0384642/?ref_=fn_tt_tt_1,118,USA,45000000,2.35,743
Garth Jennings,276,Kelly Macdonald,11000,51019112,Adventure|Comedy|Sci-Fi,Zooey Deschanel,The Hitchhiker's Guide to the Galaxy ,155745,14073,Thomas Lennon,http://www.imdb.com/title/tt0371724/?ref_=fn_tt_tt_1,1053,USA,50000000,2.35,10000
Joel Zwick,59,Nick Zano,1000,48114556,Comedy|Family|Fantasy|Romance,Dania Ramirez,Fat Albert ,9380,4604,Alice Greczyn,http://www.imdb.com/title/tt0396592/?ref_=fn_tt_tt_1,91,USA,26000000,2.35,531
Russell Mulcahy,216,Mike Epps,14000,50648679,Action|Horror|Sci-Fi|Thriller,Milla Jovovich,Resident Evil: Extinction ,149549,16225,James Tumminia,http://www.imdb.com/title/tt0432021/?ref_=fn_tt_tt_1,348,France,45000000,2.35,0
Frank Coraci,173,Adam Sandler,35000,46280507,Comedy|Romance,Bella Thorne,Blended ,87165,49743,Joel McHale,http://www.imdb.com/title/tt1086772/?ref_=fn_tt_tt_1,184,USA,40000000,1.85,12000
Wayne Wang,99,Alicia Witt,1000,38360195,Adventure|Comedy|Drama,LL Cool J,Last Holiday ,21215,3757,Timothy Hutton,http://www.imdb.com/title/tt0408985/?ref_=fn_tt_tt_1,116,USA,45000000,2.35,0
Curtis Hanson,42,Glenn Morshower,11000,46815748,Action|Adventure|Crime|Thriller,Meryl Streep,The River Wild ,32544,12161,William Lucking,http://www.imdb.com/title/tt0110997/?ref_=fn_tt_tt_1,69,USA,45000000,2.35,0
Frank Oz,25,Vincent Kartheiser,1000,35617599,Drama|Family|Fantasy,Steve Coogan,The Indian in the Cupboard ,20688,2965,David Keith,http://www.imdb.com/title/tt0113419/?ref_=fn_tt_tt_1,47,USA,45000000,1.85,0
Oliver Stone,339,Shea Whigham,749,47307550,Crime|Drama|Thriller,Demián Bichir,Savages ,104301,1948,Gary Stretch,http://www.imdb.com/title/tt1615065/?ref_=fn_tt_tt_1,269,USA,45000000,2.35,28000
David R. Ellis,127,Valerie Cruz,550,32003620,Action|Crime|Thriller,Richard Burgi,Cellular ,79141,1102,Will Beinbrink,http://www.imdb.com/title/tt0337921/?ref_=fn_tt_tt_1,355,USA,25000000,2.35,2000
Peter Howitt,122,Natalie Imbruglia,427,27972410,Action|Adventure|Comedy,Kevin McNally,Johnny English ,114692,1461,Ben Miller,http://www.imdb.com/title/tt0274166/?ref_=fn_tt_tt_1,285,UK,35000000,1.85,2000
John A. Davis,105,Meryl Streep,12000,28133159,Adventure|Animation|Comedy|Family|Fantasy,Nicolas Cage,The Ant Bully ,30055,33822,Julia Roberts,http://www.imdb.com/title/tt0429589/?ref_=fn_tt_tt_1,70,USA,50000000,1.85,593
David Lynch,144,Jürgen Prochnow,913,27400000,Action|Adventure|Sci-Fi,Virginia Madsen,Dune ,97087,2449,José Ferrer,http://www.imdb.com/title/tt0087182/?ref_=fn_tt_tt_1,569,USA,40000000,2.35,11000
Julie Taymor,156,T.V. Carpio,5000,24343673,Drama|Fantasy|Musical|Romance,Jim Sturgess,Across the Universe ,91860,5405,Robert Clohessy,http://www.imdb.com/title/tt0445922/?ref_=fn_tt_tt_1,524,USA,45000000,2.35,14000
Sam Mendes,323,Kate Winslet,29000,22877808,Drama|Romance,Leonardo DiCaprio,Revolutionary Road ,152591,53895,Joe Komara,http://www.imdb.com/title/tt0959337/?ref_=fn_tt_tt_1,414,USA,35000000,2.35,0
Richard Donner,199,David Zayas,13000,36883539,Action|Crime|Drama|Thriller,Bruce Willis,16 Blocks ,112769,15053,Sasha Roiz,http://www.imdb.com/title/tt0450232/?ref_=fn_tt_tt_1,305,Germany,52000000,2.35,0
Mathieu Kassovitz,164,Charlotte Rampling,14000,22531698,Action|Adventure|Sci-Fi|Thriller,Vin Diesel,Babylon A.D. ,81523,15990,David Belle,http://www.imdb.com/title/tt0364970/?ref_=fn_tt_tt_1,214,France,70000000,2.35,0
