director_name,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,country,content_rating,title_year
Pierre Morel,Action|Crime|Drama|Mystery|Thriller,Ray Winstone,The Gunman ,28429,1686,USA,R,2015
Geoffrey Sax,Action|Adventure|Family|Thriller,Alex Pettyfer,Alex Rider: Operation Stormbreaker ,20201,15638,Germany,PG,2006
D.J. Caruso,Drama|Mystery|Thriller,Sarah Roemer,Disturbia ,186982,2288,USA,PG-13,2007
Iain Softley,Comedy|Crime|Drama|Thriller,Angelina Jolie Pitt,Hackers ,54650,13821,USA,PG-13,1995
Richard Shepard,Adventure|Comedy|Drama|Romance|Thriller|War,James Brolin,The Hunting Party ,22010,504,USA,R,2007
Joel Coen,Comedy|Fantasy,Jennifer Jason Leigh,The Hudsucker Proxy ,65474,2612,UK,PG,1994
Peter Ho-Sun Chan,Action|Drama|History|Romance|War,Jet Li,The Warlords ,22897,6267,Hong Kong,R,2007
Sergey Bodrov,Drama|History|War,Jay Hernandez,Nomad: The Warrior ,3322,2115,France,R,2005
Joon-ho Bong,Action|Drama|Sci-Fi|Thriller,Chris Evans,Snowpiercer ,181472,12286,South Korea,R,2013
Bibo Bergeron,Adventure|Animation|Comedy|Fantasy|Music|Romance,Adam Goldberg,A Monster in Paris ,15790,3243,France,PG,2011
Jeff Nathanson,Comedy,Matthew Broderick,The Last Shot ,3789,5240,USA,R,2004
Alex Proyas,Action|Drama|Fantasy,Michael Wincott,The Crow ,136580,2630,USA,R,1994
S.S. Rajamouli,Action|Adventure|Drama|Fantasy|War,Tamannaah Bhatia,Baahubali: The Beginning ,62756,554,India,,2015
Robert Schwentke,Drama|Fantasy|Romance|Sci-Fi,Arliss Howard,The Time Traveler's Wife ,114925,568,USA,PG-13,2009
Michael Lehmann,Comedy|Romance,Colin Ferguson,Because I Said So ,32412,1930,USA,PG-13,2007
Rob Cohen,Action|Crime|Thriller,Paul Walker,The Fast and the Furious ,272227,45327,USA,PG-13,2001
Tim Burton,Animation|Comedy|Family|Horror|Sci-Fi,Martin Landau,Frankenweenie ,73886,4774,USA,PG,2012
Joss Whedon,Action|Adventure|Sci-Fi|Thriller,Adam Baldwin,Serenity ,242599,2853,USA,PG-13,2005
Charles S. Dutton,Biography|Drama|Romance|Sport,Omar Epps,Against the Ropes ,5917,2972,USA,PG-13,2004
Richard Lester,Action|Comedy|Sci-Fi,Margot Kidder,Superman III ,49934,2329,UK,PG,1983
Peter Segal,Comedy|Sport,Robert De Niro,Grudge Match ,46480,36009,USA,PG-13,2013
John Woo,Action|Adventure|Drama|History|War,Takeshi Kaneshiro,Red Cliff ,36894,2172,China,R,2008
Andy Tennant,Comedy|Romance,Ethan Embry,Sweet Home Alabama ,83786,4251,USA,PG-13,2002
Robert Luketic,Comedy|Romance,Gerard Butler,The Ugly Truth ,163665,22436,USA,R,2009
Jonathan Lynn,Comedy,Austin Pendleton,Sgt. Bilko ,17810,2176,USA,PG,1996
Robert Rodriguez,Action|Adventure|Comedy|Family|Sci-Fi,Steve Buscemi,Spy Kids 2: Island of Lost Dreams ,44885,18291,USA,PG,2002
David Carson,Action|Adventure|Mystery|Sci-Fi|Thriller,LeVar Burton,Star Trek: Generations ,60504,6427,USA,PG,1994
Kar-Wai Wong,Action|Biography|Drama,Tony Chiu Wai Leung,The Grandmaster ,24557,943,Hong Kong,PG-13,2013
Francis Lawrence,Drama|Romance,Robert Pattinson,Water for Elephants ,95367,36062,USA,PG-13,2011
,Comedy|Family|Sci-Fi,Joseph Gordon-Levitt,3rd Rock from the Sun             ,38383,25160,USA,TV-PG,
Yuefeng Song,Adventure|Animation|Family|Fantasy,Blythe Auffarth,Dragon Nest: Warriors' Dawn ,2169,196,China,,2014
Norman Jewison,Biography|Drama|Sport,Denzel Washington,The Hurricane ,76016,20516,USA,R,1999
Michael Apted,Crime|Drama|Thriller,Bill Cobbs,Enough ,30667,3770,USA,PG-13,2002
David Mirkin,Comedy|Crime|Romance,Sarah Silverman,Heartbreakers ,44168,2912,USA,PG-13,2001
Andy Fickman,Action|Comedy|Crime,D.B. Woodside,Paul Blart: Mall Cop 2 ,23473,3552,USA,PG,2015
Luis Mandoki,Drama|Romance,Sonia Braga,Angel Eyes ,19686,1440,USA,R,2001
John Pasquin,Comedy|Drama,Jim Belushi,Joe Somebody ,8433,2765,USA,PG,2001
Roman Polanski,Mystery|Thriller,Johnny Depp,The Ninth Gate ,137722,42344,Spain,R,1999
Michael Apted,Crime|Drama|Mystery|Thriller,J.K. Simmons,Extreme Measures ,14066,24547,USA,R,1996
Stephen Herek,Drama|Music,Beth Grant,Rock Star ,34592,1265,USA,R,2001
