director_name,duration,director_facebook_likes,actor_2_name,gross,genres,num_voted_users,plot_keywords,movie_imdb_link,num_user_for_reviews,budget,title_year,imdb_score,aspect_ratio
Wes Anderson,87,0,Meryl Streep,20999103,Adventure|Animation|Comedy|Crime|Family,139114,cider|farm|farmer|fox|tale,http://www.imdb.com/title/tt0432283/?ref_=fn_tt_tt_1,245,40000000,2009,7.8,1.85
Stephen Herek,103,65,Stockard Channing,14448589,Comedy|Romance,19364,football|homeless man|interview|psychic|reporter,http://www.imdb.com/title/tt0282687/?ref_=fn_tt_tt_1,128,40000000,2002,5.8,2.35
John Carpenter,99,0,Michael McKean,14358033,Comedy|Romance|Sci-Fi|Thriller,17365,accident|bar|chase|cia|laboratory,http://www.imdb.com/title/tt0104850/?ref_=fn_tt_tt_1,66,40000000,1992,5.9,2.35
Jean-Pierre Jeunet,122,0,Jamel Debbouze,33201661,Comedy|Romance,534262,cheerfulness|female protagonist|garden gnome|magical realism|waitress,http://www.imdb.com/title/tt0211915/?ref_=fn_tt_tt_1,1314,77000000,2001,8.4,2.35
Dennie Gordon,91,29,Bob Saget,14018364,Comedy|Crime|Family|Romance,17722,dog|new york city|scholarship|senator|twin,http://www.imdb.com/title/tt0363282/?ref_=fn_tt_tt_1,111,30000000,2004,4.8,1.85
Charles Shyer,103,14,Nia Long,13395939,Comedy|Drama|Romance,43442,best friend|commitment|friend|limousine driver|one night stand,http://www.imdb.com/title/tt0375173/?ref_=fn_tt_tt_1,146,60000000,2004,6.2,1.85
Ken Kwapis,107,42,Tim Blake Nelson,20113965,Biography|Drama|Romance,15231,arctic circle|reporter|small town|volunteer|whale,http://www.imdb.com/title/tt1430615/?ref_=fn_tt_tt_1,66,40000000,2012,6.5,2.35
Ulu Grosbard,106,22,Treat Williams,13376506,Drama,10413,basketball|boy|italian|kidnapping a child|reunion,http://www.imdb.com/title/tt0120646/?ref_=fn_tt_tt_1,111,40000000,1999,6.3,1.85
William Malone,101,37,Jeffrey Combs,13208023,Crime|Horror|Thriller,17309,bondage gear|bound and gagged|hung by one's wrists|tied to a chair|tied to a table,http://www.imdb.com/title/tt0295254/?ref_=fn_tt_tt_1,388,42000000,2002,3.3,2.35
Paul Weitz,109,80,Salma Hayek,13838130,Action|Adventure|Fantasy|Thriller,35990,antidote|based on young adult novel|flyer|spider|vampire,http://www.imdb.com/title/tt0450405/?ref_=fn_tt_tt_1,157,40000000,2009,5.9,2.35
Paul McGuigan,110,118,Spencer Wilding,5773519,Drama|Horror|Sci-Fi|Thriller,28618,assistant|experiment|frankenstein|medical student|scientist,http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1,91,40000000,2015,6.0,2.35
Danny DeVito,89,0,Amber Valletta,9652000,Comedy,46205,christmas|duplex|television|tenant|writer,http://www.imdb.com/title/tt0266489/?ref_=fn_tt_tt_1,147,40000000,2003,5.8,1.85
Malcolm D. Lee,100,92,Sean Hayes,12081447,Comedy|Drama|Music,7794,band|masturbation|reunion|singer|tribute,http://www.imdb.com/title/tt1111948/?ref_=fn_tt_tt_1,25,,2008,6.5,2.35
Jerry Jameson,119,5,Jason Robards,7000000,Action|Adventure|Drama|Thriller,2933,military|mineral|ocean|ship|titanic,http://www.imdb.com/title/tt0081400/?ref_=fn_tt_tt_1,70,36000000,1980,4.7,2.35
Mic Rodgers,83,7,Daniel von Bargen,10431220,Action|Sci-Fi,24216,combat|computer|general|military|reporter,http://www.imdb.com/title/tt0176269/?ref_=fn_tt_tt_1,162,24000000,1999,4.1,1.85
Christian Alvart,108,22,Dennis Quaid,10326062,Action|Horror|Mystery|Sci-Fi|Thriller,121432,future|mission|space|spaceship|survival,http://www.imdb.com/title/tt1188729/?ref_=fn_tt_tt_1,310,33000000,2009,6.8,2.35
Gary Fleder,102,39,Mekhi Phifer,6114237,Drama|Mystery|Sci-Fi|Thriller,19986,alien|android|bomb|future|weapon,http://www.imdb.com/title/tt0160399/?ref_=fn_tt_tt_1,207,40000000,2001,6.2,1.85
Christian Duguay,93,18,Bridgette Wilson-Sampras,4835968,Action|Adventure|Thriller,4821,commercial|extreme sports|mountain|serbian|terrorist,http://www.imdb.com/title/tt0283160/?ref_=fn_tt_tt_1,82,40000000,2002,4.5,2.35
Jean-Marie Poiré,84,8,Matt Ross,4777007,Comedy|Fantasy|Sci-Fi,15130,alternate history|alternate timeline|flatulence|future time travel|time travel comedy,http://www.imdb.com/title/tt0189192/?ref_=fn_tt_tt_1,98,40000000,2001,5.8,2.35
Danny Boyle,107,0,Benedict Wong,3675072,Adventure|Sci-Fi|Thriller,190132,astronaut|earth|future|icarus|sun,http://www.imdb.com/title/tt0448134/?ref_=fn_tt_tt_1,801,26000000,2007,7.3,2.35
Brian Robbins,91,48,Lou Saliba,18438149,Comedy|Drama,30842,box office flop|buddhist|liar|literary agent|magical tree,http://www.imdb.com/title/tt0763831/?ref_=fn_tt_tt_1,93,40000000,2012,5.9,2.35
Marc F. Adler,94,0,Anne Bancroft,511920,Adventure|Animation|Comedy|Fantasy|Romance,2458,box office flop|computer animation|one word title|surrealism|villainess,http://www.imdb.com/title/tt0361500/?ref_=fn_tt_tt_1,26,40000000,2008,4.4,1.85
Pierre Morel,115,180,Mark Rylance,10640645,Action|Crime|Drama|Mystery|Thriller,28429,assassination|blood vomiting|death|hit squad|mercenary,http://www.imdb.com/title/tt2515034/?ref_=fn_tt_tt_1,110,40000000,2015,5.8,2.35
Geoffrey Sax,93,13,Sophie Okonedo,652526,Action|Adventure|Family|Thriller,20201,14 year old|british|gadget|spy|training,http://www.imdb.com/title/tt0457495/?ref_=fn_tt_tt_1,187,40000000,2006,5.1,2.35
D.J. Caruso,105,154,Aaron Yoo,80050171,Drama|Mystery|Thriller,186982,binoculars|electronic tag|house arrest|neighbor|watching someone,http://www.imdb.com/title/tt0486822/?ref_=fn_tt_tt_1,491,20000000,2007,6.9,1.85
Iain Softley,107,34,Fisher Stevens,7564000,Comedy|Crime|Drama|Thriller,54650,computer|computer virus|cyberpunk|fight the system|sexual fantasy,http://www.imdb.com/title/tt0113243/?ref_=fn_tt_tt_1,223,20000000,1995,6.2,2.35
Richard Shepard,101,47,Zan Marolt,876671,Adventure|Comedy|Drama|Romance|Thriller|War,22010,bosnia|cia|fox|hunt|war criminal,http://www.imdb.com/title/tt0455782/?ref_=fn_tt_tt_1,90,25000000,2007,6.9,2.35
Joel Coen,111,0,Bill Cobbs,2869369,Comedy|Fantasy,65474,art deco|board of directors|industry|mail|stock,http://www.imdb.com/title/tt0110074/?ref_=fn_tt_tt_1,211,30000000,1994,7.3,1.85
Peter Ho-Sun Chan,113,31,Takeshi Kaneshiro,128978,Action|Drama|History|Romance|War,22897,assassination|blood brother|dynasty|general|stabbing a woman,http://www.imdb.com/title/tt0913968/?ref_=fn_tt_tt_1,61,40000000,2007,7.1,2.35
Sergey Bodrov,112,44,Kuno Becker,77231,Drama|History|War,3322,1800s|kazakhstan|nomad,http://www.imdb.com/title/tt0374089/?ref_=fn_tt_tt_1,32,25000000,2005,6.0,2.35
Joon-ho Bong,126,584,Ewen Bremner,4563029,Action|Drama|Sci-Fi|Thriller,181472,closed ecological system|perpetual winter|population control|revolt|train,http://www.imdb.com/title/tt1706620/?ref_=fn_tt_tt_1,514,39200000,2013,7.0,1.85
Bibo Bergeron,90,10,Bob Balaban,,Adventure|Animation|Comedy|Fantasy|Music|Romance,15790,belle epoque|city name in title|monster|paris france,http://www.imdb.com/title/tt0961097/?ref_=fn_tt_tt_1,40,25000000,2011,6.8,1.85
Jeff Nathanson,93,23,Glenn Morshower,463730,Comedy,3789,fbi|movie producer|sting operation|undercover|urination,http://www.imdb.com/title/tt0357054/?ref_=fn_tt_tt_1,39,,2004,5.7,1.85
Alex Proyas,98,295,Bai Ling,50693162,Action|Drama|Fantasy,136580,back from the dead|crime boss|crow|gothic|vigilante,http://www.imdb.com/title/tt0109506/?ref_=fn_tt_tt_1,545,23000000,1994,7.6,1.85
S.S. Rajamouli,159,50,Anushka Shetty,6498000,Action|Adventure|Drama|Fantasy|War,62756,ancient india|dual role|good versus evil|hindu|kingdom,http://www.imdb.com/title/tt2631186/?ref_=fn_tt_tt_1,410,18026148,2015,8.4,1.85
Robert Schwentke,107,124,Brooklynn Proulx,63411478,Drama|Fantasy|Romance|Sci-Fi,114925,jumping on a bed|kissing while having sex|librarian|male objectification|pregnant woman in bathtub,http://www.imdb.com/title/tt0452694/?ref_=fn_tt_tt_1,234,39000000,2009,7.1,2.35
Michael Lehmann,102,36,Stephen Collins,42640890,Comedy|Romance,32412,meddling|psychologist|sobbing female|subtitled scene|you can say that again joke,http://www.imdb.com/title/tt0490084/?ref_=fn_tt_tt_1,184,,2007,5.6,1.85
Rob Cohen,106,357,Vin Diesel,144512310,Action|Crime|Thriller,272227,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,988,38000000,2001,6.7,2.35
Tim Burton,87,13000,Catherine O'Hara,35287788,Animation|Comedy|Family|Horror|Sci-Fi,73886,dog|life|remake by original director|science|stop motion animation,http://www.imdb.com/title/tt1142977/?ref_=fn_tt_tt_1,165,39000000,2012,7.0,1.85
Joss Whedon,119,0,Sean Maher,25335935,Action|Adventure|Sci-Fi|Thriller,242599,alliance|cannibalism|future|operative|planet,http://www.imdb.com/title/tt0379786/?ref_=fn_tt_tt_1,1594,40000000,2005,8.0,2.35
Charles S. Dutton,110,534,Charles S. Dutton,5881504,Biography|Drama|Romance|Sport,5917,boxer|boxing|boxing arena|boxing manager|directed by co star,http://www.imdb.com/title/tt0312329/?ref_=fn_tt_tt_1,50,39000000,2004,5.3,2.35
Richard Lester,125,44,Robert Vaughn,60000000,Action|Comedy|Sci-Fi,49934,computer|high school|kryptonite|smallville|villain,http://www.imdb.com/title/tt0086393/?ref_=fn_tt_tt_1,224,39000000,1983,4.9,2.35
Peter Segal,113,88,Sylvester Stallone,29802761,Comedy|Sport,46480,broke|promoter|retirement|trainer|training,http://www.imdb.com/title/tt1661382/?ref_=fn_tt_tt_1,115,40000000,2013,6.4,1.85
John Woo,150,610,Tony Chiu Wai Leung,626809,Action|Adventure|Drama|History|War,36894,alliance|battle|china|chinese|strategy,http://www.imdb.com/title/tt0425637/?ref_=fn_tt_tt_1,105,553632000,2008,7.4,2.35
Andy Tennant,108,72,Mary Lynn Rajskub,127214072,Comedy|Romance,83786,alabama|divorce|divorce papers|husband wife relationship|new york city,http://www.imdb.com/title/tt0256415/?ref_=fn_tt_tt_1,392,38000000,2002,6.1,2.35
Robert Luketic,96,126,John Michael Higgins,88915214,Comedy|Romance,163665,call in|chick flick|date|hot air balloon|show producer,http://www.imdb.com/title/tt1142988/?ref_=fn_tt_tt_1,169,38000000,2009,6.5,2.35
Jonathan Lynn,93,36,Phil Hartman,30400000,Comedy,17810,greenland|military|revenge|soldier|u.s. soldier,http://www.imdb.com/title/tt0117608/?ref_=fn_tt_tt_1,73,39000000,1996,5.7,2.35
Robert Rodriguez,100,0,Alexa PenaVega,85570368,Action|Adventure|Comedy|Family|Sci-Fi,44885,island|mad scientist|scientist|sequel|spy,http://www.imdb.com/title/tt0287717/?ref_=fn_tt_tt_1,107,38000000,2002,5.1,1.85
David Carson,118,18,Alan Ruck,75668868,Action|Adventure|Mystery|Sci-Fi|Thriller,60504,23rd century|bare chested male bondage|enterprise the starship|rescue|sacrifice,http://www.imdb.com/title/tt0111280/?ref_=fn_tt_tt_1,249,35000000,1994,6.6,2.35
Kar-Wai Wong,122,0,Hye-kyo Song,6594136,Action|Biography|Drama,24557,challenge|china|hong kong|martial arts|martial arts master,http://www.imdb.com/title/tt1462900/?ref_=fn_tt_tt_1,111,38600000,2013,6.5,2.35
Francis Lawrence,120,508,Christoph Waltz,58700247,Drama|Romance,95367,circus|circus vargas|elephant|fear|train,http://www.imdb.com/title/tt1067583/?ref_=fn_tt_tt_1,260,38000000,2011,6.9,2.35
,60,,Wayne Knight,,Comedy|Family|Sci-Fi,38383,alien|digit in title|human form|number 3 in title|talking on a rooftop,http://www.imdb.com/title/tt0115082/?ref_=fn_tt_tt_1,86,,,7.8,1.33
Yuefeng Song,88,0,Bianca Collins,,Adventure|Animation|Family|Fantasy,2169,,http://www.imdb.com/title/tt2911342/?ref_=fn_tt_tt_1,18,40000000,2014,6.4,
Norman Jewison,146,278,Vincent Pastore,50668906,Biography|Drama|Sport,76016,african american|book|boxer|boxing|murder,http://www.imdb.com/title/tt0174856/?ref_=fn_tt_tt_1,265,38000000,1999,7.6,1.85
Michael Apted,115,150,Jeff Kober,39177215,Crime|Drama|Thriller,30667,abusive husband|escape|intimate partner homicide|marriage|woman wearing only a man's shirt,http://www.imdb.com/title/tt0278435/?ref_=fn_tt_tt_1,234,38000000,2002,5.6,2.35
David Mirkin,123,7,Anne Bancroft,40334024,Comedy|Crime|Romance,44168,bank|infidelity|millionaire|money|scam,http://www.imdb.com/title/tt0125022/?ref_=fn_tt_tt_1,216,35000000,2001,6.2,2.35
Andy Fickman,94,99,Daniella Alonso,71038190,Action|Comedy|Crime,23473,character name in title|no opening credits|sequel|wilhelm scream,http://www.imdb.com/title/tt3450650/?ref_=fn_tt_tt_1,123,30000000,2015,4.4,1.85
Luis Mandoki,102,43,Shirley Knight,24044532,Drama|Romance,19686,apartment|fate|gun|love|mysterious man,http://www.imdb.com/title/tt0225071/?ref_=fn_tt_tt_1,180,38000000,2001,5.6,1.85
John Pasquin,98,11,Ken Marino,22770864,Comedy|Drama,8433,bully|co worker|divorce|fight|karate,http://www.imdb.com/title/tt0279889/?ref_=fn_tt_tt_1,85,38000000,2001,5.5,1.85
Roman Polanski,133,2000,Frank Langella,18653746,Mystery|Thriller,137722,bare butt|gnosticism|lucifer|rare book|sex,http://www.imdb.com/title/tt0142688/?ref_=fn_tt_tt_1,638,38000000,1999,6.7,2.35
Michael Apted,118,150,Paul Guilfoyle,17305211,Crime|Drama|Mystery|Thriller,14066,cartoon on tv|doctor|emergency room|hospital|nudity,http://www.imdb.com/title/tt0116259/?ref_=fn_tt_tt_1,75,38000000,1996,6.1,2.35
Stephen Herek,105,65,Dagmara Dominczyk,16991902,Drama|Music,34592,cover band|fired from a job|heavy metal|rock star|tribute band,http://www.imdb.com/title/tt0202470/?ref_=fn_tt_tt_1,191,57000000,2001,6.2,2.35
Lee Daniels,109,304,Gabourey Sidibe,47536959,Drama,86955,abuse|african american lesbian|lesbian|lesbian couple|school,http://www.imdb.com/title/tt0929632/?ref_=fn_tt_tt_1,275,10000000,2009,7.3,1.85
Ridley Scott,129,0,Jason Marsden,10300000,Adventure|Drama,17859,acrophobia|jamaica|male bonding|prostitute|tragedy,http://www.imdb.com/title/tt0118158/?ref_=fn_tt_tt_1,89,38000000,1996,6.6,2.35
John Carpenter,109,0,Richard Masur,13782838,Horror|Mystery|Sci-Fi,258078,alien creature|alien life form|antarctica|isolation|paranoia,http://www.imdb.com/title/tt0084787/?ref_=fn_tt_tt_1,911,15000000,1982,8.2,2.35
David Twohy,127,123,Nolan Gerard Funk,41997790,Action|Sci-Fi|Thriller,125305,alien|left for dead|mercenary|survival|vomiting,http://www.imdb.com/title/tt1411250/?ref_=fn_tt_tt_1,343,38000000,2013,6.4,2.35
Jeb Stuart,118,11,Claudia Stedelin,6482195,Crime|Mystery|Thriller,9740,deputy|fbi agent|knife held to throat|serial killer|sheriff,http://www.imdb.com/title/tt0119210/?ref_=fn_tt_tt_1,81,37000000,1997,6.4,2.35
Steve Miner,110,49,Usher Raymond,623374,Action|Adventure|Drama|Thriller|Western,4757,army|mexican|orphan|texas|texas ranger,http://www.imdb.com/title/tt0193560/?ref_=fn_tt_tt_1,67,38000000,2001,5.2,2.35
Gil Kenan,90,27,Toby Jones,7871693,Adventure|Family|Fantasy|Sci-Fi,52908,box|food|mayor|pipeworks|scientist,http://www.imdb.com/title/tt0970411/?ref_=fn_tt_tt_1,102,55000000,2008,6.5,2.35
Paul Thomas Anderson,144,0,Jeffrey W. Jenkins,16377274,Drama,105144,drifter|past life regression|psychological testing|right hand man|scientology,http://www.imdb.com/title/tt1560747/?ref_=fn_tt_tt_1,405,32000000,2012,7.1,1.85
David Leland,97,2,Ryan Cartwright,,Adventure|Comedy|History|Romance,6691,breasts|nude nun|plague|russian nobleman|two word title,http://www.imdb.com/title/tt0437954/?ref_=fn_tt_tt_1,28,38000000,2007,4.8,1.85
Gary Fleder,130,39,Nicole Beharie,9589875,Biography|Drama|Sport,16673,african american|coach|football movie|nonlinear timeline|syracuse university,http://www.imdb.com/title/tt0469903/?ref_=fn_tt_tt_1,45,40000000,2008,7.3,2.35
J Blakeson,112,5,Maggie Siff,34912982,Action|Adventure|Sci-Fi|Thriller,55617,alien|attack|based on novel|based on young adult novel|fear,http://www.imdb.com/title/tt2304933/?ref_=fn_tt_tt_1,266,38000000,2016,5.2,2.35
Ryan Coogler,133,0,Phylicia Rashad,109712885,Drama|Sport,146708,boxing|boxing match|fight|montage|philadelphia,http://www.imdb.com/title/tt3076658/?ref_=fn_tt_tt_1,362,35000000,2015,7.7,2.35
Ben Affleck,150,0,Jon Hamm,92173235,Crime|Drama|Thriller,280228,bank manager|bank robbery|criminal gang|heist|prison,http://www.imdb.com/title/tt0840361/?ref_=fn_tt_tt_1,420,37000000,2010,7.6,2.35
Kirk Jones,110,52,Dennis Quaid,41102171,Comedy|Drama|Romance,57266,baby|expecting twins|hawaiian shirt|photographer|pregnancy,http://www.imdb.com/title/tt1586265/?ref_=fn_tt_tt_1,89,40000000,2012,5.7,2.35
Ethan Coen,96,1000,Brad Pitt,60338891,Comedy|Drama,248468,cia|divorce|embassy|gym|memoir,http://www.imdb.com/title/tt0887883/?ref_=fn_tt_tt_1,545,37000000,2008,7.0,1.85
Jennifer Flackett,96,3,Anthony Simcoe,48006503,Adventure|Comedy|Family|Fantasy,28109,author|girl|island|reading|scientist,http://www.imdb.com/title/tt0410377/?ref_=fn_tt_tt_1,110,37000000,2008,6.0,2.35
Ron Howard,123,2000,Olivia Wilde,26903709,Action|Biography|Drama|Sport,312629,1970s|female rear nudity|formula 1|rivalry|sex with a nurse,http://www.imdb.com/title/tt1979320/?ref_=fn_tt_tt_1,475,38000000,2013,8.1,2.35
Paul Thomas Anderson,188,0,Neil Flynn,22450975,Drama,241030,abusive father|coincidence|fictional game show|fictional quiz show|multiple storyline,http://www.imdb.com/title/tt0175880/?ref_=fn_tt_tt_1,1437,37000000,1999,8.0,2.35
Kevin Smith,107,0,Tracy Morgan,44867349,Action|Comedy|Crime,75347,baseball card|detective|partner|thief|wedding,http://www.imdb.com/title/tt1385867/?ref_=fn_tt_tt_1,176,37000000,2010,5.6,2.35
Christian Ditter,110,11,Damon Wayans Jr.,46813366,Comedy|Romance,39440,motor scooter|new york city|newborn baby|scooter|single,http://www.imdb.com/title/tt1292566/?ref_=fn_tt_tt_1,83,38000000,2016,6.1,2.35
Charles Martin Smith,113,188,Michael Roark,72279690,Drama|Family,17948,boy|dolphin|prosthetics|tail|trap,http://www.imdb.com/title/tt1564349/?ref_=fn_tt_tt_1,86,37000000,2011,6.9,1.85
Catherine Hardwicke,122,308,Taylor Lautner,191449475,Drama|Fantasy|Romance,348007,blood|high school|love|school|vampire,http://www.imdb.com/title/tt1099212/?ref_=fn_tt_tt_1,1535,37000000,2008,5.2,2.35
Nick Cassavetes,116,415,Laura Harring,71026631,Crime|Drama|Thriller,98899,health care|heart transplant|hospital|hostage|insurance,http://www.imdb.com/title/tt0251160/?ref_=fn_tt_tt_1,394,36000000,2002,7.0,1.85
Les Mayfield,93,10,Dave Chappelle,68208190,Action|Comedy|Crime|Thriller,60572,detective|diamond|jewel|police|thief,http://www.imdb.com/title/tt0181316/?ref_=fn_tt_tt_1,144,65000000,1999,6.3,1.85
Rawson Marshall Thurber,118,43,Molly C. Quinn,150368971,Comedy|Crime,316671,fake family|male frontal nudity|marijuana|mexico|stripper,http://www.imdb.com/title/tt1723121/?ref_=fn_tt_tt_1,301,37000000,2013,7.0,2.35
Fedor Bondarchuk,115,35,Fedor Bondarchuk,,Action|Adventure|Sci-Fi,4387,22nd century|first part|friend|guard|space opera,http://www.imdb.com/title/tt0972558/?ref_=fn_tt_tt_1,21,29500000,2009,5.3,
Jonathan Mostow,93,84,M.C. Gainey,50129186,Action|Crime|Drama|Mystery|Thriller,38399,car breakdown|diner|jeep|paranoia|violence,http://www.imdb.com/title/tt0118771/?ref_=fn_tt_tt_1,218,36000000,1997,6.9,2.35
Irvin Kershner,121,883,Klaus Maria Brandauer,55500000,Action|Adventure|Thriller,48636,british|character says now that you're on the case i hope we're going to have some gratuitous sex and violence|cruise missile|missile|nuclear warhead,http://www.imdb.com/title/tt0086006/?ref_=fn_tt_tt_1,214,36000000,1983,6.2,2.35
Steve Pink,101,38,Collette Wolfe,50213619,Comedy|Sci-Fi,139184,cheating wife|drug reference|maintenance man|male vomiting|promiscuous woman,http://www.imdb.com/title/tt1231587/?ref_=fn_tt_tt_1,243,36000000,2010,6.4,1.85
Charles Martin Smith,107,188,Taylor Blackwell,42019483,Drama|Family,6069,dolphin|latex gloves|medical scrubs|purple gloves|turtle,http://www.imdb.com/title/tt2978462/?ref_=fn_tt_tt_1,33,36000000,2014,6.4,1.85
John Frankenheimer,124,287,James Frain,23360779,Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller,31113,casino|christmas|christmas season|girlfriend|release from prison,http://www.imdb.com/title/tt0184858/?ref_=fn_tt_tt_1,212,34000000,2000,5.7,2.35
F. Gary Gray,109,473,Jeff Kober,26183197,Action|Crime|Drama|Thriller,38348,bust|dea|drug cartel|justice|tragic hero,http://www.imdb.com/title/tt0266465/?ref_=fn_tt_tt_1,135,36000000,2003,6.1,2.35
Cameron Crowe,105,488,Bradley Cooper,20991497,Comedy|Drama|Romance,39778,box office flop|critically bashed|hawaii|one word title|written by director,http://www.imdb.com/title/tt1243974/?ref_=fn_tt_tt_1,172,37000000,2015,5.4,1.85
Rob Reiner,130,0,Virginia Madsen,13052741,Drama|History,8531,activist|assassin|civil rights|trial|widow,http://www.imdb.com/title/tt0116410/?ref_=fn_tt_tt_1,57,36000000,1996,6.7,1.85
Scott Hicks,127,96,Reeve Carney,14378353,Drama|Mystery|Romance|Thriller,12375,fisherman|japanese|love|trial|washington state,http://www.imdb.com/title/tt0120834/?ref_=fn_tt_tt_1,194,36000000,1999,6.8,2.35
Mikael Håfström,114,101,Colin O'Donoghue,33037754,Drama|Horror|Mystery|Thriller,75864,demon|exorcism|exorcist|faith|seminary,http://www.imdb.com/title/tt1161864/?ref_=fn_tt_tt_1,197,37000000,2011,6.0,2.35
Andrew Niccol,106,487,Xander Berkeley,12339633,Drama|Sci-Fi|Thriller,220591,accident|future|genetics|mission|police,http://www.imdb.com/title/tt0119177/?ref_=fn_tt_tt_1,641,36000000,1997,7.8,2.35
Andrew Bergman,95,31,Nathan Lane,2954405,Biography|Comedy|Romance,1977,autistic son|cancer|female protagonist|new york city|son,http://www.imdb.com/title/tt0141399/?ref_=fn_tt_tt_1,64,36000000,2000,5.3,1.85
Kirk De Micco,81,16,Kenan Thompson,30105968,Adventure|Animation|Comedy|Family|Sci-Fi,8860,astronaut|attacked by a plant|planet|senator|space travel,http://www.imdb.com/title/tt0482603/?ref_=fn_tt_tt_1,45,37000000,2008,4.5,2.35
Chris Rock,95,0,Dylan Baker,37788228,Comedy,15046,alderman|party|president|presidential candidate|washington d.c.,http://www.imdb.com/title/tt0325537/?ref_=fn_tt_tt_1,80,35200000,2003,5.4,1.85
Todd Phillips,108,480,Rob Riggle,277313371,Comedy,583341,drunkenness|female nudity|hangover|hedonism|morning after,http://www.imdb.com/title/tt1119646/?ref_=fn_tt_tt_1,626,35000000,2009,7.8,2.35
Wilson Yip,105,25,Lynn Hung,2126511,Action|Biography|Drama|History,21912,1950s|cancer|hong kong|martial arts school|wing chun,http://www.imdb.com/title/tt2888046/?ref_=fn_tt_tt_1,45,36000000,2015,7.2,2.35
Jay Roach,95,116,Verne Troyer,205399422,Action|Adventure|Comedy|Crime,181225,penis joke|phallic image|sexy agent|spy|volcano hideout,http://www.imdb.com/title/tt0145660/?ref_=fn_tt_tt_1,784,33000000,1999,6.6,2.35
Tim Burton,126,13000,Jack Palance,251188924,Action|Adventure,269033,city|dc comics|gotham|pantyhose|police,http://www.imdb.com/title/tt0096895/?ref_=fn_tt_tt_1,817,35000000,1989,7.6,1.85
Roland Joffé,102,596,Dougray Scott,1068392,Biography|Drama|War,3865,dying|forgiveness|saint|spanish civil war|starts with narration,http://www.imdb.com/title/tt1316616/?ref_=fn_tt_tt_1,53,36000000,2011,5.9,2.35
Richard Donner,121,503,Nick Chinlund,144731527,Action|Crime|Thriller,128010,gangster|gun|internal affairs|police|police officer,http://www.imdb.com/title/tt0104714/?ref_=fn_tt_tt_1,136,35000000,1992,6.7,2.35
John Lee Hancock,129,102,Quinton Aaron,255950375,Biography|Drama|Sport,223127,american football|based on true story|football star|high school football|left tackle,http://www.imdb.com/title/tt0878804/?ref_=fn_tt_tt_1,420,29000000,2009,7.7,1.85
,43,,Aimee Garcia,,Action|Comedy|Crime,2185,,http://www.imdb.com/title/tt4085584/?ref_=fn_tt_tt_1,30,,,5.8,16.0
Robert Rodriguez,88,0,Cheech Marin,112692062,Action|Adventure|Comedy|Family|Sci-Fi,84325,brother sister relationship|espionage|rescue|secret agent|spy,http://www.imdb.com/title/tt0227538/?ref_=fn_tt_tt_1,205,35000000,2001,5.4,1.85
Seth Gordon,106,91,Lindsay Sloane,117528646,Comedy|Crime,353442,black comedy|boss|chemical company|dental assistant|murder,http://www.imdb.com/title/tt1499658/?ref_=fn_tt_tt_1,387,35000000,2011,6.9,2.35
Ethan Coen,110,1000,Jeff Bridges,171031347,Adventure|Drama|Western,240962,arkansas|murder|sheriff|texas ranger|u.s. marshal,http://www.imdb.com/title/tt1403865/?ref_=fn_tt_tt_1,724,38000000,2010,7.7,2.35
David Frankel,109,64,Anne Hathaway,124732962,Comedy|Drama|Romance,286178,fashion|fashion industry|magazine|new york city|publishing,http://www.imdb.com/title/tt0458352/?ref_=fn_tt_tt_1,631,35000000,2006,6.8,2.35
Robert Wise,143,338,Nichelle Nichols,82300000,Adventure|Mystery|Sci-Fi,63330,alien|space|space station|spacecraft|warp speed,http://www.imdb.com/title/tt0079945/?ref_=fn_tt_tt_1,405,35000000,1979,6.4,2.35
Seth Gordon,120,91,Eric Stonestreet,134455175,Comedy|Crime,97664,bounty hunter|credit card|cross country|identity|police,http://www.imdb.com/title/tt2024432/?ref_=fn_tt_tt_1,232,35000000,2013,5.7,2.35
Martin Scorsese,128,17000,Robert Mitchum,79100000,Crime|Thriller,127503,lawyer|neo noir|prison|rapist|southern gothic,http://www.imdb.com/title/tt0101540/?ref_=fn_tt_tt_1,261,35000000,1991,7.3,2.35
Robert Luketic,123,126,Jim Sturgess,81159365,Crime|Drama|Thriller,191470,based on true story|blackjack|card counting|gambling|massachusetts institute of technology,http://www.imdb.com/title/tt0478087/?ref_=fn_tt_tt_1,278,35000000,2008,6.8,2.35
Judd Apatow,129,0,Randall Park,110008260,Comedy|Romance,94241,actress playing herself|actress shares first name with character|fired from a job|male nudity|written by star,http://www.imdb.com/title/tt3152624/?ref_=fn_tt_tt_1,309,35000000,2015,6.3,2.35
Kevin Rodney Sullivan,105,8,Nicole Sullivan,67962333,Comedy|Romance,33887,argument|engagement|family relationships|love|undressing,http://www.imdb.com/title/tt0372237/?ref_=fn_tt_tt_1,160,35000000,2005,5.9,1.85
Anthony Minghella,162,333,Kristin Scott Thomas,78651430,Drama|Romance|War,142067,church|english|flashback|nurse|patient,http://www.imdb.com/title/tt0116209/?ref_=fn_tt_tt_1,457,27000000,1996,7.4,1.85
