director_name,duration,director_facebook_likes,actor_3_facebook_likes,gross,actor_1_name,movie_title,cast_total_facebook_likes,plot_keywords,movie_imdb_link,num_user_for_reviews,content_rating,budget
James David Pasternak,85,0,924,7826,Robin Williams,Certifiably Jonathan ,54484,las vegas nevada|museum|reference to mr. rogers|reference to vincent van gogh|talking about suicide,http://www.imdb.com/title/tt0976025/?ref_=fn_tt_tt_1,2,,1200000
Laurent Bouhnik,103,0,24,,Déborah Révy,Q ,114,female explicit nudity|hand job|oral sex|penetration|unsimulated sex,http://www.imdb.com/title/tt1879030/?ref_=fn_tt_tt_1,16,,1500000
Tom Sanchez,110,0,0,3830,Nataniel Sánchez,The Knife of Don Juan ,5,,http://www.imdb.com/title/tt1349485/?ref_=fn_tt_tt_1,1,,1200000
David Caffrey,88,4,95,,Marley Shelton,Grand Theft Parsons ,1438,guitar|hearse|manager|musician|singer,http://www.imdb.com/title/tt0338075/?ref_=fn_tt_tt_1,38,PG-13,
Adam Jay Epstein,76,0,227,,Rich Ceraulo,Extreme Movie ,1190,box office flop|female frontal nudity|pink bra and panties|red bra and panties|sex,http://www.imdb.com/title/tt0806147/?ref_=fn_tt_tt_1,35,R,
Michael Curtiz,100,345,94,,Errol Flynn,The Charge of the Light Brigade ,1621,attack|fort|india|lancer|massacre,http://www.imdb.com/title/tt0027438/?ref_=fn_tt_tt_1,52,Approved,1200000
Justin Thomas Ostensen,99,0,5,,Michael Berryman,Below Zero ,862,,http://www.imdb.com/title/tt1641388/?ref_=fn_tt_tt_1,11,R,1200000
Brenton Spencer,84,0,63,,Christie Burke,Crowsnest ,630,forest|found footage|lost|murder|road trip,http://www.imdb.com/title/tt2180333/?ref_=fn_tt_tt_1,51,R,1200000
Rob Bowman,91,38,117,2850263,Alanna Ubach,Airborne ,1218,cincinnati ohio|high school|hockey|jock strap|zoologist,http://www.imdb.com/title/tt0106233/?ref_=fn_tt_tt_1,70,PG,2600000
Ossie Davis,97,282,148,,Redd Foxx,Cotton Comes to Harlem ,1581,black cop|chase|cotton|four word title|new york city,http://www.imdb.com/title/tt0065579/?ref_=fn_tt_tt_1,27,R,1200000
Jay Alaimo,84,2,475,,William McNamara,The Wicked Within ,11257,after dark horrorfest,http://www.imdb.com/title/tt1943014/?ref_=fn_tt_tt_1,7,R,1200000
Dylan Bank,100,0,312,,Seregon O'Dassey,Bleeding Hearts ,1810,bare breasts|bra and panties|nudity|syringe,http://www.imdb.com/title/tt2622294/?ref_=fn_tt_tt_1,2,,1200000
Rob McKittrick,94,6,804,16101109,Ryan Reynolds,Waiting... ,19957,cook|dishwasher|flashing|male frontal nudity|waiter,http://www.imdb.com/title/tt0348333/?ref_=fn_tt_tt_1,236,R,3000000
Shane Meadows,90,222,68,6013,Paddy Considine,Dead Man's Shoes ,1311,anger|army veteran|independent film|revenge|sex scene,http://www.imdb.com/title/tt0419677/?ref_=fn_tt_tt_1,207,,695393
,,,206,,Richard Cawthorne,Wolf Creek             ,1617,based on true story|blood|serial killer|slasher|tv mini series,http://www.imdb.com/title/tt4460878/?ref_=fn_tt_tt_1,6,,
Jeff Burr,92,155,147,1400000,Terry Kiser,From a Whisper to a Scream ,1329,bathtub|cult film|neck breaking|tennessee|wraparound story,http://www.imdb.com/title/tt0091671/?ref_=fn_tt_tt_1,37,R,1100000
Harry Gantz,105,0,,247740,,Sex with Strangers ,0,bisexual|explicit sex|sex|stranger|swing,http://www.imdb.com/title/tt0304692/?ref_=fn_tt_tt_1,8,,
Guy Maddin,73,126,3,39659,Sarah Murphy-Dyson,Dracula: Pages from a Virgin's Diary ,21,ballet|cult film|dance|dracula|gothic,http://www.imdb.com/title/tt0293113/?ref_=fn_tt_tt_1,32,,1600000
Regardt van den Bergh,116,12,25,,Sean Cameron Michael,Faith Like Potatoes ,521,food|food in title|potato,http://www.imdb.com/title/tt0850667/?ref_=fn_tt_tt_1,36,PG,10000000
Panos Cosmatos,110,22,48,56129,Chris Gauthier,Beyond the Black Rainbow ,645,exploitation|four word title|hallucinogen|lynchian|telepathy,http://www.imdb.com/title/tt1534085/?ref_=fn_tt_tt_1,82,R,1100000
Gareth Evans,102,338,60,4105123,Iko Uwais,The Raid: Redemption ,1445,apartment|drug lord|gangster|police|swat team,http://www.imdb.com/title/tt1899353/?ref_=fn_tt_tt_1,316,R,1100000
Matthew R. Anderson,89,252,252,,Johnny Pacar,The Dead Undead ,2510,flashback|immortality|rural setting|vampire|zombie,http://www.imdb.com/title/tt0923653/?ref_=fn_tt_tt_1,15,R,1100000
Joe Marino,76,0,0,,Piero Maggiò,The Vatican Exorcisms ,12,,http://www.imdb.com/title/tt3043194/?ref_=fn_tt_tt_1,10,R,1100000
Michael Curtiz,82,345,269,,Humphrey Bogart,Casablanca ,3442,american expatriate|casablanca morocco|gestapo|police|visa,http://www.imdb.com/title/tt0034583/?ref_=fn_tt_tt_1,1123,PG,950000
Joel Anderson,89,0,5,,Talia Zucker,Lake Mungo ,29,ghost|lake|parapsychologist|psychic|secret,http://www.imdb.com/title/tt0816556/?ref_=fn_tt_tt_1,85,R,1400000
Shimit Amin,150,6,20,,Ranbir Kapoor,Rocket Singh: Salesman of the Year ,1052,boss|computer|honesty|sales|salesman,http://www.imdb.com/title/tt1434447/?ref_=fn_tt_tt_1,35,,
Douglas Trumbull,89,136,42,,Bruce Dern,Silent Running ,1080,forest|greenhouse|plant|robot|space,http://www.imdb.com/title/tt0067756/?ref_=fn_tt_tt_1,199,GP,1000000
John G. Avildsen,145,80,794,117235247,Sylvester Stallone,Rocky ,16094,boxer|hometown hero|philadelphia pennsylvania|protective male|training,http://www.imdb.com/title/tt0075148/?ref_=fn_tt_tt_1,542,PG,960000
Mona Fastvold,91,2,9,,Christopher Abbott,The Sleepwalker ,622,female nudity|male nudity|male rear nudity|nudity,http://www.imdb.com/title/tt2723576/?ref_=fn_tt_tt_1,2,Not Rated,1100000
John Carpenter,89,0,606,21378000,Jamie Lee Curtis,The Fog ,4878,california|fog|leper|lighthouse|ship,http://www.imdb.com/title/tt0080749/?ref_=fn_tt_tt_1,335,R,1000000
Tony Richardson,121,62,69,,Albert Finney,Tom Jones ,1371,18th century|rags to riches|secret letter|squire|tutor,http://www.imdb.com/title/tt0057590/?ref_=fn_tt_tt_1,56,Unrated,1000000
Levan Gabriadze,83,6,142,31537320,Shelley Hennig,Unfriended ,1565,blender|computer screen|secret|skype|webcam,http://www.imdb.com/title/tt3713166/?ref_=fn_tt_tt_1,309,R,1000000
Martin Scorsese,110,17000,595,,Robert De Niro,Taxi Driver ,23525,loner|neo noir|night shift|taxi driver|vigilante,http://www.imdb.com/title/tt0075314/?ref_=fn_tt_tt_1,881,R,1300000
Joe Dante,91,287,725,17986000,Patrick Macnee,The Howling ,4438,1980s|forest|lycanthrope|shapeshifting|werewolf transformation,http://www.imdb.com/title/tt0082533/?ref_=fn_tt_tt_1,195,R,1000000
Terence Young,110,92,177,16067035,Ursula Andress,Dr. No ,1421,british secret service|hand to hand combat|murder|official james bond series|terrorist plot,http://www.imdb.com/title/tt0055928/?ref_=fn_tt_tt_1,389,Approved,1100000
Bradley Parker,86,18,300,18112929,Jesse McCartney,Chernobyl Diaries ,2665,abandoned building|chernobyl disaster|exploration|tour guide|van,http://www.imdb.com/title/tt1991245/?ref_=fn_tt_tt_1,271,R,1000000
Clive Barker,86,385,100,14564027,Andrew Robinson,Hellraiser ,673,blood|cenobites|creature|demon|male full frontal nudity,http://www.imdb.com/title/tt0093177/?ref_=fn_tt_tt_1,335,R,1000000
Harold Cronk,120,18,295,20773070,Benjamin A. Onyango,God's Not Dead 2 ,1810,alternate universe|christian|christian film|christianity|manipulation,http://www.imdb.com/title/tt4824308/?ref_=fn_tt_tt_1,102,PG,5000000
Jeff Wadlow,90,65,683,10042266,Julian Morris,Cry_Wolf ,3155,e mail|game|school|serial killer|student,http://www.imdb.com/title/tt0384286/?ref_=fn_tt_tt_1,220,PG-13,1000000
Takao Okawara,99,2,3,10037390,Hiroshi Abe,Godzilla 2000 ,53,godzilla|kaiju|monster|orga|ufo,http://www.imdb.com/title/tt0188640/?ref_=fn_tt_tt_1,140,PG,1000000000
Derek Cianfrance,112,310,616,9701559,Ryan Gosling,Blue Valentine ,35941,dog hit by a car|dysfunctional family|falling in love|female in shower|unhappily married woman,http://www.imdb.com/title/tt1120985/?ref_=fn_tt_tt_1,283,R,3500000
Duncan Tucker,103,2,226,9013113,Kevin Zegers,Transamerica ,3192,bail|male full frontal nudity|sex change|stepfather|transsexual,http://www.imdb.com/title/tt0407265/?ref_=fn_tt_tt_1,230,R,1000000
William Brent Bell,83,19,128,53245055,Fernanda Andrade,The Devil Inside ,988,critically bashed|demonic possession|exorcism|exorcist|found footage,http://www.imdb.com/title/tt1560985/?ref_=fn_tt_tt_1,290,R,1000000
Russ Meyer,109,199,44,9000000,Charles Napier,Beyond the Valley of the Dolls ,731,band|drugs|friendship|hollywood|satire,http://www.imdb.com/title/tt0065466/?ref_=fn_tt_tt_1,137,X,900000
Robert D. Webb,89,0,102,,James Drury,Love Me Tender ,831,army|civil war|robbery|soldier|train,http://www.imdb.com/title/tt0049452/?ref_=fn_tt_tt_1,36,,1000000
Davis Guggenheim,96,49,,23808111,Billy West,An Inconvenient Truth ,929,climate|earth|global warming|science|truth,http://www.imdb.com/title/tt0497116/?ref_=fn_tt_tt_1,504,PG,
Allan Dwan,109,23,88,,James Brown,Sands of Iwo Jima ,510,battle|combat|heroic military|sergeant|tarawa,http://www.imdb.com/title/tt0041841/?ref_=fn_tt_tt_1,69,Approved,1000000
Martin Scorsese,122,17000,184,5355376,Mick Jagger,Shine a Light ,1218,band|concert footage|new york city|rolling stones|three word title,http://www.imdb.com/title/tt0893382/?ref_=fn_tt_tt_1,67,PG-13,
Eli Roth,100,0,389,7186670,Daryl Sabara,The Green Inferno ,2082,activist|amazon|color in title|rain|rain forest,http://www.imdb.com/title/tt2403021/?ref_=fn_tt_tt_1,164,R,6000000
Andrew Steggall,109,0,30,,Juliet Stevenson,Departure ,283,france|gay|language|male masturbation|masturbation,http://www.imdb.com/title/tt2248739/?ref_=fn_tt_tt_1,5,,1100000
Ben Lewin,95,20,365,5997134,W. Earl Brown,The Sessions ,1899,falling in love|iron lung|priest|sex surrogate|therapist,http://www.imdb.com/title/tt1866249/?ref_=fn_tt_tt_1,126,R,1000000
Robert Kenner,94,11,2,4417124,Michael Pollan,Food, Inc. ,42,farming|flesh eating|food|food industry|gluttony,http://www.imdb.com/title/tt1286537/?ref_=fn_tt_tt_1,183,PG,
Andrew Erwin,107,10,245,5355847,Rachel Hendrix,October Baby ,1147,abortion|anti choice|christian preach|malpractice|unprofessional conduct,http://www.imdb.com/title/tt1720182/?ref_=fn_tt_tt_1,82,PG-13,
Brad Anderson,104,122,458,3386698,Philip Seymour Hoffman,Next Stop Wonderland ,23461,love|marine biologist|nurse|personal ad|plumber,http://www.imdb.com/title/tt0119778/?ref_=fn_tt_tt_1,86,R,1000000
Jason Reitman,96,655,973,143492840,J.K. Simmons,Juno ,28817,adoption|baby|friend|pregnancy|school,http://www.imdb.com/title/tt0467406/?ref_=fn_tt_tt_1,881,PG-13,7500000
Craig Johnson,93,7,180,5283379,Ty Burrell,The Skeleton Twins ,3986,adultery|brother sister relationship|estrangement|siblings|suicide attempt,http://www.imdb.com/title/tt1571249/?ref_=fn_tt_tt_1,79,R,
Sean Durkin,102,46,287,2981638,Christopher Abbott,Martha Marcy May Marlene ,1263,connecticut|cult|memory|new york|telephone call,http://www.imdb.com/title/tt1441326/?ref_=fn_tt_tt_1,186,R,
Gillian Robespierre,84,9,313,3122616,Gaby Hoffmann,Obvious Child ,1587,abortion|divorced parents|one night stand|pregnancy|pregnant,http://www.imdb.com/title/tt2910274/?ref_=fn_tt_tt_1,73,R,
Courtney Hunt,97,33,229,2508841,Charlie McDermott,Frozen River ,994,border|mohawk|money|new york|river,http://www.imdb.com/title/tt0978759/?ref_=fn_tt_tt_1,93,R,1000000
Morgan Neville,91,9,13,4946250,Sheryl Crow,20 Feet from Stardom ,198,backup singer|band|bechdel test passed|concert footage|singer,http://www.imdb.com/title/tt2396566/?ref_=fn_tt_tt_1,80,PG-13,1000000
James Toback,84,56,13,1950218,Robert Downey Jr.,Two Girls and a Guy ,21124,actor|anilingus|double cross|funeral home|two timing,http://www.imdb.com/title/tt0124179/?ref_=fn_tt_tt_1,102,R,1000000
Nicole Holofcener,86,132,584,1277257,Kevin Corrigan,Walking and Talking ,2400,briefs|cancer|cat|cult film|friend,http://www.imdb.com/title/tt0118113/?ref_=fn_tt_tt_1,32,R,1000000
Peter Cattaneo,91,11,121,45857453,Tom Wilkinson,The Full Monty ,2323,dole|male stripper|northern england|steel worker|unemployment,http://www.imdb.com/title/tt0119164/?ref_=fn_tt_tt_1,174,R,3500000
Chris Paine,92,2,5,1677838,Ed Begley Jr.,Who Killed the Electric Car? ,1447,california|car|reference to ralph nader|technology|u.s. president,http://www.imdb.com/title/tt0489037/?ref_=fn_tt_tt_1,155,PG,1000000
Greg Berlanti,94,112,428,1744858,Justin Theroux,The Broken Hearts Club: A Romantic Comedy ,3085,friend|gay|lesbian|photographer|restaurant,http://www.imdb.com/title/tt0222850/?ref_=fn_tt_tt_1,120,R,1000000
Don Coscarelli,92,152,124,,Daniel Roebuck,Bubba Ho-Tep ,1587,cult film|elvis|elvis presley|nursing home|texas,http://www.imdb.com/title/tt0281686/?ref_=fn_tt_tt_1,366,R,1000000
Rob Letterman,103,11,543,80021740,Odeya Rush,Goosebumps ,5497,based on book|blob|ferris wheel|manuscript|monster,http://www.imdb.com/title/tt1051904/?ref_=fn_tt_tt_1,154,PG,58000000
Marc Levin,100,12,6,982214,Sonja Sohn,Slam ,295,gang|independent film|prison|racial slur|urban setting,http://www.imdb.com/title/tt0139615/?ref_=fn_tt_tt_1,51,R,1000000
Richard Dutcher,119,13,25,798341,Wilford Brimley,Brigham City ,1107,fbi agent|mormon|prayer|sheriff|utah,http://www.imdb.com/title/tt0268200/?ref_=fn_tt_tt_1,63,PG-13,1000000
Khalid Mohamed,167,10,97,610991,Karisma Kapoor,Fiza ,773,mumbai riots|politician|riot|suicide|tragic event,http://www.imdb.com/title/tt0248012/?ref_=fn_tt_tt_1,19,,1000000
Mel Brooks,92,0,842,,Madeline Kahn,History of the World: Part I ,3931,french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor,http://www.imdb.com/title/tt0082517/?ref_=fn_tt_tt_1,131,R,11000000
Trey Parker,92,406,194,582024,Trey Parker,Orgazmo ,904,book of mormon|fight|mormon|ray gun|sidekick,http://www.imdb.com/title/tt0124819/?ref_=fn_tt_tt_1,168,NC-17,1000000
David Gordon Green,108,234,463,548712,Zooey Deschanel,All the Real Girls ,12385,best friend|lake|love|small town|womanizer,http://www.imdb.com/title/tt0299458/?ref_=fn_tt_tt_1,126,R,2500000
Finn Taylor,97,4,301,464655,David Arquette,Dream with the Fishes ,1692,dying|to do list|twenty something|underwear|voyeur,http://www.imdb.com/title/tt0119019/?ref_=fn_tt_tt_1,29,R,1000000
Karen Moncrieff,88,22,275,464126,Frances Fisher,Blue Car ,1641,contest|poetry|refusing to eat|starving oneself|teenage girl,http://www.imdb.com/title/tt0290145/?ref_=fn_tt_tt_1,68,R,1000000
José Luis Valenzuela,100,0,268,428535,Cheech Marin,Luminarias ,2289,divorce|friend|jewish|lent|restaurant,http://www.imdb.com/title/tt0160498/?ref_=fn_tt_tt_1,32,R,1000000
Gia Coppola,100,71,145,750100,James Franco,Palo Alto ,12234,girls' soccer|high school|high school student|soccer coach|teenager,http://www.imdb.com/title/tt2479800/?ref_=fn_tt_tt_1,61,R,
Scandar Copti,124,13,7,621240,Shahir Kabaha,Ajami ,42,arab|christian|israeli|palestinian|violence,http://www.imdb.com/title/tt1077262/?ref_=fn_tt_tt_1,32,,
Goran Dukic,88,21,772,104077,Leslie Bibb,Wristcutters: A Love Story ,4720,afterlife|camping|death|hitchhiker|suicide,http://www.imdb.com/title/tt0477139/?ref_=fn_tt_tt_1,88,R,1000000
Mike Cahill,106,135,11,334658,Steven Yeun,I Origins ,7098,buddhism|evolution|eye|reincarnation|stuck in elevator,http://www.imdb.com/title/tt2884206/?ref_=fn_tt_tt_1,160,R,
Efram Potelle,79,2,551,279282,Shiri Appleby,The Battle of Shaker Heights ,2489,bully comeuppance|high school|painter|reference to led zeppelin|wetting pants,http://www.imdb.com/title/tt0357470/?ref_=fn_tt_tt_1,49,PG-13,1000000
Peter Jackson,135,0,310,43982842,Michael Imperioli,The Lovely Bones ,2369,1970s|afterlife|heaven|pedophile|rape,http://www.imdb.com/title/tt0380510/?ref_=fn_tt_tt_1,593,PG-13,65000000
Joshua Oppenheimer,96,50,0,484221,Anwar Congo,The Act of Killing ,6,death squad|mass killing|musical number|reference to guantanamo bay|surrealism,http://www.imdb.com/title/tt2375605/?ref_=fn_tt_tt_1,107,Not Rated,1000000
Alex Gibney,53,141,23,274661,Alex Gibney,Taxi to the Dark Side ,313,afghanistan|detainee|guantanamo bay|taxi|torture,http://www.imdb.com/title/tt0854678/?ref_=fn_tt_tt_1,40,R,1000000
Paul Crowder,97,10,5,144431,Pelé,Once in a Lifetime: The Extraordinary Story of the New York Cosmos ,118,new york|new york cosmos|professional sports|soccer|soccer team,http://www.imdb.com/title/tt0489247/?ref_=fn_tt_tt_1,13,PG-13,1000000
Rohit Jagessar,120,0,0,227241,Kumar Gaurav,Guiana 1838 ,15,bare chested male|discipline|imperialism|whipping|white slavery,http://www.imdb.com/title/tt0428609/?ref_=fn_tt_tt_1,2,Unrated,
Griffin Dunne,90,165,679,112521,Mira Sorvino,Lisa Picard Is Famous ,3258,actress|fame|inside joke|new york|one man show,http://www.imdb.com/title/tt0233699/?ref_=fn_tt_tt_1,16,PG-13,
Anthony Powell,91,9,9,287761,Josh Swanson,Antarctica: A Year on Ice ,86,antarctica,http://www.imdb.com/title/tt2361700/?ref_=fn_tt_tt_1,16,PG,1000000
Kief Davidson,93,0,0,100240,G.W. Krauss,A Lego Brickumentary ,28,artist|denmark|lego|toy|toy company,http://www.imdb.com/title/tt3214286/?ref_=fn_tt_tt_1,11,G,1000000
Johnny Remo,112,74,891,96734,Matthew Ziff,Hardflip ,263584,family relationships|loss of mother|san diego california|single mother|suicide attempt,http://www.imdb.com/title/tt1907639/?ref_=fn_tt_tt_1,5,PG-13,1000000
Vivek Agnihotri,160,5,219,49000,Emraan Hashmi,Chocolate: Deep Dark Secrets ,2024,chocolate|christmas|christmas eve|death|suspect,http://www.imdb.com/title/tt0454431/?ref_=fn_tt_tt_1,30,,1500000
Ti West,95,243,725,100659,Lena Dunham,The House of the Devil ,3833,cult film|eclipse|haunted house|lunar eclipse|secret,http://www.imdb.com/title/tt1172994/?ref_=fn_tt_tt_1,193,R,900000
Nick Tomnay,93,11,271,48430,David Hyde Pierce,The Perfect Host ,1452,arm tattoo|bank robbery|cauterizing a wound|dancing on a table|dinner party,http://www.imdb.com/title/tt1334553/?ref_=fn_tt_tt_1,73,R,500000
John Hamburg,88,29,117,21210,Harvey Fierstein,Safe Men ,1141,gangster|organized crime|robbery|rosh hashanah|safecracking,http://www.imdb.com/title/tt0120813/?ref_=fn_tt_tt_1,52,R,1000000
Nickolas Perry,105,5,73,,Patrick Renna,Speedway Junky ,1042,car racing|crush|hustler|scam|watching television,http://www.imdb.com/title/tt0155197/?ref_=fn_tt_tt_1,43,R,1000000
Dan Zukovic,98,8,14,22434,Yul Vazquez,The Last Big Thing ,196,actor|magazine|model|rock band|suburb,http://www.imdb.com/title/tt0161743/?ref_=fn_tt_tt_1,17,R,
Craig Mazin,82,82,490,12996,Judy Greer,The Specials ,3905,action figure|press conference|superhero|superhero team|toy,http://www.imdb.com/title/tt0181836/?ref_=fn_tt_tt_1,54,R,1000000
Becky Smith,89,32,256,,Will Rothhaar,16 to Life ,1647,birthday|digit in title|love|masturbation|teenager,http://www.imdb.com/title/tt1130087/?ref_=fn_tt_tt_1,6,,1000000
Eric Nicholas,78,0,61,10018,Jordana Spiro,Alone with Her ,509,female nudity|female pubic hair|masturbation|panties|pubic hair,http://www.imdb.com/title/tt0472259/?ref_=fn_tt_tt_1,31,Not Rated,1000000
Benjamin Dickinson,97,4,150,62480,Nora Zehetner,Creative Control ,928,art exhibition|augmented reality|cocaine|nervous breakdown|speculative fiction,http://www.imdb.com/title/tt3277624/?ref_=fn_tt_tt_1,7,R,1000000
Hal Haberman,81,0,394,6387,Michael Rapaport,Special ,2694,dream sequence|locked in a room|looking at self in mirror|medication|superhero,http://www.imdb.com/title/tt0479162/?ref_=fn_tt_tt_1,37,R,1000000
Darren Stein,90,18,422,5494,Frances Bay,Sparkler ,2633,automobile association of america|cheating|psychic|reference to tom jones the singer|trailer park,http://www.imdb.com/title/tt0124137/?ref_=fn_tt_tt_1,13,R,
A. Raven Cruz,97,0,94,,Scott Levy,The Helix... Loaded ,1188,cnn reporter|ellipsis in title|matrix|punctuation in title|secret agent,http://www.imdb.com/title/tt0401462/?ref_=fn_tt_tt_1,9,R,1000000
Brian Trenchard-Smith,88,53,176,721,David Keith,In Her Line of Fire ,1284,camp|die hard scenario|female protagonist|island|vice president,http://www.imdb.com/title/tt0487156/?ref_=fn_tt_tt_1,12,R,1000000
Frank Whaley,96,436,4,703,Lynn Cohen,The Jimmy Show ,920,based on play|character name in title,http://www.imdb.com/title/tt0271020/?ref_=fn_tt_tt_1,21,R,1500000
Amat Escalante,105,50,8,,Kenny Johnston,Heli ,351,corrupt police|drug cartel|drugs|mexico|police,http://www.imdb.com/title/tt2852376/?ref_=fn_tt_tt_1,15,Not Rated,1000000
Wajahat Rauf,,3,4,,Rasheed Naz,Karachi se Lahore ,19,pakistan|road trip,http://www.imdb.com/title/tt4590482/?ref_=fn_tt_tt_1,15,,1000000
Katherine Brooks,76,57,228,,Ilene Graff,Loving Annabelle ,1635,older woman younger woman relationship|sex with student|teacher|teacher student relationship|title directed by female,http://www.imdb.com/title/tt0323120/?ref_=fn_tt_tt_1,75,Not Rated,1000000
David Cross,96,0,396,,Jason Ritter,Hits ,2607,courtroom|independent film|internet|small town|youtube,http://www.imdb.com/title/tt3145220/?ref_=fn_tt_tt_1,8,,1000000
Randall Rubin,99,0,131,,Nicole Randall Johnson,Jimmy and Judy ,997,police|revenge|sex|suburb|video camera,http://www.imdb.com/title/tt0425151/?ref_=fn_tt_tt_1,26,R,1000000
Robert Bennett,90,15,106,,Randy Wayne,Frat Party ,1752,erotica|masseuse|sister sister relationship|temptation|threesome,http://www.imdb.com/title/tt1414361/?ref_=fn_tt_tt_1,28,R,1000000
Guy Hamilton,94,82,47,,Oliver Reed,The Party's Over ,964,beatnik|businessman|necrophilia|party|partying,http://www.imdb.com/title/tt0060816/?ref_=fn_tt_tt_1,7,,
Mary Pat Kelly,87,3,149,,Aidan Quinn,Proud ,1593,,http://www.imdb.com/title/tt0393616/?ref_=fn_tt_tt_1,22,PG,1000000
Lori Petty,93,923,904,,Jennifer Lawrence,The Poker House ,52113,basketball|drug abuse|interracial rape|iowa|tween girl,http://www.imdb.com/title/tt1014806/?ref_=fn_tt_tt_1,24,R,
Charlie Levi,90,0,171,,Joe Mantegna,Childless ,1996,,http://www.imdb.com/title/tt0867270/?ref_=fn_tt_tt_1,,R,1000000
Kevin Hamedani,89,23,23,,Russell Hodgkinson,ZMD: Zombies of Mass Destruction ,292,cult|homosexual|island|survival horror|zombie,http://www.imdb.com/title/tt1134674/?ref_=fn_tt_tt_1,39,R,500000
David DeCoteau,83,142,317,,Maureen McCormick,Snow White: A Deadly Summer ,1549,reference to snow white|sleeping bag|stepmother stepdaughter relationship|strangulation|totem pole,http://www.imdb.com/title/tt2149137/?ref_=fn_tt_tt_1,14,PG-13,1000000
Mikel Rueda,96,0,0,,Álex Angulo,Hidden Away ,90,best friend|deportation|moroccan|unrequited love|xenophobia,http://www.imdb.com/title/tt3289362/?ref_=fn_tt_tt_1,7,Unrated,
Stefan C. Schaefer,90,0,360,,Nicole Beharie,My Last Day Without You ,2116,business trip|german|love|new york|singer songwriter,http://www.imdb.com/title/tt1679248/?ref_=fn_tt_tt_1,12,,1000000
Michael Taliferro,138,105,110,,Wesley Jonathan,Steppin: The Movie ,1350,,http://www.imdb.com/title/tt0826751/?ref_=fn_tt_tt_1,1,PG-13,1000000
David DeCoteau,84,142,402,,William McNamara,Doc Holliday's Revenge ,11466,1880s|cowboy|low budget film|shoot out|wild west,http://www.imdb.com/title/tt3359872/?ref_=fn_tt_tt_1,6,PG-13,1000000
Katie Aselton,83,224,37,,Katie Aselton,Black Rock ,344,bare breasts|female frontal nudity|hunter|island|weekend,http://www.imdb.com/title/tt1930294/?ref_=fn_tt_tt_1,47,R,
Robert Heath,96,0,177,,David Oakes,Truth or Die ,1226,cabin in the woods|drinking acid|introvert|lesbian kiss|truth or dare,http://www.imdb.com/title/tt1838722/?ref_=fn_tt_tt_1,41,Not Rated,1000000
D. Stevens,94,6,0,,Magi Avila,The Pet ,109,dominance submissiveness|female nudity|human branding|human pet|power exchange,http://www.imdb.com/title/tt0825728/?ref_=fn_tt_tt_1,24,,1000000
Jeffrey St. Jules,90,0,36,,Boyd Banks,Bang Bang Baby ,231,,http://www.imdb.com/title/tt2655734/?ref_=fn_tt_tt_1,16,,1000000
Robert Hall,95,53,253,,Angelina Armani,Fear Clinic ,1825,bare breasts|based on web series|claustrophobia|doctor|phobia,http://www.imdb.com/title/tt2165765/?ref_=fn_tt_tt_1,19,R,1000000
K. King,93,3,115,,Jason K. Wixom,Zombie Hunter ,656,desert|drifter|seduction|siege|zombie,http://www.imdb.com/title/tt2446502/?ref_=fn_tt_tt_1,30,Not Rated,1000000
Jonathan Meyers,111,0,426,,Justin Baldoni,A Fine Step ,2677,,http://www.imdb.com/title/tt1604100/?ref_=fn_tt_tt_1,1,PG,1000000
Danny Boyle,101,0,888,2319187,Rosario Dawson,Trance ,5056,amnesia|criminal|heist|hypnotherapy|lost painting,http://www.imdb.com/title/tt1924429/?ref_=fn_tt_tt_1,212,R,20000000
Ralph Nelson,103,17,113,,Cliff Robertson,Charly ,1567,disability|experiment|genius|intelligence|mouse,http://www.imdb.com/title/tt0062794/?ref_=fn_tt_tt_1,55,PG,
Blair Erickson,87,0,302,,Monique Candelaria,Banshee Chapter ,1618,experiment|lsd|missing friend|mk ultra|radio broadcast,http://www.imdb.com/title/tt2011276/?ref_=fn_tt_tt_1,56,R,950000
,30,,223,,Eric Lloyd,Jesse             ,1713,1990s|brother sister relationship|female protagonist|single mother|sitcom,http://www.imdb.com/title/tt0156196/?ref_=fn_tt_tt_1,14,,
Allison Burnett,100,12,354,,Kimberly Williams-Paisley,Ask Me Anything ,2468,bare breasts|female protagonist,http://www.imdb.com/title/tt2505294/?ref_=fn_tt_tt_1,64,Not Rated,950000
Richard Schenkman,90,29,558,,Vanessa Williams,And Then Came Love ,2504,facebook|imdb|mediaatlarge.com|mediaatlargellc|sperm donor,http://www.imdb.com/title/tt0825346/?ref_=fn_tt_tt_1,4,,989000
Sanjay Rawal,83,0,17,,Alma Martinez,Food Chains ,104,two word title,http://www.imdb.com/title/tt2141739/?ref_=fn_tt_tt_1,3,,913000
Elia Kazan,108,603,279,9600000,Marlon Brando,On the Waterfront ,11094,death|dock|longshoreman|murder|union,http://www.imdb.com/title/tt0047296/?ref_=fn_tt_tt_1,281,Not Rated,910000
Kat Coiro,100,28,501,20186,Justin Kirk,L!fe Happens ,2924,friendship|los angeles california|one night stand|roommate|single mother,http://www.imdb.com/title/tt1726589/?ref_=fn_tt_tt_1,15,R,930000
