director_name,num_critic_for_reviews,actor_2_name,actor_1_facebook_likes,movie_title,num_voted_users,facenumber_in_poster,movie_imdb_link
John Stephenson,9,Hans Matheson,2000,The Christmas Candle ,844,0,http://www.imdb.com/title/tt2739338/?ref_=fn_tt_tt_1
Tim Chambers,34,Marley Shelton,1000,The Mighty Macs ,1119,2,http://www.imdb.com/title/tt1034324/?ref_=fn_tt_tt_1
Curtis Hanson,7,Shelley Long,10000,Losin' It ,3114,0,http://www.imdb.com/title/tt0085868/?ref_=fn_tt_tt_1
Rodrigo García,161,Jimmy Smits,6000,Mother and Child ,9727,6,http://www.imdb.com/title/tt1121977/?ref_=fn_tt_tt_1
Dick Richards,6,Terence Hill,963,March or Die ,2215,1,http://www.imdb.com/title/tt0076175/?ref_=fn_tt_tt_1
Jean-Marie Poiré,16,Isabelle Nanty,106,Les visiteurs ,24438,1,http://www.imdb.com/title/tt0108500/?ref_=fn_tt_tt_1
Sofia Coppola,301,Chris Pontius,227,Somewhere ,35848,0,http://www.imdb.com/title/tt1421051/?ref_=fn_tt_tt_1
Bob Gosse,52,Susie Abromeit,756,I Hope They Serve Beer in Hell ,7412,1,http://www.imdb.com/title/tt1220628/?ref_=fn_tt_tt_1
Alex Zamm,12,Raquel Welch,1000,Chairman of the Board ,5143,1,http://www.imdb.com/title/tt0118836/?ref_=fn_tt_tt_1
Spencer Susser,134,Natalie Portman,23000,Hesher ,43965,0,http://www.imdb.com/title/tt1403177/?ref_=fn_tt_tt_1
Richard Shepard,151,Mark Wingett,554,Dom Hemingway ,21243,2,http://www.imdb.com/title/tt2402105/?ref_=fn_tt_tt_1
Gus Van Sant,103,Casey Affleck,13000,Gerry ,15104,0,http://www.imdb.com/title/tt0302674/?ref_=fn_tt_tt_1
Thaddeus O'Sullivan,39,Luke Newberry,766,The Heart of Me ,1966,3,http://www.imdb.com/title/tt0301390/?ref_=fn_tt_tt_1
Peter Sollett,133,Josh Charles,7000,Freeheld ,5863,0,http://www.imdb.com/title/tt1658801/?ref_=fn_tt_tt_1
Shari Springer Berman,104,Marian Seldes,474,The Extra Man ,4124,4,http://www.imdb.com/title/tt1361313/?ref_=fn_tt_tt_1
Aleksey German,121,Yuriy Tsurilo,4,Hard to Be a God ,2518,0,http://www.imdb.com/title/tt2328813/?ref_=fn_tt_tt_1
Stephen Milburn Anderson,27,Mike Starr,26000,Ca$h ,7663,2,http://www.imdb.com/title/tt1106860/?ref_=fn_tt_tt_1
Richard E. Grant,49,Julie Walters,876,Wah-Wah ,2670,3,http://www.imdb.com/title/tt0419256/?ref_=fn_tt_tt_1
Troy Duffy,100,David Della Rocco,12000,The Boondock Saints ,197845,2,http://www.imdb.com/title/tt0144117/?ref_=fn_tt_tt_1
David Lam,12,Louis Koo,91,Z Storm ,383,1,http://www.imdb.com/title/tt3469440/?ref_=fn_tt_tt_1
Francis Ford Coppola,112,Bruce Dern,1000,Twixt ,8589,0,http://www.imdb.com/title/tt1756851/?ref_=fn_tt_tt_1
Vladlen Barbe,10,Wendee Lee,99,Snow Queen ,1159,1,http://www.imdb.com/title/tt2243621/?ref_=fn_tt_tt_1
Richard Rich,2,Kate Higgins,122,Alpha and Omega 4: The Legend of the Saw Toothed Cave ,192,0,http://www.imdb.com/title/tt4061848/?ref_=fn_tt_tt_1
Clint Eastwood,38,Chris Penn,16000,Pale Rider ,39451,0,http://www.imdb.com/title/tt0089767/?ref_=fn_tt_tt_1
Robert C. Cooper,18,Christopher Judge,878,Stargate: The Ark of Truth ,15862,5,http://www.imdb.com/title/tt0942903/?ref_=fn_tt_tt_1
Richard Linklater,152,Adam Goldberg,14000,Dazed and Confused ,120036,1,http://www.imdb.com/title/tt0106677/?ref_=fn_tt_tt_1
Kenny Ortega,44,Corbin Bleu,755,High School Musical 2 ,39786,5,http://www.imdb.com/title/tt0810900/?ref_=fn_tt_tt_1
Kim Nguyen,6,Justin Edward Seale,149,Two Lovers and a Bear ,33,0,http://www.imdb.com/title/tt4412528/?ref_=fn_tt_tt_1
Jackie Earle Haley,46,Edi Gathegi,15000,Criminal Activities ,5255,3,http://www.imdb.com/title/tt3687310/?ref_=fn_tt_tt_1
Max Färberböck,63,Johanna Wokalek,177,Aimee & Jaguar ,5153,1,http://www.imdb.com/title/tt0130444/?ref_=fn_tt_tt_1
Arie Posin,74,John Heard,710,The Chumscrubber ,16299,1,http://www.imdb.com/title/tt0406650/?ref_=fn_tt_tt_1
Damian Nieman,25,Jason Cerbone,240,Shade ,10771,8,http://www.imdb.com/title/tt0323939/?ref_=fn_tt_tt_1
Mark Tonderai,224,Nolan Gerard Funk,34000,House at the End of the Street ,58366,1,http://www.imdb.com/title/tt1582507/?ref_=fn_tt_tt_1
Denis Villeneuve,226,Mélissa Désormeaux-Poulin,131,Incendies ,80429,0,http://www.imdb.com/title/tt1255953/?ref_=fn_tt_tt_1
Gabriele Muccino,36,Silvio Muccino,60,"Remember Me, My Love ",3548,1,http://www.imdb.com/title/tt0323807/?ref_=fn_tt_tt_1
Ian Fitzgibbon,54,Brendan Coyle,1000,Perrier's Bounty ,5133,8,http://www.imdb.com/title/tt1003034/?ref_=fn_tt_tt_1
José Padilha,142,Fernanda Machado,585,Elite Squad ,81644,1,http://www.imdb.com/title/tt0861739/?ref_=fn_tt_tt_1
John R. Leonetti,271,Annabelle Wallis,1000,Annabelle ,81699,0,http://www.imdb.com/title/tt3322940/?ref_=fn_tt_tt_1
Rachel Perkins,33,Magda Szubanski,46,Bran Nue Dae ,1388,7,http://www.imdb.com/title/tt1148165/?ref_=fn_tt_tt_1
John Singleton,64,Lloyd Avery II,27,Boyz n the Hood ,94139,2,http://www.imdb.com/title/tt0101507/?ref_=fn_tt_tt_1
Luis Valdez,18,Rosanna DeSoto,699,La Bamba ,21409,1,http://www.imdb.com/title/tt0093378/?ref_=fn_tt_tt_1
Alan Alda,6,Len Cariou,804,The Four Seasons ,3157,2,http://www.imdb.com/title/tt0082405/?ref_=fn_tt_tt_1
Brian De Palma,121,David Margulies,754,Dressed to Kill ,23986,0,http://www.imdb.com/title/tt0080661/?ref_=fn_tt_tt_1
Stephen Sommers,14,Frances Conroy,876,The Adventures of Huck Finn ,6384,0,http://www.imdb.com/title/tt0106223/?ref_=fn_tt_tt_1
Doug Liman,137,Jay Mohr,900,Go ,59474,3,http://www.imdb.com/title/tt0139239/?ref_=fn_tt_tt_1
Nicole Holofcener,111,Marin Hinkle,435,Friends with Money ,19715,2,http://www.imdb.com/title/tt0436331/?ref_=fn_tt_tt_1
Robert Wise,57,Paula Kelly,116,The Andromeda Strain ,25857,0,http://www.imdb.com/title/tt0066769/?ref_=fn_tt_tt_1
Louis Morneau,97,Bob Gunton,730,Bats ,8294,0,http://www.imdb.com/title/tt0200469/?ref_=fn_tt_tt_1
Caroline Link,73,Juliane Köhler,56,Nowhere in Africa ,10672,0,http://www.imdb.com/title/tt0161860/?ref_=fn_tt_tt_1
Steve McQueen,486,Nicole Beharie,13000,Shame ,145395,0,http://www.imdb.com/title/tt1723811/?ref_=fn_tt_tt_1
Matthew Vaughn,149,Sally Hawkins,27000,Layer Cake ,134070,1,http://www.imdb.com/title/tt0375912/?ref_=fn_tt_tt_1
Sterling Van Wagenen,4,Eric Johnson,1000,The Work and the Glory II: American Zion ,564,2,http://www.imdb.com/title/tt0457530/?ref_=fn_tt_tt_1
Zal Batmanglij,200,Julia Ormond,10000,The East ,41856,4,http://www.imdb.com/title/tt1869716/?ref_=fn_tt_tt_1
Michael Mayer,84,Matt Frewer,18000,A Home at the End of the World ,12049,2,http://www.imdb.com/title/tt0359423/?ref_=fn_tt_tt_1
Hans Petter Moland,28,Sara-Marie Maltha,844,Aberdeen ,2601,0,http://www.imdb.com/title/tt0168446/?ref_=fn_tt_tt_1
Oren Moverman,217,Yaya DaCosta,12000,The Messenger ,29608,0,http://www.imdb.com/title/tt0790712/?ref_=fn_tt_tt_1
Ian Sharp,12,Jed Brophy,1000,Tracker ,2892,0,http://www.imdb.com/title/tt1414378/?ref_=fn_tt_tt_1
Anton Corbijn,183,Samantha Morton,845,Control ,51353,1,http://www.imdb.com/title/tt0421082/?ref_=fn_tt_tt_1
James Cameron,204,Brian Thompson,2000,The Terminator ,600266,1,http://www.imdb.com/title/tt0088247/?ref_=fn_tt_tt_1
Wolfgang Becker,153,Chulpan Khamatova,65,Good Bye Lenin! ,114407,2,http://www.imdb.com/title/tt0301357/?ref_=fn_tt_tt_1
Tom Hooper,145,Mark Bazeley,1000,The Damned United ,32307,2,http://www.imdb.com/title/tt1226271/?ref_=fn_tt_tt_1
Dan O'Bannon,203,Clu Gulager,431,The Return of the Living Dead ,39856,0,http://www.imdb.com/title/tt0089907/?ref_=fn_tt_tt_1
,10,Fortunato Cerlino,18,Gomorrah             ,9638,5,http://www.imdb.com/title/tt2049116/?ref_=fn_tt_tt_1
Kevin Smith,93,Jason Mewes,1000,Mallrats ,99033,6,http://www.imdb.com/title/tt0113749/?ref_=fn_tt_tt_1
Randal Kleiser,124,Stockard Channing,1000,Grease ,170027,2,http://www.imdb.com/title/tt0077631/?ref_=fn_tt_tt_1
Oliver Stone,120,Tom Berenger,40000,Platoon ,291603,0,http://www.imdb.com/title/tt0091763/?ref_=fn_tt_tt_1
Michael Moore,288,Stevie Wonder,503,Fahrenheit 9/11 ,113152,0,http://www.imdb.com/title/tt0361596/?ref_=fn_tt_tt_1
George Roy Hill,130,Ted Cassidy,640,Butch Cassidy and the Sundance Kid ,152089,1,http://www.imdb.com/title/tt0064115/?ref_=fn_tt_tt_1
Robert Stevenson,145,Glynis Johns,382,Mary Poppins ,107408,2,http://www.imdb.com/title/tt0058331/?ref_=fn_tt_tt_1
Robert Redford,62,Elizabeth McGovern,2000,Ordinary People ,35130,3,http://www.imdb.com/title/tt0081283/?ref_=fn_tt_tt_1
Frank Coraci,188,Steve Coogan,1000,Around the World in 80 Days ,68722,0,http://www.imdb.com/title/tt0327437/?ref_=fn_tt_tt_1
Jerome Robbins,120,George Chakiris,804,West Side Story ,71919,0,http://www.imdb.com/title/tt0055614/?ref_=fn_tt_tt_1
Harold Ramis,71,Rodney Dangerfield,13000,Caddyshack ,81599,3,http://www.imdb.com/title/tt0080487/?ref_=fn_tt_tt_1
Gary Hardwick,52,Tatyana Ali,3000,The Brothers ,3198,4,http://www.imdb.com/title/tt0250274/?ref_=fn_tt_tt_1
Rick Famuyiwa,18,Tamala Jones,865,The Wood ,6585,0,http://www.imdb.com/title/tt0161100/?ref_=fn_tt_tt_1
Bryan Singer,162,Chazz Palminteri,18000,The Usual Suspects ,740918,4,http://www.imdb.com/title/tt0114814/?ref_=fn_tt_tt_1
Stephen Hopkins,88,Kelly Jo Minter,321,A Nightmare on Elm Street 5: The Dream Child ,29659,0,http://www.imdb.com/title/tt0097981/?ref_=fn_tt_tt_1
Walt Becker,96,Curtis Armstrong,16000,Van Wilder: Party Liaison ,89128,0,http://www.imdb.com/title/tt0283111/?ref_=fn_tt_tt_1
Darren Aronofsky,391,John D'Leo,1000,The Wrestler ,251349,0,http://www.imdb.com/title/tt1125849/?ref_=fn_tt_tt_1
King Vidor,32,Lillian Gish,469,Duel in the Sun ,6304,0,http://www.imdb.com/title/tt0038499/?ref_=fn_tt_tt_1
Christopher Guest,119,Catherine O'Hara,957,Best in Show ,45859,9,http://www.imdb.com/title/tt0218839/?ref_=fn_tt_tt_1
John Carpenter,201,Adrienne Barbeau,742,Escape from New York ,91017,1,http://www.imdb.com/title/tt0082340/?ref_=fn_tt_tt_1
Spike Lee,22,Ossie Davis,413,School Daze ,4756,4,http://www.imdb.com/title/tt0096054/?ref_=fn_tt_tt_1
Fred Savage,52,Brian Doyle-Murray,555,Daddy Day Camp ,12339,2,http://www.imdb.com/title/tt0462244/?ref_=fn_tt_tt_1
Sammo Kam-Bo Hung,63,Richard Norton,472,Mr. Nice Guy ,19774,1,http://www.imdb.com/title/tt0117786/?ref_=fn_tt_tt_1
Christopher Guest,97,Christopher Guest,658,A Mighty Wind ,22408,0,http://www.imdb.com/title/tt0310281/?ref_=fn_tt_tt_1
Donald Petrie,34,Lili Taylor,8000,Mystic Pizza ,18286,4,http://www.imdb.com/title/tt0095690/?ref_=fn_tt_tt_1
,10,Tuppence Middleton,1000,War & Peace             ,9277,1,http://www.imdb.com/title/tt3910804/?ref_=fn_tt_tt_1
Peter Howitt,88,Kevin McNally,711,Sliding Doors ,52805,1,http://www.imdb.com/title/tt0120148/?ref_=fn_tt_tt_1
Rusty Cundieff,25,Clarence Williams III,1000,Tales from the Hood ,4582,0,http://www.imdb.com/title/tt0114609/?ref_=fn_tt_tt_1
Kevin Macdonald,252,Simon McBurney,1000,The Last King of Scotland ,145580,1,http://www.imdb.com/title/tt0455590/?ref_=fn_tt_tt_1
Dominique Othenin-Girard,137,Tamara Glynn,742,Halloween 5 ,22929,1,http://www.imdb.com/title/tt0097474/?ref_=fn_tt_tt_1
Richard Linklater,231,Brandon Smith,11000,Bernie ,45396,1,http://www.imdb.com/title/tt1704573/?ref_=fn_tt_tt_1
Jean-Jacques Mantello,9,Daryl Hannah,844,Dolphins and Whales 3D: Tribes of the Ocean ,172,0,http://www.imdb.com/title/tt0996382/?ref_=fn_tt_tt_1
Ed Harris,115,Bud Cort,697,Pollock ,23023,0,http://www.imdb.com/title/tt0183659/?ref_=fn_tt_tt_1
Risa Bramon Garcia,67,Dave Chappelle,1000,200 Cigarettes ,13010,5,http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1
Brian Klugman,216,Bradley Cooper,24000,The Words ,59637,1,http://www.imdb.com/title/tt1840417/?ref_=fn_tt_tt_1
Matt Piedmont,133,Adrian Martinez,8000,Casa de mi Padre ,17169,1,http://www.imdb.com/title/tt1702425/?ref_=fn_tt_tt_1
Raymond De Felitta,149,Curtiss Cook,3000,City Island ,27301,6,http://www.imdb.com/title/tt1174730/?ref_=fn_tt_tt_1
John Michael McDonagh,261,Fionnula Flanagan,3000,The Guard ,64794,0,http://www.imdb.com/title/tt1540133/?ref_=fn_tt_tt_1
Deb Hagan,42,Alona Tal,1000,College ,11011,0,http://www.imdb.com/title/tt0844671/?ref_=fn_tt_tt_1
Sofia Coppola,152,Kathleen Turner,4000,The Virgin Suicides ,116910,0,http://www.imdb.com/title/tt0159097/?ref_=fn_tt_tt_1
Mark Herman,64,Annette Badland,1000,Little Voice ,13892,4,http://www.imdb.com/title/tt0147004/?ref_=fn_tt_tt_1
Zach Cregger,76,Windell Middlebrooks,373,Miss March ,18313,2,http://www.imdb.com/title/tt1151922/?ref_=fn_tt_tt_1
Zach Braff,149,Josh Gad,17000,Wish I Was Here ,29341,4,http://www.imdb.com/title/tt2870708/?ref_=fn_tt_tt_1
Mark Tarlov,35,Dylan Baker,4000,Simply Irresistible ,11439,1,http://www.imdb.com/title/tt0145893/?ref_=fn_tt_tt_1
,47,Jason Dohring,937,Veronica Mars             ,55524,1,http://www.imdb.com/title/tt0412253/?ref_=fn_tt_tt_1
John Cameron Mitchell,108,Miriam Shor,263,Hedwig and the Angry Inch ,26300,0,http://www.imdb.com/title/tt0248845/?ref_=fn_tt_tt_1
Sheldon Lettich,17,Ryan Bollman,97,Only the Strong ,4195,1,http://www.imdb.com/title/tt0107750/?ref_=fn_tt_tt_1
Jon Knautz,12,Monda Scott,397,Goddess of Love ,522,0,http://www.imdb.com/title/tt3432552/?ref_=fn_tt_tt_1
Billy Ray,129,Rosario Dawson,4000,Shattered Glass ,28855,0,http://www.imdb.com/title/tt0323944/?ref_=fn_tt_tt_1
David Atkins,84,Lynne Thigpen,244,Novocaine ,9589,3,http://www.imdb.com/title/tt0234354/?ref_=fn_tt_tt_1
Patrick Stettner,61,Tony Devon,944,The Business of Strangers ,3413,2,http://www.imdb.com/title/tt0270259/?ref_=fn_tt_tt_1
Sam Peckinpah,147,Warren Oates,682,The Wild Bunch ,63192,1,http://www.imdb.com/title/tt0065214/?ref_=fn_tt_tt_1
Jonathan Levine,147,Aaron Yoo,976,The Wackness ,27266,2,http://www.imdb.com/title/tt1082886/?ref_=fn_tt_tt_1
Michael Crichton,23,Michael Elphick,187,The Great Train Robbery ,11623,2,http://www.imdb.com/title/tt0079240/?ref_=fn_tt_tt_1
Lynne Ramsay,75,Bryan Dick,631,Morvern Callar ,6906,0,http://www.imdb.com/title/tt0300214/?ref_=fn_tt_tt_1
Sylvio Tabet,17,Kari Wuhrer,721,Beastmaster 2: Through the Portal of Time ,2281,2,http://www.imdb.com/title/tt0101412/?ref_=fn_tt_tt_1
Rick Bieber,16,Kendrick Cross,767,The 5th Quarter ,1245,2,http://www.imdb.com/title/tt1130964/?ref_=fn_tt_tt_1
Claude Chabrol,60,Nathalie Baye,173,The Flower of Evil ,2591,5,http://www.imdb.com/title/tt0322289/?ref_=fn_tt_tt_1
Shana Feste,63,Zoë Kravitz,1000,The Greatest ,7394,2,http://www.imdb.com/title/tt1226232/?ref_=fn_tt_tt_1
Wayne Wang,56,Russell Wong,974,Snow Flower and the Secret Fan ,3024,0,http://www.imdb.com/title/tt1541995/?ref_=fn_tt_tt_1
Joey Lauren Adams,36,Diane Ladd,596,Come Early Morning ,2330,0,http://www.imdb.com/title/tt0457308/?ref_=fn_tt_tt_1
Peter Cattaneo,47,Olivia Williams,773,Lucky Break ,1940,0,http://www.imdb.com/title/tt0246134/?ref_=fn_tt_tt_1
Fred Zinnemann,38,Jane Fonda,11000,Julia ,6454,2,http://www.imdb.com/title/tt0076245/?ref_=fn_tt_tt_1
S.R. Bindler,26,Scott Glenn,11000,"Surfer, Dude ",7367,0,http://www.imdb.com/title/tt0976247/?ref_=fn_tt_tt_1
Tony Kaye,47,Pat Buchanan,103,Lake of Fire ,2143,0,http://www.imdb.com/title/tt0841119/?ref_=fn_tt_tt_1
Greg Marcks,68,Barbara Hershey,861,11:14 ,38273,1,http://www.imdb.com/title/tt0331811/?ref_=fn_tt_tt_1
Perry Lang,19,Kevin Tighe,636,Men of War ,2989,1,http://www.imdb.com/title/tt0110490/?ref_=fn_tt_tt_1
Jake Goldberger,39,M. Emmet Walsh,592,Don McKay ,2050,1,http://www.imdb.com/title/tt1281374/?ref_=fn_tt_tt_1
Stefan Ruzowitzky,162,Olivia Wilde,16000,Deadfall ,32512,1,http://www.imdb.com/title/tt1667310/?ref_=fn_tt_tt_1
Vic Sarin,37,Aidan Quinn,933,A Shine of Rainbows ,1696,2,http://www.imdb.com/title/tt1014774/?ref_=fn_tt_tt_1
William Kaufman,26,Sean Cook,848,The Hit List ,10196,1,http://www.imdb.com/title/tt1575694/?ref_=fn_tt_tt_1
,10,Blake Ritson,805,Emma             ,10388,1,http://www.imdb.com/title/tt1366312/?ref_=fn_tt_tt_1
David Cronenberg,179,Leslie Carlson,391,Videodrome ,60522,0,http://www.imdb.com/title/tt0086541/?ref_=fn_tt_tt_1
Cédric Klapisch,88,Cécile De France,809,L'auberge espagnole ,34383,0,http://www.imdb.com/title/tt0283900/?ref_=fn_tt_tt_1
Kate Barker-Froyland,43,Shawn Parsons,11000,Song One ,6797,1,http://www.imdb.com/title/tt2182972/?ref_=fn_tt_tt_1
Barbet Schroeder,136,Chris Penn,33000,Murder by Numbers ,43575,0,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1
Martin Koolhoven,111,Tygo Gernandt,163,Winter in Wartime ,9230,1,http://www.imdb.com/title/tt0795441/?ref_=fn_tt_tt_1
Charles Matthau,13,Michael Jai White,2000,Freaky Deaky ,6741,0,http://www.imdb.com/title/tt0938305/?ref_=fn_tt_tt_1
John Frankenheimer,64,Paul Scofield,343,The Train ,10119,0,http://www.imdb.com/title/tt0059825/?ref_=fn_tt_tt_1
Christopher M. Bessette,6,John Billingsley,978,Trade of Innocents ,748,2,http://www.imdb.com/title/tt1772408/?ref_=fn_tt_tt_1
Prachya Pinkaew,112,Nathan Jones,778,The Protector ,30210,0,http://www.imdb.com/title/tt0427954/?ref_=fn_tt_tt_1
Gary Sinyor,12,Frank Finlay,722,Stiff Upper Lips ,867,2,http://www.imdb.com/title/tt0120210/?ref_=fn_tt_tt_1
,15,Belinda Stewart-Wilson,229,The Inbetweeners             ,55987,0,http://www.imdb.com/title/tt1220617/?ref_=fn_tt_tt_1
Gurinder Chadha,161,Parminder Nagra,883,Bend It Like Beckham ,89806,0,http://www.imdb.com/title/tt0286499/?ref_=fn_tt_tt_1
John Sayles,68,Edie Falco,688,Sunshine State ,3433,6,http://www.imdb.com/title/tt0286179/?ref_=fn_tt_tt_1
Preston A. Whitmore II,25,Wayne Brady,592,Crossover ,8707,6,http://www.imdb.com/title/tt0473024/?ref_=fn_tt_tt_1
Ashish R. Mohan,23,Mithun Chakraborty,634,Khiladi 786 ,4633,1,http://www.imdb.com/title/tt2166214/?ref_=fn_tt_tt_1
Jaume Balagueró,222,Pablo Rosso,37,[Rec] 2 ,55597,0,http://www.imdb.com/title/tt1245112/?ref_=fn_tt_tt_1
Stewart Raffill,9,Alexis Biesiada,25,Standing Ovation ,548,9,http://www.imdb.com/title/tt1303803/?ref_=fn_tt_tt_1
George Roy Hill,119,Robert Shaw,1000,The Sting ,175607,0,http://www.imdb.com/title/tt0070735/?ref_=fn_tt_tt_1
Hugh Hudson,90,Ben Cross,368,Chariots of Fire ,40511,0,http://www.imdb.com/title/tt0082158/?ref_=fn_tt_tt_1
Darren Grant,62,Kimberly Elise,907,Diary of a Mad Black Woman ,10472,0,http://www.imdb.com/title/tt0422093/?ref_=fn_tt_tt_1
Scott Hicks,71,Armin Mueller-Stahl,509,Shine ,43013,0,http://www.imdb.com/title/tt0117631/?ref_=fn_tt_tt_1
Joseph Gordon-Levitt,364,Scarlett Johansson,23000,Don Jon ,190494,1,http://www.imdb.com/title/tt2229499/?ref_=fn_tt_tt_1
Clint Eastwood,72,Richard Bull,16000,High Plains Drifter ,36381,0,http://www.imdb.com/title/tt0068699/?ref_=fn_tt_tt_1
Terry Zwigoff,122,Steve Buscemi,19000,Ghost World ,96129,0,http://www.imdb.com/title/tt0162346/?ref_=fn_tt_tt_1
Richard Eyre,100,Jim Broadbent,14000,Iris ,14786,1,http://www.imdb.com/title/tt0280778/?ref_=fn_tt_tt_1
William Sachs,24,Avery Schreiber,113,Galaxina ,1955,0,http://www.imdb.com/title/tt0080771/?ref_=fn_tt_tt_1
Christophe Barratier,112,François Berléand,517,The Chorus ,44151,0,http://www.imdb.com/title/tt0372824/?ref_=fn_tt_tt_1
Émile Gaudreault,67,Luke Kirby,636,Mambo Italiano ,5548,0,http://www.imdb.com/title/tt0330602/?ref_=fn_tt_tt_1
James Cox,91,Louis Lombardi,715,Wonderland ,18792,0,http://www.imdb.com/title/tt0335563/?ref_=fn_tt_tt_1
Spike Lee,103,John Savage,782,Do the Right Thing ,59524,2,http://www.imdb.com/title/tt0097216/?ref_=fn_tt_tt_1
James Toback,27,Eric Stoltz,4000,Harvard Man ,3754,3,http://www.imdb.com/title/tt0242508/?ref_=fn_tt_tt_1
Aki Kaurismäki,205,Kati Outinen,232,Le Havre ,15267,1,http://www.imdb.com/title/tt1508675/?ref_=fn_tt_tt_1
Gaspar Noé,192,Albert Dupontel,56,Irreversible ,87244,0,http://www.imdb.com/title/tt0290673/?ref_=fn_tt_tt_1
Hitoshi Matsumoto,72,Hitoshi Matsumoto,31,R100 ,1658,0,http://www.imdb.com/title/tt2914838/?ref_=fn_tt_tt_1
Rakeysh Omprakash Mehra,33,Steven Mackintosh,397,Rang De Basanti ,70233,0,http://www.imdb.com/title/tt0405508/?ref_=fn_tt_tt_1
Collin Schiffli,22,John Heard,934,Animals ,605,0,http://www.imdb.com/title/tt3297554/?ref_=fn_tt_tt_1
George Ratliff,48,Cree Kelly,472,Salvation Boulevard ,3788,5,http://www.imdb.com/title/tt1251743/?ref_=fn_tt_tt_1
David Wain,65,Ken Marino,4000,The Ten ,15315,4,http://www.imdb.com/title/tt0811106/?ref_=fn_tt_tt_1
Shane Meadows,29,Paddy Considine,5000,A Room for Romeo Brass ,4471,2,http://www.imdb.com/title/tt0202559/?ref_=fn_tt_tt_1
Morten Tyldum,284,Synnøve Macody Lund,286,Headhunters ,79353,3,http://www.imdb.com/title/tt1614989/?ref_=fn_tt_tt_1
Jon Wright,187,Richard Coyle,796,Grabbers ,13227,0,http://www.imdb.com/title/tt1525366/?ref_=fn_tt_tt_1
Michael McGowan,47,Adam Butcher,393,Saint Ralph ,4976,1,http://www.imdb.com/title/tt0384488/?ref_=fn_tt_tt_1
Liv Ullmann,88,Jessica Chastain,631,Miss Julie ,2894,2,http://www.imdb.com/title/tt2667960/?ref_=fn_tt_tt_1
Jeannot Szwarc,41,Bill Erwin,208,Somewhere in Time ,21049,2,http://www.imdb.com/title/tt0081534/?ref_=fn_tt_tt_1
Rohan Sippy,24,Bipasha Basu,374,Dum Maaro Dum ,3266,0,http://www.imdb.com/title/tt1618430/?ref_=fn_tt_tt_1
James Wan,318,Barbara Hershey,852,Insidious: Chapter 2 ,109214,0,http://www.imdb.com/title/tt2226417/?ref_=fn_tt_tt_1
Darren Lynn Bousman,250,Tony Nappo,1000,Saw II ,188679,0,http://www.imdb.com/title/tt0432348/?ref_=fn_tt_tt_1
Dan Trachtenberg,411,John Gallagher Jr.,14000,10 Cloverfield Lane ,126893,0,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1
Jeff Tremaine,106,Steve-O,608,Jackass: The Movie ,67992,0,http://www.imdb.com/title/tt0322802/?ref_=fn_tt_tt_1
David F. Sandberg,159,Amiah Miller,2000,Lights Out ,13523,0,http://www.imdb.com/title/tt4786282/?ref_=fn_tt_tt_1
Henry Joost,251,Sprague Grayden,581,Paranormal Activity 3 ,76828,0,http://www.imdb.com/title/tt1778304/?ref_=fn_tt_tt_1
Stiles White,183,Shelley Hennig,852,Ouija ,31915,0,http://www.imdb.com/title/tt1204977/?ref_=fn_tt_tt_1
Chuck Russell,131,Heather Langenkamp,506,A Nightmare on Elm Street 3: Dream Warriors ,49820,0,http://www.imdb.com/title/tt0093629/?ref_=fn_tt_tt_1
Joel Edgerton,297,Allison Tolman,1000,The Gift ,79916,1,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1
Eugenio Derbez,41,Jessica Lindsey,399,Instructions Not Included ,22105,1,http://www.imdb.com/title/tt2378281/?ref_=fn_tt_tt_1
Henry Joost,248,Brendon Eggertsen,235,Paranormal Activity 4 ,51204,0,http://www.imdb.com/title/tt2109184/?ref_=fn_tt_tt_1
Henry Koster,42,Jean Simmons,726,The Robe ,6359,1,http://www.imdb.com/title/tt0046247/?ref_=fn_tt_tt_1
Blake Edwards,33,Herbert Lom,462,The Return of the Pink Panther ,19596,0,http://www.imdb.com/title/tt0072081/?ref_=fn_tt_tt_1
Rachel Talalay,91,Tom Arnold,40000,Freddy's Dead: The Final Nightmare ,30765,0,http://www.imdb.com/title/tt0101917/?ref_=fn_tt_tt_1
Patty Jenkins,185,Bruce Dern,9000,Monster ,105568,2,http://www.imdb.com/title/tt0340855/?ref_=fn_tt_tt_1
Richard Fleischer,69,Robert J. Wilke,617,"20,000 Leagues Under the Sea ",22123,0,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1
Christopher Landon,220,Gloria Sandoval,510,Paranormal Activity: The Marked Ones ,31791,0,http://www.imdb.com/title/tt2473682/?ref_=fn_tt_tt_1
David Lynch,117,Anne Bancroft,12000,The Elephant Man ,161972,1,http://www.imdb.com/title/tt0080678/?ref_=fn_tt_tt_1
Jean-Marc Vallée,471,Jennifer Garner,11000,Dallas Buyers Club ,326494,0,http://www.imdb.com/title/tt0790636/?ref_=fn_tt_tt_1
