actor_2_name,genres,actor_1_name,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,country,content_rating,budget,imdb_score
Stephen Root,Comedy|Sport,Gary Cole,4730,0,dodgeball|gym|las vegas|pirate|ups,http://www.imdb.com/title/tt0364725/?ref_=fn_tt_tt_1,USA,PG-13,20000000,6.7
Carly Schroeder,Comedy|Drama|Family,Katharine Ross,1491,1,dolphin|island|research|tourist|town,http://www.imdb.com/title/tt0465407/?ref_=fn_tt_tt_1,USA,PG-13,2500000,5.7
Emily Pearson,Documentary,Dustin Lance Black,210,0,church|marriage|mormon|mormon church|proposition,http://www.imdb.com/title/tt1484522/?ref_=fn_tt_tt_1,USA,R,2500000,7.1
Anupam Kher,Comedy|Drama|Romance,Larry Miller,1739,2,birthday|call center|fiance|hotel|indian,http://www.imdb.com/title/tt1049405/?ref_=fn_tt_tt_1,UK,PG-13,14000000,6.2
Rüdiger Vogler,Horror|Thriller,Benno Fürmann,163,0,dissection|male pubic hair|medical school|medical student|train,http://www.imdb.com/title/tt0187696/?ref_=fn_tt_tt_1,Germany,R,8400000,6.1
Jacob Vargas,Drama|Romance|Sci-Fi|Thriller,Leonor Varela,862,0,computer|future|mexican immigrant|network|wilhelm scream,http://www.imdb.com/title/tt0804529/?ref_=fn_tt_tt_1,USA,PG-13,2500000,5.9
Rainn Wilson,Comedy|Crime|Drama,Linda Cardellini,4590,0,drug dealer|superhero|tragedy|tragic hero|tragic love,http://www.imdb.com/title/tt1512235/?ref_=fn_tt_tt_1,USA,R,2500000,6.8
Piper Mackenzie Harris,Comedy|Drama|Family|Romance,Ashley Scott,2579,2,boss|holiday|letter|north pole|santa,http://www.imdb.com/title/tt1663628/?ref_=fn_tt_tt_1,USA,TV-PG,2500000,5.8
Cecilia Pillado,Comedy|Horror,Clifton Collins Jr.,3157,0,catering|monster|one word title|party|wasp,http://www.imdb.com/title/tt3300572/?ref_=fn_tt_tt_1,Germany,Not Rated,2500000,5.0
Emmanuel Kabongo,Horror,Natasha Lyonne,2406,1,,http://www.imdb.com/title/tt3333870/?ref_=fn_tt_tt_1,USA,,3500000,6.3
Harry Lennix,Drama|History,Bernie Mac,5963,10,actor|bus|march|million man march|religion,http://www.imdb.com/title/tt0116404/?ref_=fn_tt_tt_1,USA,R,2400000,6.8
Max Ryan,Drama|Horror|Mystery|Thriller,Marc Blucas,2306,0,bound with duct tape|flash forward|number|riddle|stalking,http://www.imdb.com/title/tt0486028/?ref_=fn_tt_tt_1,Poland,PG-13,2400000,5.1
Patrick Fischler,Adventure|Comedy|Sci-Fi,Anthony 'Citric' Campos,1490,0,experiment|future|hibernation|stupidity|top secret,http://www.imdb.com/title/tt0387808/?ref_=fn_tt_tt_1,USA,R,,6.6
Kevin Leslie,Crime|Drama,Simon Merrells,881,0,,http://www.imdb.com/title/tt2945796/?ref_=fn_tt_tt_1,UK,R,2500000,5.0
Joseph Gilgun,Crime|Drama,Stephen Graham,3282,0,england|racism|racist|skinhead|violence,http://www.imdb.com/title/tt0480025/?ref_=fn_tt_tt_1,UK,Unrated,1500000,7.7
Sean Pertwee,Comedy|Sci-Fi,Julian Glover,3132,0,acronym in title|period in title|title ends with period,http://www.imdb.com/title/tt2040578/?ref_=fn_tt_tt_1,UK,R,2500000,3.1
Basil Rathbone,Comedy|Musical,Esther Williams,1627,2,college|teacher|theatrical producer|tutu|wedding,http://www.imdb.com/title/tt0036628/?ref_=fn_tt_tt_1,USA,Passed,2361000,6.5
Aimee Garcia,Drama|Musical,Jossara Jinaro,1668,0,exclamation point in title|imperative in title|punctuation in title|three word title,http://www.imdb.com/title/tt1307926/?ref_=fn_tt_tt_1,USA,PG-13,2450000,3.9
Michael O'Neill,Comedy|Drama|Family,Ethan Embry,2580,0,best friend|friendship|population|state in title|texas,http://www.imdb.com/title/tt0118925/?ref_=fn_tt_tt_1,USA,PG,,6.8
Ava Gardner,Drama|Family|Musical|Romance,Agnes Moorehead,2329,3,gambling|interracial marriage|love|miscegenation|showboat,http://www.imdb.com/title/tt0044030/?ref_=fn_tt_tt_1,USA,Approved,2295429,7.0
Cinda McCain,Drama,Tom Skerritt,3586,4,death of loved one|loss of father|loss of loved one|musician|singer,http://www.imdb.com/title/tt1470020/?ref_=fn_tt_tt_1,USA,PG-13,,5.9
Ellen Burstyn,Thriller,Topher Grace,4385,2,bouquet|house fire|praying|serial killer|tied to a chair,http://www.imdb.com/title/tt1666335/?ref_=fn_tt_tt_1,USA,R,,5.8
Phil Hartman,Adventure|Animation|Comedy|Family|Fantasy|Musical,Jon Lovitz,12359,0,journey|obsolescence|radio|toaster|vacuum cleaner,http://www.imdb.com/title/tt0092695/?ref_=fn_tt_tt_1,USA,Not Rated,2300000,7.3
Deems Taylor,Animation|Family|Fantasy|Music,Leopold Stokowski,16,0,apprentice|classical music|disney|mouse|orchestra,http://www.imdb.com/title/tt0032455/?ref_=fn_tt_tt_1,USA,G,2280000,7.8
Fernando Rey,Action|Crime|Drama|Thriller,Roy Scheider,1196,0,crime boss|drug smuggling|heroin|mafia boss|organized crime,http://www.imdb.com/title/tt0067116/?ref_=fn_tt_tt_1,USA,R,1800000,7.8
Sebastian Aguilar,Drama|Thriller,Nicole Smolen,210,1,,http://www.imdb.com/title/tt3111864/?ref_=fn_tt_tt_1,USA,PG-13,2500000,6.9
Dana Kimmell,Horror|Thriller,Richard Brooker,174,0,defecation|hockey mask|jason voorhees|lake|serial killer,http://www.imdb.com/title/tt0083972/?ref_=fn_tt_tt_1,USA,R,4000000,5.7
Melanie Kinnaman,Horror|Mystery|Thriller,Tiffany Helm,170,0,jason voorhees|murder|new jersey|nightmare|teenager,http://www.imdb.com/title/tt0089173/?ref_=fn_tt_tt_1,USA,R,2200000,4.7
Louise Fletcher,Drama,Henry Thomas,2161,0,1850s|christian film|dark secret|funeral|sin eater,http://www.imdb.com/title/tt0810928/?ref_=fn_tt_tt_1,USA,PG-13,2200000,5.9
Delroy Lindo,Drama,Alexa PenaVega,6752,5,belief|faith|pastor|question in title|three word title,http://www.imdb.com/title/tt4056738/?ref_=fn_tt_tt_1,USA,PG-13,2300000,5.9
Kayla Ewell,Thriller,Brian Austin Green,1651,2,championship|hit and run|police|police investigation|volleyball,http://www.imdb.com/title/tt1086841/?ref_=fn_tt_tt_1,USA,R,2200000,4.3
Greer Garson,Drama,Jessica Tandy,1490,0,immigrant|maid|steel mill|strike|union,http://www.imdb.com/title/tt0038213/?ref_=fn_tt_tt_1,USA,Passed,2160000,7.5
Ethan Peck,Drama|Thriller,Jessica Lowndes,3799,2,flare gun|island|plane crash|soccer team|stranded,http://www.imdb.com/title/tt3032282/?ref_=fn_tt_tt_1,Spain,R,,4.8
Zohra Segal,Comedy|Drama|Romance,Saeed Jaffrey,244,3,acceptance|coming out to family|gay|large family|wedding,http://www.imdb.com/title/tt0449000/?ref_=fn_tt_tt_1,UK,,1200000,5.8
James Wolk,Comedy|Music|Romance,Ryan Guzman,6085,5,claim in title|contraction in title|new york|new york city|woodstock,http://www.imdb.com/title/tt1995477/?ref_=fn_tt_tt_1,USA,,2400000,5.3
Daniel Kash,Action|Comedy|Horror,Rachel Skarsten,558,2,cult film|demon|monster slayer|uncle|vomiting,http://www.imdb.com/title/tt0816539/?ref_=fn_tt_tt_1,Canada,R,2500000,6.0
Teresa Wright,Drama|Romance|War,Myrna Loy,1941,5,love|pity|readjusting to civilian life|veteran|world war two veteran,http://www.imdb.com/title/tt0036868/?ref_=fn_tt_tt_1,USA,Not Rated,2100000,8.1
Nick Stahl,Biography|Crime|Drama,Kelli Garner,3293,0,cruelty|friend|male frontal nudity|male nudity|pubic hair,http://www.imdb.com/title/tt0242193/?ref_=fn_tt_tt_1,USA,R,,7.0
Per Christian Ellefsen,Comedy|Drama,Jørgen Langhelle,155,0,friendship|mental illness|poet|sex obsession|virgin,http://www.imdb.com/title/tt0279064/?ref_=fn_tt_tt_1,Norway,R,15500000,7.6
Arturo Castro,Crime|Drama,Michael Derek,214,0,,http://www.imdb.com/title/tt2460506/?ref_=fn_tt_tt_1,USA,R,2100000,7.2
Pablo Rosso,Horror,Manuela Velasco,145,0,apartment building|character's point of view camera shot|fire station|subjective camera|television reporter,http://www.imdb.com/title/tt1038988/?ref_=fn_tt_tt_1,Spain,R,1500000,7.5
Martha Higareda,Drama,Rosie Perez,3873,1,,http://www.imdb.com/title/tt1675312/?ref_=fn_tt_tt_1,USA,TV-PG,2100000,6.3
David Proval,Comedy|Drama|Mystery|Romance|Thriller,Travis Myers,1814,0,,http://www.imdb.com/title/tt2317796/?ref_=fn_tt_tt_1,USA,,2100000,6.7
Michael Chapman,Horror|Sci-Fi|Thriller,Walter Hendrix III,2044,0,hazmat suit,http://www.imdb.com/title/tt3561236/?ref_=fn_tt_tt_1,UK,,,4.8
Maria Doyle Kennedy,Adventure|Drama|Western,James Ransone,1020,1,,http://www.imdb.com/title/tt2215673/?ref_=fn_tt_tt_1,USA,,2100000,5.5
Daniela Bianchi,Action|Adventure|Thriller,Robert Shaw,1456,0,assassin|british agent|british secret service|decoder|russian,http://www.imdb.com/title/tt0057076/?ref_=fn_tt_tt_1,UK,Approved,2000000,7.5
Jessica Dublin,Action|Comedy|Horror|Sci-Fi,Phoebe Legere,99,2,bare breasts|japan|tokyo japan|toxic avenger|troma,http://www.imdb.com/title/tt0098503/?ref_=fn_tt_tt_1,USA,R,2300000,5.1
Alan Autry,Crime|Drama|Mystery,Carroll O'Connor,1736,1,detective|mississippi|police|police detective|small town,http://www.imdb.com/title/tt0094484/?ref_=fn_tt_tt_1,USA,,,7.4
John Beck,Comedy|Sci-Fi,Woody Allen,11192,0,frozen|future|health food|leader|police,http://www.imdb.com/title/tt0070707/?ref_=fn_tt_tt_1,USA,PG,2000000,7.3
Ruby Harris,Horror|Mystery,Maika Monroe,1062,0,ambiguous ending|being followed|sex scene|supernatural|supernatural being,http://www.imdb.com/title/tt3235888/?ref_=fn_tt_tt_1,USA,R,2000000,6.9
John Carradine,Comedy,Woody Allen,12034,5,aphrodisiac|court jester|jester|queen|written and directed by cast member,http://www.imdb.com/title/tt0068555/?ref_=fn_tt_tt_1,USA,R,2000000,6.8
Brock Peters,Crime|Drama,Robert Duvall,3833,0,1930s|alabama|lawyer|six year old|trial,http://www.imdb.com/title/tt0056592/?ref_=fn_tt_tt_1,USA,Not Rated,2000000,8.4
Bruce Spence,Action|Adventure|Sci-Fi|Thriller,Vernon Wells,1396,0,australian|gasoline|post apocalypse|refinery|warrior,http://www.imdb.com/title/tt0082694/?ref_=fn_tt_tt_1,Australia,R,2000000,7.6
Anita Mui,Action|Comedy,Andy Lau,768,1,battle|fight|fighting|martial artist|snake,http://www.imdb.com/title/tt0111512/?ref_=fn_tt_tt_1,Hong Kong,R,2000000,7.6
Shelley Winters,Crime|Drama|Romance,James Mason,1404,0,lolita|nymphet|older man young girl relationship|professor|writer,http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1,UK,Not Rated,2000000,7.7
Brendan Sexton III,Biography|Crime|Drama|Romance,Alicia Goranson,563,0,drinking|female dressed as male|love|nebraska|transgender,http://www.imdb.com/title/tt0171804/?ref_=fn_tt_tt_1,USA,R,2000000,7.6
Julia Taylor Ross,Drama|Horror|Mystery|Thriller,Eric Sheffer Stevens,218,0,bound and gagged|girl|haunted house|hearing noises|uninterrupted shot,http://www.imdb.com/title/tt1767382/?ref_=fn_tt_tt_1,France,R,2000000,5.3
Ulrich Mühe,Drama|Thriller,Sebastian Koch,927,3,east germany|police|secret police|stasi|writer,http://www.imdb.com/title/tt0405094/?ref_=fn_tt_tt_1,Germany,R,2000000,8.5
Alex Kendrick,Drama,Ben Davies,2300,7,faith|fatherhood|integrity|police|responsibility,http://www.imdb.com/title/tt1630036/?ref_=fn_tt_tt_1,USA,PG-13,2000000,7.0
Jackie Gleason,Drama|Sport,George C. Scott,2290,1,drink|manager|money|partner|pool hall,http://www.imdb.com/title/tt0054997/?ref_=fn_tt_tt_1,USA,Unrated,2000000,8.0
Spencer Tracy,Adventure|Drama|Romance|Western,Hedy Lamarr,2555,8,oil|oil field|oil tycoon|partnership|wildcatter,http://www.imdb.com/title/tt0032273/?ref_=fn_tt_tt_1,USA,Passed,1614000,7.1
Charles Linton,Animation|Comedy|Drama,Michel Robin,29,0,belleville|dog|mafia|tour de france|very little dialogue,http://www.imdb.com/title/tt0286244/?ref_=fn_tt_tt_1,France,PG-13,9500000,7.8
Irene Bedard,Comedy|Drama,Michael Greyeyes,3163,3,family abandonment|fire|loss of father|native american protagonist|native american reservation,http://www.imdb.com/title/tt0120321/?ref_=fn_tt_tt_1,Canada,PG-13,2000000,7.2
James Urbaniak,Biography|Comedy|Drama,Josh Hutcherson,14412,0,1980s|comic book|dark horse comics|reference to david letterman|robert crumb,http://www.imdb.com/title/tt0305206/?ref_=fn_tt_tt_1,USA,R,,7.5
Albert Delpy,Drama|Romance,Vernon Dobtcheff,65,0,book|bookstore|love|simultaneity|train,http://www.imdb.com/title/tt0381681/?ref_=fn_tt_tt_1,USA,R,2700000,8.0
Jorge Salinas,Drama|Thriller,Adriana Barraza,318,0,animal in title|dog fight|mexico city|multiple perspectives|nonlinear timeline,http://www.imdb.com/title/tt0245712/?ref_=fn_tt_tt_1,Mexico,R,2000000,8.1
Sarah Clarke,Drama,Holly Hunter,2186,2,13 year olds|adolescence|friend|peer pressure|teacher,http://www.imdb.com/title/tt0328538/?ref_=fn_tt_tt_1,USA,R,1500000,6.8
Celeste Holm,Drama|Romance,Dean Stockwell,1846,3,bigotry|jewish|prejudice|racism|writer,http://www.imdb.com/title/tt0039416/?ref_=fn_tt_tt_1,USA,Approved,2000000,7.4
Shelley Waggener,Drama,Jennifer Lawrence,34446,2,bail|crystal meth|family relationships|female protagonist|search for father,http://www.imdb.com/title/tt1399683/?ref_=fn_tt_tt_1,USA,R,2000000,7.2
Brendan Mackey,Adventure|Documentary|Drama|Sport,Nicholas Aaron,29,0,bone|climbing|crevasse|partner|rope,http://www.imdb.com/title/tt0379557/?ref_=fn_tt_tt_1,UK,R,,8.1
Don Ameche,Drama|Musical|Romance,Tyrone Power,1833,2,band|dance|ragtime|singer|violinist,http://www.imdb.com/title/tt0029852/?ref_=fn_tt_tt_1,USA,Approved,2000000,7.0
Brad William Henke,Comedy|Drama,Najarra Townsend,1349,0,fellatio|seven word title|shoe salesman|title directed by female|written by director,http://www.imdb.com/title/tt0415978/?ref_=fn_tt_tt_1,USA,R,2000000,7.4
George W. Bush,Crime|Documentary,Matt Damon,13145,0,florida|iceland|interview|new york city new york|recession,http://www.imdb.com/title/tt1645089/?ref_=fn_tt_tt_1,USA,PG-13,,8.3
Emily Ratajkowski,Drama|Music|Romance,Vanessa Lengies,3013,0,box office flop|critically bashed|male objectification|narcissism|wannabe dj,http://www.imdb.com/title/tt3787590/?ref_=fn_tt_tt_1,UK,R,2000000,6.1
Gano Grills,Action|Crime|Drama|Thriller,Henry Silva,675,1,african american|code|dog|pigeon|samurai,http://www.imdb.com/title/tt0165798/?ref_=fn_tt_tt_1,France,R,,7.5
Christian Bale,Action|Crime|Drama|Thriller,J.K. Simmons,50313,2,blood splatter|friend|lapd|mexican|violence,http://www.imdb.com/title/tt0433387/?ref_=fn_tt_tt_1,USA,R,2000000,7.0
Leonor Varela,Crime|Drama|Thriller,David Oyelowo,2739,1,auto theft|based on true story|drug addict|kidnapping|violence,http://www.imdb.com/title/tt3268668/?ref_=fn_tt_tt_1,USA,PG-13,2000000,5.3
Enrico Colantoni,Comedy|Romance,Julia Roberts,11327,0,birthday|friend|hollywood|party|sex,http://www.imdb.com/title/tt0290212/?ref_=fn_tt_tt_1,USA,R,2000000,4.7
Tawny Kitaen,Horror|Mystery|Thriller,Kathleen Wilhoite,901,1,evil spirit|hatchet|ouija|ouija board|psychopathic killer,http://www.imdb.com/title/tt0090327/?ref_=fn_tt_tt_1,UK,R,2000000,5.7
Amy Sedaris,Comedy,Stephen Colbert,1359,3,alternative comedy|female protagonist|high school|social satire|three word title,http://www.imdb.com/title/tt0194624/?ref_=fn_tt_tt_1,USA,TV-14,,8.1
Brian Blessed,Drama,Julie Christie,1645,0,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1,UK,PG-13,18000000,7.8
Peter Stickles,Comedy|Drama|Romance,Sook-Yin Lee,226,3,controversy|ejaculation|male frontal nudity|oral sex|unsimulated sex,http://www.imdb.com/title/tt0367027/?ref_=fn_tt_tt_1,USA,Unrated,2000000,6.5
Ronny Dayag,Animation|Biography|Documentary|Drama|History|War,Ari Folman,56,0,bar|dog|interview|lebanon|nightmare,http://www.imdb.com/title/tt1185616/?ref_=fn_tt_tt_1,Israel,R,1500000,8.0
Kirby Heyborne,Adventure,Noah Danby,359,1,jerusalem|journey|promised land|ship|wilderness,http://www.imdb.com/title/tt0349159/?ref_=fn_tt_tt_1,USA,PG-13,2000000,3.3
Dick Cheney,Documentary|War,Campbell Scott,446,0,american politics|iraq|iraq war|occupation|white house,http://www.imdb.com/title/tt0912593/?ref_=fn_tt_tt_1,USA,,2000000,8.3
David Fine,Drama|Romance,Alexander Skarsgård,11184,3,1970s|mother's boyfriend|overalls|phone booth|sexual promiscuity,http://www.imdb.com/title/tt3172532/?ref_=fn_tt_tt_1,USA,R,2000000,6.9
Jon Tenney,Comedy|Drama|Romance,Anne Hathaway,11618,5,breaking the fourth wall|brother brother relationship|high school friends|imperative in title|skateboard,http://www.imdb.com/title/tt0212662/?ref_=fn_tt_tt_1,USA,,,7.3
Buzz Aldrin,Documentary|History,John F. Kennedy,408,0,1960s|astronaut|moon|nasa|spacecraft accident,http://www.imdb.com/title/tt0925248/?ref_=fn_tt_tt_1,UK,PG,2000000,8.1
Zoe Kazan,Drama|Western,Bruce Greenwood,3427,1,desert|oregon|survival|trust|water,http://www.imdb.com/title/tt1518812/?ref_=fn_tt_tt_1,USA,PG,,6.5
Bill Maher,Biography|Documentary|History,Hugh M. Hefner,1136,0,clitoris|deep throat|fellatio|oral sex|porn industry,http://www.imdb.com/title/tt0418753/?ref_=fn_tt_tt_1,USA,NC-17,2000000,6.8
Manny Perez,Crime|Drama|Romance,Danny Aiello,1156,1,detective|food|gangster|police|restaurant,http://www.imdb.com/title/tt0229340/?ref_=fn_tt_tt_1,USA,R,,7.3
Bob Balaban,Comedy|Drama,Alanna Ubach,3011,4,office|office politics|photo booth|snobbery|title directed by female,http://www.imdb.com/title/tt0118866/?ref_=fn_tt_tt_1,UK,PG-13,,6.4
Krysta Rodriguez,Comedy,Matt Bennett,768,0,masturbation|porn star|sex lesson from a prostitute|spreadeagle|topless,http://www.imdb.com/title/tt1695994/?ref_=fn_tt_tt_1,USA,R,3400000,4.6
Isabelle Adjani,Comedy|Drama|Thriller,Christopher Lambert,1917,1,band|blackmail|safe|subway|train,http://www.imdb.com/title/tt0090095/?ref_=fn_tt_tt_1,France,R,17000000,6.5
Mark Margolis,Comedy|Drama,Robin Williams,51441,2,artist|butchery|catholic|catholic school|friend,http://www.imdb.com/title/tt0372334/?ref_=fn_tt_tt_1,USA,PG-13,6000000,7.0
Nathan Parsons,Comedy|Fantasy|Horror|Thriller,Jess Weixler,1511,1,high school|purity|stepbrother|temptation|vagina dentata,http://www.imdb.com/title/tt0780622/?ref_=fn_tt_tt_1,USA,R,,5.4
Stephane Gauger,Action|Adventure|Comedy|Drama|Music|Sci-Fi,Jeffrey Falcon,36,1,boy|guitar|orphan|rock 'n' roll|sword,http://www.imdb.com/title/tt0118736/?ref_=fn_tt_tt_1,USA,PG-13,2000000,6.7
Bobby Deol,Action|Comedy|Romance|Thriller,Karisma Kapoor,613,2,elevator|news reporter|police|restaurant|waiter,http://www.imdb.com/title/tt0249588/?ref_=fn_tt_tt_1,India,,,2.8
Neil Maskell,Biography|Comedy|Drama|Music,Paul Kaye,865,1,deafness|disappearance|ears|ibiza|musician,http://www.imdb.com/title/tt0388139/?ref_=fn_tt_tt_1,UK,R,,7.4
Steve Buscemi,Comedy|Drama,Peter Dinklage,36885,1,city name in title|male frontal nudity|place name in title,http://www.imdb.com/title/tt1276105/?ref_=fn_tt_tt_1,USA,R,3800000,5.8
Annette Badland,Comedy|Drama|Romance|Sport,Bob Hoskins,5535,2,fight|gang|hiking|wales|working class,http://www.imdb.com/title/tt0120391/?ref_=fn_tt_tt_1,UK,R,,7.1
Caleb Landry Jones,Drama,Jeremy Irvine,26176,0,box office flop|critically bashed|gay rights|new york city|stonewall riots,http://www.imdb.com/title/tt3018070/?ref_=fn_tt_tt_1,USA,R,13500000,4.5
Colin Ferguson,Comedy|Drama|Sci-Fi,Joe Morton,4280,2,alternate reality|pacific northwest|small town|small town life|small town sheriff,http://www.imdb.com/title/tt0796264/?ref_=fn_tt_tt_1,USA,TV-14,,7.9
Sanjay Mishra,Animation|Comedy|Family|Romance,Saif Ali Khan,653,0,india|love|love at first sight|mumbai india|reference to edward scissorhands,http://www.imdb.com/title/tt1050739/?ref_=fn_tt_tt_1,India,PG,,5.3
Frank Vincent,Crime|Drama,Vincent Pastore,1307,4,gangster|heist|internet|mafia|miami florida,http://www.imdb.com/title/tt0338497/?ref_=fn_tt_tt_1,USA,Not Rated,,5.4
Jansen Panettiere,Adventure|Family|Fantasy,Alex Kendrick,2522,,cave|cobra|island|medallion|waterfall,http://www.imdb.com/title/tt1390539/?ref_=fn_tt_tt_1,Thailand,PG,,4.8
Jeremy Jordan,Comedy|Drama|Musical|Romance,Anna Kendrick,10869,7,based on play|number in title,http://www.imdb.com/title/tt2474024/?ref_=fn_tt_tt_1,USA,PG-13,,5.9
Amy Ryan,Drama,Merritt Wever,2749,3,cellphone|detective|missing person|private detective|train,http://www.imdb.com/title/tt1105512/?ref_=fn_tt_tt_1,USA,,1500000,6.2
Kent McCord,Horror|Romance|Sci-Fi,Melinda Clarke,1362,1,female nudity|living dead|self mutilation|sequel|zombie,http://www.imdb.com/title/tt0107953/?ref_=fn_tt_tt_1,USA,R,2000000,5.9
Chris Evans,Drama|Romance,Jason Statham,39518,2,bar|coke|drugs|party|snorting,http://www.imdb.com/title/tt0449061/?ref_=fn_tt_tt_1,UK,R,14000,6.6
Kate Burton,Drama,Brad William Henke,774,1,ex convict|halfway house|nipples visible through clothing|orgasm|parole officer,http://www.imdb.com/title/tt0423169/?ref_=fn_tt_tt_1,USA,R,2000000,6.6
Megan Mullally,Comedy|Crime,Martin Starr,3065,1,black humor|crying during sex|harvard|humor|man with glasses,http://www.imdb.com/title/tt0265808/?ref_=fn_tt_tt_1,USA,PG-13,25000000,5.1
Michael McLafferty,Drama|Horror|Mystery|Sci-Fi|Thriller,Jordi Vilasuso,776,0,alien abduction|debate|lesbian|pregnant|spaceship,http://www.imdb.com/title/tt3118452/?ref_=fn_tt_tt_1,USA,Not Rated,,6.0
Jack O'Connell,Horror|Thriller,Michael Fassbender,14561,1,camping|forest|lake|stabbed with glass|vomiting,http://www.imdb.com/title/tt1020530/?ref_=fn_tt_tt_1,UK,R,,6.8
James Kyson,Thriller,Frances Fisher,2341,2,gay interest|guitarist|obsessed fan|seduction|sex scene,http://www.imdb.com/title/tt2226519/?ref_=fn_tt_tt_1,USA,R,,5.4
James Corden,Action|Comedy|Fantasy|Horror,MyAnna Buring,1593,3,blood|breasts|female nudity|lesbian|vampire,http://www.imdb.com/title/tt1020885/?ref_=fn_tt_tt_1,UK,R,,5.2
Kenneth Nkosi,Action|Crime|Drama,Rapulana Seiphemo,86,2,carjacking|drug lord|johannesburg south africa|police|post apartheid,http://www.imdb.com/title/tt0783532/?ref_=fn_tt_tt_1,South Africa,R,2000000,7.8
Lee Evans,Crime|Drama|Thriller,Colin Salmon,1650,1,alibi|box office flop|newspaper clipping|non statutory female on male rape|profiler,http://www.imdb.com/title/tt0363095/?ref_=fn_tt_tt_1,UK,R,2000000,6.4
Sean Rogerson,Horror,Mackenzie Gray,762,0,ghost|ghost hunting|labyrinth|paranormal|reality show,http://www.imdb.com/title/tt1703199/?ref_=fn_tt_tt_1,Canada,Not Rated,100000,6.1
Tommy Knight,Comedy|Horror,Peter McQuinn,322,0,cat killer|death of animal|high heels|kneed in the crotch|kneed in the groin,http://www.imdb.com/title/tt2126362/?ref_=fn_tt_tt_1,Ireland,R,,5.7
William Lee Scott,Crime|Drama|Horror|Mystery|Thriller,Daniel Baldwin,1149,0,betrayal|car|connection|death|gun,http://www.imdb.com/title/tt0959329/?ref_=fn_tt_tt_1,USA,R,2000000,5.5
Tim Rice,Documentary,Alice Cooper,712,0,,http://www.imdb.com/title/tt4704314/?ref_=fn_tt_tt_1,UK,,2000000,7.4
Charlotte Rae,Comedy,Woody Allen,11700,3,fictitious country|latin america|president|rebellion|reference to fidel castro,http://www.imdb.com/title/tt0066808/?ref_=fn_tt_tt_1,USA,GP,2000000,7.1
Linus Roache,Thriller,Paul Sheehan,892,0,,http://www.imdb.com/title/tt1734586/?ref_=fn_tt_tt_1,USA,Not Rated,,3.9
Mario Cimarro,Action|Crime|Drama|Thriller,Nicholas Gonzalez,2395,1,one word title,http://www.imdb.com/title/tt0796355/?ref_=fn_tt_tt_1,USA,R,2000000,4.6
Tim Daly,Comedy|Drama,Steven Weber,1884,5,1990s|brother brother relationship|nantucket island|one word title|sister sister relationship,http://www.imdb.com/title/tt0098948/?ref_=fn_tt_tt_1,USA,,,7.3
Everett Sloane,Crime|Drama|Film-Noir|Mystery|Thriller,Rita Hayworth,1055,1,law partner|murder|partner|seaman|yacht,http://www.imdb.com/title/tt0040525/?ref_=fn_tt_tt_1,USA,Not Rated,2300000,7.7
Lew Temple,Horror|Thriller,Mircea Monroe,2620,0,death|desert|robber|sheriff|waitress,http://www.imdb.com/title/tt1090671/?ref_=fn_tt_tt_1,USA,R,2000000,4.9
M.C. Gainey,Crime|Drama,Jake Gyllenhaal,15740,3,1990s|homoeroticism|reference to kurt cobain|road trip|year 1994,http://www.imdb.com/title/tt0165361/?ref_=fn_tt_tt_1,USA,R,14000000,6.3
Saffron Burrows,Comedy|Crime|Drama,Noel Gugliemi,3683,6,fire investigator|landlord|suicide|talking to one's self in a mirror|turpentine,http://www.imdb.com/title/tt1272886/?ref_=fn_tt_tt_1,USA,R,2000000,6.1
Ben Schwartz,Comedy,Sunil Narkar,35796,3,barista|coffee|coffee shop|fight|insult,http://www.imdb.com/title/tt2234025/?ref_=fn_tt_tt_1,USA,,2000000,6.6
Kevin McCarthy,Comedy|Fantasy|Musical|Sci-Fi,Kate Maberly,1611,2,1950s|independent film|outlaw|trial,http://www.imdb.com/title/tt1754633/?ref_=fn_tt_tt_1,USA,Not Rated,2000000,5.7
Curtiss Cook,Comedy|Drama,Sally Hawkins,2020,1,christmas tree|french canadian|new york|salesman,http://www.imdb.com/title/tt1462901/?ref_=fn_tt_tt_1,USA,R,,5.6
Lex Barker,Horror|Mystery,Christopher Lee,16110,0,count|drawn and quartered|tied up|torture chamber|torture device,http://www.imdb.com/title/tt0062235/?ref_=fn_tt_tt_1,West Germany,M,,6.0
Powers Boothe,Comedy|Drama,Jon Mack,2654,3,addict|paternity|rascal|swimming pool|texas,http://www.imdb.com/title/tt2024506/?ref_=fn_tt_tt_1,USA,R,2000000,5.7
Zero Mostel,Comedy|Musical,Buster Keaton,1807,0,based on stage musical|based on stage musical based on stage play|freedom|historical fiction|virgin,http://www.imdb.com/title/tt0060438/?ref_=fn_tt_tt_1,USA,Approved,2000000,7.0
Eddie Vedder,Documentary,Michael Moore,1674,0,character name in title|election campaign|presidential election,http://www.imdb.com/title/tt0850669/?ref_=fn_tt_tt_1,USA,,2000000,5.3
