director_name,actor_3_facebook_likes,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Ben Falcone,265,Comedy,Peter Dinklage,16984,23562,1,business|girl scouts|orphanage|overweight woman|quitting a job,http://www.imdb.com/title/tt2702724/?ref_=fn_tt_tt_1,96,29000000,2016,779,5.3,0
Richard Attenborough,400,Biography|Drama|History,Denzel Washington,9913,18855,0,activist|editor|journalist|newspaper|south africa,http://www.imdb.com/title/tt0092804/?ref_=fn_tt_tt_1,51,29000000,1987,427,7.5,0
Lawrence Kasdan,933,Comedy|Drama,Zooey Deschanel,8134,17873,4,college|drugs|patient|psychologist|secret,http://www.imdb.com/title/tt0140397/?ref_=fn_tt_tt_1,123,28000000,1999,1000,6.9,209
Don Mancini,363,Comedy|Fantasy|Horror|Thriller,Jason Flemyng,28632,2567,0,actress|killer doll|murder|vixen|vomiting,http://www.imdb.com/title/tt0387575/?ref_=fn_tt_tt_1,214,12000000,2004,857,4.9,0
John Maybury,566,Drama|Mystery|Sci-Fi|Thriller,Jennifer Jason Leigh,92850,5085,0,gulf war veteran|morgue|shot in the head|vermont|veteran,http://www.imdb.com/title/tt0366627/?ref_=fn_tt_tt_1,263,29000000,2005,948,7.1,0
Ron Clements,631,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Robin Williams,260939,52970,0,arab|genie|magic|princess|reference to a thousand and one nights,http://www.imdb.com/title/tt0103639/?ref_=fn_tt_tt_1,244,28000000,1992,2000,8.0,0
F. Gary Gray,303,Biography|Crime|Drama|History|Music,Aldis Hodge,119928,2702,0,concert|gangsta rap|hip hop|nwa|rap music,http://www.imdb.com/title/tt1398426/?ref_=fn_tt_tt_1,331,28000000,2015,427,7.9,76000
Steven Spielberg,237,Action|Adventure,Harrison Ford,329969,11898,2,children|studio logo segues into film|temple|village|white dinner jacket,http://www.imdb.com/title/tt0087469/?ref_=fn_tt_tt_1,524,28000000,1984,429,7.6,0
Igor Kovalyov,368,Adventure|Animation|Comedy|Drama|Family|Musical,Elizabeth Daily,14005,3438,0,baby|home|hospital|lost|newborn baby,http://www.imdb.com/title/tt0134067/?ref_=fn_tt_tt_1,67,24000000,1998,503,5.9,418
Lee Tamahori,878,Crime|Drama|Thriller,Morgan Freeman,59232,17109,0,kidnapping|partner|ransom|school|secret service,http://www.imdb.com/title/tt0164334/?ref_=fn_tt_tt_1,317,60000000,2001,2000,6.3,0
Stephen Frears,83,Biography|Comedy|Drama|Music|Romance,Meryl Streep,2167,11534,3,heiress|opera singer|platonic marriage|singer|singing,http://www.imdb.com/title/tt4136084/?ref_=fn_tt_tt_1,32,29000000,2016,183,7.1,0
Robert Rodriguez,876,Action|Crime|Thriller,Johnny Depp,130094,46186,1,agent|cia|mariachi|mexican|president,http://www.imdb.com/title/tt0285823/?ref_=fn_tt_tt_1,471,29000000,2003,4000,6.4,0
John McTiernan,541,Action|Thriller,Alan Rickman,592582,40585,0,christmas|christmas eve|christmas party|held at gunpoint|hostage,http://www.imdb.com/title/tt0095016/?ref_=fn_tt_tt_1,722,28000000,1988,13000,8.2,25000
David Wain,526,Comedy,Joe Lo Truglio,195255,3400,1,absent father|big brother|community service|live action role playing|peter pan syndrome,http://www.imdb.com/title/tt0430922/?ref_=fn_tt_tt_1,170,28000000,2008,543,6.9,0
Adam McKay,767,Biography|Comedy|Drama|History,Ryan Gosling,182983,57308,4,bank|banking|finance|fraud|mortgage,http://www.imdb.com/title/tt1596363/?ref_=fn_tt_tt_1,374,28000000,2015,23000,7.8,99000
Ang Lee,210,Comedy|Drama|Music,Imelda Staunton,24663,1500,12,female full frontal nudity|female nudity|male frontal nudity|male full frontal nudity|male nudity,http://www.imdb.com/title/tt1127896/?ref_=fn_tt_tt_1,71,30000000,2009,489,6.7,0
Gavin O'Connor,250,Biography|Drama|History|Sport,Eddie Cahill,36636,1845,0,1980s|hockey|ice hockey|olympics|soviet union,http://www.imdb.com/title/tt0349825/?ref_=fn_tt_tt_1,289,28000000,2004,617,7.5,0
Zack Snyder,1000,Action|Horror|Thriller,Ty Burrell,194422,10438,0,mall|mayhem|nurse|rear entry sex|survival horror,http://www.imdb.com/title/tt0363547/?ref_=fn_tt_tt_1,1057,26000000,2004,2000,7.4,7000
Adam Shankman,968,Comedy|Romance,Matthew McConaughey,61317,17533,2,chick flick|doctor|horseback riding|wedding|wedding planner,http://www.imdb.com/title/tt0209475/?ref_=fn_tt_tt_1,229,35000000,2001,2000,5.2,0
Shinji Aramaki,47,Adventure|Animation|Sci-Fi,Shun Oguri,8227,386,0,liberty|space adventure|space opera|time travel|undercover agent,http://www.imdb.com/title/tt2668134/?ref_=fn_tt_tt_1,28,30000000,2013,59,6.5,0
Wes Anderson,327,Comedy|Drama,Bill Murray,209133,14609,1,brother brother relationship|family relationships|father daughter relationship|genius|thrown through a window,http://www.imdb.com/title/tt0265666/?ref_=fn_tt_tt_1,962,21000000,2001,1000,7.6,0
James Mangold,660,Mystery|Thriller,Clea DuVall,177828,3969,0,dissociative identity disorder|motel room key|murder|storm|stranded,http://www.imdb.com/title/tt0309698/?ref_=fn_tt_tt_1,714,30000000,2003,872,7.3,11000
Jon Turteltaub,966,Comedy|Romance,Robert De Niro,106755,35694,2,bachelor party|bloody mary the drink|bouncer|brooklyn new york city|vegas,http://www.imdb.com/title/tt1204975/?ref_=fn_tt_tt_1,173,28000000,2013,11000,6.6,27000
John Glen,244,Action|Adventure|Thriller,Julian Glover,72085,2118,1,agent|british|ice skater|ship|spy,http://www.imdb.com/title/tt0082398/?ref_=fn_tt_tt_1,263,28000000,1981,402,6.8,2000
Peter Chelsom,6,Comedy|Romance,Lilli Lavine,85423,37,0,christmas|destiny|fate|love|serendipity,http://www.imdb.com/title/tt0240890/?ref_=fn_tt_tt_1,374,28000000,2001,9,6.9,12000
Peter Hyams,186,Action|Crime|Sci-Fi|Thriller,Mia Sara,44394,2010,1,cop|corrupt politician|future|senator|time travel,http://www.imdb.com/title/tt0111438/?ref_=fn_tt_tt_1,115,27000000,1994,655,5.8,0
Ben Stiller,8000,Comedy,Milla Jovovich,201084,34565,0,fashion|malaysia|male model|reporter|rival,http://www.imdb.com/title/tt0196229/?ref_=fn_tt_tt_1,523,28000000,2001,10000,6.6,0
Lasse Hallström,325,Drama|Romance|Thriller,David Lyons,78008,1554,0,abusive husband|chick flick|north carolina|secret|widower,http://www.imdb.com/title/tt1702439/?ref_=fn_tt_tt_1,160,28000000,2013,447,6.7,23000
Kenny Ortega,115,Comedy|Family|Fantasy,Vinessa Shaw,60494,1275,0,candle|cat|halloween|spell|virgin,http://www.imdb.com/title/tt0107120/?ref_=fn_tt_tt_1,132,28000000,1993,336,6.7,16000
Scott Hicks,559,Comedy|Drama|Romance,Zoë Kravitz,59068,3497,2,chef|cooking|guardian|kitchen|restaurant,http://www.imdb.com/title/tt0481141/?ref_=fn_tt_tt_1,128,28000000,2007,763,6.3,0
Matthew Vaughn,385,Action|Comedy,Elizabeth McGovern,435864,2357,1,comic book|female killer|hit in the crotch|narrated by character|reference to batman,http://www.imdb.com/title/tt1250777/?ref_=fn_tt_tt_1,801,30000000,2010,488,7.7,36000
Ruben Fleischer,459,Action|Comedy|Crime,Bianca Kajlich,77935,1987,3,bank heist|bank robbery|heist gone wrong|pizza delivery boy|unlikely criminal,http://www.imdb.com/title/tt1622547/?ref_=fn_tt_tt_1,122,28000000,2011,579,6.1,0
Patrick Lussier,1000,Action|Fantasy|Horror|Thriller,Gerard Butler,27378,23344,0,dracula|gothic|painting|rescue|van helsing,http://www.imdb.com/title/tt0219653/?ref_=fn_tt_tt_1,365,28000000,2000,1000,4.9,0
Miguel Arteta,3000,Comedy|Family,Bella Thorne,29738,47677,6,bad day|based on book|birthday|job interview|long title,http://www.imdb.com/title/tt1698641/?ref_=fn_tt_tt_1,85,28000000,2014,7000,6.2,12000
Joe Wright,241,Drama|Romance,Talulah Riley,193455,1083,2,bachelor|england|gentleman|georgian|love,http://www.imdb.com/title/tt0414387/?ref_=fn_tt_tt_1,1058,28000000,2005,286,7.8,17000
Ridley Scott,521,Sci-Fi|Thriller,Harrison Ford,461609,13877,2,artificial intelligence|human android relationship|megacorporation|police detective|tech noir,http://www.imdb.com/title/tt0083658/?ref_=fn_tt_tt_1,1168,28000000,1982,759,8.2,34000
Michael Caton-Jones,902,Adventure|Biography,Liam Neeson,34427,16125,1,18th century|highlands|scotland|sexual cruelty|sword fight,http://www.imdb.com/title/tt0114287/?ref_=fn_tt_tt_1,126,28000000,1995,1000,6.9,0
McG,114,Action|Drama|Thriller,Connie Nielsen,69355,1286,0,cancer|estranged wife|leather dress|spy|terrorist,http://www.imdb.com/title/tt2172934/?ref_=fn_tt_tt_1,211,28000000,2014,194,6.2,10000
James Gray,97,Crime|Drama|Thriller,Robert Duvall,72693,3681,4,arrest|drugs|loyalty|raid|violence,http://www.imdb.com/title/tt0498399/?ref_=fn_tt_tt_1,199,21000000,2007,327,6.9,0
Janusz Kaminski,258,Drama|Horror|Thriller,Philip Baker Hall,9338,1805,2,faith|mental patient|priest|scheme|teacher,http://www.imdb.com/title/tt0160484/?ref_=fn_tt_tt_1,167,28000000,2000,347,4.8,209
Jacques Perrin,,Documentary,Jacques Perrin,10369,66,0,arctic|bad weather|flight|migration|ocean,http://www.imdb.com/title/tt0301727/?ref_=fn_tt_tt_1,153,160000000,2001,3,8.0,1000
Donald Petrie,585,Comedy|Fantasy|Romance,Samaire Armstrong,44103,3211,3,bad luck|band|kiss|luck|masquerade,http://www.imdb.com/title/tt0397078/?ref_=fn_tt_tt_1,149,28000000,2006,591,5.3,0
Jay Roach,385,Comedy|Drama|Sport,Scott Grimes,22250,2171,0,alaska|male nudity|nudity|sex|small town,http://www.imdb.com/title/tt0134618/?ref_=fn_tt_tt_1,123,28000000,1999,428,6.7,913
Brian Levant,453,Action|Comedy|Family,Madeline Carroll,29971,3436,4,chinese|cia|single mother|spy|terrorist,http://www.imdb.com/title/tt1273678/?ref_=fn_tt_tt_1,71,28000000,2010,626,5.4,0
Michael Ritchie,899,Comedy|Family|Fantasy,Mara Wilson,4288,5535,3,8 year old|convention|magic|magic wand|male fairy godmother,http://www.imdb.com/title/tt0120133/?ref_=fn_tt_tt_1,21,28000000,1997,937,5.4,517
John Carpenter,900,Action|Horror|Sci-Fi,Jason Statham,43006,28867,5,head on a stake|machine gun|martian|nuclear reactor|outer space,http://www.imdb.com/title/tt0228333/?ref_=fn_tt_tt_1,460,28000000,2001,1000,4.9,0
David Gordon Green,660,Comedy|Drama,Dominic Flores,11476,3944,2,bolivia|box office flop|inspired by documentary|presidential campaign|year 2002,http://www.imdb.com/title/tt1018765/?ref_=fn_tt_tt_1,50,28000000,2015,962,6.1,0
Burr Steers,845,Action|Horror|Romance,Matt Smith,23775,4710,0,based on novel|damsel in distress|deception|england|zombie,http://www.imdb.com/title/tt1374989/?ref_=fn_tt_tt_1,134,28000000,2016,860,5.8,73000
Martin Scorsese,0,Biography|Drama|History|War,Tenzin Thuthob Tsarong,21606,4,0,chinese|dalai lama|lama|tibet|tibetan,http://www.imdb.com/title/tt0119485/?ref_=fn_tt_tt_1,117,28000000,1997,2,7.0,0
Robert B. Weide,87,Comedy|Drama|Romance,James Corden,61269,858,4,celebrity|party|pig|starlet|writer,http://www.imdb.com/title/tt0455538/?ref_=fn_tt_tt_1,98,27000000,2008,261,6.5,0
Jeff Wadlow,405,Action|Comedy|Crime,Chloë Grace Moretz,202967,19168,0,hit in the crotch|kicked in the crotch|punched in the crotch|sparring|superhero,http://www.imdb.com/title/tt1650554/?ref_=fn_tt_tt_1,378,28000000,2013,927,6.6,36000
Agustín Díaz Yanes,278,Adventure|Drama|History|Romance|Thriller|War,Viggo Mortensen,10266,11669,1,desire|fighting|king|spain|trap,http://www.imdb.com/title/tt0395119/?ref_=fn_tt_tt_1,84,24000000,2006,1000,6.1,0
Camille Delamarre,561,Action|Crime|Drama|Thriller,Paul Walker,32103,25387,2,bare chested male bondage|crime lord|die hard scenario|two word title|undercover,http://www.imdb.com/title/tt1430612/?ref_=fn_tt_tt_1,112,28000000,2014,727,5.7,0
John Glen,293,Action|Adventure|Thriller,Louis Jourdan,74374,1898,0,agent|egg|faberge egg|general|russian,http://www.imdb.com/title/tt0086034/?ref_=fn_tt_tt_1,225,27500000,1983,303,6.6,0
Judd Apatow,529,Comedy|Romance,Harold Ramis,298590,12874,2,one night stand|pregnancy|slacker|unplanned pregnancy|website,http://www.imdb.com/title/tt0478311/?ref_=fn_tt_tt_1,559,30000000,2007,985,7.0,0
Nick Cassavetes,228,Drama,Jason Patric,74476,1775,2,hospital|leukemia|oncology|sick child|terminal illness,http://www.imdb.com/title/tt1078588/?ref_=fn_tt_tt_1,184,30000000,2009,489,7.4,15000
Malcolm D. Lee,436,Comedy|Drama|Romance,Mo'Nique,10791,3565,3,african american protagonist|comma in title|four word title|name in title|talk show host,http://www.imdb.com/title/tt0494652/?ref_=fn_tt_tt_1,39,35000000,2008,706,5.3,464
David Lean,162,Adventure|Drama|History,Richard Wilson,12980,1334,0,doctor|english|india|magistrate|mosque,http://www.imdb.com/title/tt0087892/?ref_=fn_tt_tt_1,89,16000000,1984,223,7.4,845
Richard Eyre,78,Crime|Drama|Romance|Thriller,Phil Davis,64625,646,0,age difference|school|student|teacher|writing,http://www.imdb.com/title/tt0465551/?ref_=fn_tt_tt_1,281,15000000,2006,99,7.4,0
Gavin Hood,11000,Drama|Thriller,J.K. Simmons,47203,50950,2,american|bare chested male bondage|cia|detention|interrogation,http://www.imdb.com/title/tt0804522/?ref_=fn_tt_tt_1,197,27500000,2007,15000,6.8,0
,535,Crime|Drama|Sci-Fi|Thriller,Colin Salmon,38177,2707,2,brain capacity|fbi|fictional drug|intelligence|taking a pill,http://www.imdb.com/title/tt4422836/?ref_=fn_tt_tt_1,131,,,638,7.9,11000
Nicholas Meyer,664,Action|Adventure|Sci-Fi|Thriller,Leonard Nimoy,55513,16230,0,captain|explosion|klingon|moon|peace,http://www.imdb.com/title/tt0102975/?ref_=fn_tt_tt_1,188,30000000,1991,1000,7.2,0
Callie Khouri,477,Drama,Ellen Burstyn,15352,3845,4,flashback|interview|louisiana|playwright|secret society,http://www.imdb.com/title/tt0279778/?ref_=fn_tt_tt_1,199,27000000,2002,482,6.0,0
Jon Favreau,591,Adventure|Drama|Family|Fantasy,Scarlett Johansson,106221,32921,0,fire|jungle|remake|tiger|wolf,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,398,175000000,2016,13000,7.8,65000
Gary Fleder,685,Crime|Drama|Mystery|Thriller,Morgan Freeman,50653,14322,1,detective|kidnapping|punching a heavy bag|serial killer|tied to a tree,http://www.imdb.com/title/tt0119468/?ref_=fn_tt_tt_1,143,27000000,1997,956,6.6,0
John Landis,326,Action|Comedy|Crime|Music,John Belushi,142448,2566,1,band|catholic|money|parolee|prison,http://www.imdb.com/title/tt0080455/?ref_=fn_tt_tt_1,319,27000000,1980,809,7.9,14000
Sanaa Hamri,523,Comedy|Drama|Family|Romance,America Ferrera,22304,3525,4,actor|drawing|friendship|pregnancy|turkey,http://www.imdb.com/title/tt1018785/?ref_=fn_tt_tt_1,33,,2008,713,6.2,894
Todd Graff,715,Comedy|Music,Dolly Parton,6476,3389,4,bare chested male|chips|two word title,http://www.imdb.com/title/tt1710396/?ref_=fn_tt_tt_1,71,25000000,2012,773,5.7,0
Chris Weitz,3,Comedy|Drama|Romance,Sharon Small,144021,74,0,boy|friend|imaginary son|single father|single mother,http://www.imdb.com/title/tt0276751/?ref_=fn_tt_tt_1,391,30000000,2002,5,7.1,0
Steve Miner,429,Action|Comedy|Horror,Oliver Platt,42761,3313,0,crocodile|eaten alive|lake|maine|sheriff,http://www.imdb.com/title/tt0139414/?ref_=fn_tt_tt_1,366,27000000,1999,888,5.6,2000
Paul McGuigan,1000,Crime|Drama|Mystery|Thriller,Bruce Willis,262153,26451,3,coroner|death|gay son|love|mistaken identity,http://www.imdb.com/title/tt0425210/?ref_=fn_tt_tt_1,507,27000000,2006,11000,7.8,10000
Philip Kaufman,820,Adventure|Drama|History,Dennis Quaid,45271,6341,0,astronaut|sound barrier|space program|u.s. air force|u.s. space program,http://www.imdb.com/title/tt0086197/?ref_=fn_tt_tt_1,170,27000000,1983,826,7.9,0
Roland Emmerich,358,Drama|History|Thriller,Vanessa Redgrave,34488,2452,3,earl of oxford|play|queen|rebellion|shakespeare play,http://www.imdb.com/title/tt1521197/?ref_=fn_tt_tt_1,136,30000000,2011,584,6.9,15000
Wolfgang Petersen,271,Adventure|Drama|Family|Fantasy,Gerald McRaney,99557,1560,1,book|dragon|story within the story|talking animal|werewolf,http://www.imdb.com/title/tt0088323/?ref_=fn_tt_tt_1,284,27000000,1984,312,7.4,21000
Alex Proyas,531,Action|Drama|Fantasy|Mystery|Sci-Fi|Thriller,Rufus Sewell,156929,4696,1,memory|murder|neo noir|retrofuturism|tech noir,http://www.imdb.com/title/tt0118929/?ref_=fn_tt_tt_1,624,27000000,1998,882,7.7,14000
Saul Dibb,844,Biography|Drama|History|Romance,Dominic Cooper,61777,6420,3,duchess|duke|heir|infidelity|marriage,http://www.imdb.com/title/tt0864761/?ref_=fn_tt_tt_1,140,13500000,2008,2000,6.9,0
,94,Comedy|Family,Jackie Gleason,3446,812,4,1950s|bus driver|money scheme|poverty|sewer,http://www.imdb.com/title/tt0042114/?ref_=fn_tt_tt_1,31,,,154,8.7,459
Walter Murch,137,Adventure|Family|Fantasy|Horror|Mystery,Piper Laurie,19568,960,0,chicken|delusional depression|doctor|king|mysterious girl,http://www.imdb.com/title/tt0089908/?ref_=fn_tt_tt_1,208,25000000,1985,146,6.7,0
Richard Linklater,324,Action|Crime|Drama|History|Western,Matthew McConaughey,8309,11969,4,bank robber|brother brother relationship|crime spree|explosive|train,http://www.imdb.com/title/tt0120769/?ref_=fn_tt_tt_1,39,27000000,1998,597,6.0,315
Christian Alvart,355,Horror|Mystery|Thriller,Bradley Cooper,60555,15790,1,death|fear|hairy chest|social worker|spinning in chair,http://www.imdb.com/title/tt0795351/?ref_=fn_tt_tt_1,174,27000000,2009,716,6.2,0
E. Elias Merhige,398,Crime|Drama|Mystery|Thriller,Harry Lennix,16555,1721,0,fbi|fbi agent|murder|salesman|serial killer,http://www.imdb.com/title/tt0324127/?ref_=fn_tt_tt_1,139,27000000,2004,489,5.9,817
Menno Meyjes,460,Comedy|Drama|Family,Oliver Platt,17436,2495,0,adopted son|adoption|boy|mars the planet|widower,http://www.imdb.com/title/tt0415965/?ref_=fn_tt_tt_1,71,27000000,2007,506,6.8,0
Robert Rodriguez,640,Action|Adventure|Comedy|Family|Sci-Fi,Alexa PenaVega,15866,4311,5,2010s|3 dimensional|breath holding contest|child spy|spy,http://www.imdb.com/title/tt1517489/?ref_=fn_tt_tt_1,83,27000000,2011,734,3.6,0
Jodie Foster,638,Crime|Drama|Thriller,Julia Roberts,19611,10894,1,death|hostage|money|shot in the chest|shot in the heart,http://www.imdb.com/title/tt2241351/?ref_=fn_tt_tt_1,103,27000000,2016,698,6.7,0
Ronny Yu,57,Action|Comedy|Crime|Thriller,Meat Loaf,42876,1044,2,american in the uk|drug lord|drugs|gangster|organized crime,http://www.imdb.com/title/tt0227984/?ref_=fn_tt_tt_1,167,28000000,2001,132,6.3,0
Joel Schumacher,638,Comedy|Crime|Drama,Robert De Niro,14612,46022,1,gay interest|gay lead character|gay republican|homosexual|neighbor,http://www.imdb.com/title/tt0155711/?ref_=fn_tt_tt_1,105,15000000,1999,22000,6.4,0
Renny Harlin,749,Crime|Horror|Mystery|Thriller,LL Cool J,49405,4186,0,fbi|group|island|serial killer|training,http://www.imdb.com/title/tt0297284/?ref_=fn_tt_tt_1,226,27000000,2004,968,6.4,2000
Barry Levinson,17000,Comedy|Drama,Robert De Niro,23767,71973,1,actor|agent|beard|cannes|hollywood,http://www.imdb.com/title/tt0486674/?ref_=fn_tt_tt_1,111,25000000,2008,18000,5.7,845
Norman Jewison,387,Drama|Thriller,Charlotte Rampling,4257,3286,4,eiffel tower|nazi|police|ritual|stew,http://www.imdb.com/title/tt0340376/?ref_=fn_tt_tt_1,52,23000000,2003,766,6.2,188
Kenneth Branagh,3,Drama|Musical|Romance,Kim-Marie Woodhouse,926,24,1,based on opera|evil|mozart|queen|walking wounded,http://www.imdb.com/title/tt0475331/?ref_=fn_tt_tt_1,19,27000000,2006,4,6.6,359
