num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,gross,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,num_user_for_reviews,language,content_rating,imdb_score,aspect_ratio
168,214,430,1900725,Ray Winstone,43205,2129,Danny Huston,232,English,R,7.4,2.35
27,14,400,2246000,Donny Boaz,2302,3384,Brent Anderson,20,English,PG,7.0,2.35
28,121,587,1646664,Damon Wayans,4518,2467,Paula Garcés,66,English,R,2.8,1.85
146,110,722,1190018,Christian Bale,261317,25088,Sean Pertwee,1137,English,R,7.5,2.35
67,55,2,1027749,Radha Mitchell,8087,1003,Matthew Walker,33,English,R,7.1,2.35
93,115,977,882710,Charlize Theron,16215,11433,Faye Dunaway,138,English,R,6.4,2.35
28,12,231,1064277,Chazz Palminteri,14015,1978,Toni Braxton,83,English,G,6.7,
131,11000,188,531009,Brad Pitt,7976,22319,Melvil Poupaud,61,English,R,5.3,2.35
105,78,101,410388,William Hootkins,13727,991,Rosalind Ayres,79,Japanese,PG-13,6.9,1.85
21,25,407,375474,Gerard Butler,2613,20354,Jimmy Jean-Louis,46,English,PG,6.2,2.35
140,46,902,578382,Ryan Gosling,41249,39515,Frank Langella,67,English,R,6.3,1.85
9,58,324,305070,Esai Morales,3843,1592,Sandrine Holt,25,English,R,6.4,2.35
83,0,3,206678,Jiao Xu,11391,82,Chi Chung Lam,66,Cantonese,PG,6.5,2.35
8,8,11,146072,Christian Clavier,7147,182,Marie-Anne Chazel,16,French,,6.0,2.35
138,14,311,1183354,Marco St. John,13026,1577,Anita Briem,75,English,PG-13,5.1,2.35
42,3,442,121972,Al Pacino,9868,15612,Mark Webber,81,English,R,5.5,1.85
,,9,,Peter Vaughan,18,344,Ewen Solon,,English,,7.2,
92,278,181,263365,Djimon Hounsou,6147,3785,Tom Conti,36,English,PG-13,5.4,2.35
140,448,648,54734,Emma Watson,20821,10982,Julian Richings,62,English,R,5.7,2.35
,23,51,,Necar Zadegan,118,726,Elea Oberon,,English,,5.2,1.85
29,10,60,,Andy Lau,5154,1113,Andy On,29,Mandarin,R,6.2,2.35
29,5,716,,Gerard Butler,25450,20472,Callum Rennie,118,English,R,6.7,2.35
39,0,700,,Leonard Nimoy,5203,15680,Noureen DeWulf,11,English,G,5.8,1.78
2,0,7,,Mani Bharathi,102,164,Kevin McGowan,1,English,,7.0,2.35
2,2,53,,Joey D. Vieira,50,1092,Jacqueline Lovell,3,English,PG,4.8,
,23,897,,Robert De Niro,178,27425,Edgar Ramírez,1,English,R,7.2,
64,160,889,,Milla Jovovich,21833,17957,Robert Forster,101,English,PG-13,5.6,2.35
120,17,897,,Nicolas Cage,43879,16355,Jodi Lyn O'Keefe,133,English,R,6.4,2.35
143,43,7,8047690,Toby Jones,77656,2608,Alan David,220,Mandarin,PG-13,7.5,2.35
160,34,155,476270,Moritz Bleibtreu,29602,1601,Martina Gedeck,110,German,R,7.4,1.85
92,0,232,184208848,Mary McDonnell,186485,2398,Maury Chaykin,382,English,PG-13,8.0,2.35
286,52,384,100292856,Justin Timberlake,160418,5547,Phyllis Smith,296,English,R,5.7,1.85
43,17,551,58571513,Al Pacino,30213,15914,Ellen Barkin,112,English,R,6.8,1.85
69,15,528,51431160,Dan Byrd,62861,3092,Julie Gonzalo,232,English,PG,5.9,1.85
242,0,157,103001286,David Arquette,222018,1212,Roger Jackson,869,English,R,7.2,2.35
149,17,670,41867960,Shannon Elizabeth,65512,3023,F. Murray Abraham,478,English,R,5.5,1.33
253,0,413,,Scatman Crothers,610333,2560,Joe Turkel,1320,English,R,8.4,1.37
198,0,459,210609762,Lea Thompson,732212,3230,J.J. Cohen,809,English,PG,8.5,1.18
147,37,545,40846082,Jeffrey Combs,45317,2872,Bridgette Wilson-Sampras,536,English,R,5.6,1.37
36,0,256,51697449,Eric Mendenhall,8346,1465,Hope Olaide Wilson,59,English,PG-13,4.1,1.85
6,97,319,,Kari J. Kramer,60,2374,Cabrina Collesides,6,English,,5.0,
181,8,110,27758465,Caroline Dhavernas,77987,1292,Kelli Barrett,120,English,PG-13,6.1,2.35
97,189,306,56127162,Taran Killam,57479,2020,David Moscow,205,English,PG-13,5.4,1.85
167,93,521,1357042,Mem Ferda,53977,35561,Ludivine Sagnier,125,English,R,7.1,2.35
,,211,,Nicole 'Snooki' Polizzi,29,1462,Paul 'Pauly D' DelVecchio,,English,TV-14,6.6,1.33
47,2,402,15911333,Mara Wilson,2855,2429,Peter Fonda,119,English,G,3.6,1.85
308,42,219,39103378,Radha Mitchell,93272,2609,John Aylward,251,English,R,6.5,2.35
246,6000,7,10049886,Bunta Sugawara,417971,44,Miyu Irino,902,Japanese,PG,8.6,1.85
23,0,30,,Andy Lau,1904,635,Terence Yin,12,Mandarin,,6.2,2.35
29,79,1000,8600000,Liam Neeson,17982,28094,Laurence Olivier,95,English,PG,7.0,2.35
252,33,326,21483154,Emily Watson,98741,1985,Roger Allam,236,English,PG-13,7.6,2.35
102,51,630,8396942,Katrina Bowden,72715,4324,Alice Greczyn,103,English,R,6.5,1.85
134,14,356,12561,Adam Scott,71276,4094,Dominique McElligott,181,English,PG,6.4,2.35
30,75,102,,James Mason,6156,1131,Stephen Boyd,91,English,Approved,6.7,2.2
136,31,562,6923891,Topher Grace,43867,5519,Dan Fogler,83,English,R,6.3,2.35
102,33,505,5308553,Holly Hunter,5147,3260,Dante Brown,37,English,PG,6.4,2.35
10,22,0,2119994,Darci Kistler,1153,2,Margaret Tracey,15,English,G,5.7,1.85
31,500,530,1292527,Steve Buscemi,3536,14579,Miranda Richardson,44,English,R,6.3,1.85
63,44,85,560512,Logan Lerman,550,8972,Tracy Letts,3,Hebrew,R,7.8,2.0
220,15,16000,64255243,Jimmy Bennett,80903,120797,Ryan Reynolds,518,English,R,6.0,2.35
241,0,836,22245861,Nicolas Cage,143251,25489,Roger Willie,710,English,R,7.7,1.85
252,0,233,20433940,Tony Nappo,78883,1876,Pedro Miguel Arce,662,English,R,6.2,2.35
23,15,27,,Louis Koo,625,151,Ching Wan Lau,4,Chinese,PG-13,5.7,1.85
156,0,551,10562387,Johnny Depp,213226,43105,Ellen Barkin,648,English,R,7.7,2.35
192,0,985,18439082,Jennifer Garner,94292,7252,Martin Starr,287,English,PG-13,6.4,1.85
351,89,329,150056505,Craig Roberts,216581,2771,Ike Barinholtz,397,English,R,6.4,2.35
57,55,360,119938730,Peter Greene,265818,2085,Reg E. Cathey,213,English,PG-13,6.9,1.85
99,545,697,114968774,Tom Hanks,153468,28018,John Heard,204,English,PG,7.3,1.85
343,119,6,128505958,Luenell,297014,505,Chester,1198,English,R,7.3,1.85
163,126,584,95001351,Linda Cardellini,131801,4380,Alanna Ubach,548,English,PG-13,6.2,2.35
110,12000,643,76400000,Leonard Nimoy,58743,14762,Walter Koenig,192,English,PG,6.6,2.35
233,301,457,75072454,Tom Wilkinson,96569,2759,JR Bourne,522,English,PG-13,6.7,2.35
91,31,489,65535067,Amy Poehler,59380,2604,Bree Turner,202,English,R,5.7,1.85
169,179,734,13998282,Nicolas Cage,24854,15044,Quinton Aaron,374,English,PG-13,3.1,2.35
142,15,172,6061759,Craig T. Nelson,49077,1615,Tyrone Giordano,475,English,PG-13,6.3,1.85
50,8,521,64955956,Harry Lennix,10104,3956,Kenan Thompson,69,English,PG-13,5.7,1.85
195,72,566,60057639,Bernie Mac,107815,3151,Alex Borstein,485,English,R,7.1,1.85
129,116,481,53868030,Will Ferrell,183425,10557,Robert Wagner,425,English,PG-13,7.0,2.35
156,52,261,59573085,Nia Vardalos,13562,2259,Joey Fatone,103,English,PG-13,6.1,2.35
103,42,557,52691009,Zachary Gordon,18727,3567,Fran Kranz,45,English,PG,6.6,2.35
217,323,794,59735548,Shane Black,290949,4223,Carl Weathers,629,English,R,7.8,1.85
134,869,521,51600000,Jeffrey Jones,270790,3076,Tom Hulce,549,English,R,8.3,2.35
146,29,458,43818159,Ming-Na Wen,27664,4867,Collins Pennie,260,English,PG-13,3.9,2.35
159,70,625,86049418,Tina Fey,245989,5032,Neil Flynn,554,English,PG-13,7.0,1.85
111,22,148,43601508,Raoul Bova,35718,1310,Mario Monicelli,317,English,PG-13,6.7,1.85
187,500,555,41300105,Kristin Scott Thomas,65201,3261,Tom Hollander,651,English,R,7.3,2.35
20,,650,,Peter Gallagher,65785,2546,Tate Donovan,281,English,TV-PG,7.5,1.78
44,0,805,41382841,Nicolas Cage,27149,14672,Joan Allen,96,English,PG-13,6.3,1.85
588,0,529,42335698,Emma Stone,395087,21668,Merritt Wever,1101,English,R,7.8,1.85
415,11000,218,33404871,Sally Hawkins,150082,1353,Andrew Dice Clay,384,English,PG-13,7.3,2.35
279,521,64,31471430,Christian Clemenson,83374,313,Susan Blommaert,828,English,R,7.6,2.35
97,23,582,30222640,Christian Monzon,36666,4868,Romeo Miller,144,English,PG-13,5.3,1.85
60,380,2000,26830000,Denzel Washington,101889,32930,Matthew Broderick,365,English,R,7.9,1.85
27,8,341,26906039,Hulk Hogan,29621,2653,Nicollette Sheridan,76,English,PG-13,5.3,1.85
212,0,606,21378000,Jamie Lee Curtis,46492,4877,Janet Leigh,335,English,R,6.8,2.35
110,80,723,43853424,Dennis Quaid,35514,5024,Craig T. Nelson,114,English,PG,7.1,2.35
45,0,191,,Bob Newhart,17277,2032,Martin Balsam,124,English,R,7.2,2.35
190,62,59,23993605,Collette Wolfe,52467,727,Dan Bakkedahl,248,English,R,5.8,2.35
77,130,406,26400000,Mako,62009,2481,Grace Jones,109,English,PG,5.8,2.35
151,17000,356,45250,Robert De Niro,235133,23008,Frank Vincent,494,English,R,8.3,1.85
111,7,827,22927390,Judy Greer,25344,4947,Frances Conroy,77,English,PG-13,5.6,1.85
64,272,124,4250320,Nicholas Rowe,14870,605,Freddie Jones,86,English,PG-13,6.8,1.85
134,64,637,22452209,Kelsey Grammer,14062,5734,Megan Mullally,82,English,PG,5.0,2.35
450,0,223,18329466,James Franco,279179,11984,Kate Burton,440,English,R,7.6,1.85
128,11000,975,17071230,Woody Allen,31169,23283,Michael Rapaport,192,English,PG,6.7,1.85
68,13,111,17174870,Amanda Schull,15817,1201,Ethan Stiefel,210,English,PG-13,6.7,2.35
97,24,85,26284475,Olivia Wilde,9051,10691,Timothée Chalamet,68,English,PG-13,5.7,2.35
54,38,362,16702864,Kristen Stewart,8023,18711,Kevin G. Schmidt,49,English,PG,5.2,1.85
99,34,1000,15561627,Ian Somerhalder,39105,21622,Kristin Scott Thomas,359,English,R,7.5,2.35
