director_name,num_critic_for_reviews,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,movie_title,num_voted_users,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,content_rating,budget,title_year,actor_2_facebook_likes,movie_facebook_likes
Martyn Pick,19,76,151,Steven Waddington,722,Action|Animation|Fantasy|Horror|Mystery|Sci-Fi|Thriller,"Ultramarines: A Warhammer 40,000 Movie ",4990,0,grimdark|mutilated corpse|space marine|ultramarines|warhammer 40k,64,English,R,,2010,212,0
Roland Suso Richter,33,90,327,Sarah Polley,1000,Mystery|Sci-Fi|Thriller,The I Inside ,9296,2,2000s|hospital|man in a wheelchair|year 2000|year 2002,57,English,R,8800000,2004,900,458
Jeremy Sims,17,122,59,Gyton Grantley,174,Drama|History|War,Beneath Hill 60 ,5741,12,blue clay|diversion|ends with biographical notes|ends with historical notes|tunnel,39,English,R,9000000,2010,109,0
Maïwenn,163,127,68,Maïwenn,580,Crime|Drama,Polisse ,10796,1,abusive parent|child molester|child protection|photographer|police,33,French,Not Rated,,2011,236,0
Joby Harold,133,84,896,Fisher Stevens,4000,Crime|Mystery|Thriller,Awake ,63216,0,anesthetic|anesthetic awareness|heart|heart surgery|surgery,196,English,R,8600000,2007,922,0
,47,23,265,James Arnold Taylor,668,Action|Adventure|Animation|Drama|Fantasy|Sci-Fi,Star Wars: The Clone Wars             ,28190,0,begins with narration|female warrior|inbetwequel|jedi knight|war against machines,73,English,TV-PG,,,296,2000
Ekachai Uekrongtham,66,96,305,Mike Dopud,2000,Action|Crime|Thriller,Skin Trade ,5228,5,bangkok thailand|detective|human trafficking|revenge|sex slavery,38,English,R,9000000,2014,368,0
Joel Schumacher,147,97,673,Jami Gertz,967,Comedy|Fantasy|Horror,The Lost Boys ,92924,3,1980s|california|death|small town|vampire,339,English,R,,1987,847,19000
Scott Cooper,273,112,175,Beth Grant,12000,Drama|Music|Romance,Crazy Heart ,67760,0,country music|country western singer|journalist|musician|singer,226,English,R,7000000,2009,628,0
Mark Rydell,32,125,122,Frederic Forrest,563,Drama|Music|Romance,The Rose ,6142,0,awol|demand|driver|drugs|roses,52,English,R,8500000,1979,236,1000
David E. Talbert,52,96,1000,Christina Milian,3000,Comedy,Baggage Claim ,7098,9,woman wearing only a man's shirt,41,English,PG-13,8500000,2013,1000,0
Roger Vadim,107,98,170,David Hemmings,949,Adventure|Comedy|Fantasy|Sci-Fi,Barbarella ,24436,2,41st century|angel|future|laser gun|space opera,186,English,PG,9000000,1968,178,0
Nils Gaup,6,92,3,Louisa Milwood-Haigh,35,Adventure|Family,Shipwrecked ,1984,2,boy|island|pirate|ship|treasure,14,English,PG,60000000,1990,6,278
Alexander Payne,175,103,133,Chris Klein,2000,Comedy|Drama,Election ,73640,0,female protagonist|high school|self destructiveness|student council president|student government,441,English,R,8000000,1999,841,0
Mira Nair,167,122,341,Brooke Smith,579,Drama,The Namesake ,16530,1,bengali|india|reference to gogol|train|train crash,117,English,PG-13,,2006,405,0
Ari Sandel,132,101,429,Romany Malco,35000,Comedy,The DUFF ,51326,4,cartoon on tv|generation y|high school|overalls|strong female character,116,English,PG-13,8500000,2015,966,8000
Vondie Curtis-Hall,66,104,202,Max Beesley,736,Drama|Music|Romance,Glitter ,19412,1,cult film|disc jockey|female protagonist|music business|one word title,308,English,PG-13,22000000,2001,218,0
Tom Elkins,79,101,559,Cicely Tyson,1000,Drama|Horror|Mystery|Thriller,The Haunting in Connecticut 2: Ghosts of Georgia ,13167,0,daughter|georgia|mother|slave|trailer,57,English,R,9000000,2013,907,0
Woo-Suk Kang,15,135,13,Sung-kee Ahn,28,Action|Drama,Silmido ,3290,0,based on book|based on true story|rape|title spoken by character,17,Korean,,8000000,2003,15,387
Jane Campion,222,119,179,Paul Schneider,2000,Biography|Drama|Romance,Bright Star ,21360,0,19th century|friend|john keats|passion|poet,110,English,PG,8500000,2009,552,0
Karan Johar,210,128,81,Jimmy Shergill,8000,Adventure|Drama|Thriller,My Name Is Khan ,69759,2,airport|asperger's syndrome|autism|muslim|racial profiling,235,Hindi,PG-13,12000000,2010,327,27000
Herbert Ross,60,107,304,Chris Penn,967,Drama|Music|Romance,Footloose ,51459,0,church|cowboy boots|dancing|high school dance|teenager,113,English,PG,8200000,1984,455,0
J.C. Chandor,346,106,,,0,Action|Adventure|Drama,All Is Lost ,59545,0,boat|container|sea|shipping container|storm,312,English,PG-13,9000000,2013,,18000
John Sayles,46,126,39,Casey Siemaszko,638,Adventure|Drama|Thriller,Limbo ,5158,0,alaska|island|motorboat|singer|wilderness,140,English,R,8000000,1999,107,196
Vipul Amrutlal Shah,15,128,119,Clive Standen,3000,Comedy|Drama|Romance,Namastey London ,13577,2,india|london england|marriage|stereotype|sugarcane,47,Hindi,,,2007,687,341
Ken Loach,169,127,6,Orla Fitzgerald,97,Drama|War,The Wind That Shakes the Barley ,36846,1,civil war|colonialism|hatred|independence|rural ireland,222,English,Not Rated,,2006,8,0
Ayan Mukerji,25,160,417,Madhuri Dixit,964,Comedy|Drama|Musical|Romance,Yeh Jawaani Hai Deewani ,25122,2,jealousy|jumping into sea|love|swimming pool|wet clothes,102,Hindi,Not Rated,,2013,551,0
John G. Avildsen,81,126,225,William Zabka,668,Action|Drama|Family|Sport,The Karate Kid ,126916,0,apartment|bully|fight|karate|master,235,English,PG,8000000,1984,641,0
Mervyn LeRoy,54,171,346,Deborah Kerr,440,Biography|Drama|History|Romance,Quo Vadis ,9808,0,christian|emperor|general|hostage|nero,90,English,Passed,7623000,1951,426,1000
Darren Lynn Bousman,147,150,636,Paris Hilton,2000,Horror|Musical|Sci-Fi,Repo! The Genetic Opera ,20419,1,future|murder|opera|repossession|surgery,259,English,R,8500000,2008,716,8000
Serdar Akar,16,122,173,Bergüzar Korel,205,Action|Adventure,Valley of the Wolves: Iraq ,14486,3,abu ghraib|bomb|christian|explosion|iraq,159,Arabic,,8300000,2006,197,467
Quentin Tarantino,215,178,857,Eric Stoltz,13000,Crime|Drama,Pulp Fiction ,1324680,1,black comedy|cunnilingus|neo noir|nonlinear timeline|postmodern,2195,English,R,8000000,1994,902,45000
James Frawley,63,95,842,Jim Henson,1000,Adventure|Comedy|Family|Musical,The Muppet Movie ,25498,0,friend|frog leg|on the road|restaurant|the muppets,92,English,G,,1979,985,0
Dan Gilroy,534,117,85,Michael Papajohn,15000,Crime|Drama|Thriller,Nightcrawler ,293304,1,employer employee relationship|ethics|journalism|sociopath|tv news,552,English,R,8500000,2014,241,65000
Jay Chandrasekhar,66,119,422,Lindsay Price,861,Comedy|Horror|Thriller,Club Dread ,23823,2,beach|island|party|resort|serial killer,201,English,R,8550000,2004,499,713
Robert Wise,119,174,195,Angela Cartwright,354,Biography|Drama|Family|Musical|Romance,The Sound of Music ,148172,3,austria|children|governess|love|orchestral music score,406,English,G,8200000,1965,209,15000
Ron Howard,43,111,51,Howard Morris,15000,Comedy|Fantasy|Romance,Splash ,54723,2,cmnf|cmnf scene|mermaid|new york city|public nudity,99,English,PG,8000000,1984,161,0
Jonathan Dayton,270,101,27,Steven Christopher Parker,7000,Comedy|Drama,Little Miss Sunshine ,355810,1,gay|graduate student|sister sister relationship|sprite|uncle nephew relationship,889,English,R,8000000,2006,150,15000
Rob Reiner,99,89,107,Frances Lee McCain,217,Adventure|Drama,Stand by Me ,271794,2,friendship|summertime|treehouse|walking on train tracks|woods,584,English,R,8000000,1986,107,24000
Danny Boyle,224,113,27,Megan Burns,133,Drama|Horror|Sci-Fi|Thriller,28 Days Later... ,297250,0,laboratory|london england|military|virus|zombie apocalypse,1441,English,R,8000000,2002,32,11000
Chris Stokes,58,95,360,Marques Houston,389,Drama|Music,You Got Served ,23671,0,competition|dance contest|friend|money|street dancing,247,English,PG-13,8000000,2004,363,0
Don Siegel,53,112,459,Patrick McGoohan,16000,Biography|Crime|Drama,Escape from Alcatraz ,87090,0,alcatraz|escape|inmate|island|prison,142,English,PG,8000000,1979,466,0
Rick Famuyiwa,37,109,458,Sanaa Lathan,1000,Comedy|Drama|Music|Romance,Brown Sugar ,5971,1,basketball|hip hop|rap music|record company|writer,60,English,PG-13,8000000,2002,886,0
Martin Lawrence,11,108,388,Lynn Whitfield,585,Comedy|Crime|Drama|Romance|Thriller,A Thin Line Between Love and Hate ,3122,2,african american|dating|independent film|irreverence|revenge,14,English,R,8000000,1996,434,559
Jonathan Levine,327,100,3000,Anna Kendrick,23000,Comedy|Drama|Romance,50/50 ,270441,2,best friend|cancer|survival rate|therapist|vomiting,378,English,R,8000000,2011,10000,40000
Masayuki Ochiai,135,90,297,David Denman,449,Horror|Mystery|Thriller,Shutter ,26609,1,car accident|japan|newlywed|photograph|photographer,148,English,PG-13,8000000,2008,332,0
George A. Romero,127,130,602,Hal Holbrook,875,Comedy|Fantasy|Horror,Creepshow ,29935,0,anthology|child abuse|critically acclaimed|death|grindhouse,211,English,R,8000000,1982,826,0
Tom Gormican,164,94,117,Lola Glaudini,363,Comedy|Romance,That Awkward Moment ,76791,3,dating|divorce|father daughter relationship|mother daughter relationship|party,100,English,R,8000000,2014,342,0
Ken Shapiro,14,93,213,Dabney Coleman,484,Comedy|Fantasy|Sci-Fi,Modern Problems ,3904,1,air traffic controller|nuclear waste|orgasm|telekinesis|voodoo,48,English,PG,8000000,1981,345,495
Justin Tipping,6,80,102,Natalie Stephany Aguilar,861,Adventure,Kicks ,59,,,6,English,R,,2016,163,240
Kenneth Branagh,41,111,591,Denzel Washington,18000,Comedy|Drama|Romance,Much Ado About Nothing ,37269,0,16th century|bachelor|dishonor|masquerade party|wedding,165,English,PG-13,8000000,1993,18000,0
Peter R. Hunt,143,142,244,George Lazenby,803,Action|Adventure|Thriller,On Her Majesty's Secret Service ,59941,2,bond girl|british|mission|portugal|switzerland,452,English,M,7000000,1969,314,0
,9,60,460,Philip Winchester,666,Action|Crime|Drama|Thriller,The Player             ,5817,2,bet|friend|pit boss|secret|surveillance,25,English,TV-14,,,579,0
Wes Craven,109,107,112,Heather Langenkamp,969,Fantasy|Horror|Mystery|Thriller,New Nightmare ,38191,0,earthquake|elm street|freddy krueger|nightmare|sleep,271,English,R,8000000,1994,449,0
John Schultz,59,91,292,Mark Webber,452,Comedy|Drama|Romance,Drive Me Crazy ,14904,2,centennial|girl|next door neighbor|prom|school,147,English,PG-13,8000000,1999,442,0
Doug Atchison,95,112,268,Sean Michael Afable,876,Drama,Akeelah and the Bee ,15337,0,national spelling bee|principal|school principal|spelling|spelling bee,172,English,PG,,2006,801,0
Tamra Davis,40,82,475,Harland Williams,744,Comedy|Crime,Half Baked ,48225,0,bail|diabetic|friend|jail|pharmaceutical lab,164,English,R,8000000,1998,503,0
Jonas Elmer,121,97,631,Frances Conroy,24000,Comedy|Romance,New in Town ,17461,1,love|manufacturing|minnesota|plant|small town,78,English,PG,8000000,2009,827,0
Stephen Gaghan,358,128,414,Amr Waked,13000,Drama|Thriller,Syriana ,109191,0,cia|hezbollah|lebanon|oil|prince,625,English,R,50000000,2005,903,0
Mary Harron,288,102,517,Justin Theroux,23000,Crime|Drama,American Psycho ,357275,1,1980s|business card|male rear nudity|materialism|narcissism,1061,English,R,7000000,2000,1000,18000
Miguel Arteta,107,93,596,Zooey Deschanel,15000,Drama|Romance,The Good Girl ,37952,3,dysfunctional marriage|marijuana|small town|store|trying to conceive,298,English,R,5000000,2002,11000,938
Erik Canuel,28,116,50,Richard Howland,539,Action|Comedy|Crime|Thriller,Bon Cop Bad Cop ,8616,2,border|hockey|killer|police|tattoo,90,English,R,8000000,2006,290,758
Troy Duffy,91,138,968,Julie Benz,12000,Action|Crime|Thriller,The Boondock Saints II: All Saints Day ,53251,0,final showdown|ireland|justice|priest|sheep,188,English,R,8000000,2009,3000,0
James Ivory,55,117,86,Omar Metwally,471,Drama|Romance,The City of Your Final Destination ,2311,1,child|student|university|widow|writer,25,English,PG-13,8300000,2009,277,638
Nicole Holofcener,231,93,216,Ben Falcone,434,Comedy|Drama|Romance,Enough Said ,49240,2,dating|divorcee|ex husband|ex wife|party,142,English,PG-13,8000000,2013,265,12000
Will Gluck,262,92,424,Dan Byrd,15000,Comedy|Romance,Easy A ,276746,1,gay|gay interest|high school|school|student,264,English,PG-13,8000000,2010,1000,19000
Matty Rich,7,110,582,Joe Morton,851,Comedy|Drama|Romance,The Inkwell ,1103,0,fire|marriage|martha's vineyard|teenager|vacation,11,English,R,,1994,780,160
E. Elias Merhige,196,92,306,Udo Kier,776,Drama|Horror,Shadow of the Vampire ,34191,1,actor|breasts|film actress|nosferatu|vampire,339,English,R,8000000,2000,595,0
Joe Nussbaum,83,104,741,Thomas McDonell,1000,Comedy|Drama,Prom ,12702,0,decoration|father daughter relationship|high school|prom|teenager,32,English,PG,8000000,2011,962,0
Matt Reeves,18,98,636,Michael Rapaport,1000,Comedy|Romance,The Pallbearer ,6124,2,bachelor party|directorial debut|funeral|pallbearer|wedding,55,English,PG-13,8000000,1996,975,125
Steve Rash,11,89,660,Nia Long,883,Comedy,Held Up ,2870,2,hold up|hostage|stockholm syndrome|swat team|vegetarian,34,English,PG-13,8000000,1999,826,77
Fina Torres,72,92,417,John de Lancie,1000,Comedy|Fantasy|Romance,Woman on Top ,8546,0,cross dresser|food|friend|motion sickness|restaurant,86,English,R,8000000,2000,905,859
James Ivory,51,140,136,Vanessa Redgrave,12000,Drama|Romance,Howards End ,21254,3,england|friendship|prejudice|upper class|working class,86,English,PG,,1992,898,788
,18,60,648,Joseph Gilgun,3000,Adventure|Drama|Fantasy|Mystery,Preacher             ,22848,0,heaven and hell|preacher|supernatural|vampire|vertigo comics,85,English,TV-MA,,,788,18000
Duke Johnson,328,90,0,Tom Noonan,1000,Animation|Comedy|Drama|Romance,Anomalisa ,31489,0,full frontal male nudity|hotel room|multiple characters voiced by same person|one night stand|sex in hotel room,140,English,R,8000000,2015,442,0
Mike Leigh,248,129,386,Imelda Staunton,1000,Comedy|Drama,Another Year ,23629,0,autumn|four seasons|friend|looking at one's self in a mirror|unhappiness,141,English,PG-13,10000000,2010,579,0
François Ozon,128,111,569,Isabelle Huppert,963,Comedy|Crime|Musical|Romance,8 Women ,23660,1,cook|industrialist|secret|snowstorm|suspect,162,French,R,8000000,2002,678,0
Mark L. Lester,45,79,112,Tia Carrere,1000,Action|Comedy|Crime|Thriller,Showdown in Little Tokyo ,12561,2,bare chested male|detective|electric torture|japanese american|yakuza,102,English,R,8000000,1991,1000,0
David Dobkin,49,104,168,Vince Vieluf,1000,Comedy|Crime,Clay Pigeons ,9494,1,breasts|serial killer|small town|vomiting|widow,109,English,R,8000000,1998,261,515
Anna Boden,163,101,472,Jeremy Davies,943,Comedy|Drama|Romance,It's Kind of a Funny Story ,106098,3,based on novel|depression|psychiatric ward|suicide attempt|therapy,150,English,PG-13,8000000,2010,769,20000
Nigel Cole,163,113,594,Robbie Kay,5000,Biography|Comedy|Drama|History,Made in Dagenham ,11158,6,equal pay|machinist|minister|protest|sex,73,English,R,7200000,2010,629,0
Anand Tucker,90,92,291,Jim Broadbent,14000,Biography|Drama,When Did You Last See Your Father? ,3571,2,cancer|children|death|terminal cancer|time,34,English,PG-13,8000000,2007,1000,429
Steve James,23,106,200,Laurel Holloman,1000,Biography|Drama|Romance|Sport,Prefontaine ,5673,2,long distance runner|olympics|oregon|runner|watching television,37,English,PG-13,8000000,1997,273,0
Michael Winner,17,98,249,Marina Sirtis,977,Adventure|Drama,The Wicked Lady ,802,0,female nudity|highwayman|nell gwynne|nudity|whipping,15,English,R,8000000,1983,649,79
Tomm Moore,118,75,4,Mick Lally,61,Adventure|Animation|Family|Fantasy,The Secret of Kells ,22811,0,barbarian|fairy|forest|monastery|unfinished book,71,English,Not Rated,6500000,2009,5,11000
John Carney,283,104,7,Karen Pittman,480,Drama|Music,Begin Again ,99430,1,manhattan new york city|new york city|record label|singer|song,182,English,R,8000000,2013,12,43000
David Jacobson,74,108,710,Bruce Dern,2000,Drama|Romance|Thriller,Down in the Valley ,16617,2,beach|cowboy|cowboy hat|neo western|valley,110,English,R,8000000,2005,844,412
Michael Corrente,41,99,209,Tony Devon,480,Crime|Drama,Brooklyn Rules ,5049,3,1980s|friend|friendship|loyalty|mafia,48,English,R,8000000,2007,257,226
Edward Hall,17,180,844,Hayley Atwell,3000,Drama|Romance,Restless ,2098,2,espionage|motel|mother son relationship|murder disguised as suicide|shot in the head,12,English,,,2012,2000,434
Keith Gordon,66,109,1000,Robin Wright,21000,Comedy|Crime|Musical|Mystery,The Singing Detective ,7116,2,detective|detective novel|fantasy sequence|hallucination|writer,79,English,R,8000000,2003,18000,494
David Leland,36,111,227,Catherine McCormack,735,Drama|Romance|War,The Land Girls ,1591,3,dorset|farm|friend|love|women's land army,27,English,R,,1998,306,75
Andrew Currie,140,93,33,Henry Czerny,553,Comedy|Drama|Horror|Sci-Fi,Fido ,25055,1,decapitation|neighbor|neighborhood|next door neighbor|zombie,98,English,R,8000000,2006,177,0
Andrew Wilson,32,99,399,Eddie Griffin,8000,Comedy|Drama|Romance,The Wendell Baker Story ,5159,4,directorial debut|fantasy sequence|nurse|old age home|prison,27,English,PG-13,8000000,2005,489,143
Jonathan Lynn,68,98,405,Rupert Everett,10000,Action|Comedy|Crime,Wild Target ,29994,4,apprentice|assassin|hitman|kleptomaniac|thief,86,English,PG-13,8000000,2010,692,0
Marc Schölermann,79,95,448,Larry Drake,905,Crime|Horror|Thriller,Pathology ,26849,0,corpse|dark humor|medical school|murder|pathology,107,English,R,8000000,2008,513,3000
,9,142,427,Jack O'Connell,27000,Drama|Romance,Wuthering Heights             ,6053,2,abuse|love|moor the landscape|revenge|tv mini series,33,English,,,,698,0
Robert Moresco,26,107,463,Brad Renfro,954,Crime|Drama|Thriller,10th & Wolf ,5557,5,desert storm|fbi|fbi agent|fragmentation grenade|woman kills attacker,34,English,R,8000000,2006,551,294
Thomas Vinterberg,100,102,488,Chris Owen,947,Comedy|Crime|Drama|Romance,Dear Wendy ,9003,0,gang|gun|loner|love|outcast,58,English,Unrated,50000000,2004,526,532
Claudia Llosa,56,97,47,Zen McGrath,144,Drama,Aloft ,2103,1,,11,English,R,8000000,2014,63,675
Katsuhiro Ôtomo,150,124,4,Takeshi Kusao,6,Action|Animation|Sci-Fi,Akira ,106160,0,based on manga|biker gang|gifted child|post thermonuclear war|science runs amok,430,Japanese,R,1100000000,1988,5,0
John Herzfeld,30,97,1000,Olivia Wilde,23000,Action|Crime|Thriller,The Death and Life of Bobby Z ,12078,2,drug lord|on the run|prison|vegan|vegetarian,31,English,R,22000000,2007,10000,0
Charles Binamé,20,124,23,Roy Dupuis,413,Biography|Drama|Sport,The Rocket: The Legend of Rocket Richard ,4412,0,fan|french canadian|hockey|hockey player|machinist,31,French,PG,8000000,2005,265,520
Keith Parmer,21,96,600,Josh Henderson,31000,Action|Crime|Drama|Thriller,Swelter ,1965,6,police officer killed|police officer shot in the chest|police officer shot in the forehead|police officer shot in the head|police shootout,24,English,R,8000000,2014,920,438
Dennie Gordon,11,114,11,Ruby Lin,163,Action|Adventure|Comedy|Romance,My Lucky Star ,322,2,,2,Chinese,,,2013,20,81
Ol Parker,85,90,112,Ben Miles,186,Comedy|Drama|Romance,Imagine Me & You ,23023,0,florist|friend|friendship|lesbian|love,149,English,R,7900000,2005,119,0
Bruce Beresford,5,104,189,Lucy Fry,502,Drama,Mr. Church ,63,0,,5,English,PG-13,8000000,2016,206,205
François Ozon,160,102,15,Ludivine Sagnier,844,Crime|Drama|Mystery|Thriller,Swimming Pool ,35065,0,luberon|mystery writer|night|publisher|swimming,288,English,R,,2003,521,0
James Nunn,25,93,376,Mark Wingett,1000,Action|Drama,Green Street 3: Never Back Down ,3740,2,bare breasts|firm|hooliganism|training|west ham supporter,13,English,R,,2013,524,0
David Webb Peoples,21,90,26,Joan Chen,848,Action|Sci-Fi|Sport,The Blood of Heroes ,4792,2,battle|blood splatter|combat|game|showdown,43,English,R,10000000,1989,643,999
Michael Winnick,15,106,391,Helena Mattsson,981,Action,Code of Honor ,662,0,gun|mayor|nightclub|police|vigilantism,14,English,R,8000000,2016,505,689
Bruce Beresford,61,99,325,Jessica Tandy,11000,Comedy|Drama|Family,Driving Miss Daisy ,72324,1,1950s|african american|jewish|old age|widow,134,English,PG,7500000,1989,509,3000
George Tillman Jr.,34,115,890,Mekhi Phifer,1000,Comedy|Drama,Soul Food ,5275,6,1990s|family relationships|food in title|sister|unity,30,English,R,7500000,1997,1000,508
Stanley Tong,62,89,36,Anita Mui,186,Action|Comedy,Rumble in the Bronx ,29843,1,fight|gang|greed|street gang|wedding,81,Cantonese,R,7500000,1995,147,0
David Oelhoffen,102,101,40,Reda Kateb,10000,Drama|War|Western,Far from Men ,4035,0,algerian war|based on short story|hostage|teacher|title at the end,19,French,,7700000,2014,154,2000
Jason Reitman,239,92,88,Cameron Bright,24000,Comedy|Drama,Thank You for Smoking ,191998,0,cigarette smoking|lobbyist|political satire|reporter|tobacco industry,323,English,R,6500000,2005,829,0
Eli Roth,252,94,658,Lauren German,1000,Horror,Hostel: Part II ,69989,0,american|hostel|slovakia|torture|train,384,English,R,10000000,2007,683,0
Lone Scherfig,278,100,221,Olivia Williams,3000,Drama,An Education ,112138,0,1960s|age difference|france|loss of virginity|oxford,237,English,PG-13,4500000,2009,766,12000
Anand Tucker,124,106,161,Bridgette Wilson-Sampras,827,Drama|Romance,Shopgirl ,21225,3,artist|depression|gloves|photography|slacker,268,English,R,,2005,545,1000
Tony Richardson,9,109,518,Beau Bridges,584,Comedy|Drama|Romance,The Hotel New Hampshire ,6595,0,football|hotel|teenage girl|terrorist|wien,61,English,R,7500000,1984,552,345
Joe Carnahan,127,105,147,Chi McBride,673,Crime|Drama|Mystery|Thriller,Narc ,34098,1,blood splatter|cover up|murder|police shootout|undercover,214,English,R,7500000,2002,466,1000
Paul Gross,9,102,280,Paul Gross,611,Comedy|Drama|Romance|Sport,Men with Brooms ,3709,3,championship|coach|curling|marriage|rural setting,83,English,R,7500000,2002,329,0
Charles Robert Carner,35,97,742,Jenny McCarthy,834,Comedy|Crime,Witless Protection ,5463,2,fbi|polo|possum|sheriff|shotgun,20,English,PG-13,7500000,2008,749,140
Russell Holt,6,118,249,Brenda Strong,373,Drama|Romance,The Work and the Glory ,833,1,1830s|baptism|intolerance|mormon church|sibling rivalry,33,English,PG,7500000,2004,266,31
Mike Judge,192,92,968,Mila Kunis,24000,Comedy|Crime|Romance,Extract ,37530,6,freak accident|gigolo|hit in the crotch|nosy neighbor|on the job injury,106,English,R,8000000,2009,15000,0
Larry Charles,51,112,844,Cheech Marin,12000,Comedy|Drama|Music,Masked and Anonymous ,3972,0,concert|jail|journalist|revolution|singer,95,English,PG-13,,2003,844,655
Claude Miller,38,103,59,Edouard Baer,71,Comedy|Crime|Drama|Romance|Thriller,Alias Betty ,1439,0,child|criminal|death|depression|novelist,26,French,,50000000,2001,59,26
Michael Winterbottom,133,93,158,Om Puri,631,Drama|Romance|Sci-Fi|Thriller,Code 46 ,18109,0,genetics|i.d.|love|sphinx|totalitarian,150,English,R,7500000,2003,163,0
Sacha Bennett,4,101,447,Jenny Agutter,5000,Comedy,Outside Bet ,243,3,,3,English,,7500000,2012,659,223
Paul Haggis,287,115,911,Loretta Devine,3000,Crime|Drama|Thriller,Crash ,361169,0,race relations|racism|racist|social problem|stereotype,1624,English,R,6500000,2004,912,18000
Rodrigo García,222,113,373,Michael McElhatton,3000,Drama,Albert Nobbs ,19616,3,19th century|hotel|painter|waiter|woman pretending to be a man,98,English,R,8000000,2011,415,0
Jeta Amata,6,95,36,Nathin Butler,262,Action|Crime|Drama|Thriller,Black November ,385,3,color in title|number in title|two word title,4,English,,7500000,2012,65,389
Siddharth Anand,16,153,60,Mary Goggin,532,Comedy|Family|Romance,Ta Ra Rum Pum ,2909,3,comeback|family relationships|marriage|new york|racer,37,Hindi,,6000000,2007,249,108
Vincent Paronnaud,242,89,106,Gena Rowlands,963,Animation|Biography|Drama|War,Persepolis ,70194,0,dream|girl|iran|islamic revolution|revolution,158,French,PG-13,7300000,2007,545,14000
Joe Dante,147,92,664,Teri Polo,844,Adventure|Fantasy|Thriller,The Hole ,19157,2,basement|family relationships|hole|no opening credits|slow motion scene,69,English,PG-13,12000000,2009,708,0
Dennis Gansel,93,107,93,Elyas M'Barek,287,Drama|Thriller,The Wave ,80639,0,autocracy|based on real events|dictatorship|germany|teacher,96,German,,5000000,2008,150,25000
Nicolas Winding Refn,253,118,500,Bella Heathcote,18000,Horror|Thriller,The Neon Demon ,9866,2,beauty|cannibalism|fashion|lesbian|model,73,English,R,7000000,2016,860,0
Daniel Barber,224,97,641,Jack O'Connell,788,Action|Crime|Drama|Thriller,Harry Brown ,74435,1,bayonet|death|police|self defense|widower,224,English,R,7300000,2009,698,0
Sam Raimi,392,156,4000,James Franco,24000,Action|Adventure|Romance,Spider-Man 3 ,383071,0,sandman|spider man|symbiote|venom|villain,1902,English,PG-13,258000000,2007,11000,0
Robert Marcarelli,39,100,440,William Hootkins,488,Action|Adventure|Fantasy|Sci-Fi|Thriller,The Omega Code ,4682,0,code|evil|false accusation|megalomaniac|torah,206,English,PG-13,7500000,1999,488,129
Jason Reitman,387,96,973,Jennifer Garner,24000,Comedy|Drama|Romance,Juno ,414335,0,adoption|baby|friend|pregnancy|school,881,English,PG-13,7500000,2007,3000,10000
Ernie Barbarash,36,104,96,Aki Aleong,294,Action|Thriller,Pound of Flesh ,4099,0,fighting|hand to hand combat|jujitsu|kickboxing|organ,29,English,R,7500000,2015,284,0
Guy Hamilton,120,120,175,Lois Maxwell,244,Action|Adventure|Thriller,Diamonds Are Forever ,74249,2,cat|diamond|ford mustang|james bond 007|yanked off bikini top,276,English,GP,7200000,1971,177,0
Francis Ford Coppola,208,175,3000,Marlon Brando,14000,Crime|Drama,The Godfather ,1155770,1,crime family|mafia|organized crime|patriarch|rise to power,2238,English,R,6000000,1972,10000,43000
Adrian Lyne,51,95,92,Cynthia Rhodes,225,Drama|Music|Romance,Flashdance ,35172,0,ballet school|dance|dancer|overalls|steel worker,128,English,R,4000000,1983,174,0
Marc Webb,331,95,11000,Chloë Grace Moretz,23000,Comedy|Drama|Romance,500 Days of Summer ,376600,43,friend|greeting card|office|summer|true love,494,English,PG-13,7500000,2009,17000,40000
Jane Campion,83,121,11,Ian Mune,1000,Drama|Music|Romance,The Piano ,63931,1,adultery|daughter|male rear nudity|new zealand|piano,241,English,R,7000000,1993,18,0
Steven Soderbergh,324,110,11000,Alex Pettyfer,17000,Comedy|Drama,Magic Mike ,108843,1,bank|male nudity|male objectification|male stripper|stripper,281,English,R,7000000,2012,15000,54000
Jonathan Liebesman,140,96,82,Emma Caulfield,1000,Horror|Mystery|Thriller,Darkness Falls ,25870,0,boy|darkness|light|tooth|tooth fairy,369,English,PG-13,11000000,2003,970,2000
Guy Hamilton,136,121,189,Geoffrey Holder,581,Action|Adventure|Thriller,Live and Let Die ,74957,3,british|cards|heroin|murder|tarot card,251,English,PG,7000000,1973,547,0
Jay Russell,79,95,430,Frankie Muniz,1000,Drama|Family|Sport,My Dog Skip ,16651,0,1940s|dog|mississippi|puppy|veteran,149,English,PG,5000000,2000,934,0
Adam Brooks,160,112,61,Sakina Jaffrey,16000,Comedy|Drama|Romance,"Definitely, Maybe ",127760,5,college|daughter|girl|sex|wisconsin,168,English,PG-13,,2008,109,0
Salim Akil,52,112,826,Loretta Devine,1000,Comedy|Drama,Jumping the Broom ,7973,8,martha's vineyard|mother|older woman younger man relationship|wedding|weekend,59,English,PG-13,6600000,2011,912,0
Baz Luhrmann,490,143,76,Elizabeth Debicki,29000,Drama|Romance,The Great Gatsby ,362933,4,ingratitude|mansion|party|title appears in writing|tragedy,753,English,PG-13,105000000,2013,509,115000
