director_name,num_critic_for_reviews,actor_3_facebook_likes,gross,actor_1_name,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio
James Foley,120,99,10725228,Kevin Spacey,Jude Ciccolella,1,http://www.imdb.com/title/tt0104348/?ref_=fn_tt_tt_1,365,English,R,12500000,14000,7.8,2.35
Michael Winterbottom,225,204,214966,Liam Aiken,Jay R. Ferguson,0,http://www.imdb.com/title/tt0954947/?ref_=fn_tt_tt_1,176,English,R,13000000,467,6.1,2.35
Paul Schrader,130,697,,Ed Begley Jr.,John Heard,1,http://www.imdb.com/title/tt0083722/?ref_=fn_tt_tt_1,106,English,R,18000000,782,6.1,1.85
Stewart Hendler,167,472,11956207,Julian Morris,Rumer Willis,2,http://www.imdb.com/title/tt1232783/?ref_=fn_tt_tt_1,126,English,R,16000000,668,5.1,2.35
John Cromwell,7,135,,David Niven,Ronald Colman,2,http://www.imdb.com/title/tt0029442/?ref_=fn_tt_tt_1,44,English,Approved,,185,7.8,1.37
Craig Gillespie,226,552,5949693,Ryan Gosling,Paul Schneider,1,http://www.imdb.com/title/tt0805564/?ref_=fn_tt_tt_1,299,English,PG-13,12000000,730,7.4,1.85
Mark Herman,185,18,9030581,Richard Johnson,Cara Horgan,0,http://www.imdb.com/title/tt0914798/?ref_=fn_tt_tt_1,398,English,PG-13,12500000,32,7.8,1.85
Lars von Trier,177,322,4157491,Catherine Deneuve,Björk,0,http://www.imdb.com/title/tt0168629/?ref_=fn_tt_tt_1,690,English,R,12800000,595,8.0,2.35
Gillian Armstrong,28,241,1508689,Tom Wilkinson,Clive Russell,2,http://www.imdb.com/title/tt0119843/?ref_=fn_tt_tt_1,50,English,R,16000000,653,6.7,2.35
Abel Ferrara,48,599,1227324,Isabella Rossellini,Gretchen Mol,3,http://www.imdb.com/title/tt0116378/?ref_=fn_tt_tt_1,48,English,R,12500000,787,6.6,1.85
Brian Koppelman,116,506,4360548,Jenna Fischer,Richard Schiff,7,http://www.imdb.com/title/tt1294213/?ref_=fn_tt_tt_1,60,English,R,15000000,681,6.4,1.85
Ethan Maniquis,391,844,26589953,Robert De Niro,Cheech Marin,1,http://www.imdb.com/title/tt0985694/?ref_=fn_tt_tt_1,392,English,R,10500000,982,6.7,1.85
George Hickenlooper,117,168,1039869,Kevin Spacey,Christian Campbell,5,http://www.imdb.com/title/tt1194417/?ref_=fn_tt_tt_1,51,English,R,15000000,322,6.2,2.35
Don Bluth,24,191,48092846,Judith Barsi,Bill Erwin,0,http://www.imdb.com/title/tt0095489/?ref_=fn_tt_tt_1,133,English,G,12500000,320,7.3,1.33
Je-kyu Kang,86,489,1110186,Min-sik Choi,Dong-gun Jang,2,http://www.imdb.com/title/tt0386064/?ref_=fn_tt_tt_1,224,Korean,R,12800000,517,8.1,2.35
William Dear,41,655,1089445,Clifton Collins Jr.,Bruce McGill,0,http://www.imdb.com/title/tt0473102/?ref_=fn_tt_tt_1,33,English,PG,12500000,844,7.0,2.35
William Friedkin,304,259,204565000,Ellen Burstyn,Lee J. Cobb,0,http://www.imdb.com/title/tt0070047/?ref_=fn_tt_tt_1,1058,English,R,8000000,931,8.0,1.37
Steven Spielberg,385,366,260000000,Roy Scheider,Murray Hamilton,0,http://www.imdb.com/title/tt0073195/?ref_=fn_tt_tt_1,962,English,PG,8000000,559,8.0,2.35
Paul Weitz,145,1000,101736215,Alyson Hannigan,Natasha Lyonne,6,http://www.imdb.com/title/tt0163651/?ref_=fn_tt_tt_1,789,English,R,11000000,1000,7.0,1.85
Stéphane Aubier,99,186,71442,Mackenzie Foy,Lambert Wilson,0,http://www.imdb.com/title/tt1816518/?ref_=fn_tt_tt_1,32,French,PG,9600000,637,7.9,1.85
Michael Ritchie,29,148,79817937,Victor Wong,Charlotte Lewis,1,http://www.imdb.com/title/tt0091129/?ref_=fn_tt_tt_1,69,English,PG-13,25000000,255,5.9,1.85
Tim Story,77,807,91547205,Chris Brown,Regina Hall,8,http://www.imdb.com/title/tt1621045/?ref_=fn_tt_tt_1,62,English,PG-13,12000000,966,6.6,2.35
Tim Story,91,436,75074950,Sean Patrick Thomas,Cedric the Entertainer,0,http://www.imdb.com/title/tt0303714/?ref_=fn_tt_tt_1,156,English,PG-13,12000000,528,6.3,1.85
Nicholas Meyer,148,664,78900000,Leonard Nimoy,Nichelle Nichols,2,http://www.imdb.com/title/tt0084726/?ref_=fn_tt_tt_1,359,English,PG,11000000,980,7.7,2.35
Tom Shadyac,61,567,72217000,Sean Young,David Margulies,1,http://www.imdb.com/title/tt0109040/?ref_=fn_tt_tt_1,242,English,PG-13,12000000,595,6.9,1.85
John Badham,84,793,79568000,Matthew Broderick,Ally Sheedy,0,http://www.imdb.com/title/tt0086567/?ref_=fn_tt_tt_1,152,English,PG,12000000,883,7.1,1.85
Peter Weir,83,733,65500000,Harrison Ford,Lukas Haas,1,http://www.imdb.com/title/tt0090329/?ref_=fn_tt_tt_1,175,English,R,12000000,10000,7.4,1.85
Mike McCoy,216,11,70011073,Alex Veadov,Rorke Denver,0,http://www.imdb.com/title/tt1591479/?ref_=fn_tt_tt_1,349,English,R,12000000,17,6.5,2.35
Anne Fletcher,107,920,65269010,Channing Tatum,Josh Henderson,0,http://www.imdb.com/title/tt0462590/?ref_=fn_tt_tt_1,271,English,PG-13,12000000,2000,6.5,2.35
Mike Judge,63,616,63071133,Bruce Willis,John Doman,0,http://www.imdb.com/title/tt0115641/?ref_=fn_tt_tt_1,154,English,PG-13,12000000,2000,6.8,1.85
Quentin Tarantino,140,889,39647595,Robert De Niro,Robert Forster,5,http://www.imdb.com/title/tt0119396/?ref_=fn_tt_tt_1,462,English,R,12000000,1000,7.5,1.85
Jon Hurwitz,153,816,38087366,Danneel Ackles,Beverly D'Angelo,2,http://www.imdb.com/title/tt0481536/?ref_=fn_tt_tt_1,165,English,R,12000000,954,6.6,1.85
Josh Trank,414,371,64572496,Michael Kelly,Ashley Hinshaw,0,http://www.imdb.com/title/tt1706593/?ref_=fn_tt_tt_1,471,English,PG-13,12000000,465,7.1,1.85
Barbra Streisand,16,122,30400000,Miriam Margolyes,Steven Hill,1,http://www.imdb.com/title/tt0086619/?ref_=fn_tt_tt_1,68,English,PG,12000000,194,6.6,1.85
Terry Gilliam,139,504,42365600,Shelley Duvall,Kenny Baker,0,http://www.imdb.com/title/tt0081633/?ref_=fn_tt_tt_1,177,English,PG,5000000,561,7.0,1.85
Tamra Davis,111,135,37188667,Britney Spears,Dave Allen,1,http://www.imdb.com/title/tt0275022/?ref_=fn_tt_tt_1,578,English,PG-13,12000000,188,3.3,1.85
Nima Nourizadeh,229,281,54724272,Dax Flame,Oliver Cooper,0,http://www.imdb.com/title/tt1636826/?ref_=fn_tt_tt_1,261,English,R,12000000,329,6.7,1.85
Franklin J. Schaffner,112,78,,George C. Scott,Bill Hickman,0,http://www.imdb.com/title/tt0066206/?ref_=fn_tt_tt_1,258,English,GP,12000000,416,8.0,2.2
Mark Romanek,207,933,31597131,Robin Williams,Connie Nielsen,0,http://www.imdb.com/title/tt0265459/?ref_=fn_tt_tt_1,605,English,R,12000000,989,6.8,1.85
John Erick Dowdle,198,1000,31691811,Andrew Fiscella,Dania Ramirez,0,http://www.imdb.com/title/tt1082868/?ref_=fn_tt_tt_1,369,English,R,12000000,1000,6.0,1.85
David Moreau,172,451,31397498,Chloë Grace Moretz,Obba Babatundé,1,http://www.imdb.com/title/tt0406759/?ref_=fn_tt_tt_1,156,English,PG-13,12000000,527,5.4,2.35
Christopher Erskin,45,826,31179516,Vanessa Williams,Shad Moss,5,http://www.imdb.com/title/tt0359517/?ref_=fn_tt_tt_1,49,English,PG-13,12000000,1000,4.3,2.35
Jesse Dylan,34,722,31155435,Hector Elizondo,T.J. Thyne,2,http://www.imdb.com/title/tt0278488/?ref_=fn_tt_tt_1,102,English,R,12000000,729,6.2,1.85
Brian Henson,75,84,27281507,Steven Mackintosh,Steve Whitmire,0,http://www.imdb.com/title/tt0104940/?ref_=fn_tt_tt_1,147,English,G,12000000,94,7.7,1.85
Martin Campbell,400,834,167007184,Eva Green,Ivana Milicevic,1,http://www.imdb.com/title/tt0381061/?ref_=fn_tt_tt_1,2301,English,PG-13,150000000,1000,8.0,2.35
Julie Taymor,128,898,25776062,Salma Hayek,Valeria Golino,0,http://www.imdb.com/title/tt0120679/?ref_=fn_tt_tt_1,271,English,R,12000000,1000,7.4,1.85
Dan Cutforth,68,8,25240988,Lexie Contursi,Anthony Burrell,0,http://www.imdb.com/title/tt2215719/?ref_=fn_tt_tt_1,50,English,PG,12000000,9,5.9,1.85
Josh Boone,326,733,124868837,Shailene Woodley,Nat Wolff,0,http://www.imdb.com/title/tt2582846/?ref_=fn_tt_tt_1,548,English,PG-13,12000000,1000,7.8,1.85
John Dahl,128,599,22905674,Matt Damon,Gretchen Mol,2,http://www.imdb.com/title/tt0128442/?ref_=fn_tt_tt_1,290,English,R,12000000,940,7.4,2.35
Chris Rock,161,555,25277561,Rosario Dawson,J.B. Smoove,10,http://www.imdb.com/title/tt2784678/?ref_=fn_tt_tt_1,93,English,R,12000000,966,6.5,2.35
John Frankenheimer,70,79,,Talia Shire,Robert Foxworth,1,http://www.imdb.com/title/tt0079758/?ref_=fn_tt_tt_1,75,English,PG,12000000,122,5.4,2.35
David Koepp,164,282,21133087,Illeana Douglas,Lusia Strus,0,http://www.imdb.com/title/tt0164181/?ref_=fn_tt_tt_1,374,English,R,12000000,301,7.0,1.85
,68,898,,Peter Mensah,Viva Bianca,2,http://www.imdb.com/title/tt1442449/?ref_=fn_tt_tt_1,302,English,TV-MA,,939,8.6,16.0
Stephen Frears,354,322,37707719,Steve Coogan,Peter Hermann,2,http://www.imdb.com/title/tt2431286/?ref_=fn_tt_tt_1,233,English,PG-13,12000000,482,7.6,1.85
Mike Binder,125,805,18761993,Alicia Witt,Joan Allen,1,http://www.imdb.com/title/tt0365885/?ref_=fn_tt_tt_1,219,English,R,9000000,931,6.9,2.35
Franklin J. Schaffner,55,801,,Laurence Olivier,Steve Guttenberg,3,http://www.imdb.com/title/tt0077269/?ref_=fn_tt_tt_1,123,English,R,12000000,837,7.0,1.85
Elizabeth Allen Rosenbaum,66,717,18595716,Tammin Sursok,Dichen Lachman,3,http://www.imdb.com/title/tt0429591/?ref_=fn_tt_tt_1,150,English,PG,12000000,826,5.3,1.85
Jake Schreier,191,376,31990064,Nat Wolff,Meg Crosbie,2,http://www.imdb.com/title/tt3622592/?ref_=fn_tt_tt_1,160,English,PG-13,12000000,558,6.4,2.35
Cheryl Dunye,33,581,17321573,Michael Imperioli,Bai Ling,5,http://www.imdb.com/title/tt0332712/?ref_=fn_tt_tt_1,18,English,PG-13,,691,4.5,1.85
Alexander Payne,433,622,17613460,Devin Ratray,Will Forte,0,http://www.imdb.com/title/tt1821549/?ref_=fn_tt_tt_1,274,English,R,12000000,844,7.8,2.35
Ernest R. Dickerson,66,580,21088568,CCH Pounder,Gary Farmer,1,http://www.imdb.com/title/tt0114608/?ref_=fn_tt_tt_1,104,English,R,13000000,851,6.7,1.85
Tim Hill,37,611,17292381,Noel Fisher,Larry Miller,0,http://www.imdb.com/title/tt0273799/?ref_=fn_tt_tt_1,69,English,PG,12000000,626,5.3,1.85
Jason Reitman,325,390,16300302,Charlize Theron,Collette Wolfe,1,http://www.imdb.com/title/tt1625346/?ref_=fn_tt_tt_1,203,English,R,12000000,786,6.3,1.85
Mark Neveldine,170,501,27829874,Jason Statham,Jose Pablo Cantillo,1,http://www.imdb.com/title/tt0479884/?ref_=fn_tt_tt_1,444,English,R,12000000,725,7.0,1.78
Lionel C. Martin,11,324,13960203,Bernie Mac,Lark Voorhies,2,http://www.imdb.com/title/tt0119326/?ref_=fn_tt_tt_1,15,English,R,,560,5.3,1.85
Richard LaGravenese,24,604,12902790,Holly Hunter,Jenette Goldstein,1,http://www.imdb.com/title/tt0120722/?ref_=fn_tt_tt_1,88,English,R,12000000,849,6.6,2.35
Sanaa Hamri,70,696,21520719,Common,Mehcad Brooks,1,http://www.imdb.com/title/tt1407061/?ref_=fn_tt_tt_1,36,English,PG,,826,5.8,2.35
Jonathan Demme,232,471,12796277,Anne Hathaway,Bill Irwin,1,http://www.imdb.com/title/tt1084950/?ref_=fn_tt_tt_1,281,English,R,,536,6.7,1.85
Bob Rafelson,34,85,,Anjelica Huston,John Colicos,0,http://www.imdb.com/title/tt0082934/?ref_=fn_tt_tt_1,48,English,R,12000000,230,6.6,1.85
Peter Webber,160,1000,11634362,Scarlett Johansson,Tom Wilkinson,0,http://www.imdb.com/title/tt0335119/?ref_=fn_tt_tt_1,296,English,PG-13,,14000,7.0,2.35
Wolfgang Petersen,96,18,11433134,Jürgen Prochnow,Herbert Grönemeyer,0,http://www.imdb.com/title/tt0082096/?ref_=fn_tt_tt_1,426,German,R,14000000,21,8.4,1.85
John Lee Hancock,106,877,22406362,Dennis Quaid,Jordi Mollà,0,http://www.imdb.com/title/tt0318974/?ref_=fn_tt_tt_1,267,English,PG-13,107000000,973,6.0,2.35
Wallace Wolodarsky,53,503,10198766,Heather Matarazzo,Harland Williams,3,http://www.imdb.com/title/tt0279781/?ref_=fn_tt_tt_1,105,English,R,12000000,526,5.4,1.85
Richard Curtis,274,171,15294553,Tom Hughes,Lindsay Duncan,1,http://www.imdb.com/title/tt2194499/?ref_=fn_tt_tt_1,391,English,R,12000000,555,7.8,2.35
Yimou Zhang,248,4,11041228,Takeshi Kaneshiro,Zhengyong Zhang,3,http://www.imdb.com/title/tt0385004/?ref_=fn_tt_tt_1,420,Mandarin,PG-13,100000000,483,7.6,2.35
Nicholas Jarecki,288,360,7918283,Nate Parker,Reg E. Cathey,1,http://www.imdb.com/title/tt1764183/?ref_=fn_tt_tt_1,145,English,R,12000000,591,6.6,1.85
Dean Israelite,177,265,22331028,Gary Weeks,Sofia Black-D'Elia,0,http://www.imdb.com/title/tt2436386/?ref_=fn_tt_tt_1,177,English,PG-13,12000000,328,6.4,2.35
Darnell Martin,81,192,8134217,Cedric the Entertainer,Tammy Blanchard,3,http://www.imdb.com/title/tt1042877/?ref_=fn_tt_tt_1,90,English,R,12000000,223,7.0,2.35
Scott Alexander,29,654,6982680,Sarah Silverman,Sherman Hemsley,0,http://www.imdb.com/title/tt0156323/?ref_=fn_tt_tt_1,69,English,PG-13,10000000,744,5.7,1.85
Stuart Gordon,58,968,6739141,Christopher Lambert,Clifton Collins Jr.,0,http://www.imdb.com/title/tt0106950/?ref_=fn_tt_tt_1,68,English,R,8000000,1000,5.9,1.85
Christopher Guest,144,783,5542025,John Michael Higgins,Ed Begley Jr.,0,http://www.imdb.com/title/tt0470765/?ref_=fn_tt_tt_1,150,English,PG-13,12000000,925,6.3,1.85
Woody Allen,114,99,5032496,Melanie Griffith,Greg Mottola,0,http://www.imdb.com/title/tt0120533/?ref_=fn_tt_tt_1,161,English,R,12000000,255,6.3,1.66
Ryan Murphy,132,316,6754898,Jill Clayburgh,Dagmara Dominczyk,0,http://www.imdb.com/title/tt0439289/?ref_=fn_tt_tt_1,188,English,R,12000000,398,6.2,2.35
Robert Iscove,60,251,4922166,Anika Noni Rose,Brian Dietzen,2,http://www.imdb.com/title/tt0339034/?ref_=fn_tt_tt_1,304,English,PG,12000000,281,2.1,1.85
Spike Lee,30,599,4903000,Michael Imperioli,Gretchen Mol,3,http://www.imdb.com/title/tt0116414/?ref_=fn_tt_tt_1,33,English,R,12000000,680,5.0,1.85
Jane Campion,138,48,4717455,Jennifer Jason Leigh,Susan Gardner,0,http://www.imdb.com/title/tt0199626/?ref_=fn_tt_tt_1,354,English,R,12000000,65,5.3,1.85
James Gray,190,103,3148482,Isabella Rossellini,Samantha Ivers,0,http://www.imdb.com/title/tt1103275/?ref_=fn_tt_tt_1,98,English,R,12000000,580,7.1,2.35
Fred Schepisi,61,794,2326407,Bob Hoskins,JJ Feild,5,http://www.imdb.com/title/tt0253200/?ref_=fn_tt_tt_1,99,English,R,12000000,1000,7.0,2.35
Joon-ho Bong,363,74,2201412,Doona Bae,Ah-sung Ko,0,http://www.imdb.com/title/tt0468492/?ref_=fn_tt_tt_1,279,Korean,R,12215500000,398,7.0,1.85
Roger Spottiswoode,2,212,,Robert Duvall,Paul Gleason,0,http://www.imdb.com/title/tt0082958/?ref_=fn_tt_tt_1,10,English,PG,12000000,642,5.7,1.85
Antonia Bird,131,611,2060953,Jeremy Davies,David Arquette,0,http://www.imdb.com/title/tt0129332/?ref_=fn_tt_tt_1,316,English,R,12000000,692,7.1,2.35
Jon Poll,146,442,3950294,Robert Downey Jr.,Hope Davis,5,http://www.imdb.com/title/tt0423977/?ref_=fn_tt_tt_1,124,English,R,12000000,569,7.0,1.85
Paolo Sorrentino,280,70,2835886,Toni Servillo,Serena Grandi,2,http://www.imdb.com/title/tt2358891/?ref_=fn_tt_tt_1,124,Italian,Not Rated,9200000,98,7.7,2.35
Peter Care,78,77,1779284,Kieran Culkin,Jake Richardson,4,http://www.imdb.com/title/tt0238924/?ref_=fn_tt_tt_1,122,English,R,12000000,165,7.1,1.85
Chan-wook Park,469,520,1702277,Mia Wasikowska,Harmony Korine,4,http://www.imdb.com/title/tt1682180/?ref_=fn_tt_tt_1,235,English,R,12000000,1000,6.8,2.35
Kar-Wai Wong,194,576,261481,Li Gong,Maggie Cheung,0,http://www.imdb.com/title/tt0212712/?ref_=fn_tt_tt_1,210,Cantonese,R,12000000,643,7.5,2.35
Ira Sachs,121,18,1506998,David Richmond-Peck,Timothy Webber,4,http://www.imdb.com/title/tt0804505/?ref_=fn_tt_tt_1,50,English,PG-13,12000000,46,6.3,1.85
Carroll Ballard,38,393,860002,Eamonn Walker,Campbell Scott,0,http://www.imdb.com/title/tt0361715/?ref_=fn_tt_tt_1,43,English,PG,12000000,442,7.3,1.85
Neil Jordan,123,289,548934,Tony Curran,Alicja Bachleda,2,http://www.imdb.com/title/tt1235796/?ref_=fn_tt_tt_1,57,English,PG-13,12000000,327,6.8,1.85
Takeshi Kitano,81,403,447750,Omar Epps,James Shigeta,0,http://www.imdb.com/title/tt0222851/?ref_=fn_tt_tt_1,133,English,R,10000000,685,7.2,1.85
Anthony Russo,72,146,333976,Michael Jeter,Andy Davoli,0,http://www.imdb.com/title/tt0271259/?ref_=fn_tt_tt_1,90,English,R,12000000,534,6.4,2.35
Sidney Lumet,25,745,141853,Kyra Sedgwick,Albert Brooks,2,http://www.imdb.com/title/tt0118901/?ref_=fn_tt_tt_1,12,English,R,12000000,754,6.0,1.85
Vadim Perelman,78,350,303439,Eva Amurri Martino,Brett Cullen,2,http://www.imdb.com/title/tt0815178/?ref_=fn_tt_tt_1,78,English,R,8000000,474,6.4,2.35
Lawrence Kasdan,57,820,793352,Dianne Wiest,Sam Shepard,1,http://www.imdb.com/title/tt1730687/?ref_=fn_tt_tt_1,25,English,PG-13,,830,5.1,2.35
Marco Kreuzpaintner,69,289,214202,Zack Ward,Alicja Bachleda,0,http://www.imdb.com/title/tt0399095/?ref_=fn_tt_tt_1,75,English,R,12000000,345,7.5,2.35
Lajos Koltai,73,0,195888,Marcell Nagy,Bálint Péntek,0,http://www.imdb.com/title/tt0367082/?ref_=fn_tt_tt_1,45,Hungarian,R,2500000000,2,7.1,2.35
Alan Rudolph,42,865,175370,Bruce Willis,Omar Epps,1,http://www.imdb.com/title/tt0120618/?ref_=fn_tt_tt_1,133,English,R,12000000,883,4.6,1.85
Yimou Zhang,101,3,190666,Honglei Sun,Dahong Ni,1,http://www.imdb.com/title/tt1428556/?ref_=fn_tt_tt_1,20,Mandarin,R,,4,5.7,2.35
Vincenzo Natali,82,280,,David Hewlett,Kari Matchett,2,http://www.imdb.com/title/tt0284978/?ref_=fn_tt_tt_1,124,English,R,7500000,327,6.8,1.85
Chuan Lu,149,3,119922,Ye Liu,Ryu Kohata,0,http://www.imdb.com/title/tt1124052/?ref_=fn_tt_tt_1,62,Mandarin,R,12000000,32,7.7,2.35
Tim Johnson,165,183,177343675,Jim Parsons,April Winchell,0,http://www.imdb.com/title/tt2224026/?ref_=fn_tt_tt_1,214,English,PG,135000000,523,6.7,1.85
Lijun Sun,5,188,,Jon Heder,Rebecca Black,0,http://www.imdb.com/title/tt1876517/?ref_=fn_tt_tt_1,12,Mandarin,PG,,618,3.2,
Takashi Yamazaki,44,16,,Takuya Kimura,Hiroyuki Ikeuchi,0,http://www.imdb.com/title/tt1477109/?ref_=fn_tt_tt_1,49,Japanese,TV-14,12000000,33,6.1,2.35
Renny Harlin,74,18,17149,Richard Coyle,Ana Imnadze,9,http://www.imdb.com/title/tt1486193/?ref_=fn_tt_tt_1,61,English,R,20000000,111,5.6,2.35
Christopher Smith,156,42,,Rachael Carpani,Emma Lung,1,http://www.imdb.com/title/tt1187064/?ref_=fn_tt_tt_1,293,English,R,12000000,168,6.9,2.35
Timothy Hines,1,247,14616,Christopher Lambert,Alexandra Callas,1,http://www.imdb.com/title/tt3453052/?ref_=fn_tt_tt_1,10,English,R,12000000,445,7.5,1.85
Randall Wallace,82,79,91443253,Jacob Vargas,Rob Moran,,http://www.imdb.com/title/tt1929263/?ref_=fn_tt_tt_1,153,English,PG,12000000,116,5.8,2.35
Guy Ritchie,151,1000,30093107,Jason Statham,Jason Flemyng,6,http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,726,English,R,6000000,11000,8.3,1.85
David Winters,3,84,,Gary Daniels,Ginger Jensen,6,http://www.imdb.com/title/tt2598580/?ref_=fn_tt_tt_1,7,English,PG,12000000,85,2.8,
Mary Lambert,98,426,57469179,Miko Hughes,Denise Crosby,0,http://www.imdb.com/title/tt0098084/?ref_=fn_tt_tt_1,248,English,R,11500000,886,6.6,1.85
Akira Kurosawa,25,4,48856,Tatsuo Matsumura,Akira Terao,0,http://www.imdb.com/title/tt0107474/?ref_=fn_tt_tt_1,40,Japanese,,11900000,6,7.5,1.85
Jamie Thraves,35,388,,Paddy Considine,Charlotte Sullivan,2,http://www.imdb.com/title/tt1034302/?ref_=fn_tt_tt_1,27,English,R,11500000,544,6.0,2.35
Mabel Cheung,6,2,,Wei Tang,Hailu Qin,1,http://www.imdb.com/title/tt3682770/?ref_=fn_tt_tt_1,6,Chinese,,12000000,27,6.2,2.35
Joe Dante,183,233,148170000,Phoebe Cates,Zach Galligan,0,http://www.imdb.com/title/tt0087363/?ref_=fn_tt_tt_1,245,English,PG,11000000,281,7.2,2.2
George Lucas,282,504,460935665,Harrison Ford,Kenny Baker,1,http://www.imdb.com/title/tt0076759/?ref_=fn_tt_tt_1,1470,English,PG,11000000,1000,8.7,2.35
Dan Mazer,158,411,35537564,Robert De Niro,Jason Mantzoukas,1,http://www.imdb.com/title/tt1860213/?ref_=fn_tt_tt_1,166,English,R,11500000,851,6.0,2.35
David Lean,89,382,111722000,Julie Christie,Geraldine Chaplin,2,http://www.imdb.com/title/tt0059113/?ref_=fn_tt_tt_1,255,English,PG-13,11000000,396,8.0,2.35
Stephen Daldry,101,14,10230,Wagner Moura,Daniel Zettel,0,http://www.imdb.com/title/tt1921149/?ref_=fn_tt_tt_1,26,Portuguese,R,,68,7.2,2.35
Kenny Ortega,128,632,90556401,Lucas Grabeel,Corbin Bleu,1,http://www.imdb.com/title/tt0962726/?ref_=fn_tt_tt_1,171,English,G,11000000,734,4.5,1.85
David O. Russell,410,141,93571803,Christian Bale,Melissa McMeekin,2,http://www.imdb.com/title/tt0964517/?ref_=fn_tt_tt_1,389,English,R,25000000,238,7.9,2.35
Jeff Tremaine,104,218,72755517,Bam Margera,Chris Pontius,0,http://www.imdb.com/title/tt0493430/?ref_=fn_tt_tt_1,196,English,R,,362,7.1,1.85
Jonathan Lynn,54,633,52929168,Fred Gwynne,Lane Smith,1,http://www.imdb.com/title/tt0104952/?ref_=fn_tt_tt_1,201,English,R,11000000,655,7.5,1.85
R.J. Cutler,141,602,50461335,Chloë Grace Moretz,Stacy Keach,3,http://www.imdb.com/title/tt1355630/?ref_=fn_tt_tt_1,132,English,PG-13,11000000,1000,6.8,2.35
Brian Trenchard-Smith,30,32,,Zoe Ventoura,Christopher Sommers,2,http://www.imdb.com/title/tt2968804/?ref_=fn_tt_tt_1,33,English,Not Rated,12000000,37,4.3,
David S. Ward,57,808,49797148,Corbin Bernsen,Rene Russo,3,http://www.imdb.com/title/tt0097815/?ref_=fn_tt_tt_1,97,English,R,11000000,854,7.2,1.85
Oliver Parker,56,621,,Lily Cole,Tamsin Egerton,5,http://www.imdb.com/title/tt0964587/?ref_=fn_tt_tt_1,102,English,PG-13,13500000,692,5.8,1.85
Joel Schumacher,216,328,46563158,Radha Mitchell,Richard T. Jones,0,http://www.imdb.com/title/tt0183649/?ref_=fn_tt_tt_1,629,English,R,13000000,465,7.1,2.35
Adam Shankman,80,488,41227069,Lauren German,Paz de la Huerta,1,http://www.imdb.com/title/tt0281358/?ref_=fn_tt_tt_1,962,English,PG,11000000,548,7.4,2.35
Tim Robbins,77,191,39025000,Lois Smith,Robert Prosky,0,http://www.imdb.com/title/tt0112818/?ref_=fn_tt_tt_1,190,English,R,11000000,258,7.6,1.85
Roger Kumble,101,637,38201895,Sarah Michelle Gellar,Eric Mabius,3,http://www.imdb.com/title/tt0139134/?ref_=fn_tt_tt_1,749,English,R,10500000,656,6.9,1.85
Kevin Greutert,156,647,27669413,Costas Mandylor,George Newbern,0,http://www.imdb.com/title/tt1233227/?ref_=fn_tt_tt_1,194,English,R,11000000,651,6.0,1.85
Mel Brooks,48,842,,Madeline Kahn,Dom DeLuise,0,http://www.imdb.com/title/tt0082517/?ref_=fn_tt_tt_1,131,English,R,11000000,898,6.9,2.35
Gina Prince-Bythewood,109,549,37766350,Nate Parker,Jennifer Hudson,5,http://www.imdb.com/title/tt0416212/?ref_=fn_tt_tt_1,56,English,PG-13,11000000,551,7.3,2.35
Rob Pritts,62,532,23978402,Vincent Pastore,Peter Berg,1,http://www.imdb.com/title/tt0250310/?ref_=fn_tt_tt_1,100,English,PG-13,11000000,580,4.6,1.85
Brian De Palma,33,298,21370057,Steven Bauer,Gregg Henry,0,http://www.imdb.com/title/tt0105217/?ref_=fn_tt_tt_1,80,English,R,12000000,330,6.0,1.85
Norman Jewison,20,279,,Sylvester Stallone,Rod Steiger,2,http://www.imdb.com/title/tt0077531/?ref_=fn_tt_tt_1,35,English,PG,11000000,595,6.4,1.85
Tobe Hooper,52,225,4884663,Louise Fletcher,William Bassett,0,http://www.imdb.com/title/tt0091276/?ref_=fn_tt_tt_1,64,English,PG,12000000,394,5.5,2.35
John Crowley,351,54,38317535,Julie Walters,Eva Birthistle,1,http://www.imdb.com/title/tt2381111/?ref_=fn_tt_tt_1,212,English,PG-13,11000000,55,7.5,1.85
Stanley Kubrick,124,111,,Ryan O'Neal,Hardy Krüger,0,http://www.imdb.com/title/tt0072684/?ref_=fn_tt_tt_1,369,English,PG,11000000,293,8.1,1.66
Brendan Malloy,37,651,13903262,Lee Majors,Thomas Lennon,0,http://www.imdb.com/title/tt0253798/?ref_=fn_tt_tt_1,90,English,PG-13,11000000,711,6.3,1.85
Reginald Hudlin,58,553,13592872,Will Ferrell,Tim Meadows,1,http://www.imdb.com/title/tt0213790/?ref_=fn_tt_tt_1,79,English,R,11000000,723,5.1,1.85
Dustin Hoffman,175,123,18381787,Luke Newberry,Pauline Collins,4,http://www.imdb.com/title/tt1441951/?ref_=fn_tt_tt_1,126,English,PG-13,11000000,156,6.8,2.35
Gregory Poirier,75,443,13558739,Shannon Elizabeth,David Ogden Stiers,0,http://www.imdb.com/title/tt0246989/?ref_=fn_tt_tt_1,121,English,R,11000000,660,5.3,1.85
