director_name,num_critic_for_reviews,duration,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,num_voted_users,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,title_year,actor_2_facebook_likes
Michael Moore,263,123,Tucker Albrizzi,909,24530513,Michael Moore,66610,Bill Clinton,1,http://www.imdb.com/title/tt0386032/?ref_=fn_tt_tt_1,429,English,PG-13,9000000,2007,203
James DeMonaco,285,103,Zach Gilford,2000,71519230,Noel Gugliemi,92364,Roberta Valderrama,0,http://www.imdb.com/title/tt2975578/?ref_=fn_tt_tt_1,244,English,R,9000000,2014,971
Kris Isacsson,64,91,Lauren German,3000,20035310,Rosario Dawson,12324,Shawn Hatosy,1,http://www.imdb.com/title/tt0186975/?ref_=fn_tt_tt_1,173,English,PG-13,9000000,2000,683
Danny Leiner,150,88,Fred Willard,982,18225165,Ethan Embry,155262,Paula Garcés,2,http://www.imdb.com/title/tt0366551/?ref_=fn_tt_tt_1,316,English,R,9000000,2004,729
Rod Lurie,136,126,Gary Oldman,12000,17804273,Jeff Bridges,20449,William Petersen,0,http://www.imdb.com/title/tt0208874/?ref_=fn_tt_tt_1,370,English,R,20000000,2000,10000
Ben Younger,132,120,Nia Long,14000,16938179,Vin Diesel,41313,Herbert Russell,3,http://www.imdb.com/title/tt0181984/?ref_=fn_tt_tt_1,246,English,R,8000000,2000,826
John Landis,71,116,Denholm Elliott,392,90400000,Don Ameche,102895,Ralph Bellamy,2,http://www.imdb.com/title/tt0086465/?ref_=fn_tt_tt_1,159,English,R,,1983,249
Glen Morgan,186,94,Crystal Lowe,607,16235293,Oliver Hudson,19918,Andrea Martin,0,http://www.imdb.com/title/tt0454082/?ref_=fn_tt_tt_1,278,English,R,9000000,2006,318
Daniel Taplitz,39,85,Tate Taylor,911,11827301,Jennifer Esposito,4247,Patrick Cranshaw,1,http://www.imdb.com/title/tt0349169/?ref_=fn_tt_tt_1,26,English,PG-13,,2004,150
Kenneth Branagh,46,137,Derek Jacobi,591,10161099,Brian Blessed,23441,Danny Webb,1,http://www.imdb.com/title/tt0097499/?ref_=fn_tt_tt_1,108,English,PG-13,9000000,1989,520
Tamara Jenkins,201,114,David Zayas,22000,6610326,Philip Seymour Hoffman,32188,Gbenga Akinnagbe,0,http://www.imdb.com/title/tt0775529/?ref_=fn_tt_tt_1,127,English,R,,2007,929
Linda Mendoza,32,76,Freddy Rodríguez,591,6126237,Carlos Ponce,3419,Maria Conchita Alonso,3,http://www.imdb.com/title/tt0323572/?ref_=fn_tt_tt_1,41,English,PG,,2003,579
Christopher McQuarrie,117,119,Nicky Katt,187,6047856,Kristin Lehman,27536,Dylan Kussman,4,http://www.imdb.com/title/tt0202677/?ref_=fn_tt_tt_1,327,English,R,8500000,2000,127
Burr Steers,136,99,Rory Culkin,1000,4681503,Kieran Culkin,29058,Bill Irwin,1,http://www.imdb.com/title/tt0280760/?ref_=fn_tt_tt_1,238,English,R,9000000,2002,710
Hart Bochner,15,79,Matt Ross,4000,4350774,Jon Favreau,10476,Chris Young,3,http://www.imdb.com/title/tt0110759/?ref_=fn_tt_tt_1,52,English,PG-13,8000000,1994,248
Michael O. Sajbel,46,114,Drew Fuller,970,3420871,Bill Cobbs,14100,Mircea Monroe,2,http://www.imdb.com/title/tt0482629/?ref_=fn_tt_tt_1,81,English,PG,,2006,906
,1,30,Katherine Kelly Lang,177,,Ronn Moss,5478,Hunter Tylo,0,http://www.imdb.com/title/tt0092325/?ref_=fn_tt_tt_1,54,English,TV-14,,,170
Stewart Raffill,41,91,John Carradine,1000,,Anjelica Huston,7767,Robert Urich,4,http://www.imdb.com/title/tt0087451/?ref_=fn_tt_tt_1,56,English,PG,9000000,1984,300
Davis Guggenheim,65,95,John Doman,702,2955039,Emma Bell,3624,Carly Schroeder,1,http://www.imdb.com/title/tt0441007/?ref_=fn_tt_tt_1,27,English,PG-13,9000000,2007,616
Bart Freundlich,100,103,Garry Shandling,745,1530535,Billy Crudup,7833,Dagmara Dominczyk,3,http://www.imdb.com/title/tt0427968/?ref_=fn_tt_tt_1,63,English,R,9000000,2005,591
Andrew Fleming,129,92,Amy Poehler,1000,4881867,Steve Coogan,15200,David Arquette,1,http://www.imdb.com/title/tt1104733/?ref_=fn_tt_tt_1,76,English,R,9000000,2008,1000
Todd Haynes,103,124,Eddie Izzard,23000,1043487,Christian Bale,27766,Janet McTeer,3,http://www.imdb.com/title/tt0120879/?ref_=fn_tt_tt_1,314,English,R,,1998,776
Hong-jin Na,77,156,Jun Kunimura,45,770629,Jung-min Hwang,2379,Woo-hee Chun,0,http://www.imdb.com/title/tt5215952/?ref_=fn_tt_tt_1,24,Korean,Not Rated,,2016,5
Kevin Tancharoen,67,84,Heather Morris,2000,11860839,Lea Michele,5156,Kevin McHale,0,http://www.imdb.com/title/tt1922612/?ref_=fn_tt_tt_1,21,English,PG,9000000,2011,892
Chatrichalerm Yukol,31,300,Chatchai Plengpanich,7,454255,Sarunyu Wongkrachang,1666,Mai Charoenpura,3,http://www.imdb.com/title/tt0290879/?ref_=fn_tt_tt_1,47,Thai,R,400000000,2001,6
Dario Argento,76,120,Adrienne Barbeau,982,349618,John Amos,4302,Sally Kirkland,1,http://www.imdb.com/title/tt0100827/?ref_=fn_tt_tt_1,45,English,R,9000000,1990,602
Eric Lavaine,17,98,Julie Engelbrecht,186,,Lambert Wilson,1673,Lionel Abelanski,1,http://www.imdb.com/title/tt3202120/?ref_=fn_tt_tt_1,1,French,,,2014,41
Mike Leigh,81,121,Ruth Sheen,149,112935,Lesley Manville,8161,Gary McDonald,0,http://www.imdb.com/title/tt0286261/?ref_=fn_tt_tt_1,94,English,R,9000000,2002,44
Marc Forby,26,97,Will Patton,679,883887,Q'orianka Kilcher,1201,Shaun Evans,3,http://www.imdb.com/title/tt1185344/?ref_=fn_tt_tt_1,14,English,PG,9000000,2009,537
Peter Cattaneo,24,86,Vince Colosimo,185,13751,Jacqueline McKenzie,813,Peter Callan,0,http://www.imdb.com/title/tt0420835/?ref_=fn_tt_tt_1,6,English,PG,11400000,2006,62
Scott Mann,44,93,Joshua Mikel,22000,,Robert De Niro,16198,D.B. Sweeney,1,http://www.imdb.com/title/tt3276924/?ref_=fn_tt_tt_1,57,English,R,19000000,2015,1000
Ole Christian Madsen,80,45,Thure Lindhardt,573,145109,Lars Mikkelsen,14247,Christian Berkel,1,http://www.imdb.com/title/tt0920458/?ref_=fn_tt_tt_1,44,Danish,Not Rated,45000000,2008,197
Meiert Avis,41,97,Kip Pardue,922,1046166,Fisher Stevens,2599,Perrey Reeves,4,http://www.imdb.com/title/tt0434424/?ref_=fn_tt_tt_1,45,English,PG-13,9000000,2005,374
Julian Jarrold,91,102,Warren Clarke,10000,,Andrew Garfield,9305,John Henshaw,0,http://www.imdb.com/title/tt1259574/?ref_=fn_tt_tt_1,44,English,Not Rated,,2009,281
André Téchiné,66,105,Ronit Elkabetz,963,2874,Catherine Deneuve,1219,Émilie Dequenne,1,http://www.imdb.com/title/tt1183672/?ref_=fn_tt_tt_1,14,French,Unrated,,2009,168
Emily Young,19,103,Erika Christensen,4000,,Sarah Michelle Gellar,10100,Jonathan Tucker,1,http://www.imdb.com/title/tt1068678/?ref_=fn_tt_tt_1,42,English,R,9000000,2009,931
Peter Faiman,35,93,Linda Kozlowski,442,174635000,Paul Hogan,74743,David Gulpilil,1,http://www.imdb.com/title/tt0090555/?ref_=fn_tt_tt_1,93,English,PG-13,8800000,1986,162
Martyn Pick,19,76,Steven Waddington,722,,Sean Pertwee,4990,Donald Sumpter,0,http://www.imdb.com/title/tt1679332/?ref_=fn_tt_tt_1,64,English,R,,2010,212
Roland Suso Richter,33,90,Sarah Polley,1000,,Stephen Graham,9296,Stephen Rea,2,http://www.imdb.com/title/tt0325596/?ref_=fn_tt_tt_1,57,English,R,8800000,2004,900
Jeremy Sims,17,122,Gyton Grantley,174,,Harrison Gilbertson,5741,Steve Le Marquand,12,http://www.imdb.com/title/tt1418646/?ref_=fn_tt_tt_1,39,English,R,9000000,2010,109
Maïwenn,163,127,Maïwenn,580,171320,Riccardo Scamarcio,10796,Karin Viard,1,http://www.imdb.com/title/tt1661420/?ref_=fn_tt_tt_1,33,French,Not Rated,,2011,236
Joby Harold,133,84,Fisher Stevens,4000,14373825,Hayden Christensen,63216,Denis O'Hare,0,http://www.imdb.com/title/tt0211933/?ref_=fn_tt_tt_1,196,English,R,8600000,2007,922
,47,23,James Arnold Taylor,668,,Dee Bradley Baker,28190,Tom Kane,0,http://www.imdb.com/title/tt0458290/?ref_=fn_tt_tt_1,73,English,TV-PG,,,296
Ekachai Uekrongtham,66,96,Mike Dopud,2000,162,Michael Jai White,5228,Celina Jade,5,http://www.imdb.com/title/tt1641841/?ref_=fn_tt_tt_1,38,English,R,9000000,2014,368
Joel Schumacher,147,97,Jami Gertz,967,32222567,Dianne Wiest,92924,Jason Patric,3,http://www.imdb.com/title/tt0093437/?ref_=fn_tt_tt_1,339,English,R,,1987,847
Scott Cooper,273,112,Beth Grant,12000,39462438,Jeff Bridges,67760,Debrianna Mansini,0,http://www.imdb.com/title/tt1263670/?ref_=fn_tt_tt_1,226,English,R,7000000,2009,628
Mark Rydell,32,125,Frederic Forrest,563,29200000,David Keith,6142,Alan Bates,0,http://www.imdb.com/title/tt0079826/?ref_=fn_tt_tt_1,52,English,R,8500000,1979,236
David E. Talbert,52,96,Christina Milian,3000,21564616,Djimon Hounsou,7098,Boris Kodjoe,9,http://www.imdb.com/title/tt1171222/?ref_=fn_tt_tt_1,41,English,PG-13,8500000,2013,1000
Roger Vadim,107,98,David Hemmings,949,,Jane Fonda,24436,Milo O'Shea,2,http://www.imdb.com/title/tt0062711/?ref_=fn_tt_tt_1,186,English,PG,9000000,1968,178
Nils Gaup,6,92,Louisa Milwood-Haigh,35,,Bjørn Sundquist,1984,Stian Smestad,2,http://www.imdb.com/title/tt0099816/?ref_=fn_tt_tt_1,14,English,PG,60000000,1990,6
Alexander Payne,175,103,Chris Klein,2000,14879556,Matthew Broderick,73640,Molly Hagan,0,http://www.imdb.com/title/tt0126886/?ref_=fn_tt_tt_1,441,English,R,8000000,1999,841
Mira Nair,167,122,Brooke Smith,579,13569248,Jacinda Barrett,16530,Tabu,1,http://www.imdb.com/title/tt0433416/?ref_=fn_tt_tt_1,117,English,PG-13,,2006,405
Ari Sandel,132,101,Romany Malco,35000,34017854,Bella Thorne,51326,Skyler Samuels,4,http://www.imdb.com/title/tt1666801/?ref_=fn_tt_tt_1,116,English,PG-13,8500000,2015,966
Vondie Curtis-Hall,66,104,Max Beesley,736,4273372,Mariah Carey,19412,Valarie Pettiford,1,http://www.imdb.com/title/tt0118589/?ref_=fn_tt_tt_1,308,English,PG-13,22000000,2001,218
Tom Elkins,79,101,Cicely Tyson,1000,,Abigail Spencer,13167,Brad James,0,http://www.imdb.com/title/tt1457765/?ref_=fn_tt_tt_1,57,English,R,9000000,2013,907
Woo-Suk Kang,15,135,Sung-kee Ahn,28,,Yu-mi Jeong,3290,Kyung-gu Sol,0,http://www.imdb.com/title/tt0387596/?ref_=fn_tt_tt_1,17,Korean,,8000000,2003,15
Jane Campion,222,119,Paul Schneider,2000,4440055,Abbie Cornish,21360,Samuel Roukin,0,http://www.imdb.com/title/tt0810784/?ref_=fn_tt_tt_1,110,English,PG,8500000,2009,552
Karan Johar,210,128,Jimmy Shergill,8000,4018695,Shah Rukh Khan,69759,Christopher B. Duncan,2,http://www.imdb.com/title/tt1188996/?ref_=fn_tt_tt_1,235,Hindi,PG-13,12000000,2010,327
Herbert Ross,60,107,Chris Penn,967,80000000,Dianne Wiest,51459,Lori Singer,0,http://www.imdb.com/title/tt0087277/?ref_=fn_tt_tt_1,113,English,PG,8200000,1984,455
J.C. Chandor,346,106,,0,6262942,Robert Redford,59545,,0,http://www.imdb.com/title/tt2017038/?ref_=fn_tt_tt_1,312,English,PG-13,9000000,2013,
John Sayles,46,126,Casey Siemaszko,638,1997807,Mary Elizabeth Mastrantonio,5158,Vanessa Martinez,0,http://www.imdb.com/title/tt0164085/?ref_=fn_tt_tt_1,140,English,R,8000000,1999,107
Vipul Amrutlal Shah,15,128,Clive Standen,3000,1207007,Katrina Kaif,13577,Riteish Deshmukh,2,http://www.imdb.com/title/tt0795434/?ref_=fn_tt_tt_1,47,Hindi,,,2007,687
Ken Loach,169,127,Orla Fitzgerald,97,1829142,Padraic Delaney,36846,Martin Lucey,1,http://www.imdb.com/title/tt0460989/?ref_=fn_tt_tt_1,222,English,Not Rated,,2006,8
Ayan Mukerji,25,160,Madhuri Dixit,964,3827466,Ranbir Kapoor,25122,Aditya Roy Kapoor,2,http://www.imdb.com/title/tt2178470/?ref_=fn_tt_tt_1,102,Hindi,Not Rated,,2013,551
John G. Avildsen,81,126,William Zabka,668,90800000,Martin Kove,126916,William Bassett,0,http://www.imdb.com/title/tt0087538/?ref_=fn_tt_tt_1,235,English,PG,8000000,1984,641
Mervyn LeRoy,54,171,Deborah Kerr,440,,Peter Ustinov,9808,Robert Taylor,0,http://www.imdb.com/title/tt0043949/?ref_=fn_tt_tt_1,90,English,Passed,7623000,1951,426
Darren Lynn Bousman,147,150,Paris Hilton,2000,140244,Alexa PenaVega,20419,Paul Sorvino,1,http://www.imdb.com/title/tt0963194/?ref_=fn_tt_tt_1,259,English,R,8500000,2008,716
Serdar Akar,16,122,Bergüzar Korel,205,,Necati Sasmaz,14486,Ghassan Massoud,3,http://www.imdb.com/title/tt0493264/?ref_=fn_tt_tt_1,159,Arabic,,8300000,2006,197
Quentin Tarantino,215,178,Eric Stoltz,13000,107930000,Bruce Willis,1324680,Phil LaMarr,1,http://www.imdb.com/title/tt0110912/?ref_=fn_tt_tt_1,2195,English,R,8000000,1994,902
James Frawley,63,95,Jim Henson,1000,76657000,Madeline Kahn,25498,Dom DeLuise,0,http://www.imdb.com/title/tt0079588/?ref_=fn_tt_tt_1,92,English,G,,1979,985
Dan Gilroy,534,117,Michael Papajohn,15000,32279955,Jake Gyllenhaal,293304,James Huang,1,http://www.imdb.com/title/tt2872718/?ref_=fn_tt_tt_1,552,English,R,8500000,2014,241
Jay Chandrasekhar,66,119,Lindsay Price,861,4992159,Brittany Daniel,23823,Jay Chandrasekhar,2,http://www.imdb.com/title/tt0331953/?ref_=fn_tt_tt_1,201,English,R,8550000,2004,499
Robert Wise,119,174,Angela Cartwright,354,163214286,Eleanor Parker,148172,Nicholas Hammond,3,http://www.imdb.com/title/tt0059742/?ref_=fn_tt_tt_1,406,English,G,8200000,1965,209
Ron Howard,43,111,Howard Morris,15000,69800000,Tom Hanks,54723,Patrick Cronin,2,http://www.imdb.com/title/tt0088161/?ref_=fn_tt_tt_1,99,English,PG,8000000,1984,161
Jonathan Dayton,270,101,Steven Christopher Parker,7000,59889948,Steve Carell,355810,Jill Talley,1,http://www.imdb.com/title/tt0449059/?ref_=fn_tt_tt_1,889,English,R,8000000,2006,150
Rob Reiner,99,89,Frances Lee McCain,217,52287414,Marshall Bell,271794,Casey Siemaszko,2,http://www.imdb.com/title/tt0092005/?ref_=fn_tt_tt_1,584,English,R,8000000,1986,107
Danny Boyle,224,113,Megan Burns,133,45063889,Noah Huntley,297250,David Schneider,0,http://www.imdb.com/title/tt0289043/?ref_=fn_tt_tt_1,1441,English,R,8000000,2002,32
Chris Stokes,58,95,Marques Houston,389,40066497,Jennifer Freeman,23671,Steve Harvey,0,http://www.imdb.com/title/tt0365957/?ref_=fn_tt_tt_1,247,English,PG-13,8000000,2004,363
Don Siegel,53,112,Patrick McGoohan,16000,36500000,Clint Eastwood,87090,Fred Ward,0,http://www.imdb.com/title/tt0079116/?ref_=fn_tt_tt_1,142,English,PG,8000000,1979,466
Rick Famuyiwa,37,109,Sanaa Lathan,1000,27362712,Boris Kodjoe,5971,Wendell Pierce,1,http://www.imdb.com/title/tt0297037/?ref_=fn_tt_tt_1,60,English,PG-13,8000000,2002,886
Martin Lawrence,11,108,Lynn Whitfield,585,34746109,Faizon Love,3122,Della Reese,2,http://www.imdb.com/title/tt0117891/?ref_=fn_tt_tt_1,14,English,R,8000000,1996,434
Jonathan Levine,327,100,Anna Kendrick,23000,34963967,Joseph Gordon-Levitt,270441,Bryce Dallas Howard,2,http://www.imdb.com/title/tt1306980/?ref_=fn_tt_tt_1,378,English,R,8000000,2011,10000
Masayuki Ochiai,135,90,David Denman,449,25926543,James Kyson,26609,Daisy Betts,1,http://www.imdb.com/title/tt0482599/?ref_=fn_tt_tt_1,148,English,PG-13,8000000,2008,332
George A. Romero,127,130,Hal Holbrook,875,,Ted Danson,29935,Adrienne Barbeau,0,http://www.imdb.com/title/tt0083767/?ref_=fn_tt_tt_1,211,English,R,8000000,1982,826
Tom Gormican,164,94,Lola Glaudini,363,26049082,Mackenzie Davis,76791,Josh Pais,3,http://www.imdb.com/title/tt1800246/?ref_=fn_tt_tt_1,100,English,R,8000000,2014,342
Ken Shapiro,14,93,Dabney Coleman,484,,Brian Doyle-Murray,3904,Mary Kay Place,1,http://www.imdb.com/title/tt0082763/?ref_=fn_tt_tt_1,48,English,PG,8000000,1981,345
Justin Tipping,6,80,Natalie Stephany Aguilar,861,,Tina Gilton,59,Justin Hall,,http://www.imdb.com/title/tt4254584/?ref_=fn_tt_tt_1,6,English,R,,2016,163
Kenneth Branagh,41,111,Denzel Washington,18000,22551000,Keanu Reeves,37269,Brian Blessed,0,http://www.imdb.com/title/tt0107616/?ref_=fn_tt_tt_1,165,English,PG-13,8000000,1993,18000
Peter R. Hunt,143,142,George Lazenby,803,22800000,Telly Savalas,59941,Desmond Llewelyn,2,http://www.imdb.com/title/tt0064757/?ref_=fn_tt_tt_1,452,English,M,7000000,1969,314
,9,60,Philip Winchester,666,,Nick Wechsler,5817,Jeff Marlow,2,http://www.imdb.com/title/tt4474310/?ref_=fn_tt_tt_1,25,English,TV-14,,,579
Wes Craven,109,107,Heather Langenkamp,969,18090181,Miko Hughes,38191,Tracy Middendorf,0,http://www.imdb.com/title/tt0111686/?ref_=fn_tt_tt_1,271,English,R,8000000,1994,449
John Schultz,59,91,Mark Webber,452,17843379,Stephen Collins,14904,Keri Lynn Pratt,2,http://www.imdb.com/title/tt0164114/?ref_=fn_tt_tt_1,147,English,PG-13,8000000,1999,442
Doug Atchison,95,112,Sean Michael Afable,876,18811135,Curtis Armstrong,15337,Tzi Ma,0,http://www.imdb.com/title/tt0437800/?ref_=fn_tt_tt_1,172,English,PG,,2006,801
Tamra Davis,40,82,Harland Williams,744,17278980,Dave Chappelle,48225,Clarence Williams III,0,http://www.imdb.com/title/tt0120693/?ref_=fn_tt_tt_1,164,English,R,8000000,1998,503
Jonas Elmer,121,97,Frances Conroy,24000,16699684,J.K. Simmons,17461,Harry Connick Jr.,1,http://www.imdb.com/title/tt1095174/?ref_=fn_tt_tt_1,78,English,PG,8000000,2009,827
Stephen Gaghan,358,128,Amr Waked,13000,50815288,Matt Damon,109191,Kayvan Novak,0,http://www.imdb.com/title/tt0365737/?ref_=fn_tt_tt_1,625,English,R,50000000,2005,903
Mary Harron,288,102,Justin Theroux,23000,15047419,Christian Bale,357275,Samantha Mathis,1,http://www.imdb.com/title/tt0144084/?ref_=fn_tt_tt_1,1061,English,R,7000000,2000,1000
Miguel Arteta,107,93,Zooey Deschanel,15000,14015786,Jake Gyllenhaal,37952,Tim Blake Nelson,3,http://www.imdb.com/title/tt0279113/?ref_=fn_tt_tt_1,298,English,R,5000000,2002,11000
Erik Canuel,28,116,Richard Howland,539,,Colm Feore,8616,Sarain Boylan,2,http://www.imdb.com/title/tt0479647/?ref_=fn_tt_tt_1,90,English,R,8000000,2006,290
Troy Duffy,91,138,Julie Benz,12000,10269307,Norman Reedus,53251,Clifton Collins Jr.,0,http://www.imdb.com/title/tt1300851/?ref_=fn_tt_tt_1,188,English,R,8000000,2009,3000
James Ivory,55,117,Omar Metwally,471,,Alexandra Maria Lara,2311,Diego Velazquez,1,http://www.imdb.com/title/tt0896923/?ref_=fn_tt_tt_1,25,English,PG-13,8300000,2009,277
Nicole Holofcener,231,93,Ben Falcone,434,17536788,Christopher Nicholas Smith,49240,Michaela Watkins,2,http://www.imdb.com/title/tt2390361/?ref_=fn_tt_tt_1,142,English,PG-13,8000000,2013,265
Will Gluck,262,92,Dan Byrd,15000,58401464,Emma Stone,276746,Fred Armisen,1,http://www.imdb.com/title/tt1282140/?ref_=fn_tt_tt_1,264,English,PG-13,8000000,2010,1000
Matty Rich,7,110,Joe Morton,851,8880705,Jada Pinkett Smith,1103,Larenz Tate,0,http://www.imdb.com/title/tt0110137/?ref_=fn_tt_tt_1,11,English,R,,1994,780
E. Elias Merhige,196,92,Udo Kier,776,8279017,Eddie Izzard,34191,Catherine McCormack,1,http://www.imdb.com/title/tt0189998/?ref_=fn_tt_tt_1,339,English,R,8000000,2000,595
Joe Nussbaum,83,104,Thomas McDonell,1000,10106233,Cameron Monaghan,12702,Aimee Teegarden,0,http://www.imdb.com/title/tt1604171/?ref_=fn_tt_tt_1,32,English,PG,8000000,2011,962
Matt Reeves,18,98,Michael Rapaport,1000,,Mark Margolis,6124,Carol Kane,2,http://www.imdb.com/title/tt0117283/?ref_=fn_tt_tt_1,55,English,PG-13,8000000,1996,975
Steve Rash,11,89,Nia Long,883,4692814,Barry Corbin,2870,Jake Busey,2,http://www.imdb.com/title/tt0165831/?ref_=fn_tt_tt_1,34,English,PG-13,8000000,1999,826
Fina Torres,72,92,John de Lancie,1000,5018450,Harold Perrineau,8546,Mark Feuerstein,0,http://www.imdb.com/title/tt0206420/?ref_=fn_tt_tt_1,86,English,R,8000000,2000,905
James Ivory,51,140,Vanessa Redgrave,12000,25967000,Anthony Hopkins,21254,Samuel West,3,http://www.imdb.com/title/tt0104454/?ref_=fn_tt_tt_1,86,English,PG,,1992,898
,18,60,Joseph Gilgun,3000,,Dominic Cooper,22848,Ruth Negga,0,http://www.imdb.com/title/tt5016504/?ref_=fn_tt_tt_1,85,English,TV-MA,,,788
Duke Johnson,328,90,Tom Noonan,1000,3442820,Jennifer Jason Leigh,31489,David Thewlis,0,http://www.imdb.com/title/tt2401878/?ref_=fn_tt_tt_1,140,English,R,8000000,2015,442
Mike Leigh,248,129,Imelda Staunton,1000,3205244,Jim Broadbent,23629,Phil Davis,0,http://www.imdb.com/title/tt1431181/?ref_=fn_tt_tt_1,141,English,PG-13,10000000,2010,579
François Ozon,128,111,Isabelle Huppert,963,3076425,Catherine Deneuve,23660,Emmanuelle Béart,1,http://www.imdb.com/title/tt0283832/?ref_=fn_tt_tt_1,162,French,R,8000000,2002,678
Mark L. Lester,45,79,Tia Carrere,1000,2275557,Cary-Hiroyuki Tagawa,12561,Vernee Watson,2,http://www.imdb.com/title/tt0102915/?ref_=fn_tt_tt_1,102,English,R,8000000,1991,1000
David Dobkin,49,104,Vince Vieluf,1000,1789892,Janeane Garofalo,9494,Kevin Rahm,1,http://www.imdb.com/title/tt0118863/?ref_=fn_tt_tt_1,109,English,R,8000000,1998,261
Anna Boden,163,101,Jeremy Davies,943,6350058,Zoë Kravitz,106098,Jim Gaffigan,3,http://www.imdb.com/title/tt0804497/?ref_=fn_tt_tt_1,150,English,PG-13,8000000,2010,769
Nigel Cole,163,113,Robbie Kay,5000,1094798,Bob Hoskins,11158,Sally Hawkins,6,http://www.imdb.com/title/tt1371155/?ref_=fn_tt_tt_1,73,English,R,7200000,2010,629
Anand Tucker,90,92,Jim Broadbent,14000,1071240,Colin Firth,3571,Gina McKee,2,http://www.imdb.com/title/tt0829098/?ref_=fn_tt_tt_1,34,English,PG-13,8000000,2007,1000
