director_name,num_critic_for_reviews,duration,actor_3_facebook_likes,actor_1_facebook_likes,gross,movie_title,language,budget,actor_2_facebook_likes,imdb_score,aspect_ratio
Gonzalo López-Gallego,228,86,205,520,17683670,Apollo 18 ,English,5000000,270,5.2,1.33
Christine Jeffs,195,91,260,968,12055108,Sunshine Cleaning ,English,8000000,934,6.9,2.35
John Erick Dowdle,203,103,13,155,27285953,No Escape ,English,5000000,78,6.8,1.85
Don Coscarelli,44,90,826,21000,,The Beastmaster ,English,8000000,982,6.2,1.85
King Vidor,14,141,70,746,,Solomon and Sheba ,English,5000000,333,6.2,2.2
Michael Tiddes,59,92,355,729,11675178,Fifty Shades of Black ,English,5000000,706,3.5,
Bill Duke,45,99,409,849,10572742,Not Easily Broken ,English,8000000,578,6.1,1.85
Frank Borzage,42,79,99,998,,A Farewell to Arms ,English,800000,164,6.6,1.37
Bille Woodruff,12,96,503,927,9658370,The Perfect Match ,English,5000000,509,4.5,
Mamoru Hosoda,29,82,44,93,9628751,Digimon: The Movie ,English,5000000,45,5.9,1.85
Brian Dannelly,121,92,797,3000,8786715,Saved! ,English,5000000,835,6.9,1.85
Denys Arcand,135,112,21,150,3432342,The Barbarian Invasions ,French,6000000,28,7.7,2.35
Richard Lester,27,106,136,559,,Robin and Marian ,English,5000000,249,6.6,1.85
J.S. Cardone,56,90,560,847,6755271,The Forsaken ,English,5000000,591,5.3,1.85
Guy Hamilton,22,126,576,11000,,Force 10 from Navarone ,English,5000000,794,6.3,2.35
Jay Levey,59,150,448,859,6157157,UHF ,English,5000000,448,7.0,1.85
Nicholaus Goossen,61,90,556,2000,6088249,Grandma's Boy ,English,,936,7.0,2.35
Tamara Jenkins,60,91,572,1000,5480318,Slums of Beverly Hills ,English,5000000,778,6.6,1.85
Sergio Leone,164,145,392,973,,Once Upon a Time in the West ,English,5000000,423,8.6,2.35
Jon Favreau,81,95,334,4000,5308707,Made ,English,5000000,585,6.4,1.85
Duncan Jones,415,97,372,18000,5009677,Moon ,English,5000000,572,7.9,2.35
Scott Marshall,43,90,701,2000,4328294,Keeping Up with the Steins ,English,,847,5.4,1.85
Ronan Chapalain,7,41,0,55,4074023,Sea Rex 3D: Journey to a Prehistoric World ,English,5000000,0,6.9,1.78
Atom Egoyan,120,112,395,990,4306697,The Sweet Hereafter ,English,5000000,900,7.7,2.35
Xavier Beauvois,195,122,32,186,3950029,Of Gods and Men ,French,4000000,135,7.2,2.35
Randall Miller,109,110,39,25000,4040588,Bottle Shock ,English,5000000,579,6.8,2.35
Jerry Belson,21,87,83,922,,Jekyll and Hyde... Together Again ,English,5000000,162,6.2,
Peter Jackson,93,108,88,14000,3049135,Heavenly Creatures ,English,5000000,433,7.4,2.35
Michael Polish,12,121,473,4000,4700361,90 Minutes in Heaven ,English,5000000,849,4.6,2.35
Dan Rush,155,97,939,8000,2711210,Everything Must Go ,English,5000000,981,6.4,2.35
Jake Kasdan,81,116,102,624,1980338,Zero Effect ,English,5000000,385,7.0,1.85
Brad Anderson,204,94,360,23000,1082044,The Machinist ,English,5000000,1000,7.7,2.35
Paul Schrader,19,103,145,722,1100000,Light Sleeper ,English,5000000,280,6.8,1.85
Michael Cuesta,163,112,688,10000,2445646,Kill the Messenger ,English,5000000,963,7.0,2.35
John Cameron Mitchell,248,91,192,967,2221809,Rabbit Hole ,English,5000000,289,7.0,1.85
Fenton Bailey,39,98,600,3000,296665,Party Monster ,English,5000000,971,6.3,1.85
Jeremy Saulnier,322,95,233,727,3219029,Green Room ,English,5000000,442,7.1,2.35
Billy Kent,50,88,276,740,,The Oh in Ohio ,English,5000000,625,5.6,2.35
James Manera,12,99,361,578,830210,Atlas Shrugged: Who Is John Galt? ,English,5000000,435,4.4,
Wes Anderson,83,91,65,387,1040879,Bottle Rocket ,English,7000000,96,7.1,1.85
Kevin Spacey,37,97,977,10000,326308,Albino Alligator ,English,5000000,1000,6.1,2.35
Feroz Abbas Khan,16,136,14,75,240425,"Gandhi, My Father ",Hindi,,45,7.4,2.35
Errol Morris,121,118,0,6,228830,Standard Operating Procedure ,English,,0,7.5,2.35
Dennis Hopper,24,94,51,311,,Out of the Blue ,English,2200000,59,7.2,1.85
Eli Craig,324,89,440,948,223615,Tucker and Dale vs Evil ,English,,779,7.6,2.35
Nicholas Fackler,27,90,940,3000,124720,"Lovely, Still ",English,5000000,1000,7.3,1.85
Richard Wallace,9,95,100,197,,Tycoon ,English,3209000,116,6.2,1.37
Morgan J. Freeman,31,90,697,1000,99147,Desert Blue ,English,2000000,697,6.2,1.85
Matthew Hastings,35,95,383,889,,Decoys ,English,5000000,680,4.6,1.85
M. Night Shyamalan,371,94,99,432,65069140,The Visit ,English,5000000,309,6.2,1.85
Brian De Palma,133,90,15,343,65087,Redacted ,English,5000000,29,6.2,1.85
Klaus Menzel,13,103,227,811,16066,Fascination ,English,5000000,522,3.3,2.35
,9,60,904,1000,,Saving Grace             ,English,,1000,7.5,1.78
Oren Peli,56,91,14,46,,Area 51 ,English,5000000,21,4.2,
Jaume Balagueró,191,102,78,331,,Sleep Tight ,Spanish,5000000,93,7.2,2.35
Paul Andrew Williams,80,92,141,570,,The Cottage ,English,2500000,337,6.2,2.35
Stephen Herek,19,87,686,866,,Dead Like Me: Life After Death ,English,5000000,738,6.1,1.78
Bob Saget,19,80,854,3000,,Farce of the Penguins ,English,,2000,4.2,1.85
Jim Amatulli,,90,483,695,,Flying By ,English,,617,4.5,
,38,44,816,1000,,Psych             ,English,,922,8.4,1.78
William H. Macy,44,105,394,745,37440,Rudderless ,English,5000000,508,7.5,
Barrett Esposito,3,67,388,979,,Henry & Me ,English,10000000,732,6.7,
Mitch Davis,6,95,541,989,,Christmas Eve ,English,,970,5.1,
Eric Bross,,87,601,708,,We Have Your Husband ,English,5000000,699,5.5,1.78
Paul Schrader,64,94,179,12000,,Dying of the Light ,English,5000000,316,4.4,2.35
Vicky Jewson,8,109,126,1000,,Born of War ,English,5000000,266,4.4,
Peter Hyams,64,130,826,1000,,Capricorn One ,English,5000000,849,6.8,2.35
Marc Bennett,2,,723,975,,Should've Been Romeo ,English,5000000,900,6.7,
Mike Mayhall,,88,668,784,,Running Forever ,English,5000000,763,8.6,
Kevin Smith,35,88,1000,40000,,Yoga Hosers ,English,5000000,3000,4.8,
Stanton Barrett,21,97,538,741,,Navy Seals vs. Zombies ,English,,615,3.4,
Jirí Menzel,99,113,4,61,617228,I Served the King of England ,Czech,84450000,12,7.4,1.85
Fatih Akin,115,99,269,595,274385,Soul Kitchen ,German,4000000,486,7.3,1.85
Billy Bob Thornton,104,148,263,3000,24475416,Sling Blade ,English,890000,324,8.0,1.85
Nick Murphy,195,107,537,874,,The Awakening ,English,3000000,579,6.5,2.35
Eli Roth,303,93,581,1000,47277326,Hostel ,English,4800000,1000,5.9,2.35
Michael Winterbottom,122,94,427,1000,1247453,Tristram Shandy: A Cock and Bull Story ,English,2800000,887,6.8,2.35
Jeff Nichols,359,121,41,982,1729969,Take Shelter ,English,5000000,463,7.4,2.35
Frank LaLoggia,130,118,339,968,1705139,Lady in White ,English,4700000,733,6.7,1.85
Jeremy Brock,64,98,621,10000,238774,Driving Lessons ,English,,838,6.8,1.85
Scott Foley,13,82,316,927,,Let's Kill Ward's Wife ,English,5000000,833,5.4,
Tobe Hooper,159,101,14,237,8025872,The Texas Chainsaw Massacre 2 ,English,4700000,28,5.5,1.85
Sam Peckinpah,54,106,372,773,,Pat Garrett & Billy the Kid ,English,4638783,476,7.4,2.35
Nicolas Winding Refn,440,90,428,33000,778565,Only God Forgives ,English,4800000,1000,5.7,1.85
Christophe Ali,7,79,20,226,,Camping sauvage ,French,,40,5.4,
Gabriela Tagliavini,4,87,329,571,,Without Men ,English,4700000,345,3.2,
Shekar,1,,0,5,,Barfi ,Kannada,,0,7.1,
Shona Auerbach,96,105,16,18000,1340891,Dear Frankie ,English,,66,7.8,1.85
Leonard Farlinger,8,89,413,584,,All Hat ,English,5000000,580,5.3,2.35
Michel Leclerc,87,100,9,74,513836,The Names of Love ,French,4600000,52,7.2,1.85
Analeine Cal y Mayor,10,92,140,943,,Treading Water ,English,4700000,480,6.2,
Tom Kalin,121,97,577,13000,434417,Savage Grace ,English,4600000,1000,5.9,1.85
Robert Sarkies,43,100,3,109,728,Out of the Blue ,English,,10,7.3,1.85
Hugh Wilson,45,96,542,801,81200000,Police Academy ,English,4500000,760,6.7,1.85
Randal Kleiser,36,104,83,1000,,The Blue Lagoon ,English,4500000,511,5.7,1.85
Mike Newell,84,117,239,1000,52700832,Four Weddings and a Funeral ,English,4500000,398,7.1,1.66
Amy Heckerling,118,90,811,1000,,Fast Times at Ridgemont High ,English,4500000,901,7.2,1.85
John Huston,42,115,68,232,,Moby Dick ,English,4500000,169,7.4,1.66
Spike Lee,202,108,346,22000,13060843,25th Hour ,English,15000000,3000,7.7,2.35
,5,43,298,562,,Secrets and Lies             ,English,,560,7.7,16.0
Lana Wachowski,120,109,126,3000,3798532,Bound ,English,4500000,441,7.4,1.85
Darren Aronofsky,234,102,167,1000,3609278,Requiem for a Dream ,English,4500000,1000,8.4,1.37
Walter Lang,17,100,37,188,,State Fair ,English,,135,7.1,1.37
Carlos Saura,35,115,4,341,1687311,Tango ,Spanish,700000000,26,7.2,2.0
Oliver Stone,48,122,491,854,,Salvador ,English,4500000,652,7.5,1.85
Andrew Erwin,49,98,402,589,10429707,Moms' Night Out ,English,5000000,416,5.4,2.35
Richard Kelly,283,133,701,15000,727883,Donnie Darko ,English,4500000,933,8.1,2.35
Beto Gómez,16,105,122,274,1391770,Saving Private Perez ,Spanish,,154,6.0,2.35
Mike van Diem,54,122,3,25,713413,Character ,Dutch,4500000,20,7.8,1.85
Jonas Åkerlund,92,106,391,835,410241,Spun ,English,2000000,601,6.8,1.85
Todd Solondz,159,98,844,1000,278821,Life During Wartime ,English,,887,6.5,1.85
Chan-wook Park,202,112,38,717,211667,Lady Vengeance ,Korean,4200000000,126,7.7,2.35
René Féret,50,120,9,24,706622,Mozart's Sister ,French,,12,6.4,1.85
Barry Skolnick,54,99,798,26000,92191,Mean Machine ,English,2500000,1000,6.5,1.85
Johnnie To,98,110,76,155,49413,Exiled ,Cantonese,35000000,96,7.3,2.35
Mateo Gil,92,102,327,820,199652,Blackthorn ,English,,356,6.6,2.35
Lukas Moodysson,112,109,0,129,181655,Lilya 4-Ever ,Russian,,2,7.9,1.85
Agnieszka Wojtowicz-Vosloo,138,104,329,14000,108229,After.Life ,English,4500000,1000,5.9,2.35
Kabir Sadanand,9,134,62,327,,Fugly ,Hindi,,82,4.7,
Milos Forman,149,133,425,888,112000000,One Flew Over the Cuckoo's Nest ,English,4400000,721,8.7,1.85
Peter DeLuise,5,85,212,19000,,R.L. Stine's Monsterville: The Cabinet of Souls ,English,4400000,570,5.9,1.78
Mel Brooks,39,87,753,898,,Silent Movie ,,4400000,842,6.7,1.85
Raja Menon,39,130,12,85,,Airlift ,Hindi,4400000,26,8.5,2.35
,2,199,505,662,,Anne of Green Gables             ,English,,517,8.4,1.33
Ernie Barbarash,29,103,261,2000,8691,Falcon Rising ,English,4500000,298,5.8,
Nick Love,111,112,422,2000,26345,The Sweeney ,English,3000000,1000,6.1,2.35
Jonathan Glazer,149,89,100,1000,6940281,Sexy Beast ,English,,146,7.3,2.35
Daniel Espinosa,90,124,93,309,188870,Easy Money ,Swedish,,254,6.7,2.35
Niki Caro,149,101,8,446,20772796,Whale Rider ,English,6000000,20,7.6,2.35
R. Balki,12,133,106,464,199228,Paa ,Hindi,150000000,374,7.2,2.35
Ivan Engler,64,112,7,29,,Cargo ,German,4500000,9,6.2,2.35
Joe Wright,256,111,394,20000,34964818,Pan ,English,150000000,559,5.8,2.35
Kenny Ortega,57,98,578,755,,High School Musical ,English,4200000,632,5.2,1.33
,8,60,551,1000,,Animal Kingdom             ,English,,557,8.1,16.0
Richard Kwietniowski,50,93,130,471,2542264,Love and Death on Long Island ,English,,232,7.1,1.85
Timur Bekmambetov,232,104,16,114,1487477,Night Watch ,Russian,4200000,28,6.5,1.85
Neil Jordan,63,112,327,1000,62549000,The Crying Game ,English,2300000,530,7.3,2.35
Bob Clark,75,94,95,110,105500000,Porky's ,English,4000000,95,6.2,1.85
George A. Romero,274,90,231,648,101055,Survival of the Dead ,English,4000000,529,5.0,2.35
George A. Romero,284,96,56,125,,Night of the Living Dead ,English,114000,108,8.0,1.85
Sofia Coppola,265,101,11,19000,44566004,Lost in Translation ,English,4000000,13000,7.8,1.85
Woody Allen,154,93,629,11000,39200000,Annie Hall ,English,4000000,636,8.1,1.37
Cecil B. DeMille,44,152,132,232,36000000,The Greatest Show on Earth ,English,4000000,178,6.7,1.37
Ridley Scott,314,150,748,23000,65007045,Exodus: Gods and Kings ,English,140000000,892,6.1,2.35
Marc Forster,153,112,80,13000,31252964,Monster's Ball ,English,4000000,595,7.1,2.35
Henry Hobson,256,95,428,584,131175,Maggie ,English,8500000,430,5.6,2.35
Mike Figgis,123,111,687,12000,31968347,Leaving Las Vegas ,English,3600000,898,7.6,1.66
Duane Journey,46,86,555,707,,Hansel & Gretel Get Baked ,English,4500000,619,4.3,1.78
Dan O'Bannon,203,108,358,431,,The Return of the Living Dead ,English,4000000,426,7.3,1.85
Billy Wilder,34,105,116,597,,The Front Page ,English,4000000,222,7.3,2.35
Rob Cohen,149,91,326,3000,35385560,The Boy Next Door ,English,4000000,465,4.6,2.35
Carol Reed,20,105,69,746,,Trapeze ,English,4000000,119,6.8,2.35
,9,60,904,1000,,Saving Grace             ,English,,1000,7.5,1.78
Lisa Cholodenko,323,106,712,14000,20803237,The Kids Are All Right ,English,3500000,3000,7.1,1.85
John Carpenter,172,93,133,355,13008928,They Live ,English,4000000,151,7.3,2.35
John Sturges,111,172,145,773,,The Great Escape ,English,4000000,742,8.3,2.35
William Arntz,74,109,428,847,10941801,What the #$*! Do We (K)now!? ,English,,670,5.4,1.85
Ed Gass-Donnelly,161,93,400,45000,15152879,The Last Exorcism Part II ,English,5000000,541,4.0,2.35
Richard Linklater,548,165,127,230,25359200,Boyhood ,English,4000000,193,8.0,1.85
Woody Allen,177,96,405,19000,10515579,Scoop ,English,4000000,427,6.7,1.85
Tim Burton,230,119,567,1000,180011740,Planet of the Apes ,English,100000000,658,5.7,2.35
DJ Pooh,27,93,69,522,10097096,The Wash ,English,4000000,231,4.6,1.85
DJ Pooh,22,82,585,939,9821335,3 Strikes ,English,6000000,706,4.0,1.85
Wayne Kramer,157,101,407,658,8243880,The Cooler ,English,3200000,636,7.0,2.35
John Huston,70,120,268,862,,The Misfits ,English,4000000,403,7.4,1.66
Patrick Stettner,125,81,710,49000,7825820,The Night Listener ,English,4000000,780,5.9,1.85
James Melkonian,10,82,27,584,7557877,The Jerky Boys ,English,,246,4.6,1.85
Wes Craven,160,107,255,798,14637490,My Soul to Take ,English,25000000,374,4.8,2.35
J.A. Bayona,300,105,143,382,7159147,The Orphanage ,Spanish,3400000,273,7.5,2.35
Michael Tiddes,69,86,511,986,17314483,A Haunted House 2 ,English,4000000,713,4.7,1.85
Roger Avary,143,110,968,16000,6525762,The Rules of Attraction ,English,4000000,977,6.7,1.85
Alfred Hitchcock,50,127,148,204,,Topaz ,English,4000000,187,6.3,1.85
Bob Odenkirk,46,90,242,812,4613815,Let's Go to Prison ,English,,466,6.0,1.85
Allison Anders,51,110,960,4000,4301331,Four Rooms ,English,4000000,975,6.7,1.85
Steven Shainberg,163,104,296,769,4046737,Secretary ,English,4000000,413,7.1,1.85
Rick de Oliveira,52,96,0,960,3713002,The Real Cancun ,English,8000000,12,2.7,1.85
Oliver Stone,40,110,237,721,3468572,Talk Radio ,English,4000000,246,7.3,1.85
Christopher Guest,50,84,611,925,2892582,Waiting for Guffman ,English,4000000,729,7.6,1.85
Jeff Franklin,45,94,545,834,2800000,Love Stinks ,English,4000000,625,5.8,1.85
John Dahl,121,93,90,497,2426851,You Kill Me ,English,4000000,113,6.5,2.55
Mike Mills,114,96,71,730,1325073,Thumbsucker ,English,4000000,394,6.6,2.35
Kevin Smith,270,88,939,1000,,Red State ,English,4000000,947,6.2,1.85
