director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,actor_1_name,plot_keywords,num_user_for_reviews,title_year
Leonard Nimoy,119,12000,643,12000,Leonard Nimoy,alien probe|humpback whales|probe|time travel|whale,219,1986
Sylvester Stallone,139,13000,461,13000,Sylvester Stallone,boxing|fight|heavyweight champion|restaurant|retired boxer,962,2006
Ericson Core,114,19,848,1000,Ray Winstone,athlete|extreme sports|fbi|fbi agent|heist,163,2015
Wes Craven,120,0,221,865,Omar Epps,college|ghostface|killer|killing spree|murder,488,1997
Gavin O'Connor,98,149,439,20000,Natalie Portman,brothel|death of husband|ex lover|haunted by the past|redemption,56,2016
Tim Story,106,167,676,966,Romany Malco,african american|imperative in title|las vegas nevada|nevada|wedding,38,2014
Jonathan Lynn,98,36,900,13000,Bruce Willis,adultery|black humor|dentist|hitman|sex in bed,318,2000
Herbert Ross,107,71,304,967,Dianne Wiest,church|cowboy boots|dancing|high school dance|teenager,113,1984
Todd Phillips,88,480,497,8000,Will Ferrell,college|fraternity|friend|house|party,404,2003
Terry Gilliam,137,0,161,12000,Jeff Bridges,friendship|holy grail|massacre|redemption|video store,170,1991
Danny Cannon,100,41,970,45000,Muse Watson,bahamas|fisherman|hook|island|roommate,418,1998
Bonnie Hunt,115,597,597,893,Minnie Driver,heart|italian restaurant|restaurant|transplant|waitress,275,2000
Kevin Smith,101,0,92,218,Gerry Bednob,actor|friend|male frontal nudity|male full frontal nudity|penis,243,2008
Neil LaBute,110,119,265,11000,Morgan Freeman,hospital|kansas city|obsession|salesman|soap opera,263,2000
Grant Heslov,94,293,939,18000,Kevin Spacey,first person narration|general|hampster|reference to loch ness monster|reporter,268,2009
George Gallo,88,269,384,1000,Daniel Roebuck,cia|cia agent|fbi|mexico|train,50,2001
James Mangold,127,446,898,11000,Angelina Jolie Pitt,1960s|father daughter incest|mental hospital|suicide|suicide attempt,385,1999
Robert Luketic,95,126,886,2000,Topher Grace,best friend|contest|date|small town|west virginia,140,2004
Tim Hill,87,25,611,1000,Josh Charles,alien|breakfast|escape|rat|ufo,100,1999
Sidney Lumet,118,0,227,738,Lena Horne,melancholy|new york city|sadness|teacher|wizard,150,1978
Brian Robbins,107,48,940,1000,Oliver Platt,gay subtext|homoerotic fight|homoeroticism|homosexual subtext|wcw wrestling,101,2000
Ron Shelton,124,41,197,512,Willie Garson,boxing movie|friendship|highway travel|male rear nudity|road movie,59,1999
Douglas McGrath,89,41,847,2000,Olivia Munn,black comedy|delivery boy|dinner|gym|punishment,68,2011
Alexandre Aja,88,192,847,3000,Adam Scott,bloody water|boat|party|piranha|spring break,374,2010
Kevin Spacey,118,18000,286,18000,Kevin Spacey,bobby darin|career|love|marriage|sandra dee,248,2004
Steve Boyum,93,9,254,23000,Paul Walker,accidental kiss|eating a worm|park|worm|yellowstone national park,37,1998
Richard Williams,80,18,73,742,Donald Pleasence,cobbler|desert|gold|princess|thief,47,1993
Mary McGuckian,120,6,382,22000,Robert De Niro,bridge|friar|inquisition|peru|rope bridge,50,2004
George Tillman Jr.,98,88,706,12000,Dwayne Johnson,gun|prison|reference to god|reference to jesus christ|vengeance,157,2010
Hayao Miyazaki,119,6000,422,23000,Christian Bale,anime|castle|demon|steampunk|witch,330,2004
Ruben Fleischer,88,181,11,15000,Emma Stone,amusement park|on the road|zombie|zombie apocalypse|zombie spoof,553,2009
Peter Jackson,201,0,84,6000,Naomi Watts,animal name in title|ape abducts a woman|gorilla|island|king kong,2618,2005
Frank Coraci,90,153,427,11000,Adam Sandler,coach|college|college football|domineering mother|football,300,1998
Irvin Kershner,127,883,441,11000,Harrison Ford,duel|famous twist|rebel|rescue|snowy landscape,900,1980
Michael Bay,119,0,244,10000,Will Smith,drugs|heroin|murder|police|witness,203,1995
David Zucker,85,119,144,3000,George Kennedy,american president|evil industrialist|ex girlfriend|political leader|president,87,1991
James Wong,98,70,591,1000,Daniel Roebuck,dead teenager|death|explosion|premonition|teenager,674,2000
George Clooney,101,0,1000,33000,Ryan Gosling,governor|intern|manager|ohio|politics,288,2011
David Twohy,112,123,787,14000,Vin Diesel,captain|darkness|eclipse|space|survival,805,2000
Tony Goldwyn,97,956,99,20000,Hugh Jackman,apartment|girl in panties|roommate|thong panties|upskirt,167,2001
Spike Jonze,126,0,105,19000,Scarlett Johansson,divorce|female frontal nudity|future|loneliness|operating system,748,2013
Dexter Fletcher,106,452,141,20000,Hugh Jackman,1988 winter olympics|coach|ski jumper|winter|winter olympics,119,2016
John Dahl,97,131,62,23000,Paul Walker,embarrassing male nudity|embarrassing nudity|male nudity|truck|truck driver,339,2001
Jonathan Newman,100,3,88,2000,Ioan Gruffudd,based on novel|drowning|hanging from a flagpole|hanging from a rope|magic,32,2013
Wayne Wang,114,61,407,20000,Natalie Portman,family relationships|female protagonist|nubile woman|policeman|teenager,103,1999
Andy Cadiff,101,3,120,448,Annabella Sciorra,first daughter|photographer|prague|president|secret service agent,129,2004
Michael Dinner,88,12,249,327,Seymour Cassel,beach|drug lord|drugs|hotel|stripper,47,2000
Steven Soderbergh,93,0,947,17000,Channing Tatum,die hard scenario|one woman army|rescue|soldier|super soldier,397,2011
Joseph Sargent,92,114,434,912,Judith Barsi,banana boat|boat|christmas|sea|shark,383,1987
Jerry Zaks,98,4,11000,29000,Leonardo DiCaprio,house|leukemia|mental institution|nursing home|transplant,71,1996
Fred Durst,94,258,424,721,Tasha Smith,absent father|american football|based on true story|middle school,19,2008
Neil Jordan,102,277,57,327,Stephen Rea,breasts|jealousy|obsession|sex scene|spiritual,165,1999
Simon Wincer,98,23,982,1000,Vanessa Williams,bar|biker|cowboy|drugs|marlboro,81,1991
Paul Haggis,121,549,883,11000,James Franco,detective|iraq|military|murder investigation|police,224,2007
Anne Fontaine,111,105,64,527,Alessandro Nivola,baron|fashion|hat|nickname|orphanage,65,2009
Jon Cassar,90,78,720,2000,Demi Moore,,49,2015
Stephen Frears,100,350,30,201,Tom Burke,age difference|courtesan|mansion|marriage|prostitute,43,2009
,50,,543,787,Cole Hauser,cheating wife|extramarital affair|female lead|undercover|unfaithfulness,23,
Mira Nair,141,300,73,805,Romola Garai,aristocrat|english|painter|painting|singer,148,2004
Teddy Chan,139,3,107,556,Bingbing Fan,giant|hong kong|hook and chain|knife fight|martial artist,33,2009
Mikael Håfström,114,101,23,129,Drew Powell,book|debunking|evil|hotel|paranormal phenomena,580,2007
Mel Brooks,96,0,542,1000,Joan Rivers,parody|planet enclosed within shield|sci fi spoof|self referential|winnebago,273,1987
Russell Crowe,111,0,234,523,Cem Yilmaz,australian|battle|battle of gallipoli|gallipoli|world war one,185,2014
Jerry Zucker,127,109,71,2000,Demi Moore,death|film blanc|invisibility|love|unrequited love,252,1990
Bobby Farrelly,107,101,743,931,Sarah Silverman,accident|curtain call|dream girl|high school|prom,611,1998
John Pasquin,97,11,595,901,Judge Reinhold,1990s|christmas|christmas eve|sleigh|surrealism,111,1994
John Lee Hancock,127,102,1000,2000,Dennis Quaid,baseball|coach|high school|pitching|texas,174,2002
Andy Fickman,110,99,835,12000,Dwayne Johnson,family relationships|football movie|publicist|sports team|tween girl,83,2007
Clint Eastwood,135,16000,86,16000,Clint Eastwood,1960s|bridge|housewife|love|photographer,192,1995
Luke Greenfield,84,42,182,436,Louis Lombardi,camera focus on a female butt|cartoon on tv|forest|hairy buttocks|seal the animal,132,2001
Richard Attenborough,240,0,249,545,Candice Bergen,british|india|indian|muslim|pakistan,256,1982
Lasse Hallström,122,529,171,820,Manish Dayal,chef|haute cuisine|indian cuisine|michelin guide|restaurant,185,2014
Irwin Winkler,114,34,287,649,Ken Howard,chat room|computer|computer hacker|identity|identity theft,166,1995
Jessie Nelson,132,24,506,967,Dianne Wiest,child custody|custody battle|disability|mentally impaired man|single father,431,2001
Christopher Spencer,170,25,55,329,Roma Downey,bare chested male bondage|crucifixion|loincloth|reference to god|resurrection,174,2014
Len Wiseman,133,235,105,955,Sophia Myles,blood|death|hybrid|vampire|werewolf,806,2003
Mikael Håfström,112,101,218,896,Denis O'Hare,drink|hotel|police|staged rape|thief,375,2005
Steven Soderbergh,108,0,690,13000,Matt Damon,compulsive liar|fbi|informant|investigation|spy,175,2009
Richard Attenborough,115,0,266,12000,Anthony Hopkins,author|book|england|friend|oxford,87,1993
Mike Bigelow,83,2,137,591,Carlos Ponce,dolphin|gigolo|pimp|serial killer|villain arrested,166,2005
Ken Scott,105,31,110,390,Jack Reynor,children|identity|lawsuit|lawyer|sperm donor,95,2013
Paul McGuigan,110,118,287,11000,Daniel Radcliffe,assistant|experiment|frankenstein|medical student|scientist,91,2015
Susanna White,108,24,100,150,Radivoje Bukvic,based on novel|male frontal nudity|male nudity|male rear nudity,21,2016
Dennis Dugan,96,221,110,240,Amanda Detmer,female nudity|friend|kidnapping|love|nun,201,2001
David Bowers,94,42,517,975,Zachary Gordon,best friend|camping|country club|no opening credits|summer vacation,35,2012
Spike Lee,142,0,854,978,Mira Sorvino,distrust|fear|murder|neighborhood|new york city,354,1999
Kevin Smith,104,0,898,8000,Will Ferrell,internet|jay and silent bob|new jersey|orangutan|police,867,2001
Michael Bay,136,0,3000,19000,Scarlett Johansson,clone|environment|escape|island|lottery,899,2005
Daniel Sackheim,106,12,595,962,Chris Noth,car|car accident|death|friend|glass,200,2001
Ethan Coen,106,1000,1000,19000,Scarlett Johansson,50s|film within a film|hollywood|illegitimate pregnancy|twins,302,2016
Harry Elfont,98,4,83,3000,Rosario Dawson,based on tv series|fictional band|girl band|music industry|pop band,242,2001
Gary Fleder,100,39,798,26000,Jason Statham,biker|biker gang|dea|dea agent|fight,154,2013
Uli Edel,95,34,368,554,Richard E. Grant,boy|pushed off a cliff|rat|secret passage|vampire,38,2000
David O. Russell,107,737,678,6000,Naomi Watts,coincidence|cult film|overalls|suburb|vomiting,381,2004
Fred Dekker,104,87,691,1000,CCH Pounder,android|corporation|ninja|police|robocop,180,1993
Brian Trenchard-Smith,104,53,576,2000,Michael Biehn,armageddon|battle|end times|reference to satan|sequel,111,2001
Blake Edwards,143,688,42,638,Rock Hudson,crepe suzette|french|mata hari spoof|song|spy,50,1970
Hugh Wilson,77,37,795,3000,Brendan Fraser,gold|gold rush|mirror|police officer|singer,77,1999
Camille Delamarre,96,11,150,805,Ed Skrein,airfield|car|car stunt|driver|private jet,121,2015
