director_name,duration,director_facebook_likes,genres,actor_1_name,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,language,aspect_ratio,movie_facebook_likes
Tung-Shing Yee,119,3,Action|Crime|Drama|Thriller,Bingbing Fan,9177,Yasuaki Kurata,4,chinese|gang|gratitude|immigrant|japan,Mandarin,2.35,821
Julien Temple,124,67,Biography|Drama,Samantha Morton,695,Linus Roache,1,betrayal|french revolution|friendship|poet|revolution,English,,277
Harold Ramis,101,11000,Comedy|Fantasy|Romance,Bill Murray,437418,Willie Garson,1,cult film|existentialism|groundhog day|time loop|trapped in a time loop,English,1.85,38000
Gregory Jacobs,115,13,Comedy|Drama|Music,Matt Bomer,38202,Kevin Nash,3,male bonding|male friendship|male objectification|muscular|stripper,English,2.35,41000
Baz Luhrmann,120,1000,Drama|Romance,Leonardo DiCaprio,167750,Brian Dennehy,2,hawaiian shirt|love|shakespeare adaptation|shakespeare play|star crossed lovers,English,2.35,10000
Gilles Paquet-Brenner,111,15,Drama|War,Kristin Scott Thomas,12937,Arben Bajraktaraj,2,apartment|escape|jewish family|journalist|key,French,2.35,0
Peter Cousens,94,5,Drama|Family|Music,Sharon Leal,993,Bart Shatto,2,19th century|christian film|hymn|religion|slave,English,,998
Clint Eastwood,131,16000,Drama|Western,Clint Eastwood,277505,Frances Fisher,1,englishman|leaving flowers on a grave|one last job|reputation|visiting wife's grave,English,2.35,10000
Lars von Trier,139,3000,Drama,Bryce Dallas Howard,18646,Jean-Marc Barr,1,cotton|female frontal nudity|flogging|gangster|slavery,English,2.35,1000
Danny Boyle,120,0,Drama|Romance,Anil Kapoor,641997,Ayush Mahesh Khedekar,0,cheating|falling from height|murder|non professional cast|slum,English,2.35,13000
Adrian Lyne,119,213,Drama|Romance|Thriller,Fred Gwynne,55101,Anne Archer,0,borderline personality disorder|killing a pet|madame butterfly|new york|new york city,English,1.85,3000
Garry Marshall,125,0,Comedy|Romance,Julia Roberts,213476,Jason Alexander,2,businessman|falling in love with a prostitute|hotel|prostitute|rich man poor woman,English,1.85,11000
John Blanchard,65,0,Comedy,Martin Short,10,Joe Flaherty,2,,English,1.33,0
John Cornell,108,5,Action|Adventure|Comedy,Paul Hogan,44096,John Meillon,1,australia|australian|crime boss|crocodile|gangster,English,2.35,489
Vidhu Vinod Chopra,101,34,Action|Crime|Drama|Mystery|Thriller,María Valverde,1554,Chad Bishop,0,,English,2.35,0
Oliver Stone,145,0,Biography|Drama|War,Tom Cruise,76842,Stephen Baldwin,0,desert|drunkenness|religious mother|strict mother|vietnam war,English,2.35,4000
Jon Turteltaub,98,226,Adventure|Comedy|Family|Sport,Doug E. Doug,69733,Malik Yoba,1,bobsled|coach|jamaica|olympic games|olympics,English,1.85,0
Patrick Lussier,101,71,Horror|Thriller,Jensen Ackles,45603,Edi Gathegi,0,coma|death|miner|valentine|valentine's day,English,1.85,0
Ole Bornedal,92,30,Horror|Thriller,Kyra Sedgwick,47169,Natasha Calis,0,basketball coach|box|jewish|rabbi|yard sale,English,2.35,17000
Ted Kotcheff,93,270,Action|Adventure|Drama,Sylvester Stallone,172493,Chris Mulkey,1,1980s|colonel|deputy|rambo|sheriff,English,2.35,0
Sylvain White,109,41,Drama|Music|Romance,Chris Brown,19505,Harry Lennix,0,atlanta georgia|competition|dancer|death|fraternity,English,2.35,0
Lewis Gilbert,123,43,Action|Adventure|Sci-Fi|Thriller,Caroline Munro,76477,Barbara Bach,2,1970s|cult film|official james bond series|submarine|world war three,English,2.35,0
,60,,Documentary,Amy Bruni,5563,Jason Hawes,0,ghost|paranormal|paranormal research|shaky cam,English,,373
Jamie Blanks,99,9,Horror|Mystery|Thriller,Alicia Witt,47814,Julian Richings,4,campus|death|friend|professor|urban legend,English,2.35,0
Stephen Frears,119,350,Drama|Romance,Keanu Reeves,52846,Swoosie Kurtz,2,catholic|corruption|emotional abuse|france|seduction,English,1.85,0
Tyler Perry,110,0,Comedy|Drama|Romance,Eddie Cibrian,6352,Jamie Kennedy,1,businessman|fight|mean brother|narrated by character|wordplay in title,English,2.35,0
Randal Kleiser,107,116,Adventure|Drama,Seymour Cassel,15730,Susan Hogan,1,alaska|dog|friendship|gold|yukon,English,1.85,0
Bruce McCulloch,81,54,Comedy|Romance,Will Ferrell,15047,Molly Shannon,1,dancing|orphan|school|special education|student,English,1.85,2000
Phyllida Lloyd,105,58,Biography|Drama|History,Meryl Streep,82327,Olivia Colman,1,british prime minister|female prime minister|politics|prime minister|told in flashback,English,2.35,18000
Mike Nawrocki,82,12,Adventure|Animation|Comedy|Drama|Family|Musical,Phil Vischer,3135,Shelby Vischer,0,anthropomorphism|pirate|pirate ship|tomato|whale,English,1.85,184
John Singleton,109,309,Drama|Romance,Janet Jackson,8904,Maya Angelou,0,african american|mail carrier|poetry|postal worker|south central los angeles,English,1.85,0
Kevin Bray,95,10,Action|Comedy|Crime|Thriller,Mike Epps,9693,Gino Salvano,2,black comedy|bounty hunter|diamond|machismo|money,English,2.35,530
Wes Craven,100,0,Comedy|Fantasy|Horror|Romance,John Witherspoon,17262,Allen Payne,1,blood|destiny|nightmare|partner|vampire,English,1.85,1000
John Boorman,118,128,Horror,Linda Blair,16294,Ned Beatty,7,demon|exorcism|locust|priest|repressed memory,English,1.85,889
Courtney Solomon,91,31,Horror|Mystery|Thriller,Sissy Spacek,22207,Vernon Dobtcheff,0,flashback|lifting someone into the air|paranormal phenomena|voice over letter|year 1818,English,2.35,0
David Zucker,90,119,Comedy|Romance,Carmen Electra,24038,Molly Shannon,2,boss' daughter|crush|house sitter|housesitting|love interest,English,1.85,411
David Twohy,108,123,Adventure|Mystery|Thriller,Chris Hemsworth,56338,Marley Shelton,4,cliff|hawaii|island|newlywed|waterfall,English,2.35,4000
Rick Famuyiwa,103,44,Comedy|Romance,America Ferrera,5721,Lupe Ontiveros,2,california|love|marriage|wedding|wedding dress,English,2.35,1000
Alan Cohn,96,0,Comedy,Alyson Hannigan,11729,Poppy Montgomery,0,college|college roommate|party|roommate|student,English,1.85,645
Franco Zeffirelli,117,160,Comedy|Drama|War,Lily Tomlin,9323,Paolo Seganti,6,ambassador|american|art|english|italy,English,1.85,970
Tom Holland,93,85,Fantasy|Horror,Joe Mantegna,19805,Kari Wuhrer,0,death|doctor|gypsy|judge|lawyer,English,1.85,0
Martin Scorsese,136,17000,Drama|Music|Musical|Romance,Robert De Niro,13548,Mary Kay Place,0,love|musician|saxophonist|singer|songwriter,English,1.66,932
Spike Lee,115,0,Comedy|Drama,Alfre Woodard,6011,Isaiah Washington,0,argument|birthday|bully|coming of age|semi autobiographical,English,1.85,905
Chris Rock,94,0,Comedy|Drama|Romance,Steve Buscemi,13866,Wendell Pierce,3,banker|investment|investment banker|marriage|sex,English,1.85,488
James Isaac,85,52,Action|Horror|Sci-Fi|Thriller,Peter Mensah,38985,Lexa Doig,1,jason voorhees|lake|machete|scientist|slasher,English,1.85,0
Shawn Levy,88,189,Adventure|Comedy|Family,Frankie Muniz,29008,Lee Majors,1,brunette|film producer|liar|prank|stunt,English,1.85,896
Emilio Estevez,112,0,Drama|History,Anthony Hopkins,38142,Brian Geraghty,0,campaign|chess|friend|hotel|senator,English,2.35,0
Mark Waters,86,70,Comedy|Mystery|Romance,Monica Potter,11693,China Chow,5,apartment|fast motion scene|model|private investigation|suspected murder,English,2.35,613
Josh Schwartz,86,90,Adventure|Comedy,Thomas McDonell,11233,Osric Chau,1,adult humor|best friend|friend|halloween|teenage girl,English,2.35,0
Julian Schnabel,112,232,Biography|Drama,Emmanuelle Seigner,89906,Isaach De Bankolé,1,arc de triomphe paris|based on autobiography|coma|elle magazine|male frontal nudity,French,1.85,13000
Todd Field,137,143,Drama|Romance,Kate Winslet,92781,Jane Adams,0,adulterous wife|bar|dysfunctional marriage|sex offender|suburb,English,2.35,5000
Davis Guggenheim,90,49,Drama|Mystery|Thriller,Norman Reedus,12519,Noam Jenkins,5,college|college campus|gossip|rape|sex,English,2.35,853
Tony Goldwyn,107,956,Drama,Viggo Mortensen,6782,Tovah Feldshuh,1,adulterous wife|cheating wife|summer|unfaithfulness|woodstock,English,1.85,860
Phillip Noyce,98,176,Biography|Drama|History,Derek Luke,9334,Bonnie Henna,3,attack|coach|colonel|jail|oil refinery,English,2.35,447
Stephen Carpenter,84,12,Drama|Horror|Mystery|Thriller,Melissa Sagemiller,7277,Candace Kroslak,4,car accident|college|ghost|girl in panties|white panties,English,1.85,231
James Ivory,139,133,Biography|Drama|History|Romance,Seth Gilliam,2427,Nigel Whitmey,1,18th century|ambassador|french revolution|friendship|thomas jefferson,English,1.85,127
Stephan Elliott,97,11,Comedy|Romance,Colin Firth,16444,Kris Marshall,4,estate|female frontal nudity|female nudity|no panties|unhappy marriage,English,2.35,2000
James Fargo,127,109,Action|Adventure|History,Christopher Lee,524,Behrouz Vossoughi,0,afghanistan|caravan|rebel|russian|tribe,English,2.35,76
Mike Leigh,150,608,Biography|Drama|History,Lesley Manville,17933,Karl Johnson,0,prism|rented room|scrofula|sketching|sunrise,English,2.35,0
Alain Resnais,104,752,Drama|Romance,Mathieu Amalric,3174,Edouard Baer,0,dentist|letter|pilot|skateboard|wallet,French,2.35,512
Costa-Gavras,132,333,Biography|Crime|Drama|War,Sebastian Koch,11077,Ulrich Mühe,2,jesuit|jew|pope|priest|ss,English,1.85,0
Chao-Bin Su,117,2,Action,Woo-sung Jung,6069,Kelly Lin,2,martial arts|sword fight|wuxia,Mandarin,2.35,1000
Neil Burger,115,168,Comedy|Drama|War,John Heard,11704,Mark L. Young,0,college tuition|guitar|road trip|soldier|stranded,English,1.85,702
Kenneth Lonergan,186,50,Drama,Matt Damon,12053,John Gallagher Jr.,1,accident|bus|loss of virginity|new york city|virginity,English,1.85,0
Bo Zenga,90,10,Comedy|Horror,Steve Howey,9928,Diora Baird,7,dollar bill|double entendre|escaped convict|halloween|striptease,English,1.85,934
Rob Reiner,90,0,Comedy|Drama|Romance,Madeline Carroll,60460,Aidan Quinn,0,apology|falling in love|multiple perspectives|narrated by a girl|younger version of character,English,1.85,14000
Ang Lee,134,0,Drama|Romance,Jake Gyllenhaal,259837,Anne Hathaway,0,gay relationship|homosexuality|mountain|ranch|rodeo,English,1.85,13000
Jonathan Liebesman,101,473,Action|Adventure|Comedy|Sci-Fi,Noel Fisher,167089,Jeremy Howard,0,18 wheeler|mutant|ninja|sewer|turtle,English,2.35,62000
Amy Heckerling,97,143,Comedy|Romance,Donald Faison,123390,Elisa Donovan,1,female protagonist|high school|makeover|matchmaker|popularity,English,1.85,0
Todd Haynes,107,162,Drama|Romance,Dennis Quaid,36542,Michael Gaston,2,african american|catastrophe|family relationships|farewell scene|therapy,English,1.85,0
Steve Pink,99,38,Comedy|Sci-Fi,Adam Scott,28159,Collette Wolfe,4,acid trip|gameshow|hot tub|time lord|time machine,English,1.85,0
,55,,Drama,Krystyna Janda,12590,Olgierd Lukaszewicz,0,meaning of life|moral challenge|morality|search for meaning|ten commandments,Polish,1.33,0
Philip Kaufman,124,133,Biography|Drama,Kate Winslet,44795,Amelia Warner,1,asylum|lust|male pubic hair|penis|pubic hair,English,1.85,0
Martin McDonagh,110,454,Comedy|Crime,Abbie Cornish,185845,Michael Stuhlbarg,7,dognapping|gangster|misfiring gun|screenwriter|shih tzu,English,2.35,52000
Kasi Lemmons,105,148,Crime|Drama|Music|Mystery|Thriller,Colm Feore,5602,Aunjanue Ellis,0,chrysler building manhattan new york city|delusion|manhattan new york city|new york city|title directed by female,English,1.85,329
,41,,Action|Crime|Drama|Thriller,Jacek Koman,271,Jaroslaw Boberek,4,,Polish,,64
Oliver Hirschbiegel,178,101,Biography|Drama|History|War,Thomas Kretschmann,248354,Alexandra Maria Lara,0,bunker|hitler|nazi|no exit|war ruins,German,1.85,14000
Alejandro Amenábar,125,448,Biography|Drama|Romance,Belén Rueda,64556,Tamar Novas,1,dignity|euthanasia|freedom|lawyer|sailor,Spanish,2.35,0
Jonathan Glazer,108,143,Drama|Horror|Sci-Fi|Thriller,Scarlett Johansson,85022,Alison Chand,0,alien|desire|female nudity|male frontal nudity|scotland,English,1.85,29000
Barry Levinson,121,272,Biography|Comedy|Drama|War,Robin Williams,98348,Bruno Kirby,1,disc jockey|friendship|radio|vietnam|vietnamese,English,1.85,0
Hyung-rae Shim,100,26,Comedy,Jason Mewes,912,Michael Rispoli,5,mafia|mafia boss|mafiosi|mafioso|three word title,English,1.78,502
Jon M. Chu,115,209,Documentary|Music,Usher Raymond,74351,Boys II Men,1,boyhood friend|manager|plasma tv|prodigy|star,English,1.85,62000
Darren Aronofsky,108,0,Drama|Thriller,Natalie Portman,551363,Mark Margolis,1,ballerina|ballet|fear|female protagonist|madness,English,2.35,106000
José Padilha,117,294,Action|Crime|Sci-Fi|Thriller,Gary Oldman,182910,Jennifer Ehle,0,law enforcement|police|robocop|robot|technology,English,2.35,60000
Francis Ford Coppola,220,0,Crime|Drama,Robert De Niro,790926,Robert Duvall,1,1950s|corrupt politician|lake tahoe nevada|melancholy|revenge,English,1.85,14000
Thomas Carter,112,49,Drama|Music|Romance,Sean Patrick Thomas,47876,Fredro Starr,0,dance|dancing|ghetto|hip hop|imperative in title,English,1.85,0
Renny Harlin,99,212,Fantasy|Horror|Thriller,Tuesday Knight,36108,Brooke Bundy,0,demon|dream|elm street|freddy krueger|nightmare,English,1.85,0
Patricia Riggen,109,36,Drama,Jennifer Garner,6276,Martin Henderson,0,child cancer|christian film|christianity|falling into a hole|inspiring,English,1.85,16000
Danny Leiner,83,8,Comedy|Mystery,Jennifer Garner,116625,Marla Sokoloff,2,bare chested male|gay kiss|homoeroticism|lesbian kiss|transsexual,English,1.37,0
Christopher Cain,107,58,Action|Crime|Drama|Thriller|Western,Jack Palance,42614,Brian Keith,5,army|cattle|deputy|new mexico|rancher,English,1.85,0
Theodore Melfi,102,51,Comedy|Drama,Bill Murray,72803,Reg E. Cathey,3,bullying|grumpy old man|school presentation|stroke|stroke recovery,English,1.85,33000
Steve Pink,100,38,Comedy|Romance,Joe Lo Truglio,16979,Bryan Callen,4,bedroom|boyfriend girlfriend relationship|hug|interrupted sex|urban setting,English,2.35,0
Gil Junger,97,19,Comedy|Drama|Romance,Joseph Gordon-Levitt,222099,Andrew Keegan,6,dating|protective father|school|shrew|teen movie,English,1.85,10000
Ed Decter,92,13,Comedy,Zooey Deschanel,28805,Gene Simmons,1,cheerleader|geek|high school|prison|reference to janet jackson,English,1.85,1000
Gene Quintano,84,0,Action|Comedy|Crime,Jon Lovitz,37611,Bill Nunn,2,cookie|detective|microfilm|parody|sergeant,English,1.85,0
Jaume Collet-Serra,86,174,Drama|Horror|Thriller,Óscar Jaenada,12983,Sedona Legge,0,beach|island|mexico|prey|trapped,English,2.35,0
Eric Bress,120,19,Sci-Fi|Thriller,Logan Lerman,357579,Cameron Bright,0,blackout|child pornography|memory|surprise ending|time travel,English,1.85,15000
Chris Koch,89,13,Adventure|Comedy|Family,Chris Elliott,9285,Jean Smart,1,meteorologist|snow|snowed in|snowplow|weather,English,1.85,0
Preston A. Whitmore II,117,17,Comedy|Drama|Romance,Mekhi Phifer,6528,Loretta Devine,9,christmas|family home|musician|piano|secret,English,2.35,0
Bob Clark,97,84,Comedy|Crime|Family|Sci-Fi,Kathleen Turner,19547,Ruby Dee,2,baby|boy|science|scientist|toddler,English,1.85,0
Kirk Wong,91,6,Action|Comedy|Crime|Thriller,Bokeem Woodbine,24834,Antonio Sabato Jr.,5,hitman|kidnapping|kosher|vhs|video store,English,1.85,934
Bronwen Hughes,100,15,Comedy|Drama|Family,Gregory Smith,7984,Charlotte Sullivan,1,binoculars|child spy|notebook|secret|spy,English,1.85,833
John Lafia,72,5,Fantasy|Horror,Jenny Agutter,31371,Greg Germann,0,boy|doll|foster home|killer doll|serial killer,English,1.85,0
Sam Miller,84,12,Crime|Thriller,Leslie Bibb,12676,Henry Simmons,2,home invasion|police officer shot|police officer shot in the chest|psychopath|three word title,English,2.35,0
Frank Darabont,126,0,Horror,Toby Jones,220475,Jeffrey DeMunn,0,desperation|fog|giant insect|survival|survival horror,English,1.85,20000
Alex Garland,108,232,Drama|Mystery|Sci-Fi|Thriller,Elina Alminas,289508,Corey Johnson,0,artificial intelligence|robot|robot human relationship|turing test|video surveillance,English,2.35,109000
Spike Jonze,112,0,Comedy|Drama|Fantasy,Willie Garson,254404,Mary Kay Place,2,body swap|magical realism|portal|puppeteer|surrealism,English,1.85,0
Mark Brown,90,7,Comedy|Romance,Mo'Nique,4339,Tamala Jones,2,advice|battle of the sexes|lingerie|romantic rivalry|rule,English,1.85,593
Dave Green,91,13,Adventure|Family|Sci-Fi,Teo Halm,15664,Jason Gray-Stanford,0,alien|bar|construction worker|no opening credits|no title at beginning,English,1.85,0
John Stockwell,135,134,Drama|Romance,Kirsten Dunst,21406,Rolando Molina,2,congressman|high school|latino|pacific palisades|school,English,1.85,0
Clint Eastwood,141,16000,Drama|History|War,Yuki Matsuzaki,132149,Shidô Nakamura,0,blood splatter|general|island|japan|world war two,Japanese,2.35,5000
Michael Polish,104,35,Adventure|Drama|Sci-Fi,J.K. Simmons,19707,Bruce Dern,0,bank|fbi|fuel|rocket|space travel,English,2.35,862
Daisy von Scherler Mayer,84,18,Comedy|Romance,LL Cool J,1520,Dave Chappelle,0,blind date|law clerk|love|manhattan new york city|world trade center manhattan new york city,English,,204
Lenny Abrahamson,118,412,Drama,Joan Allen,161288,Cas Anvar,0,based on novel|escape|imprisonment|kidnapping|mother son relationship,English,2.35,72000
Bob Saget,82,799,Comedy,Don Rickles,20033,Traylor Howard,0,cult film|gambling debt|job|off screen murder|revenge,English,1.85,679
John Waters,95,0,Comedy|Crime|Thriller,Kathleen Turner,21212,Traci Lords,4,dentist|housewife|howie scream|murder|perfection,English,1.66,3000
Andrew Fleming,94,26,Comedy,Ryan Reynolds,16059,Kirsten Dunst,2,political cover up|political satire|teenage girl|white house|witness,English,1.85,0
Niels Arden Oplev,88,76,Action|Crime|Mystery|Thriller,Michael Nyqvist,335,Lena Endre,0,,Swedish,,22
Craig Bolotin,99,7,Drama|Thriller,Rosario Dawson,3116,Robert Ri'chard,3,black cop|die hard scenario|hostage negotiator|police|police brutality,English,1.85,251
Mark Christopher,121,15,Drama|Music,Salma Hayek,27675,Sela Ward,4,angel dust the drug|disco|new york city|quaalude|reference to princess grace of monaco,English,1.85,0
Blair Hayes,84,2,Adventure|Comedy|Romance|Sci-Fi,Jake Gyllenhaal,25541,Marley Shelton,0,cigarette smoking|hand on butt|niagara falls|plastic bubble|wedding,English,2.35,0
Jez Butterworth,93,16,Comedy|Crime|Thriller,Mark Gatiss,21530,Ben Chaplin,1,bank|bank clerk|birthday|mail order bride|russian,English,2.35,618
Jon Lucas,93,24,Comedy,Justin Chon,60407,Sarah Wright,0,21st birthday|college student|drunken man|pubic hair|standing up to father,English,2.35,11000
Olivier Assayas,120,107,Comedy|Drama|Romance,Steve Buscemi,63084,Catalina Sandino Moreno,0,baby|divorce|oscar wilde|pigalle|tourist,French,1.85,0
Rod Lurie,112,37,Drama|Sport,Harry Lennix,18442,Peter Coyote,1,boxing|colosseum|homeless man|reporter|writer,English,2.35,689
Paul Weitz,107,80,Comedy|Drama|Romance,Tina Fey,28573,Christopher Evan Welch,2,adoption|female protagonist|princeton university|wedding|working women,English,2.35,5000
Patrice Leconte,112,83,Drama|Romance,Emir Kusturica,4767,Yves Jacques,1,archipelago|guillotine|island|prison|redemption,French,2.35,186
Atom Egoyan,96,460,Drama|Mystery|Romance|Thriller,Liam Neeson,56264,Natalie Lisinska,2,bare chested boy|doctor|escort|infidelity|prostitute,English,1.85,0
Paul Mazursky,91,150,Comedy|Crime|Drama,Chazz Palminteri,1595,Paul Mazursky,3,bathroom|bathtub|female protagonist|flashback|kitchen,English,1.85,69
Jim Sheridan,105,260,Drama|Thriller,Natalie Portman,88037,Ethan Suplee,0,afghanistan|death of soldier|presumed dead|prisoner|war trauma,English,2.35,10000
Sidney Lumet,125,0,Biography|Comedy|Crime|Drama,Peter Dinklage,28068,Alex Rocco,2,court|drugs|judge|mafia|mobster,English,1.85,0
Stephen Chbosky,102,139,Drama|Romance,Logan Lerman,351274,Kate Walsh,2,coming of age|depression|gay|high school|mental illness,English,1.85,131000
Jon Hess,87,29,Action,Burt Young,922,Thomas Ian Griffith,1,exercise bicycle|face in food|police|police brutality|policeman,English,1.85,107
Douglas McGrath,118,41,Biography|Crime|Drama,Toby Jones,14143,Hope Davis,4,blood|book|cold calculation|murder|writer,English,1.85,0
Michael Winterbottom,115,187,Drama|Romance|Western,Milla Jovovich,5254,Shirley Henderson,4,gold|gold mine|miner|railroad|surveyor,English,2.35,141
Mark Neveldine,91,83,Horror|Thriller,Djimon Hounsou,7199,Dougray Scott,0,evil|injury|possession|priest|vatican,English,1.85,0
Joe Cornish,88,115,Action|Comedy|Sci-Fi|Thriller,John Boyega,82331,Jodie Whittaker,6,alien|alien invasion|apartment|creature|gang,English,2.35,18000
Angelina Jolie Pitt,127,11000,Drama|Romance|War,Jelena Jovanova,31414,Branko Djuric,0,bosnian war|church|emaciation|soldier|violence,Bosnian,2.35,0
Brad Anderson,94,122,Crime|Thriller,Michael Imperioli,88241,Roma Maffia,0,911 operator|calling 911|die hard scenario|head held underwater|white villain,English,1.85,23000
John H. Lee,115,32,Action|Drama|History|War,Liam Neeson,90,Jung-jae Lee,1,,English,,139
John Stainton,90,0,Action|Adventure|Comedy|Family,Steve Irwin,5663,Steve Bastoni,0,cia|crocodile|satellite|snake|spider,English,2.35,332
Glenn Ficarra,102,43,Biography|Comedy|Crime|Drama|Romance,Dameon Clarke,77305,Annie Golden,0,character name in title|con artist|fraud|gay|prison break,English,1.85,11000
Jean-Jacques Annaud,100,218,Adventure|Drama|History,Rae Dawn Chong,16281,Gary Schwartz,0,fire|prehistoric times|primitive|tribe|trio,None,2.35,0
Denzel Washington,117,18000,Biography|Drama,Denzel Washington,26493,Derek Luke,0,black american|extortion|navy|psychiatrist|sailor,English,2.35,0
Michael Hoffman,109,97,Drama,Gabriel Millman,14354,Rob Morrow,1,classroom|fund raising|headmaster|reunion|roman,English,1.85,0
Tony Scott,121,12000,Action|Crime|Drama|Romance|Thriller,Brad Pitt,163492,Michael Rapaport,3,aspiring actor|cocaine|drugs|pimp|suitcase full of money,English,2.35,15000
Benedek Fliegauf,111,28,Drama|Romance|Sci-Fi,Eva Green,9957,Hannah Murray,1,clone|love|male nudity|medical ethics|virginity,English,2.35,0
James Foley,100,164,Crime|Drama|Mystery,Kevin Spacey,75675,Jude Ciccolella,1,office|pressure|real estate|robbery|sales,English,2.35,0
Michael Winterbottom,109,187,Crime|Drama|Thriller,Liam Aiken,28483,Jay R. Ferguson,0,deputy|murder|revenge|sheriff|texas,English,2.35,0
Paul Schrader,93,261,Fantasy|Horror|Thriller,Ed Begley Jr.,14193,John Heard,1,cat|cat people|leopard|love|slip the undergarment,English,1.85,0
Stewart Hendler,101,10,Horror|Mystery,Julian Morris,24012,Rumer Willis,2,prank gone wrong|scantily clad female|shotgun|sorority house|stabbed in the neck,English,2.35,0
John Cromwell,101,19,Adventure|Drama|Romance,David Niven,3256,Ronald Colman,2,coronation|fictitious country|king|princess|swashbuckler,English,1.37,337
Craig Gillespie,106,44,Comedy|Drama|Romance,Ryan Gosling,114762,Paul Schneider,1,in love with an inanimate object|internet|introvert|psychologist|sex doll,English,1.85,19000
Mark Herman,94,39,Drama|War,Richard Johnson,132386,Cara Horgan,0,boy|fence|jew|nazis|poison gas,English,1.85,38000
Lars von Trier,140,3000,Crime|Drama|Musical,Catherine Deneuve,79330,Björk,0,ends with quotation|execution|factory|women's prison|year 1964,English,2.35,0
Gillian Armstrong,132,44,Drama|Romance,Tom Wilkinson,5648,Clive Russell,2,australia|church|glass|inheritance|wager,English,2.35,329
Abel Ferrara,99,220,Crime|Drama,Isabella Rossellini,6921,Gretchen Mol,3,1930s|madness|murder|new york city|violence,English,1.85,344
Brian Koppelman,90,34,Comedy|Drama|Romance,Jenna Fischer,13371,Richard Schiff,7,aging|hdtv|high definition television|love|marriage,English,1.85,0
Ethan Maniquis,105,20,Action|Crime|Thriller,Robert De Niro,165792,Cheech Marin,1,machete|mexican|mexico|priest|texas,English,1.85,44000
George Hickenlooper,108,60,Biography|Comedy|Crime|Drama,Kevin Spacey,14757,Christian Campbell,5,corruption|lobbyist|murder|washington d.c.|washington d.c. lobbyist,English,2.35,0
Don Bluth,69,383,Adventure|Animation|Family,Judith Barsi,61753,Bill Erwin,0,brontosaurus|classical music|dinosaur|dinosaur feature|earthquake,English,1.33,5000
Je-kyu Kang,148,16,Action|Drama|War,Min-sik Choi,31943,Dong-gun Jang,2,1950s|archeologist|korea|korean war|soldier,Korean,2.35,0
William Dear,118,50,Comedy|Drama|Family|Sport,Clifton Collins Jr.,2676,Bruce McGill,0,baseball movie|little league|little league baseball|mexico|three word title,English,2.35,0
William Friedkin,132,607,Horror,Ellen Burstyn,284252,Lee J. Cobb,0,demonic possession|exorcism|exorcist|loss of innocence|priest,English,1.37,18000
Steven Spielberg,130,14000,Adventure|Drama|Thriller,Roy Scheider,412454,Murray Hamilton,0,beach|blockbuster|fishing|great white shark|shark,English,2.35,21000
Paul Weitz,95,80,Comedy,Alyson Hannigan,315549,Natasha Lyonne,6,1990s|first love|milf|prom|virginity,English,1.85,0
Stéphane Aubier,80,2,Animation|Comedy|Crime|Drama|Family,Mackenzie Foy,12029,Lambert Wilson,0,bear|dentist|friendship|mouse|prejudice,French,1.85,0
Michael Ritchie,94,23,Action|Adventure|Comedy|Fantasy|Mystery,Victor Wong,39798,Charlotte Lewis,1,boy|child|chosen one|demon|detective,English,1.85,0
Tim Story,122,167,Comedy|Romance,Chris Brown,34579,Regina Hall,8,advice|black romance|hip hop|reading a book|sex scene,English,2.35,0
Tim Story,102,167,Comedy|Drama,Sean Patrick Thomas,22147,Cedric the Entertainer,0,barber|barbershop|blaxploitation|loan shark|theft,English,1.85,770
Nicholas Meyer,116,120,Action|Adventure|Sci-Fi,Leonard Nimoy,91414,Nichelle Nichols,2,jamming communications|planet|space station|taunt|trap,English,2.35,0
Tom Shadyac,78,293,Comedy,Sean Young,216486,David Margulies,1,detective|dolphin|mascot|nudity|stupidity,English,1.85,0
John Badham,114,139,Sci-Fi|Thriller,Matthew Broderick,71842,Ally Sheedy,0,computer|game|high school|norad|teenager,English,1.85,0
Peter Weir,112,608,Crime|Drama|Romance|Thriller,Harrison Ford,66966,Lukas Haas,1,amish|love|murder|police|train,English,1.85,0
Mike McCoy,110,16,Action|Adventure|Drama|Thriller|War,Alex Veadov,57996,Rorke Denver,0,mission|navy seal|terrorist|torture|valor,English,2.35,15000
Anne Fletcher,104,98,Crime|Drama|Music|Romance,Channing Tatum,90938,Josh Henderson,0,dance|dancer|school|showcase|student,English,2.35,0
Mike Judge,81,406,Adventure|Animation|Comedy|Crime,Bruce Willis,42892,John Doman,0,beavis and butt head|fbi|score|television|television set,English,1.85,0
Quentin Tarantino,154,16000,Crime|Thriller,Robert De Niro,239540,Robert Forster,5,arms dealer|atf|bail|money|multiple perspectives,English,1.85,0
Jon Hurwitz,102,22,Adventure|Comedy,Danneel Ackles,113918,Beverly D'Angelo,2,bong|escape|ex girlfriend|guantanamo bay|texas,English,1.85,0
Josh Trank,89,128,Drama|Sci-Fi|Thriller,Michael Kelly,204327,Ashley Hinshaw,0,found footage|high school|subjective camera|teen angst|troubled teen,English,1.85,32000
Barbra Streisand,132,0,Drama|Musical|Romance,Miriam Margolyes,9503,Steven Hill,1,love|study|talmud|wedding|yeshiva,English,1.85,0
