num_critic_for_reviews,duration,actor_1_facebook_likes,actor_1_name,movie_title,facenumber_in_poster,plot_keywords,num_user_for_reviews,content_rating,actor_2_facebook_likes,imdb_score
75,98,649,Ken Howard,Dreamer: Inspired by a True Story ,1,colon in title|horse|kentucky|overalls|six word title,108,PG,579,6.9
441,96,10000,Viggo Mortensen,A History of Violence ,1,bar|crotch shot|female full frontal nudity|female pubic hair|robbery,1125,R,917,7.5
163,87,26000,Jason Statham,Transporter 2 ,1,driver|french|kidnapping|police|sequel,340,PG-13,1000,6.3
63,107,29000,Leonardo DiCaprio,The Quick and the Dead ,0,authority figure as villian|gun duel|saved from hanging|showdown|street shootout,216,R,165,6.4
90,90,638,Frances Fisher,Laws of Attraction ,1,date|divorce|divorce lawyer|drinking|lawyer,102,PG-13,160,5.9
163,121,12000,Nicolas Cage,Bringing Out the Dead ,0,ambulance|ghost|hell|paramedic|rescue,382,R,368,6.8
197,119,1000,Alice Braga,Repo Men ,0,artificial organ|best friend|enforcer|future|near future,187,R,561,6.3
93,107,889,Robert Forster,Dragon Wars: D-War ,0,antique shop|asian dragon|dragon|korean|reporter,364,PG-13,618,3.6
15,110,3000,Haley Joel Osment,Bogus ,3,box office flop|circus|imaginary friend|magician|one word title,30,PG,359,5.3
260,100,12000,Steve Buscemi,The Incredible Burt Wonderstone ,4,magic|magic kit|magician|stage magician|vegas,158,PG-13,10000,5.9
18,75,3000,George Kennedy,Cats Don't Dance ,0,animal|cat|child star|hollywood|star,49,G,2000,6.9
70,132,13000,Bill Murray,Cradle Will Rock ,2,1930s|depression|play|theatre|union,161,R,898,6.9
183,105,845,Tony Curran,The Good German ,2,american|driver|journalist|russian|secret,175,R,552,6.1
12,93,330,Joan Plowright,George and the Dragon ,4,dragon|knight|love|priest|princess,31,PG,239,5.7
261,289,11000,Harrison Ford,Apocalypse Now ,1,army|green beret|insanity|jungle|vietnam,983,R,10000,8.5
167,102,839,Rob Riggle,Going the Distance ,0,bar|job|long distance relationship|male pubic hair|pubic hair,113,R,730,6.3
42,143,975,Alicia Witt,Mr. Holland's Opus ,1,1990s|high school|high school teacher|teacher inspires students|teaching,154,PG,345,7.3
130,113,10000,Gary Oldman,Criminal ,2,cia|husband wife relationship|memory|tied up while barefoot|violence,100,R,877,6.3
66,161,11000,Meryl Streep,Out of Africa ,0,africa|hunter|love|marriage|plantation,200,PG,920,7.2
449,138,18000,Denzel Washington,Flight ,0,airline|flight|flight attendant|lawyer|pilot,491,R,984,7.3
121,126,244,Desmond Llewelyn,Moonraker ,2,astronaut|dog|official james bond series|space shuttle|space shuttle transported on a 747,294,PG,202,6.3
536,99,13000,Bill Murray,The Grand Budapest Hotel ,0,first person narration|hotel|lobby boy|mentor protege relationship|painting,644,R,1000,8.1
135,101,12000,Anthony Hopkins,Hearts in Atlantis ,1,based on multiple works|bully|kiss|memory|mysterious stranger,268,PG-13,495,6.9
74,103,687,Julian Sands,Arachnophobia ,0,arachnophobia|death|doctor|small town|spider,136,PG-13,151,6.3
168,118,2000,Dennis Quaid,Frequency ,0,altering history|alternate history|amateur radio|ham radio|paranormal phenomena,510,PG-13,702,7.3
464,116,783,Ed Begley Jr.,Ghostbusters ,4,ghost|ghostbuster|ghostbusters|male objectification|reboot,1211,PG-13,370,5.5
204,99,26000,Chris Hemsworth,Vacation ,4,amusement park|dysfunctional family|road trip|sequel|vacation,219,R,12000,6.1
96,105,848,Delroy Lindo,Get Shorty ,4,debt|loan shark|mobster|movie business|producer,150,R,808,6.9
223,113,539,Colm Feore,Chicago ,0,fame|jail|jazz age|murder|vaudeville,1017,PG-13,151,7.2
112,93,12000,Steve Buscemi,Big Daddy ,0,homosexual|law|law school|responsibility|vomiting,289,PG-13,11000,6.4
142,108,3000,Alyson Hannigan,American Pie 2 ,0,beach|beach house|college|party|student,431,R,1000,6.4
166,74,15000,Tom Hanks,Toy Story ,1,claw crane|cowboy|jealousy|rivalry|toy,391,G,1000,8.3
114,116,18000,Keanu Reeves,Speed ,0,bomb|bus|elevator|explosive|rescue,373,R,946,7.2
214,104,17000,Channing Tatum,The Vow ,0,car accident|life support|memory loss|trauma|voice recording,164,PG-13,359,6.8
126,106,11000,Harrison Ford,Extraordinary Measures ,2,cure|disease|imagination|race against time|venture capital,64,PG,3000,6.5
157,120,33000,Ryan Gosling,Remember the Titans ,1,american football|based on true story|head coach|high school|school,402,PG,18000,7.8
104,135,826,Scott Glenn,The Hunt for Red October ,1,analyst|defection|navy|soviet submarine|submarine,241,PG,692,7.6
304,132,15000,Alex Pettyfer,Lee Daniels' The Butler ,0,butler|civil rights|hotel|president|white house,323,PG-13,1000,7.2
191,92,989,Gary Cole,Dodgeball: A True Underdog Story ,0,dodgeball|gym|las vegas|pirate|ups,392,PG-13,939,6.7
55,99,1000,Anjelica Huston,The Addams Family ,0,accountant|loan shark|macabre|uncle|uncle fester,125,PG-13,1000,6.8
59,90,531,Bruce Spence,Ace Ventura: When Nature Calls ,0,africa|bat|hawaiian shirt|pregnancy|pregnant,178,PG-13,461,6.3
108,111,11000,Anne Hathaway,The Princess Diaries ,2,cinderella story|fish out of water|makeover|manners|princess,301,G,995,6.2
50,103,944,Stockard Channing,The First Wives Club ,3,cult film|female therapist|revenge|revenge motive|therapy session,117,PG,893,6.2
216,127,11000,Morgan Freeman,Se7en ,0,detective|police partner|serial killer|serial murder|seven deadly sins,1080,R,11000,8.6
472,112,2000,Sharlto Copley,District 9 ,0,alien|ghetto|prawn|refugee|refugee camp,1262,R,433,8.0
89,87,19000,Scarlett Johansson,The SpongeBob SquarePants Movie ,0,based on tv series|crown|dream|king neptune|plankton,186,PG,542,7.0
229,138,616,John Doman,Mystic River ,0,ballistics|detective|friend|gun|sexual abuse,935,R,541,8.0
268,132,16000,Clint Eastwood,Million Dollar Baby ,1,boxing|boxing trainer|death|suicide attempt|women boxing,1106,PG-13,11000,8.1
145,103,22000,Robert De Niro,Analyze This ,2,analyst|mafia|patient|psychiatrist|wedding,337,R,979,6.7
177,123,33000,Ryan Gosling,The Notebook ,0,class differences|letter|nursing home|second chance|summer love,1111,PG-13,638,7.9
175,111,2000,Judy Greer,27 Dresses ,1,boss|bridesmaid|friend|love|wedding,154,PG-13,805,6.1
131,102,1000,Emily Osment,Hannah Montana: The Movie ,2,farm|female protagonist|hannah montana|horseback riding|overalls,140,G,1000,4.2
41,78,971,Elizabeth Daily,Rugrats in Paris: The Movie ,0,amusement park|baby|france|paris france|villain,49,G,844,6.1
30,132,769,George Carlin,The Prince of Tides ,1,new york|psychiatrist|shrimper|south carolina|twins,109,R,713,6.6
57,133,12000,Anthony Hopkins,Legends of the Fall ,2,epic|heart|killing an animal|passion|usa,329,R,11000,7.5
391,108,24000,J.K. Simmons,Up in the Air ,0,airport|business trip|downsizing|on the road|travel,452,R,10000,7.4
217,125,442,Hope Davis,About Schmidt ,1,highway travel|on the road|retirement|road movie|wedding,612,R,344,7.2
452,98,303,Cory Hardrict,Warm Bodies ,0,fight|memory|teenager|undead|zombie,326,PG-13,18,6.9
589,119,23000,Joseph Gordon-Levitt,Looper ,0,chase|future|surprise ending|time loop|time travel,667,R,13000,7.4
61,87,979,Chazz Palminteri,Down to Earth ,1,angel|butler|heaven|manhattan new york city|reincarnation,122,PG-13,891,5.4
79,91,405,Miriam Margolyes,Babe ,0,dog|farmer|pig|sheep|sheepdog,182,G,368,6.8
234,100,11000,Meryl Streep,Hope Springs ,2,couple|intimacy|marriage|marriage counseling|middle age couple,178,PG-13,7000,6.3
253,118,15000,Mila Kunis,Forgetting Sarah Marshall ,1,breakup|hawaii|hotel|male full frontal nudity|resort,325,R,975,7.2
51,44,971,Zach Gilford,Friday Night Lights             ,1,football|football coach|high school|small town|texas,257,TV-14,741,8.7
123,109,1000,Josh Charles,Four Brothers ,3,bare butt|corrupt police|four brothers|funeral|murder,340,R,654,6.9
145,99,2000,Tina Fey,Baby Mama ,2,baby|book|cartoon on tv|female protagonist|male anorexia,97,PG-13,1000,6.0
65,114,970,Bill Cobbs,Hope Floats ,1,best friend|friend|mother daughter relationship|small town|texas,162,PG-13,631,5.9
152,89,11000,Anne Hathaway,Bride Wars ,2,best friend|dyed hair|fake tan|rivalry|wedding,129,PG,826,5.4
94,95,506,Antony Starr,Without a Paddle ,3,death|friend|hijacker|river|tree house,152,PG-13,316,5.9
119,98,3000,Jennifer Garner,13 Going on 30 ,1,13 year old|13th birthday|30 year old|wish|year 1987,339,PG-13,2000,6.1
487,94,617,Kurt Fuller,Midnight in Paris ,1,1920s|golden age|midnight|paris france|time travel romance,509,PG-13,204,7.7
121,85,14000,Liam Neeson,The Nut Job ,0,bank robbery|heist|raccoon|rat|squirrel,64,PG,3000,5.8
147,124,40000,Johnny Depp,Blow ,1,1960s|1970s|california|cocaine|wealth,426,R,1000,7.6
85,131,18000,Robin Wright,Message in a Bottle ,0,beach|bottle|jogging|letter|love,223,PG-13,652,6.1
98,107,12000,Leonard Nimoy,Star Trek V: The Final Frontier ,1,captain|half brother|klingon|planet|vulcan,293,PG,664,5.4
39,99,1000,Brenda Song,Like Mike ,7,basketball|lightning|nba|orphanage|shoe,72,PG,889,5.1
43,83,3000,George Kennedy,Naked Gun 33 1/3: The Final Insult ,5,retirement|spoof|terrorist|transsexual|undercover,85,PG-13,459,6.4
108,131,1000,Patrick Macnee,A View to a Kill ,2,computer|earthquake|microchip|official james bond series|silicon valley,300,PG,439,6.3
209,85,567,Mark Gatiss,The Curse of the Were-Rabbit ,0,competition|giant vegetable|pest control|stop motion animation|vegetable,307,G,269,7.5
131,126,18000,Gerard Butler,P.S. I Love You ,1,birthday|friendship|hairy chest|letter|widow,243,PG-13,631,7.1
73,102,984,Bruce Greenwood,Racing Stripes ,0,farm|horse|kentucky|racehorse|zebra,86,PG,934,5.2
316,123,19000,Benedict Cumberbatch,Atonement ,1,death of sister|dying|loss of virginity|septicemia|sex,581,R,1000,7.8
159,105,898,Vanessa Redgrave,Letters to Juliet ,1,chick flick|female protagonist|italian stereotype|man in a swimsuit|verona italy,156,PG,60,6.5
63,125,939,Stephen Root,Black Rain ,2,counterfeit|detective|japan|police chase|yakuza,119,R,255,6.6
162,92,971,Kate Upton,The Three Stooges ,0,mule|nun|orphanage|tennis court|the three stooges,189,PG,860,5.1
267,77,40000,Johnny Depp,Corpse Bride ,1,arranged marriage|bride|corpse|groom|woods,467,PG,16000,7.4
