num_critic_for_reviews,duration,actor_2_name,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,plot_keywords,language,content_rating,title_year
160,101,Peter Stickles,Sook-Yin Lee,Shortbus ,226,Raphael Barker,controversy|ejaculation|male frontal nudity|oral sex|unsimulated sex,English,Unrated,2006
231,90,Ronny Dayag,Ari Folman,Waltz with Bashir ,56,Zahava Solomon,bar|dog|interview|lebanon|nightmare,Hebrew,R,2008
7,120,Kirby Heyborne,Noah Danby,"The Book of Mormon Movie, Volume 1: The Journey ",359,Bruce Newbold,jerusalem|journey|promised land|ship|wilderness,English,PG-13,2003
79,102,Dick Cheney,Campbell Scott,No End in Sight ,446,Donald Rumsfeld,american politics|iraq|iraq war|occupation|white house,English,,2007
168,102,David Fine,Alexander Skarsgård,The Diary of a Teenage Girl ,11184,Austin Lyon,1970s|mother's boyfriend|overalls|phone booth|sexual promiscuity,English,R,2015
1,60,Jon Tenney,Anne Hathaway,Get Real             ,11618,Debrah Farentino,breaking the fourth wall|brother brother relationship|high school friends|imperative in title|skateboard,English,,
107,100,Buzz Aldrin,John F. Kennedy,In the Shadow of the Moon ,408,Neil Armstrong,1960s|astronaut|moon|nasa|spacecraft accident,English,PG,2007
200,104,Zoe Kazan,Bruce Greenwood,Meek's Cutoff ,3427,Shirley Henderson,desert|oregon|survival|trust|water,English,PG,2010
123,89,Bill Maher,Hugh M. Hefner,Inside Deep Throat ,1136,Linda Lovelace,clitoris|deep throat|fellatio|oral sex|porn industry,English,NC-17,2005
39,99,Manny Perez,Danny Aiello,Dinner Rush ,1156,Ajay Naidu,detective|food|gangster|police|restaurant,English,R,2000
41,96,Bob Balaban,Alanna Ubach,Clockwatchers ,3011,Jamie Kennedy,office|office politics|photo booth|snobbery|title directed by female,English,PG-13,1997
46,86,Krysta Rodriguez,Matt Bennett,The Virginity Hit ,768,Zack Pearlman,masturbation|porn star|sex lesson from a prostitute|spreadeagle|topless,English,R,2010
30,98,Isabelle Adjani,Christopher Lambert,Subway ,1917,Jean-Hugues Anglade,band|blackmail|safe|subway|train,French,R,1985
46,96,Mark Margolis,Robin Williams,House of D ,51441,Frank Langella,artist|butchery|catholic|catholic school|friend,English,PG-13,2004
221,94,Nathan Parsons,Jess Weixler,Teeth ,1511,John Hensley,high school|purity|stepbrother|temptation|vagina dentata,English,R,2007
51,91,Stephane Gauger,Jeffrey Falcon,Six-String Samurai ,36,Kim De Angelo,boy|guitar|orphan|rock 'n' roll|sword,English,PG-13,1998
1,,Bobby Deol,Karisma Kapoor,Hum To Mohabbat Karega ,613,Shakti Kapoor,elevator|news reporter|police|restaurant|waiter,Hindi,,2000
58,90,Neil Maskell,Paul Kaye,It's All Gone Pete Tong ,865,Kate Magowan,deafness|disappearance|ears|ibiza|musician,English,R,2004
45,85,Steve Buscemi,Peter Dinklage,Saint John of Las Vegas ,36885,Romany Malco,city name in title|male frontal nudity|place name in title,English,R,2009
44,96,Annette Badland,Bob Hoskins,24 7: Twenty Four Seven ,5535,Karl Collins,fight|gang|hiking|wales|working class,English,R,1997
74,129,Caleb Landry Jones,Jeremy Irvine,Stonewall ,26176,Matt Craven,box office flop|critically bashed|gay rights|new york city|stonewall riots,English,R,2015
20,60,Colin Ferguson,Joe Morton,Eureka             ,4280,Salli Richardson-Whitfield,alternate reality|pacific northwest|small town|small town life|small town sheriff,English,TV-14,
6,93,Sanjay Mishra,Saif Ali Khan,Roadside Romeo ,653,Javed Jaffrey,india|love|love at first sight|mumbai india|reference to edward scissorhands,Hindi,PG,2008
5,100,Frank Vincent,Vincent Pastore,This Thing of Ours ,1307,Chuck Zito,gangster|heist|internet|mafia|miami florida,English,Not Rated,2003
10,97,Jansen Panettiere,Alex Kendrick,The Lost Medallion: The Adventures of Billy Stone ,2522,Tiya Sircar,cave|cobra|island|medallion|waterfall,English,PG,2013
81,94,Jeremy Jordan,Anna Kendrick,The Last Five Years ,10869,Charly Bivona,based on play|number in title,English,PG-13,2014
66,95,Amy Ryan,Merritt Wever,The Missing Person ,2749,Paul Adelstein,cellphone|detective|missing person|private detective|train,English,,2009
46,97,Kent McCord,Melinda Clarke,Return of the Living Dead III ,1362,Sarah Douglas,female nudity|living dead|self mutilation|sequel|zombie,English,R,1993
34,92,Chris Evans,Jason Statham,London ,39518,Dane Cook,bar|coke|drugs|party|snorting,English,R,2005
78,96,Kate Burton,Brad William Henke,Sherrybaby ,774,Michelle Hurst,ex convict|halfway house|nipples visible through clothing|orgasm|parole officer,English,R,2006
52,85,Megan Mullally,Martin Starr,Stealing Harvard ,3065,Chris Penn,black humor|crying during sex|harvard|humor|man with glasses,English,PG-13,2002
29,87,Michael McLafferty,Jordi Vilasuso,Circle ,776,Kaiwi Lyman-Mersereau,alien abduction|debate|lesbian|pregnant|spaceship,English,Not Rated,2015
161,91,Jack O'Connell,Michael Fassbender,Eden Lake ,14561,Lorraine Stanley,camping|forest|lake|stabbed with glass|vomiting,English,R,2008
18,99,James Kyson,Frances Fisher,Plush ,2341,Marlene Forte,gay interest|guitarist|obsessed fan|seduction|sex scene,English,R,2013
107,88,James Corden,MyAnna Buring,Vampire Killers ,1593,Silvia Colloca,blood|breasts|female nudity|lesbian|vampire,English,R,2009
30,119,Kenneth Nkosi,Rapulana Seiphemo,Gangster's Paradise: Jerusalema ,86,Robert Hobbs,carjacking|drug lord|johannesburg south africa|police|post apartheid,English,R,2008
24,99,Lee Evans,Colin Salmon,Freeze Frame ,1650,Ian McNeice,alibi|box office flop|newspaper clipping|non statutory female on male rape|profiler,English,R,2004
116,92,Sean Rogerson,Mackenzie Gray,Grave Encounters ,762,Ashleigh Gryzko,ghost|ghost hunting|labyrinth|paranormal|reality show,English,Not Rated,2011
98,86,Tommy Knight,Peter McQuinn,Stitches ,322,Jemma Curran,cat killer|death of animal|high heels|kneed in the crotch|kneed in the groin,English,R,2012
25,83,William Lee Scott,Daniel Baldwin,Nine Dead ,1149,Marc Macaulay,betrayal|car|connection|death|gun,English,R,2010
,81,Tim Rice,Alice Cooper,"To Be Frank, Sinatra at 100 ",712,Louis Walsh,,English,,2015
40,82,Charlotte Rae,Woody Allen,Bananas ,11700,Louise Lasser,fictitious country|latin america|president|rebellion|reference to fidel castro,English,GP,1971
20,102,Linus Roache,Paul Sheehan,Supercapitalist ,892,Kathy Uyen,,English,Not Rated,2012
8,90,Mario Cimarro,Nicholas Gonzalez,Rockaway ,2395,Ricardo Chavira,one word title,English,R,2007
19,30,Tim Daly,Steven Weber,Wings             ,1884,Amy Yasbeck,1990s|brother brother relationship|nantucket island|one word title|sister sister relationship,English,,
90,92,Everett Sloane,Rita Hayworth,The Lady from Shanghai ,1055,Ted de Corsia,law partner|murder|partner|seaman|yacht,English,Not Rated,1947
21,88,Lew Temple,Mircea Monroe,No Man's Land: The Rise of Reeker ,2620,Robert Pine,death|desert|robber|sheriff|waitress,English,R,2008
12,97,M.C. Gainey,Jake Gyllenhaal,Highway ,15740,Mark Rolston,1990s|homoeroticism|reference to kurt cobain|road trip|year 1994,English,R,2002
33,96,Saffron Burrows,Noel Gugliemi,Small Apartments ,3683,Matt Lucas,fire investigator|landlord|suicide|talking to one's self in a mirror|turpentine,English,R,2012
9,87,Ben Schwartz,Sunil Narkar,Coffee Town ,35796,Glenn Howerton,barista|coffee|coffee shop|fight|insult,English,,2013
94,106,Kevin McCarthy,Kate Maberly,The Ghastly Love of Johnny X ,1611,Paul Williams,1950s|independent film|outlaw|trial,English,Not Rated,2012
41,107,Curtiss Cook,Sally Hawkins,All Is Bright ,2020,Peter Hermann,christmas tree|french canadian|new york|salesman,English,R,2013
38,80,Lex Barker,Christopher Lee,The Torture Chamber of Dr. Sadism ,16110,Karin Dor,count|drawn and quartered|tied up|torture chamber|torture device,German,M,1967
12,91,Powers Boothe,Jon Mack,Straight A's ,2654,Josh Meyers,addict|paternity|rascal|swimming pool|texas,English,R,2013
25,99,Zero Mostel,Buster Keaton,A Funny Thing Happened on the Way to the Forum ,1807,Phil Silvers,based on stage musical|based on stage musical based on stage play|freedom|historical fiction|virgin,English,Approved,1966
27,102,Eddie Vedder,Michael Moore,Slacker Uprising ,1674,Steve Earle,character name in title|election campaign|presidential election,English,,2007
2,108,Kevin Alejandro,William McNamara,The Legend of Hell's Gate: An American Conspiracy ,15707,Glenn Morshower,1800s|doc holliday|robbers|sheriff|texas,English,PG-13,2011
23,88,Wray Crawford,Trenton Rostedt,The Walking Deceased ,1425,Dave Sheridan,zombie|zombie spoof,English,R,2015
32,89,Bella Heathcote,Kevin Zegers,The Curse of Downers Grove ,4968,Tom Arnold,,English,,2015
18,92,Michael Aaron Milligan,Melissa Bolona,Shark Lake ,13583,James Chalke,blood|daughter|jail|police|shark,English,Not Rated,2015
45,99,Daniel Roebuck,Keanu Reeves,River's Edge ,19649,Ione Skye,death|friend|high school|murder|police,English,R,1986
60,103,Anthony Edwards,Peter Coyote,Northfork ,2389,Jon Gries,boy|caretaker|dam|evacuation|orphanage,English,PG-13,2003
23,90,Mike 'The Miz' Mizanin,Paul McGillion,The Marine 4: Moving Target ,1204,David Lewis,killed in police car|mercenary|police officer shot in the leg|police officer shot through the heart|whistleblower,English,R,2015
363,95,Samantha Mathis,Ryan Reynolds,Buried ,17471,Erik Palladino,buried alive|coffin|iraq|one person|single set production,English,R,2010
249,97,Paddy Considine,Craig Roberts,Submarine ,3275,Sally Hawkins,15 year old|school|teen comedy|teen movie|virginity,English,R,2010
68,108,Ahmed Hassan,Khalid Abdalla,The Square ,176,Aida Elkashef,,Arabic,Not Rated,2013
14,95,Lizzie Brocheré,Karl E. Landler,One to Another ,1082,Pierre Perrier,fellatio|female frontal nudity|male frontal nudity|nude sunbathing|orgy,French,Unrated,2006
359,100,Judy Greer,Chloë Grace Moretz,Carrie ,20051,Portia Doubleday,outcast|prom|self injury|telekinesis|tragic event,English,R,2013
15,160,Remo,Lauren Gottlieb,ABCD (Any Body Can Dance) ,1182,Prabhudheva,,Hindi,Not Rated,2013
256,101,Lin Shaye,Johnny Depp,A Nightmare on Elm Street ,42918,Amanda Wyss,freddy krueger|lucid dream|serial killer|slasher|sleep deprivation,English,X,1984
194,90,Philippe Petit,Paul McGill,Man on Wire ,68,Jean-Louis Blondeau,new york city|passion|reenactment|rooftop|tower,English,PG-13,2008
,86,Peter Feeney,Siobhan Marshall,Abandoned ,90,Rachel Nash,boat|one word title|sea|storm|survivor,English,,2015
10,89,Adam Ratcliffe,Logan Browning,Brotherly Love ,4249,Faizon Love,basketball|burglary|police|robbery|teenage girl,English,R,2015
311,87,Ashley Bell,Caleb Landry Jones,The Last Exorcism ,1958,Patrick Fabian,cult film|documentary crew|exorcism|found footage|satanic ritual,English,PG-13,2010
205,98,Ophelia Lovibond,Kristin Scott Thomas,Nowhere Boy ,2032,Anne-Marie Duff,1960s|childhood|friendship|love|the beatles,English,R,2009
94,125,Karl Malden,Marlon Brando,A Streetcar Named Desire ,10570,Kim Hunter,brother in law sister in law relationship|expectant father|histrionic personality disorder|middle aged woman|off screen rape,English,PG,1951
192,95,Slim Pickens,George C. Scott,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1991,Keenan Wynn,bomber|doomsday|general|u.s. president|war room,English,PG,1964
85,118,Ana Claudia Talancón,Damián Alcázar,El crimen del padre Amaro ,546,Pedro Armendáriz Jr.,church|love|mexico|politics|priest,Spanish,R,2002
663,93,Gina Montana,Quvenzhané Wallis,Beasts of the Southern Wild ,2658,Dwight Henry,auroch|community|hospital|illness|six year old,English,PG-13,2012
62,96,Paul Williams,Roddy McDowall,Battle for the Planet of the Apes ,1432,Claude Akins,ape|general|gorilla|outer space|planet of the apes,English,G,1973
39,109,David Patrick Kelly,Aidan Quinn,Songcatcher ,2187,Jane Adams,doctor|mountain|musician|song|university,English,PG-13,2000
68,109,Bill Irwin,Donna Murphy,Higher Ground ,1439,Michael Chernus,1960s|belief in the afterlife|domestic violence|faith|minister,English,R,2011
3,155,T.R. Silambarasan,Hansika Motwani,Vaalu ,349,Brahmanandam,,Tamil,,2015
130,90,J.J. Abrams,Quentin Tarantino,The Greatest Movie Ever Sold ,32405,Donald Trump,advertising|movie in title|product placement,English,PG-13,2011
13,93,Gary Farmer,Steve Buscemi,Ed and His Dead Mother ,14620,Jon Gries,based on ed gein|dog|hyperactive|macabre|zombie,English,PG-13,1993
44,108,Lhakpa Dorji,Tshewang Dendup,Travelers and Magicians ,0,Sonam Kinga,bhutan|buddhist|monk|storytelling|weaver,Dzongkha,,2003
26,114,Bruce Dern,Clint Eastwood,Hang 'Em High ,18263,Alan Hale Jr.,imperative in title|judge|marshal|murder|vigilante,English,M,1968
27,87,Jim Backus,Humphrey Bogart,Deadline - U.S.A. ,2831,Kim Hunter,editor|gangster|newspaper|organized crime|press,English,,1952
53,113,Tom Cavanagh,George Newbern,Sublime ,2439,Cas Anvar,birthday|birthday party|colonoscopy|hospital|surgery,English,R,2007
,87,Luke Edwards,Kimberley Crossman,A Beginner's Guide to Snuff ,1270,Bree Williamson,,English,,2016
10,90,Keenan Tracey,Tom Everett Scott,Independence Daysaster ,984,Nicholas Carella,fireworks|kiss|to be continued ending|uncle nephew relationship|usaf,English,PG-13,2013
4,111,Essence Atkins,Christian Keyes,Dysfunctional Friends ,4306,Tatyana Ali,ex boyfriend ex girlfriend relationship|gossip|inheritance|mansion|reference to howard university,English,Not Rated,2012
181,81,Ludger Pistor,Moritz Bleibtreu,Run Lola Run ,623,Armin Rohde,bechdel test failed|money|multiple outcomes|repeated event|subway,German,R,1998
114,93,Will Estes,James Duval,May ,2489,Nora Zehetner,case|doll|dry humor|friend|love,English,R,2002
11,90,CJ Adams,Natasha Henstridge,Against the Wild ,1724,Erin Pitt,cave|salmon,English,PG,2013
1,112,Chris Cleveland,Matthew Alan,Living Dark: The Story of Ted the Caver ,139,Circus-Szalewski,brother|cave|caver|dark|funeral,English,PG-13,2013
75,106,Eugenio Derbez,America Ferrera,Under the Same Moon ,2198,Kate del Castillo,12 year old|boy|mexican|mexican immigrant|mexico,Spanish,PG-13,2007
80,88,Gordon Jump,Roddy McDowall,Conquest of the Planet of the Apes ,941,John Randolph,ape|future|intelligence|revolution|slave revolt,English,PG,1972
179,138,Sissy Spacek,Tom Wilkinson,In the Bedroom ,3970,Karen Allen,doctor|maine|only son|school choir|summer,English,R,2001
225,105,Chad Lindberg,Sarah Butler,I Spit on Your Grave ,2423,Daniel Franzese,horror movie remake|rape|rape and revenge|rape victim|revenge,English,R,2010
77,98,Illeana Douglas,Ally Walker,"Happy, Texas ",2095,Jeremy Northam,banker|beauty pageant|escaped convict|gay|pageant,English,PG-13,1999
124,86,Natalie Press,Paddy Considine,My Summer of Love ,763,Dean Andrews,female frontal nudity|lesbian relationship|summer|voyeurism|yorkshire,English,R,2004
195,104,Nimrat Kaur,Nawazuddin Siddiqui,The Lunchbox ,822,Lillete Dubey,delivery|delivery to wrong address|lunchbox|open ended|unconventional romance,Hindi,PG,2013
76,100,Joan Allen,Shirley Henderson,Yes ,2721,Stephanie Leonidas,beach|lebanese|loss|muslim|restaurant,English,R,2004
51,126,Ann Miller,Jean Arthur,You Can't Take It with You ,1363,Lionel Barrymore,eccentric|friend|house|monopoly|stenographer,English,Approved,1938
101,118,Donna Reed,Montgomery Clift,From Here to Eternity ,2247,Deborah Kerr,boxing|captain|hawaii|love|sergeant,English,Not Rated,1953
55,103,Ben Johnson,Harry Carey Jr.,She Wore a Yellow Ribbon ,955,Victor McLaglen,captain|cavalry|fort|retirement|yellow ribbon,English,Unrated,1949
15,102,Michael Welch,Shawnee Smith,Grace Unplugged ,3894,Anthony Reynolds,christianity|love|reference to justin bieber|reference to taylor swift|worship,English,PG,2013
16,84,Clifton Powell,Eddie Griffin,Foolish ,2196,Marla Gibbs,accidental killing|drug humor|profanity|sexual humor|stand up comedy,English,R,1999
5,,Lamman Rucker,Essence Atkins,N-Secure ,3137,Tempestt Bledsoe,betrayal|family relationships|insecurity|murder|passive aggression,English,R,2010
109,95,Adel Karam,Yasmine Al Massri,Caramel ,231,Nadine Labaki,caramel|friendship|police|secret|suitor,Arabic,PG,2007
40,92,Pixie Davies,Stephen Rea,Out of the Dark ,380,Alejandro Furth,haunted house,English,R,2014
51,90,Lior Ashkenazi,Ohad Knoller,The Bubble ,137,Yousef 'Joe' Sweid,gay|hairy chest|homosexual|israel|male nudity,Hebrew,Unrated,2006
149,113,Teri Garr,Harrison Ford,The Conversation ,12157,Cindy Williams,corruption|neo noir|recording|saxophone|surveillance,English,PG,1974
4,,Revathy,Annabelle Wallis,Dil Jo Bhi Kahey... ,622,Bhoomika Chawla,,English,,2005
35,123,Jean-Paul Belmondo,Catherine Deneuve,Mississippi Mermaid ,1694,Michel Bouquet,antibes|hotel|island|reunion|reunion island,French,R,1969
22,111,Marisa Coughlan,Judy Greer,I Love Your Work ,2564,Nicky Katt,film student|marriage|mental breakdown|movie star|obsession,English,R,2003
68,99,Gage Golightly,Dustin Ingram,Cabin Fever ,992,Samuel Davis,female rear nudity|flesh eating virus|horror movie remake|remake|topless female nudity,English,Not Rated,2016
287,110,Kevin Zegers,Ty Burrell,Dawn of the Dead ,10438,Mekhi Phifer,mall|mayhem|nurse|rear entry sex|survival horror,English,R,2004
173,108,Cheryl Hines,Lew Temple,Waitress ,1981,Eddie Jemison,domestic violence|pregnancy|unhappy marriage|unwanted pregnancy|waitress,English,PG-13,2007
61,92,Donald Gibb,Bolo Yeung,Bloodsport ,1168,Ken Siu,hand to hand combat|hong kong|kumite|martial arts|tournament,English,R,1988
96,120,Jean Arthur,Claude Rains,Mr. Smith Goes to Washington ,1573,Thomas Mitchell,camp|corruption|governor|senate|u.s. senate,English,Not Rated,1939
71,91,Leo Fitzpatrick,Rosario Dawson,Kids ,3310,Justin Pierce,coming of age|marijuana|rape|virgin|weed,English,,1995
110,88,Elizabeth Meriwether,William Baldwin,The Squid and the Whale ,479,Owen Kline,boy|divorce|tennis|tennis coach|writer,English,R,2005
110,97,Jennifer Westfeldt,Scott Cohen,Kissing Jessica Stein ,1173,Brian Stepanek,friend|friendship|journalist|new york city|personal ad,English,R,2001
101,95,Ni Yan,Honglei Sun,"A Woman, a Gun and a Noodle Shop ",18,Dahong Ni,betrayal|husband wife relationship|murder|noodles|salary,Mandarin,R,2009
2,90,T.J. Storm,Matthew Ziff,Kickboxer: Vengeance ,261818,Sam Medina,,,,2016
97,95,Rhonda Fleming,Norman Lloyd,Spellbound ,896,Leo G. Carroll,amnesia|dream analysis|dream sequence|guilt complex|post traumatic stress disorder,English,Unrated,1945
53,103,Mia Kirshner,Bruce Greenwood,Exotica ,2990,Sarah Polley,bird|cult film|egg|nightclub|toronto,English,R,1994
106,110,Vincent Gallo,Anjelica Huston,Buffalo '66 ,4762,Jan-Michael Vincent,shower|stripper|tap dancing|underwear|undressing,English,R,1998
445,103,Barbara Hershey,Lin Shaye,Insidious ,3030,Philip Friedman,baby|boy|coma|demon|house,English,PG-13,2010
